origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,previous_origin,previous_h,previous_forecast,revision
2025-04,8,2025-12,2025-05-05T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.01899931611258903,-0.2570694087403624,2.1052631578947296,3.1919017367521985,1.3868123922047868,0.6464146619889372,0.15225348159516697,0.2,2.0048407151143692,1.4913670655404432,2025-03,9.0,3.377182138440604,-0.18528040168840576
2025-05,7,2025-12,2025-06-03T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.0031472077236685894,-0.2570694087403624,2.1052631578947296,2.6654589764145022,0.9323015690551109,0.12894908298718846,0.12287730939861766,0.2,1.532392064104498,1.2915667992731379,2025-04,8.0,3.1919017367521985,-0.5264427603376962
2025-06,6,2025-12,2025-07-03T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.015170410183233382,-0.2570694087403624,2.1052631578947296,3.0187961112499333,0.8058573713261444,-0.12878301844286566,0.13924333732599797,0.2,1.2019972060434572,0.99201590129329,2025-05,7.0,2.6654589764145022,0.35333713483543105
2025-07,5,2025-12,2025-08-04T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.017500491406282445,-0.2570694087403624,2.1052631578947296,3.0745125917032987,0.33446626451400574,-0.5782219772267924,0.1336857830625129,0.2,0.29304891813985157,0.09604176414609959,2025-06,6.0,3.0187961112499333,0.05571648045336541
2025-08,4,2025-12,2025-09-03T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.025648243544482113,-0.2570694087403624,2.1052631578947296,3.001080817499707,0.1729125364031001,-0.6422629656467169,0.15449821907501116,0.2,0.12866822129816116,-0.2035091338337483,2025-07,5.0,3.0745125917032987,-0.0734317742035917
2025-09,3,2025-12,2025-10-05T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.0011800543570528038,-0.2570694087403624,2.1052631578947296,2.7786950304991938,0.4959648252227865,-0.06441224055231129,0.12141176772807137,0.2,0.6717937332143916,0.49895235986269765,2025-08,4.0,3.001080817499707,-0.22238578700051326
2025-10,2,2025-12,2025-11-04T22:59:00+00:00,BLEND_LINEAR_RF_R15,-0.034018114660813795,-0.2570694087403624,2.1052631578947296,2.4373906011805175,0.02044478714309927,-0.5782219772267975,0.10468657563756911,0.2,0.13430553066480247,0.09975023290895228,2025-09,3.0,2.7786950304991938,-0.3413044293186762
2025-11,1,2025-12,2025-12-03T22:59:00+00:00,BLEND_LINEAR_RF_R15,-0.013995885832086358,-0.2570694087403624,2.1052631578947296,2.697280807759765,-0.013996865347583128,-0.2574003995172877,0.08291034636334109,0.2,0.08287599472173604,0.19980026626730563,2025-10,2.0,2.4373906011805175,0.25989020657924744
2025-12,0,2025-12,2026-01-06T22:59:00+00:00,BLEND_LINEAR_RF_R15,-0.3176359844265689,-0.2570694087403624,2.1052631578947296,2.043262110679113,0.0,0.0,,0.2,,,2025-11,1.0,2.697280807759765,-0.6540186970806521
2025-02,11,2026-01,2025-03-04T22:59:00+00:00,BLEND_LINEAR_RF_R15,1.0685328504273692,0.8376288659793785,1.62337662337662,3.3541614288132418,2.9723357916865276,1.4157250611092747,0.555790280578529,0.4,2.9480268679288395,2.0903694587614945,2025-01,12.0,3.2640915763452316,0.09006985246801014
