origin,h,model,core_log,core_mm,state_mid_log,correction_log,band
2024-05,6,BLEND_LINEAR_RF_R15,0.1336110028253205,0.1337003020924873,0.11293405213592861,0.020676950689391904,2
2024-05,6,BLEND_WIDE_STATE_R15,0.11293405213592861,0.1129978466495706,0.11293405213592861,0.0,2
2024-06,4,STATE_SLOW_R15,0.6000125086740016,0.6018161893589261,0.5156805060298737,0.08433200264412788,2
2024-06,4,STATE_MID_R15,0.5156805060298737,0.5170124264518201,0.5156805060298737,0.0,2
2024-06,4,STATE_FAST_R15,0.42598402004422586,0.4268926216786922,0.5156805060298737,-0.08969648598564783,2
2024-06,4,STATE_ADAPT_R15,0.42598402004422586,0.4268926216786922,0.5156805060298737,-0.08969648598564783,2
2024-06,4,ENET_DOMESTIC_R15,0.5156805060298737,0.5170124264518201,0.5156805060298737,0.0,2
2024-06,4,ENET_IMPORTED_R15,0.5156805060298737,0.5170124264518201,0.5156805060298737,0.0,2
2024-06,4,ENET_BOTH_R15,0.5156805060298737,0.5170124264518201,0.5156805060298737,0.0,2
2024-06,4,ENET_WIDE_R15,0.5156805060298737,0.5170124264518201,0.5156805060298737,0.0,2
2024-06,4,RF_RESIDUAL_R15,0.5469166377308669,0.5484149570478299,0.5156805060298737,0.031236131700993153,2
2024-06,4,BLEND_LINEAR_RF_R15,0.5312985718803702,0.5327124656328507,0.5156805060298737,0.01561806585049652,2
2024-06,4,BLEND_WIDE_STATE_R15,0.5156805060298737,0.5170124264518201,0.5156805060298737,0.0,2
2024-06,5,STATE_SLOW_R15,0.17044876329683017,0.1705941097700682,0.08190024770713766,0.08854851558969251,2
2024-06,5,STATE_MID_R15,0.08190024770713766,0.08193379511785585,0.08190024770713766,0.0,2
2024-06,5,STATE_FAST_R15,-0.01223287272104523,-0.01223212453567868,0.08190024770713766,-0.09413312042818289,2
2024-06,5,STATE_ADAPT_R15,-0.01223287272104523,-0.01223212453567868,0.08190024770713766,-0.09413312042818289,2
2024-06,5,ENET_DOMESTIC_R15,0.08190024770713766,0.08193379511785585,0.08190024770713766,0.0,2
2024-06,5,ENET_IMPORTED_R15,0.08190024770713766,0.08193379511785585,0.08190024770713766,0.0,2
2024-06,5,ENET_BOTH_R15,0.08190024770713766,0.08193379511785585,0.08190024770713766,0.0,2
2024-06,5,ENET_WIDE_R15,0.08190024770713766,0.08193379511785585,0.08190024770713766,0.0,2
2024-06,5,RF_RESIDUAL_R15,0.11313637940813084,0.11320040275214667,0.08190024770713766,0.03123613170099318,2
2024-06,5,BLEND_LINEAR_RF_R15,0.09751831355763425,0.09756587812516135,0.08190024770713766,0.01561806585049659,2
2024-06,5,BLEND_WIDE_STATE_R15,0.08190024770713766,0.08193379511785585,0.08190024770713766,0.0,2
2024-06,6,STATE_SLOW_R15,0.27963519273666665,0.2800265366351527,0.1877134667905226,0.09192172594614406,2
2024-06,6,STATE_MID_R15,0.1877134667905226,0.18788975880929112,0.1877134667905226,0.0,2
2024-06,6,STATE_FAST_R15,0.09003103880831155,0.09007157891336916,0.1877134667905226,-0.09768242798221104,2
2024-06,6,STATE_ADAPT_R15,0.09003103880831155,0.09007157891336916,0.1877134667905226,-0.09768242798221104,2
2024-06,6,ENET_DOMESTIC_R15,0.1877134667905226,0.18788975880929112,0.1877134667905226,0.0,2
2024-06,6,ENET_IMPORTED_R15,0.1877134667905226,0.18788975880929112,0.1877134667905226,0.0,2
2024-06,6,ENET_BOTH_R15,0.1877134667905226,0.18788975880929112,0.1877134667905226,0.0,2
2024-06,6,ENET_WIDE_R15,0.1877134667905226,0.18788975880929112,0.1877134667905226,0.0,2
2024-06,6,RF_RESIDUAL_R15,0.21894959849151577,0.21918946815752405,0.1877134667905226,0.03123613170099318,2
2024-06,6,BLEND_LINEAR_RF_R15,0.20333153264101916,0.2035383913811058,0.1877134667905226,0.015618065850496576,2
2024-06,6,BLEND_WIDE_STATE_R15,0.1877134667905226,0.18788975880929112,0.1877134667905226,0.0,2
2024-07,4,STATE_SLOW_R15,0.13039922256177677,0.13048427931509754,0.03258743347480253,0.09781178908697424,2
2024-07,4,STATE_MID_R15,0.03258743347480253,0.03259274375571732,0.03258743347480253,0.0,2
2024-07,4,STATE_FAST_R15,-0.06887598540001791,-0.06885227133793759,0.03258743347480253,-0.10146341887482044,2
2024-07,4,STATE_ADAPT_R15,-0.06887598540001791,-0.06885227133793759,0.03258743347480253,-0.10146341887482044,2
2024-07,4,ENET_DOMESTIC_R15,0.03258743347480253,0.03259274375571732,0.03258743347480253,0.0,2
2024-07,4,ENET_IMPORTED_R15,0.03258743347480253,0.03259274375571732,0.03258743347480253,0.0,2
2024-07,4,ENET_BOTH_R15,0.03258743347480253,0.03259274375571732,0.03258743347480253,0.0,2
2024-07,4,ENET_WIDE_R15,0.03258743347480253,0.03259274375571732,0.03258743347480253,0.0,2
2024-07,4,RF_RESIDUAL_R15,0.01609669811321158,0.016097993701177014,0.03258743347480253,-0.01649073536159095,2
2024-07,4,BLEND_LINEAR_RF_R15,0.024342065794007054,0.024345028715249854,0.03258743347480253,-0.008245367680795476,2
2024-07,4,BLEND_WIDE_STATE_R15,0.03258743347480253,0.03259274375571732,0.03258743347480253,0.0,2
2024-07,5,STATE_SLOW_R15,0.24353981866065144,0.24383661776944793,0.14089005738872545,0.10264976127192599,2
2024-07,5,STATE_MID_R15,0.14089005738872545,0.14098935405764945,0.14089005738872545,0.0,2
2024-07,5,STATE_FAST_R15,0.034617969741661356,0.034623962452304834,0.14089005738872545,-0.1062720876470641,2
2024-07,5,STATE_ADAPT_R15,0.034617969741661356,0.034623962452304834,0.14089005738872545,-0.1062720876470641,2
2024-07,5,ENET_DOMESTIC_R15,0.14089005738872545,0.14098935405764945,0.14089005738872545,0.0,2
2024-07,5,ENET_IMPORTED_R15,0.14089005738872545,0.14098935405764945,0.14089005738872545,0.0,2
2024-07,5,ENET_BOTH_R15,0.14089005738872545,0.14098935405764945,0.14089005738872545,0.0,2
2024-07,5,ENET_WIDE_R15,0.14089005738872545,0.14098935405764945,0.14089005738872545,0.0,2
2024-07,5,RF_RESIDUAL_R15,0.1243993220271345,0.12447673007877455,0.14089005738872545,-0.016490735361590958,2
2024-07,5,BLEND_LINEAR_RF_R15,0.13264468970792997,0.13273270168657197,0.14089005738872545,-0.008245367680795479,2
