edge,horizon,n_train,n_features,seconds
2020-04,7,209,70,3.022997399995802
2020-04,8,208,70,3.162187999987509
2020-04,9,207,70,3.104484900017269
2020-04,10,206,70,3.0401855000236537
2020-04,11,205,70,2.9991072999837343
2020-04,12,204,70,3.1552616999833845
2020-04,13,203,70,3.087809999997262
2020-05,1,216,70,3.177613600011682
2020-05,2,215,70,3.1575833999959286
2020-05,3,214,70,3.1653999000263866
2020-05,4,213,70,3.164372100000037
2020-05,5,212,70,3.104004199994961
2020-05,6,211,70,3.053889499977231
2020-05,7,210,70,3.063765200000489
2020-05,8,209,70,3.200305100006517
2020-05,9,208,70,3.1388223000103608
2020-05,10,207,70,2.9964393000118434
2020-05,11,206,70,2.9969016000104602
2020-05,12,205,70,3.207766500010621
2020-05,13,204,70,3.191018700017594
2020-06,1,217,70,3.24916479998501
2020-06,2,216,70,3.2378082999784965
2020-06,3,215,70,3.2903274999989662
2020-06,4,214,70,3.2579133000108413
2020-06,5,213,70,3.1433118999993894
2020-06,6,212,70,3.182648300018627
2020-06,7,211,70,3.174084699974628
2020-06,8,210,70,3.204492899996694
2020-06,9,209,70,3.2062664999975823
2020-06,10,208,70,3.090057399997022
2020-06,11,207,70,3.151256299985107
2020-06,12,206,70,3.203409100009594
2020-06,13,205,70,3.1656750999973156
2020-07,1,218,70,3.2523244000039995
2020-07,2,217,70,3.2452717999985907
2020-07,3,216,70,3.275790599989705
2020-07,4,215,70,3.2603805999970064
2020-07,5,214,70,3.258659000013722
2020-07,6,213,70,3.145003900019219
2020-07,7,212,70,3.1987520000257064
2020-07,8,211,70,3.3252440000069328
2020-07,9,210,70,3.3415375000040513
2020-07,10,209,70,3.0729794000217225
2020-07,11,208,70,3.1061205999867525
2020-07,12,207,70,3.266118799976539
2020-07,13,206,70,3.168732199992519
2020-08,1,219,70,3.2814844000095036
2020-08,2,218,70,3.2329116000037175
2020-08,3,217,70,3.2373331999988295
2020-08,4,216,70,3.224598500004504
2020-08,5,215,70,3.2302372000121977
2020-08,6,214,70,3.150572300015483
2020-08,7,213,70,3.125922100007301
2020-08,8,212,70,3.3018167999980506
2020-08,9,211,70,3.1881949999951757
2020-08,10,210,70,3.117181999987224
2020-08,11,209,70,3.099391999974614
2020-08,12,208,70,3.2300652000121772
2020-08,13,207,70,3.248947299987776
2020-09,1,220,70,3.302827100007562
2020-09,2,219,70,3.2462950000190176
2020-09,3,218,70,3.2855802999984007
2020-09,4,217,70,3.2279860000126064
2020-09,5,216,70,3.2066406999947503
2020-09,6,215,70,3.0954593000060413
2020-09,7,214,70,3.1411358999903314
2020-09,8,213,70,3.229667600011453
2020-09,9,212,70,3.256566099997144
2020-09,10,211,70,2.964577000006102
2020-09,11,210,70,3.1093407000007574
2020-09,12,209,70,3.2288109000073746
2020-09,13,208,70,3.1733325999812223
2020-10,1,221,70,3.310170799988555
2020-10,2,220,70,3.2319675000035204
2020-10,3,219,70,3.266807999985758
2020-10,4,218,70,3.2177253999980167
2020-10,5,217,70,3.197553899983177
2020-10,6,216,70,3.0953665999986697
2020-10,7,215,70,3.322962500009453
2020-10,8,214,70,3.415275200008182
2020-10,9,213,70,3.3900173000001814
2020-10,10,212,70,3.281901899987133
2020-10,11,211,70,3.254524899995886
2020-10,12,210,70,3.3834564999851864
2020-10,13,209,70,3.3072422000113875
2020-11,1,222,70,3.5457205999991857
2020-11,2,221,70,3.4784897999779787
2020-11,3,220,70,3.4720996000105515
2020-11,4,219,70,3.4085482000082266
2020-11,5,218,70,3.329345200007083
2020-11,6,217,70,3.26914879999822
2020-11,7,216,70,3.3795295000018086
2020-11,8,215,70,3.432107200002065
2020-11,9,214,70,3.328864099981729
2020-11,10,213,70,3.27384829998482
2020-11,11,212,70,3.078833499981556
2020-11,12,211,70,3.399374499975238
2020-11,13,210,70,3.354978499992285
2020-12,1,223,70,3.446881800016854
2020-12,2,222,70,3.516784399980679
2020-12,3,221,70,3.4633573000028264
2020-12,4,220,70,3.4114652999851387
2020-12,5,219,70,3.3729966999962926
2020-12,6,218,70,3.3042826000018977
2020-12,7,217,70,3.2392926999891642
2020-12,8,216,70,3.2344730000186246
2020-12,9,215,70,3.3476768999826163
2020-12,10,214,70,3.1071541999990586
2020-12,11,213,70,3.2222733999951743
2020-12,12,212,70,3.3509602999838535
2020-12,13,211,70,3.353100899985293
2021-01,1,224,70,3.3144792999955826
2021-01,2,223,70,3.327599000011105
2021-01,3,222,70,3.404814899986377
2021-01,4,221,70,3.291180500003975
2021-01,5,220,70,3.268115699989721
2021-01,6,219,70,3.210184900002787
2021-01,7,218,70,3.2322664000093937
2021-01,8,217,70,3.3997680000029504
2021-01,9,216,70,3.1625860999920405
2021-01,10,215,70,3.240991099999519
2021-01,11,214,70,3.1687582000158727
2021-01,12,213,70,3.285217399999965
2021-01,13,212,70,3.304637199995341
2021-02,1,225,70,3.327379700000165
2021-02,2,224,70,3.3581721000082325
2021-02,3,223,70,3.2801850000105333
2021-02,4,222,70,3.385659299994586
2021-02,5,221,70,3.253857399977278
2021-02,6,220,70,3.2399951000115834
2021-02,7,219,70,3.2377685000246856
2021-02,8,218,70,3.394221700000344
2021-02,9,217,70,3.3618728000146803
2021-02,10,216,70,3.247170999995433
2021-02,11,215,70,3.1226560000213794
2021-02,12,214,70,3.281474600022193
2021-02,13,213,70,3.326062299980549
2021-03,1,226,70,3.384884900006
2021-03,2,225,70,3.388046400010353
2021-03,3,224,70,3.326645399996778
2021-03,4,223,70,3.337032999988878
2021-03,5,222,70,3.300779599987436
2021-03,6,221,70,3.1145008000021335
2021-03,7,220,70,3.224906399991596
2021-03,8,219,70,3.460753299994394
2021-03,9,218,70,3.3734001999837346
2021-03,10,217,70,3.1954548000067007
2021-03,11,216,70,3.1372318000067025
2021-03,12,215,70,3.326035000005504
2021-03,13,214,70,3.2163243999821134
2021-04,1,227,70,3.3323191999807023
2021-04,2,226,70,3.4774411999969743
2021-04,3,225,70,3.3548165999818593
2021-04,4,224,70,3.2948810999805573
2021-04,5,223,70,3.354277300008107
2021-04,6,222,70,3.198413999984041
2021-04,7,221,70,3.2649838000070304
2021-04,8,220,70,3.4247846999787726
2021-04,9,219,70,3.3569305000128224
2021-04,10,218,70,3.2449828000098933
2021-04,11,217,70,3.2052819000091404
