run,sample,support,h,n,original_rmse,corrected_rmse,bridge_rmse
realtime_full_luci_month,full,paired_with_bridge,2,86,1.5944435621489728,1.649834468319233,1.294585199790152
realtime_full_luci_month,full,paired_with_bridge,3,84,1.8965218222955442,1.9548480632583307,1.5373220457297827
realtime_full_luci_month,full,paired_with_bridge,4,83,2.2399474029136432,2.2771101907262623,1.8237299080241298
realtime_full_luci_month,full,paired_with_bridge,5,82,2.53987491327973,2.5424078664325886,2.16847594258856
realtime_full_luci_month,full,paired_with_bridge,6,81,2.873858302176242,2.85881795159751,2.516379371214503
realtime_full_luci_month,full,paired_with_bridge,7,80,3.255423846962349,3.2235003645800093,2.9913320570711575
realtime_full_luci_month,full,paired_with_bridge,8,79,3.697034830876378,3.6437689288981168,3.333292762520484
realtime_full_luci_month,full,paired_with_bridge,9,78,4.1619877477326455,4.100678652340207,3.9216066990467007
realtime_full_luci_month,full,paired_with_bridge,10,77,4.65838926037339,4.58379840839259,4.498759705784156
realtime_full_luci_month,full,paired_with_bridge,11,76,5.118973284549878,5.039215879075434,5.002024433226823
realtime_full_luci_month,full,paired_with_bridge,12,75,5.5197598448534055,5.4312774352908715,5.394838562659049
realtime_full_luci_month,recent_origins,own_paired,0,31,0.21550552008746246,0.21550552008746238,
realtime_full_luci_month,recent_origins,own_paired,1,30,0.40125877861790504,0.4001329861975432,
realtime_full_luci_month,recent_origins,own_paired,2,29,0.4387180665676467,0.4260508022143496,
realtime_full_luci_month,recent_origins,own_paired,3,28,0.47834348181216246,0.468127466475458,
realtime_full_luci_month,recent_origins,own_paired,4,27,0.5826820248086241,0.560802052969103,
realtime_full_luci_month,recent_origins,own_paired,5,26,0.6429501918198406,0.6064660440323004,
realtime_full_luci_month,recent_origins,own_paired,6,25,0.71778972531115,0.7024037636802604,
realtime_full_luci_month,recent_origins,own_paired,7,24,0.8239940969232626,0.8108353101327106,
realtime_full_luci_month,recent_origins,own_paired,8,23,0.8062215928544629,0.7932596966213252,
realtime_full_luci_month,recent_origins,own_paired,9,22,0.8639018924755091,0.8874451271220343,
realtime_full_luci_month,recent_origins,own_paired,10,21,1.0613402705681836,1.064345699032128,
realtime_full_luci_month,recent_origins,own_paired,11,20,1.1492970848871327,1.1283250958733733,
realtime_full_luci_month,recent_origins,own_paired,12,19,1.1778503345391549,1.1544376876757334,
realtime_full_luci_month,recent_origins,paired_with_bridge,0,31,0.21550552008746246,0.21550552008746238,0.2155055200874624
realtime_full_luci_month,recent_origins,paired_with_bridge,1,30,0.40125877861790504,0.4001329861975432,0.3706842004653596
realtime_full_luci_month,recent_origins,paired_with_bridge,2,29,0.4387180665676467,0.4260508022143496,0.5248876310302573
realtime_full_luci_month,recent_origins,paired_with_bridge,3,28,0.47834348181216246,0.468127466475458,0.5690583679307833
realtime_full_luci_month,recent_origins,paired_with_bridge,4,27,0.5826820248086241,0.560802052969103,0.5352652969828926
realtime_full_luci_month,recent_origins,paired_with_bridge,5,26,0.6429501918198406,0.6064660440323004,0.5786540395945022
realtime_full_luci_month,recent_origins,paired_with_bridge,6,25,0.71778972531115,0.7024037636802604,0.6777098464569113
realtime_full_luci_month,recent_origins,paired_with_bridge,7,24,0.8239940969232626,0.8108353101327106,0.8168806387634664
realtime_full_luci_month,recent_origins,paired_with_bridge,8,23,0.8062215928544629,0.7932596966213252,0.9243030945141586
realtime_full_luci_month,recent_origins,paired_with_bridge,9,22,0.8639018924755091,0.8874451271220343,1.0047982648282663
realtime_full_luci_month,recent_origins,paired_with_bridge,10,21,1.0613402705681836,1.064345699032128,1.1538293889140367
realtime_full_luci_month,recent_origins,paired_with_bridge,11,20,1.1492970848871327,1.1283250958733733,1.285607500332528
realtime_full_luci_month,recent_origins,paired_with_bridge,12,19,1.1778503345391549,1.1544376876757334,1.3473085858350073
realtime_full_luci_month,recent_targets,own_paired,0,31,0.21550552008746246,0.21550552008746238,
realtime_full_luci_month,recent_targets,own_paired,1,31,0.40424495620234285,0.4013263252805644,
realtime_full_luci_month,recent_targets,own_paired,2,31,0.44342780994109887,0.4376063104758612,
realtime_full_luci_month,recent_targets,own_paired,3,31,0.48019911854078234,0.4774388205507308,
realtime_full_luci_month,recent_targets,own_paired,4,31,0.5940535389185375,0.5814156086184417,
realtime_full_luci_month,recent_targets,own_paired,5,31,0.6680427983711009,0.6661642531645652,
realtime_full_luci_month,recent_targets,own_paired,6,31,0.7308869367424121,0.7426047139500093,
realtime_full_luci_month,recent_targets,own_paired,7,31,0.7951601129726369,0.8022521673027545,
realtime_full_luci_month,recent_targets,own_paired,8,31,0.8948823449961288,0.8577872144225185,
realtime_full_luci_month,recent_targets,own_paired,9,31,1.324347770769072,1.229378289416465,
realtime_full_luci_month,recent_targets,own_paired,10,31,2.0984621343592913,1.9307263762258422,
realtime_full_luci_month,recent_targets,own_paired,11,31,3.0285076340234203,2.8282824776305318,
realtime_full_luci_month,recent_targets,own_paired,12,31,3.275877656447243,2.9693510579912012,
realtime_full_luci_month,recent_targets,paired_with_bridge,0,31,0.21550552008746246,0.21550552008746238,0.2155055200874624
realtime_full_luci_month,recent_targets,paired_with_bridge,1,31,0.40424495620234285,0.4013263252805644,0.3650457444440382
realtime_full_luci_month,recent_targets,paired_with_bridge,2,31,0.44342780994109887,0.4376063104758612,0.5094420770193966
