component,scope,sample,h,horizon_label,metric,model,n_rows_total,n_unavailable_targets,n_intended,n_scored,n_missing_forecasts,n_fallback,rmse,mae,bias
actual_rent,primary_control_calendar,full,2,h2,cumulative_pct,CATEGORY_AR_R17,90,2,88,88,0,0,0.3948386123889903,0.3121126714735319,-0.1149888641766866
actual_rent,primary_control_calendar,full,2,h2,cumulative_pct,CATEGORY_BOTH_R17,90,2,88,88,0,0,0.4024891668101888,0.31433264692764507,-0.025612320814778756
actual_rent,primary_control_calendar,full,2,h2,cumulative_pct,CATEGORY_DOMESTIC_R17,90,2,88,88,0,0,0.37991356539411303,0.3006728722513764,-0.06747269149004809
actual_rent,primary_control_calendar,full,2,h2,cumulative_pct,CATEGORY_IMPORTED_R17,90,2,88,88,0,0,0.4148588062052423,0.32557162555355573,-0.05304849527203544
actual_rent,primary_control_calendar,full,2,h2,cumulative_pct,CATEGORY_PERSISTENCE_R17,90,2,88,88,0,0,0.40429206998373607,0.3155464520061815,-0.052775612687297274
actual_rent,common,full,2,h2,cumulative_pct,CATEGORY_AR_R17,90,2,88,88,0,0,0.3948386123889903,0.3121126714735319,-0.1149888641766866
actual_rent,common,full,2,h2,cumulative_pct,CATEGORY_BOTH_R17,90,2,88,88,0,0,0.4024891668101888,0.31433264692764507,-0.025612320814778756
actual_rent,common,full,2,h2,cumulative_pct,CATEGORY_DOMESTIC_R17,90,2,88,88,0,0,0.37991356539411303,0.3006728722513764,-0.06747269149004809
actual_rent,common,full,2,h2,cumulative_pct,CATEGORY_IMPORTED_R17,90,2,88,88,0,0,0.4148588062052423,0.32557162555355573,-0.05304849527203544
actual_rent,common,full,2,h2,cumulative_pct,CATEGORY_PERSISTENCE_R17,90,2,88,88,0,0,0.40429206998373607,0.3155464520061815,-0.052775612687297274
actual_rent,primary_control_calendar,full,3,h3,mm,CATEGORY_AR_R17,90,3,87,87,0,0,0.2482382882388263,0.19027253043824338,-0.06777050659218986
actual_rent,primary_control_calendar,full,3,h3,mm,CATEGORY_BOTH_R17,90,3,87,87,0,0,0.243282940427494,0.18113609221572088,-0.02497579942481383
actual_rent,primary_control_calendar,full,3,h3,mm,CATEGORY_DOMESTIC_R17,90,3,87,87,0,0,0.237365429820045,0.17748967264670035,-0.04611519681319226
actual_rent,primary_control_calendar,full,3,h3,mm,CATEGORY_IMPORTED_R17,90,3,87,87,0,0,0.2515257210012238,0.18862016309823032,-0.037326471080836206
actual_rent,primary_control_calendar,full,3,h3,mm,CATEGORY_PERSISTENCE_R17,90,3,87,87,0,0,0.2439121073832527,0.1937669424136418,-0.029194584977402474
actual_rent,common,full,3,h3,mm,CATEGORY_AR_R17,90,3,87,87,0,0,0.2482382882388263,0.19027253043824338,-0.06777050659218986
actual_rent,common,full,3,h3,mm,CATEGORY_BOTH_R17,90,3,87,87,0,0,0.243282940427494,0.18113609221572088,-0.02497579942481383
actual_rent,common,full,3,h3,mm,CATEGORY_DOMESTIC_R17,90,3,87,87,0,0,0.237365429820045,0.17748967264670035,-0.04611519681319226
actual_rent,common,full,3,h3,mm,CATEGORY_IMPORTED_R17,90,3,87,87,0,0,0.2515257210012238,0.18862016309823032,-0.037326471080836206
actual_rent,common,full,3,h3,mm,CATEGORY_PERSISTENCE_R17,90,3,87,87,0,0,0.2439121073832527,0.1937669424136418,-0.029194584977402474
actual_rent,primary_control_calendar,full,3,h3,cumulative_log,CATEGORY_AR_R17,90,3,87,87,0,0,0.5143398953769145,0.43236600592596847,-0.18299734470535134
actual_rent,primary_control_calendar,full,3,h3,cumulative_log,CATEGORY_BOTH_R17,90,3,87,87,0,0,0.5143652269932627,0.4163054385106311,-0.05250120781580977
actual_rent,primary_control_calendar,full,3,h3,cumulative_log,CATEGORY_DOMESTIC_R17,90,3,87,87,0,0,0.48155565814420526,0.39805776727497,-0.11434645097797111
actual_rent,primary_control_calendar,full,3,h3,cumulative_log,CATEGORY_IMPORTED_R17,90,3,87,87,0,0,0.5404154325094864,0.4279261713801472,-0.0918118334606462
actual_rent,primary_control_calendar,full,3,h3,cumulative_log,CATEGORY_PERSISTENCE_R17,90,3,87,87,0,0,0.521244413656658,0.41917928309488955,-0.08260206569097076
actual_rent,common,full,3,h3,cumulative_log,CATEGORY_AR_R17,90,3,87,87,0,0,0.5143398953769145,0.43236600592596847,-0.18299734470535134
actual_rent,common,full,3,h3,cumulative_log,CATEGORY_BOTH_R17,90,3,87,87,0,0,0.5143652269932627,0.4163054385106311,-0.05250120781580977
