origin,target,h,model,pressure_family,core_mm_forecast,pressure_mm_forecast,statistical_remainder_forecast,definition,core_mm_actual,pressure_mm_actual,statistical_remainder_actual
2022-06,2023-03,9,MONTHLY_OWN_CORE_R17,persistence,0.8547330634897926,0.8489284200473759,0.005804643442416713,Statistical difference; not an uncovered core component,0.2,-0.09400796856817158,0.2940079685681716
2022-06,2023-04,10,MONTHLY_OWN_CORE_R17,persistence,1.2912263393611307,1.4625896871622661,-0.17136334780113538,Statistical difference; not an uncovered core component,0.2,-0.2423390758767625,0.4423390758767625
2022-06,2023-05,11,MONTHLY_OWN_CORE_R17,persistence,1.0859115718762653,1.6858119573405863,-0.599900385464321,Statistical difference; not an uncovered core component,0.1,0.21779503673596862,-0.11779503673596861
2022-06,2023-06,12,MONTHLY_OWN_CORE_R17,persistence,1.1114317897488677,1.7636251499412978,-0.6521933601924301,Statistical difference; not an uncovered core component,0.5,1.1054793949489883,-0.6054793949489883
2022-06,2022-07,1,MONTHLY_AR_CORE_R17,ar,1.6430859635593784,2.801079504698871,-1.1579935411394924,Statistical difference; not an uncovered core component,1.6,2.624657179148769,-1.024657179148769
2022-06,2022-08,2,MONTHLY_AR_CORE_R17,ar,1.1522795632186995,1.6434468120914678,-0.4911672488727683,Statistical difference; not an uncovered core component,0.9,1.0595612751503622,-0.15956127515036223
2022-06,2022-09,3,MONTHLY_AR_CORE_R17,ar,0.511487181034428,0.05875623167537798,0.45273094935905006,Statistical difference; not an uncovered core component,0.3,-0.6179745995423969,0.9179745995423969
2022-06,2022-10,4,MONTHLY_AR_CORE_R17,ar,1.4758692051397515,1.4265499356879647,0.049319269451786774,Statistical difference; not an uncovered core component,1.2,0.6219476037695909,0.578052396230409
2022-06,2022-11,5,MONTHLY_AR_CORE_R17,ar,1.03596160842167,1.0152490232868094,0.020712585134860628,Statistical difference; not an uncovered core component,0.4,0.31772009148469177,0.08227990851530825
2022-06,2022-12,6,MONTHLY_AR_CORE_R17,ar,1.1233248208603603,1.1130477471030076,0.010277073757352762,Statistical difference; not an uncovered core component,0.4,0.28357711503891087,0.11642288496108916
2022-06,2023-01,7,MONTHLY_AR_CORE_R17,ar,1.404733227917759,1.6331128801730754,-0.22837965225531653,Statistical difference; not an uncovered core component,0.8,0.8397509240262644,-0.039750924026264345
2022-06,2023-02,8,MONTHLY_AR_CORE_R17,ar,1.2530510405416633,1.0095048629683765,0.24354617757328678,Statistical difference; not an uncovered core component,0.7,0.3601865469187804,0.3398134530812196
2022-06,2023-03,9,MONTHLY_AR_CORE_R17,ar,0.8794712709080431,0.06735798387601567,0.8121132870320275,Statistical difference; not an uncovered core component,0.2,-0.09400796856817158,0.2940079685681716
2022-06,2023-04,10,MONTHLY_AR_CORE_R17,ar,1.3280706094566905,0.6441578543949624,0.6839127550617281,Statistical difference; not an uncovered core component,0.2,-0.2423390758767625,0.4423390758767625
2022-06,2023-05,11,MONTHLY_AR_CORE_R17,ar,1.0262304839960055,0.5592065736849432,0.4670239103110623,Statistical difference; not an uncovered core component,0.1,0.21779503673596862,-0.11779503673596861
2022-06,2023-06,12,MONTHLY_AR_CORE_R17,ar,0.7910292231725272,0.46036843255176263,0.3306607906207646,Statistical difference; not an uncovered core component,0.5,1.1054793949489883,-0.6054793949489883
2022-06,2022-07,1,MONTHLY_DOMESTIC_CORE_R17,domestic,1.6421068881177656,2.8363795196651935,-1.194272631547428,Statistical difference; not an uncovered core component,1.6,2.624657179148769,-1.024657179148769
2022-06,2022-08,2,MONTHLY_DOMESTIC_CORE_R17,domestic,1.151406977009024,1.6849737768180149,-0.5335667998089908,Statistical difference; not an uncovered core component,0.9,1.0595612751503622,-0.15956127515036223
2022-06,2022-09,3,MONTHLY_DOMESTIC_CORE_R17,domestic,0.5078811909181575,0.07611881590093397,0.4317623750172236,Statistical difference; not an uncovered core component,0.3,-0.6179745995423969,0.9179745995423969
2022-06,2022-10,4,MONTHLY_DOMESTIC_CORE_R17,domestic,1.4695405149669918,1.5317259015385787,-0.0621853865715869,Statistical difference; not an uncovered core component,1.2,0.6219476037695909,0.578052396230409
2022-06,2022-11,5,MONTHLY_DOMESTIC_CORE_R17,domestic,1.026512598017399,1.0680835823364072,-0.041570984319008186,Statistical difference; not an uncovered core component,0.4,0.31772009148469177,0.08227990851530825
2022-06,2022-12,6,MONTHLY_DOMESTIC_CORE_R17,domestic,1.1116852198017229,1.1662916732929334,-0.054606453491210516,Statistical difference; not an uncovered core component,0.4,0.28357711503891087,0.11642288496108916
2022-06,2023-01,7,MONTHLY_DOMESTIC_CORE_R17,domestic,1.3903043458673943,1.6488235847919013,-0.258519238924507,Statistical difference; not an uncovered core component,0.8,0.8397509240262644,-0.039750924026264345
2022-06,2023-02,8,MONTHLY_DOMESTIC_CORE_R17,domestic,1.2295725134439737,1.0196989125404121,0.20987360090356155,Statistical difference; not an uncovered core component,0.7,0.3601865469187804,0.3398134530812196
2022-06,2023-03,9,MONTHLY_DOMESTIC_CORE_R17,domestic,0.8448099860727688,0.08094405940943762,0.7638659266633312,Statistical difference; not an uncovered core component,0.2,-0.09400796856817158,0.2940079685681716
2022-06,2023-04,10,MONTHLY_DOMESTIC_CORE_R17,domestic,1.274680929289754,0.7051479093516471,0.569533019938107,Statistical difference; not an uncovered core component,0.2,-0.2423390758767625,0.4423390758767625
2022-06,2023-05,11,MONTHLY_DOMESTIC_CORE_R17,domestic,1.0666940159189628,0.6749993436085765,0.39169467231038635,Statistical difference; not an uncovered core component,0.1,0.21779503673596862,-0.11779503673596861
