date,product,actual_gross,reconstructed_gross,difference
2010-12-06,diesel,31.18504617999997,31.18508425199998,3.8072000013045226e-05
2010-12-13,diesel,32.10606256000002,32.106000768000015,-6.179200000389073e-05
2010-12-20,diesel,32.106004050000024,32.106031260000016,2.7209999991839595e-05
2011-01-03,diesel,32.78399488000002,32.78390400000001,-9.088000001611363e-05
2011-01-10,diesel,32.617930799999975,32.61803270399998,0.00010190400000453792
2011-01-17,diesel,32.784111999999986,32.78389337999999,-0.00021861999999828186
2011-01-24,diesel,32.93008992000003,32.93002303200001,-6.68880000205263e-05
2011-01-31,diesel,32.742955790000025,32.74289876400001,-5.7026000014559486e-05
2011-02-07,diesel,32.62592220000001,32.62601292000001,9.071999999576974e-05
2011-02-14,diesel,32.76911290000002,32.768895900000004,-0.00021700000001345643
2011-02-21,diesel,32.84391446000003,32.84385396000002,-6.050000001067701e-05
2011-02-28,diesel,33.122028240000006,33.121928736,-9.9504000004913e-05
2011-03-07,diesel,33.569968200000005,33.570076512,0.00010831199999472574
2011-03-14,diesel,33.839068179999984,33.83906296799999,-5.2119999907063175e-06
2011-03-21,diesel,33.90611785,33.906123636,5.785999995566726e-06
2011-03-28,diesel,33.89609186999997,33.89601509999998,-7.67699999926208e-05
2011-04-04,diesel,33.908897360000005,33.908991672,9.43119999945452e-05
2011-04-11,diesel,34.357076100000036,34.35710598000002,2.987999998538271e-05
2011-04-18,diesel,34.74896456000004,34.74897868800002,1.4127999982349593e-05
2011-05-02,diesel,34.62899524999996,34.628867399999976,-0.00012784999998416424
2011-05-09,diesel,34.5849768,34.58507904,0.00010223999999681155
2011-05-16,diesel,34.475121039999976,34.474954295999986,-0.00016674399999061507
2011-05-23,diesel,34.32605549999997,34.32597227999998,-8.321999998628371e-05
2011-05-30,diesel,34.20598585000001,34.206073716000006,8.786599999410782e-05
2011-06-06,diesel,34.370952459999955,34.37099911199997,4.665200001596759e-05
2011-06-13,diesel,34.30991232000004,34.31003832000002,0.00012599999998030853
2011-06-20,diesel,34.15593375000003,34.15596300000002,2.9249999990099695e-05
2011-06-27,diesel,34.13300858000004,34.13294049600002,-6.80840000200078e-05
2011-07-04,diesel,34.13292575999997,34.133089487999975,0.00016372800000397092
2011-07-11,diesel,33.933970200000005,33.934026239999994,5.60399999898209e-05
2011-07-18,diesel,34.19604195000004,34.19604828000002,6.329999983734069e-06
2011-07-25,diesel,34.87508388000003,34.87497580800001,-0.00010807200001750061
2011-08-01,diesel,34.77904479999999,34.77904895999999,4.16000000313943e-06
2011-08-08,diesel,34.65109160000002,34.65101827200001,-7.332800001336182e-05
2011-08-22,diesel,34.004121760000004,34.003921176,-0.0002005840000052217
2011-08-29,diesel,33.88509563999999,33.88500806399999,-8.757599999853483e-05
2011-09-05,diesel,33.70594518,33.705986184,4.1003999996291896e-05
2011-09-12,diesel,34.538991779999996,34.53887808,-0.00011369999999288893
2011-09-19,diesel,34.66894170000003,34.66888596000001,-5.5740000021842206e-05
2011-09-26,diesel,34.60002525000003,34.60014360000002,0.00011834999998683315
2011-10-03,diesel,34.59609313999996,34.59608085599997,-1.228399998609575e-05
2011-10-10,diesel,34.50912360000002,34.50888432000001,-0.00023928000000950078
