period,model,block,prediction,weight,contribution,units
2019-06,POOL_48,accommodation,0.407527837078061,0.007778524,0.0031699650613797874,headline percentage-point projection
2019-06,POOL_48,package_holidays,3.513725542423379,0.019182249,0.06740115827242532,headline percentage-point projection
2019-06,POOL_48,remaining_core_tax_reconciliation,-0.08127990603546985,0.33552260819602475,-0.027271246066948657,headline percentage-point projection
2019-07,POOL_SEPARATE,actual_rent,0.3987554210322053,0.033660201,0.013422187621783658,headline percentage-point projection
2019-07,POOL_SEPARATE,imputed_rent,0.35578030152809287,0.10385733600000001,0.036950394317984456,headline percentage-point projection
2019-07,POOL_SEPARATE,catering,0.3008886549880837,0.051351304,0.015451024792444203,headline percentage-point projection
2019-07,POOL_SEPARATE,accommodation,1.167813844537243,0.007778524,0.009083868017265214,headline percentage-point projection
2019-07,POOL_SEPARATE,package_holidays,20.25691934182397,0.019182249,0.3885732707877835,headline percentage-point projection
2019-07,POOL_SEPARATE,remaining_core_tax_reconciliation,-0.09242263636530784,0.3353070703062552,-0.030989963429631732,headline percentage-point projection
2019-07,POOL_12,actual_rent,0.40460683768711847,0.033660201,0.013619147482522784,headline percentage-point projection
2019-07,POOL_12,imputed_rent,0.33885471606630124,0.10385733600000001,0.03519254810168245,headline percentage-point projection
2019-07,POOL_12,catering,0.3207773166127782,0.051351304,0.016472333501687024,headline percentage-point projection
2019-07,POOL_12,accommodation,1.0876736896245727,0.007778524,0.00846049589891329,headline percentage-point projection
2019-07,POOL_12,package_holidays,19.6609902043531,0.019182249,0.37714200968646205,headline percentage-point projection
2019-07,POOL_12,remaining_core_tax_reconciliation,-0.09761517549081469,0.3353070703062552,-0.03273105851125604,headline percentage-point projection
2019-07,POOL_48,actual_rent,0.4073085289045836,0.033660201,0.013710086951942594,headline percentage-point projection
2019-07,POOL_48,imputed_rent,0.30259388426124223,0.10385733600000001,0.03142659470926495,headline percentage-point projection
2019-07,POOL_48,catering,0.3376121806850731,0.051351304,0.017336825724462115,headline percentage-point projection
2019-07,POOL_48,accommodation,0.995940817317366,0.007778524,0.007746949550082747,headline percentage-point projection
2019-07,POOL_48,package_holidays,18.048204374730343,0.019182249,0.3462051503189667,headline percentage-point projection
2019-07,POOL_48,remaining_core_tax_reconciliation,-0.10519470390357513,0.3353070703062552,-0.035272527977641764,headline percentage-point projection
2019-08,POOL_SEPARATE,actual_rent,0.47836229249560724,0.033660201,0.016101770916222932,headline percentage-point projection
2019-08,POOL_SEPARATE,imputed_rent,0.7355486877622672,0.10385733600000001,0.07639212720928489,headline percentage-point projection
2019-08,POOL_SEPARATE,catering,0.231327595789467,0.051351304,0.01187897369497404,headline percentage-point projection
2019-08,POOL_SEPARATE,accommodation,0.2977784361305047,0.007778524,0.002316276712123598,headline percentage-point projection
2019-08,POOL_SEPARATE,package_holidays,2.157043634873496,0.019182249,0.041376948108008474,headline percentage-point projection
2019-08,POOL_SEPARATE,remaining_core_tax_reconciliation,-0.18141220036983405,0.334665511585692,-0.06071240684465658,headline percentage-point projection
2019-08,POOL_12,actual_rent,0.4690891460403047,0.033660201,0.015789634942635012,headline percentage-point projection
2019-08,POOL_12,imputed_rent,0.6985766363908217,0.10385733600000001,0.0725523084473914,headline percentage-point projection
2019-08,POOL_12,catering,0.27601771891755283,0.051351304,0.014173869793521806,headline percentage-point projection
2019-08,POOL_12,accommodation,0.3398091794682904,0.007778524,0.002643213857914404,headline percentage-point projection
2019-08,POOL_12,package_holidays,3.856067713664049,0.019182249,0.07396805104436449,headline percentage-point projection
2019-08,POOL_12,remaining_core_tax_reconciliation,-0.16692906076811534,0.334665511585692,-0.05586539952048039,headline percentage-point projection
2019-08,POOL_48,actual_rent,0.45826572785971054,0.033660201,0.015425316511169157,headline percentage-point projection
2019-08,POOL_48,imputed_rent,0.6207371792141351,0.10385733600000001,0.06446810978933465,headline percentage-point projection
2019-08,POOL_48,catering,0.2947464102739349,0.051351304,0.015135612516885553,headline percentage-point projection
2019-08,POOL_48,accommodation,0.3690177001215068,0.007778524,0.002870413036819944,headline percentage-point projection
2019-08,POOL_48,package_holidays,5.357754068565651,0.019182249,0.10277377262398937,headline percentage-point projection
2019-08,POOL_48,remaining_core_tax_reconciliation,-0.1413253815894972,0.334665511585692,-0.047296731129692224,headline percentage-point projection
2019-09,POOL_SEPARATE,actual_rent,0.21838759216196635,0.033660201,0.007350970248077812,headline percentage-point projection
2019-09,POOL_SEPARATE,imputed_rent,0.38661154169485923,0.10385733600000001,0.04015244478728101,headline percentage-point projection
2019-09,POOL_SEPARATE,catering,0.4273951260179243,0.051351304,0.02194729704426474,headline percentage-point projection
2019-09,POOL_SEPARATE,accommodation,-0.7008650246349726,0.007778524,-0.005451695414883726,headline percentage-point projection
