origin,h,model,target,as_of_utc,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,row_present,headline_yy_forecast_finite,headline_yy_actual_finite,headline_mm_forecast_finite,headline_mm_actual_finite,headline_cumulative_log_forecast_finite,headline_cumulative_log_actual_finite,core_mm_forecast_finite,core_mm_actual_finite,core_cumulative_log_forecast_finite,core_cumulative_log_actual_finite,status,origin_status,converged,fallback_used
2019-03,8,INDEPENDENT_BRIDGE,2019-11,2019-04-09T21:59:00+00:00,0.04815749054553061,0.2754820936639035,3.116147308781873,,,1.5690215743087381,0.04381639564394403,0.0,1.3908790171080596,1.6876691123659002,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,9,INDEPENDENT_BRIDGE,2019-12,2019-04-09T21:59:00+00:00,0.07155023305884053,0.1831501831501825,3.207547169811327,,,1.752004242016354,0.1820136100610109,0.1,1.5727271831212024,1.7876191456742536,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,10,INDEPENDENT_BRIDGE,2020-01,2019-04-09T21:59:00+00:00,0.8775281768515804,1.4625228519195457,3.6414565826330487,,,3.2039353744616688,0.4997148737969213,0.8,2.071197626157904,2.584436110591941,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,11,INDEPENDENT_BRIDGE,2020-02,2019-04-09T21:59:00+00:00,0.2469877599091953,0.2702702702702675,3.7278657968313063,,,3.473841071378167,0.3769991737179563,0.7,2.4474879390320274,3.2819974842344655,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,12,INDEPENDENT_BRIDGE,2020-03,2019-04-09T21:59:00+00:00,0.03107533707456992,-0.0898472596585708,3.4418604651162905,,,3.3839534248764616,0.11320731354723074,-0.3,2.560631221420802,2.9815465822045932,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,3,INDEPENDENT_BRIDGE,2019-07,2019-05-12T21:59:00+00:00,,0.3686635944700533,2.9300567107750517,,,1.200938221123085,0.45135137876842224,1.0,0.6508872593455584,1.3945340166050095,True,False,True,False,True,False,True,True,True,True,True,failed_nonfinite,failed_nonfinite,False,True
2019-04,4,INDEPENDENT_BRIDGE,2019-08,2019-05-12T21:59:00+00:00,-0.030205687988361082,0.0918273645546419,2.9272898961284195,,,1.2927234501459808,0.1615749783377713,0.2,0.8123318457501354,1.5943342828723153,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,5,INDEPENDENT_BRIDGE,2019-09,2019-05-12T21:59:00+00:00,-0.1611807895771693,-0.5504587155963248,2.6515151515151705,,,0.7407441277861999,-0.44184578111979605,-0.9,0.3695070412455013,0.6902598176574088,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,6,INDEPENDENT_BRIDGE,2019-10,2019-05-12T21:59:00+00:00,0.23797785127099852,0.4612546125461358,2.735849056603792,,,1.2009382211231054,0.2560405243311977,0.6,0.62522034026013,1.288466985412155,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,7,INDEPENDENT_BRIDGE,2019-11,2019-05-12T21:59:00+00:00,-0.016486896454371666,0.2754820936639035,3.116147308781873,,,1.4760415583120852,-0.0734923028746148,0.0,0.551701018553954,1.288466985412155,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,8,INDEPENDENT_BRIDGE,2019-12,2019-05-12T21:59:00+00:00,0.018417015911927147,0.1831501831501825,3.207547169811327,,,1.6590242260197012,0.08585692877494913,0.1,0.6375211113504619,1.3884170187205085,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,9,INDEPENDENT_BRIDGE,2020-01,2019-05-12T21:59:00+00:00,0.729687086538439,1.4625228519195457,3.6414565826330487,,,3.110955358465016,0.23056064978078672,0.8,0.867816377899703,2.185233983638196,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,10,INDEPENDENT_BRIDGE,2020-02,2019-05-12T21:59:00+00:00,0.12881668535093577,0.2702702702702675,3.7278657968313063,,,3.3808610553815144,0.16294126070584194,0.7,1.0306250333595737,2.8827953572807203,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,11,INDEPENDENT_BRIDGE,2020-03,2019-05-12T21:59:00+00:00,-0.0858135457289312,-0.0898472596585708,3.4418604651162905,,,3.290973408879809,-0.13907771357592583,-0.3,0.8914505169670743,2.582344455250848,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-04,12,INDEPENDENT_BRIDGE,2020-04,2019-05-12T21:59:00+00:00,0.23588406478368276,-0.1798561151079125,3.159851301115256,,,3.1109553584650236,0.2862393560757381,0.2,1.1772809882715696,2.782144721518154,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
