scope,sample,model,band,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,origins_2019_2021,TRANSMISSION_SERVICES_R16,4,35,30,0.4666666666666667,0.13333333333333333,13,8
all_models_common,origins_2022_2023,BLEND_DAMPED_TRANSMISSION_R16,2,24,20,0.25,0.05,9,8
all_models_common,origins_2022_2023,DAMPED_ADAPT_R16,2,24,20,0.55,0.15,4,1
all_models_common,origins_2022_2023,DAMPED_P80_Q001_R16,2,24,20,0.7,0.15,6,3
all_models_common,origins_2022_2023,DAMPED_P80_Q010_R16,2,24,20,0.65,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,2,24,20,0.2,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P95_Q010_R16,2,24,20,0.35,0.3,21,11
all_models_common,origins_2022_2023,INDEPENDENT_BRIDGE,2,24,20,0.4,0.25,17,11
all_models_common,origins_2022_2023,RF_RESIDUAL_R15,2,24,20,0.5,0.3,20,10
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,2,24,20,0.25,0.0,0,0
all_models_common,origins_2022_2023,STABLE_PIPELINE_R14B,2,24,20,0.4,0.25,17,11
all_models_common,origins_2022_2023,STATE_FAST_R15,2,24,20,0.65,0.0,0,0
all_models_common,origins_2022_2023,TRANSMISSION_BOTH_R16,2,24,20,0.25,0.05,11,10
all_models_common,origins_2022_2023,TRANSMISSION_GOODS_R16,2,24,20,0.25,0.05,11,10
all_models_common,origins_2022_2023,TRANSMISSION_OWN_R16,2,24,20,0.65,0.1,4,2
all_models_common,origins_2022_2023,TRANSMISSION_SERVICES_R16,2,24,20,0.65,0.25,7,2
all_models_common,origins_2022_2023,BLEND_DAMPED_TRANSMISSION_R16,3,24,19,0.7894736842105263,0.5789473684210527,14,1
all_models_common,origins_2022_2023,DAMPED_ADAPT_R16,3,24,19,0.7368421052631579,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P80_Q001_R16,3,24,19,0.7368421052631579,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P80_Q010_R16,3,24,19,0.7894736842105263,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,3,24,19,0.15789473684210525,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P95_Q010_R16,3,24,19,0.21052631578947367,0.21052631578947367,21,13
