origin,stage,family,band,config,status,n_train,columns,means,scales,coefficients,intercept,lambda_value,converged,train_first,train_last,training_origins,last_training_target
2007-12,signal,services,0,l1,insufficient_history,20,[],{},{},{},,1.0,False,2006-01,2007-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08']",2007-11
2008-01,signal,services,0,l1,insufficient_history,21,[],{},{},{},,1.0,False,2006-01,2007-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09']",2007-12
2008-02,signal,services,0,l1,insufficient_history,22,[],{},{},{},,1.0,False,2006-01,2007-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10']",2008-01
2008-03,signal,services,0,l1,insufficient_history,23,[],{},{},{},,1.0,False,2006-01,2007-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11']",2008-02
2008-04,signal,services,0,l1,insufficient_history,24,[],{},{},{},,1.0,False,2006-01,2007-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12']",2008-03
2008-05,signal,services,0,l1,insufficient_history,25,[],{},{},{},,1.0,False,2006-01,2008-01,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01']",2008-04
2008-06,signal,services,0,l1,insufficient_history,26,[],{},{},{},,1.0,False,2006-01,2008-02,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02']",2008-05
2008-07,signal,services,0,l1,insufficient_history,27,[],{},{},{},,1.0,False,2006-01,2008-03,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03']",2008-06
2008-08,signal,services,0,l1,insufficient_history,28,[],{},{},{},,1.0,False,2006-01,2008-04,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04']",2008-07
2008-09,signal,services,0,l1,insufficient_history,29,[],{},{},{},,1.0,False,2006-01,2008-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05']",2008-08
2008-10,signal,services,0,l1,insufficient_history,30,[],{},{},{},,1.0,False,2006-01,2008-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06']",2008-09
2008-11,signal,services,0,l1,insufficient_history,31,[],{},{},{},,1.0,False,2006-01,2008-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07']",2008-10
2008-12,signal,services,0,l1,insufficient_history,32,[],{},{},{},,1.0,False,2006-01,2008-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08']",2008-11
2009-01,signal,services,0,l1,insufficient_history,33,[],{},{},{},,1.0,False,2006-01,2008-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09']",2008-12
2009-02,signal,services,0,l1,insufficient_history,34,[],{},{},{},,1.0,False,2006-01,2008-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10']",2009-01
2009-03,signal,services,0,l1,insufficient_history,35,[],{},{},{},,1.0,False,2006-01,2008-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11']",2009-02
2009-04,signal,services,0,l1,insufficient_history,36,[],{},{},{},,1.0,False,2006-01,2008-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12']",2009-03
2009-05,signal,services,0,l1,insufficient_history,37,[],{},{},{},,1.0,False,2006-01,2009-01,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01']",2009-04
2009-06,signal,services,0,l1,insufficient_history,38,[],{},{},{},,1.0,False,2006-01,2009-02,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02']",2009-05
2009-07,signal,services,0,l1,insufficient_history,39,[],{},{},{},,1.0,False,2006-01,2009-03,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03']",2009-06
2009-08,signal,services,0,l1,insufficient_history,40,[],{},{},{},,1.0,False,2006-01,2009-04,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04']",2009-07
2009-09,signal,services,0,l1,insufficient_history,41,[],{},{},{},,1.0,False,2006-01,2009-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04', '2009-05']",2009-08
2009-10,signal,services,0,l1,insufficient_history,42,[],{},{},{},,1.0,False,2006-01,2009-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04', '2009-05', '2009-06']",2009-09
2009-11,signal,services,0,l1,insufficient_history,43,[],{},{},{},,1.0,False,2006-01,2009-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04', '2009-05', '2009-06', '2009-07']",2009-10
2009-12,signal,services,0,l1,insufficient_history,44,[],{},{},{},,1.0,False,2006-01,2009-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04', '2009-05', '2009-06', '2009-07', '2009-08']",2009-11
2010-01,signal,services,0,l1,insufficient_history,45,[],{},{},{},,1.0,False,2006-01,2009-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04', '2009-05', '2009-06', '2009-07', '2009-08', '2009-09']",2009-12
2010-02,signal,services,0,l1,insufficient_history,46,[],{},{},{},,1.0,False,2006-01,2009-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04', '2009-05', '2009-06', '2009-07', '2009-08', '2009-09', '2009-10']",2010-01
2010-03,signal,services,0,l1,insufficient_history,47,[],{},{},{},,1.0,False,2006-01,2009-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12', '2009-01', '2009-02', '2009-03', '2009-04', '2009-05', '2009-06', '2009-07', '2009-08', '2009-09', '2009-10', '2009-11']",2010-02
2006-01,signal,goods,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-02,signal,goods,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-03,signal,goods,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-04,signal,goods,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-05,signal,goods,0,l1,insufficient_history,1,[],{},{},{},,1.0,False,2006-01,2006-01,['2006-01'],2006-04
2006-06,signal,goods,0,l1,insufficient_history,2,[],{},{},{},,1.0,False,2006-01,2006-02,"['2006-01', '2006-02']",2006-05
2006-07,signal,goods,0,l1,insufficient_history,3,[],{},{},{},,1.0,False,2006-01,2006-03,"['2006-01', '2006-02', '2006-03']",2006-06
2006-08,signal,goods,0,l1,insufficient_history,4,[],{},{},{},,1.0,False,2006-01,2006-04,"['2006-01', '2006-02', '2006-03', '2006-04']",2006-07
2006-09,signal,goods,0,l1,insufficient_history,5,[],{},{},{},,1.0,False,2006-01,2006-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05']",2006-08
2006-10,signal,goods,0,l1,insufficient_history,6,[],{},{},{},,1.0,False,2006-01,2006-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06']",2006-09
2006-11,signal,goods,0,l1,insufficient_history,7,[],{},{},{},,1.0,False,2006-01,2006-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07']",2006-10
2006-12,signal,goods,0,l1,insufficient_history,8,[],{},{},{},,1.0,False,2006-01,2006-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08']",2006-11
2007-01,signal,goods,0,l1,insufficient_history,9,[],{},{},{},,1.0,False,2006-01,2006-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09']",2006-12
2007-02,signal,goods,0,l1,insufficient_history,10,[],{},{},{},,1.0,False,2006-01,2006-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10']",2007-01
2007-03,signal,goods,0,l1,insufficient_history,11,[],{},{},{},,1.0,False,2006-01,2006-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11']",2007-02
2007-04,signal,goods,0,l1,insufficient_history,12,[],{},{},{},,1.0,False,2006-01,2006-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12']",2007-03
2007-05,signal,goods,0,l1,insufficient_history,13,[],{},{},{},,1.0,False,2006-01,2007-01,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01']",2007-04
2007-06,signal,goods,0,l1,insufficient_history,14,[],{},{},{},,1.0,False,2006-01,2007-02,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02']",2007-05
2007-07,signal,goods,0,l1,insufficient_history,15,[],{},{},{},,1.0,False,2006-01,2007-03,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03']",2007-06
2007-08,signal,goods,0,l1,insufficient_history,16,[],{},{},{},,1.0,False,2006-01,2007-04,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04']",2007-07
2007-09,signal,goods,0,l1,insufficient_history,17,[],{},{},{},,1.0,False,2006-01,2007-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05']",2007-08
2007-10,signal,goods,0,l1,insufficient_history,18,[],{},{},{},,1.0,False,2006-01,2007-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06']",2007-09
2007-11,signal,goods,0,l1,insufficient_history,19,[],{},{},{},,1.0,False,2006-01,2007-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07']",2007-10
2007-12,signal,goods,0,l1,insufficient_history,20,[],{},{},{},,1.0,False,2006-01,2007-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08']",2007-11
2008-01,signal,goods,0,l1,insufficient_history,21,[],{},{},{},,1.0,False,2006-01,2007-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09']",2007-12
2008-02,signal,goods,0,l1,insufficient_history,22,[],{},{},{},,1.0,False,2006-01,2007-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10']",2008-01
2008-03,signal,goods,0,l1,insufficient_history,23,[],{},{},{},,1.0,False,2006-01,2007-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11']",2008-02
2008-04,signal,goods,0,l1,insufficient_history,24,[],{},{},{},,1.0,False,2006-01,2007-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12']",2008-03
2008-05,signal,goods,0,l1,insufficient_history,25,[],{},{},{},,1.0,False,2006-01,2008-01,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01']",2008-04
2008-06,signal,goods,0,l1,insufficient_history,26,[],{},{},{},,1.0,False,2006-01,2008-02,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02']",2008-05
2008-07,signal,goods,0,l1,insufficient_history,27,[],{},{},{},,1.0,False,2006-01,2008-03,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03']",2008-06
2008-08,signal,goods,0,l1,insufficient_history,28,[],{},{},{},,1.0,False,2006-01,2008-04,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04']",2008-07
