stage,family,band,config,reason,n,share_within_stage_family_band,sample
core,services,3,l10,minimum_prior_mse,17,0.08542713567839195,all_saved_origins
signal,goods,0,l0.1,minimum_prior_mse,61,0.24696356275303644,all_saved_origins
signal,goods,0,l1,insufficient_validation,78,0.3157894736842105,all_saved_origins
signal,goods,0,l1,minimum_prior_mse,5,0.020242914979757085,all_saved_origins
signal,goods,0,l10,minimum_prior_mse,103,0.41700404858299595,all_saved_origins
signal,goods,1,l0.1,minimum_prior_mse,14,0.05668016194331984,all_saved_origins
signal,goods,1,l1,insufficient_validation,84,0.340080971659919,all_saved_origins
signal,goods,1,l1,minimum_prior_mse,6,0.024291497975708502,all_saved_origins
signal,goods,1,l10,minimum_prior_mse,143,0.5789473684210527,all_saved_origins
signal,goods,2,l0.1,minimum_prior_mse,12,0.048582995951417005,all_saved_origins
signal,goods,2,l1,insufficient_validation,90,0.3643724696356275,all_saved_origins
signal,goods,2,l1,minimum_prior_mse,27,0.10931174089068826,all_saved_origins
signal,goods,2,l10,minimum_prior_mse,118,0.4777327935222672,all_saved_origins
signal,goods,3,l0.1,minimum_prior_mse,1,0.004048582995951417,all_saved_origins
signal,goods,3,l1,insufficient_validation,96,0.38866396761133604,all_saved_origins
signal,goods,3,l1,minimum_prior_mse,28,0.11336032388663968,all_saved_origins
signal,goods,3,l10,minimum_prior_mse,122,0.4939271255060729,all_saved_origins
signal,services,0,l0.1,minimum_prior_mse,77,0.3117408906882591,all_saved_origins
signal,services,0,l1,insufficient_validation,78,0.3157894736842105,all_saved_origins
signal,services,0,l1,minimum_prior_mse,7,0.02834008097165992,all_saved_origins
signal,services,0,l10,minimum_prior_mse,85,0.3441295546558704,all_saved_origins
signal,services,1,l0.1,minimum_prior_mse,67,0.27125506072874495,all_saved_origins
signal,services,1,l1,insufficient_validation,84,0.340080971659919,all_saved_origins
signal,services,1,l1,minimum_prior_mse,35,0.1417004048582996,all_saved_origins
signal,services,1,l10,minimum_prior_mse,61,0.24696356275303644,all_saved_origins
signal,services,2,l0.1,minimum_prior_mse,58,0.23481781376518218,all_saved_origins
signal,services,2,l1,insufficient_validation,90,0.3643724696356275,all_saved_origins
signal,services,2,l1,minimum_prior_mse,37,0.14979757085020243,all_saved_origins
signal,services,2,l10,minimum_prior_mse,62,0.25101214574898784,all_saved_origins
signal,services,3,l0.1,minimum_prior_mse,24,0.09716599190283401,all_saved_origins
signal,services,3,l1,insufficient_validation,96,0.38866396761133604,all_saved_origins
signal,services,3,l1,minimum_prior_mse,79,0.31983805668016196,all_saved_origins
signal,services,3,l10,minimum_prior_mse,48,0.19433198380566802,all_saved_origins
slope,whole_path,all,p80_q001,minimum_prior_mse,73,0.8111111111111111,all_saved_origins
slope,whole_path,all,p80_q010,minimum_prior_mse,10,0.1111111111111111,all_saved_origins
slope,whole_path,all,p95_q001,minimum_prior_mse,7,0.07777777777777778,all_saved_origins
