origin,h,model,core_log,core_mm,fast_core_log,correction_log,band
2019-08,8,TRANSMISSION_SERVICES_R16,0.5238034675082877,0.5251777162776573,0.6060412489382934,-0.08223778143000571,3
2019-08,9,TRANSMISSION_SERVICES_R16,0.22195745959414104,0.22220396751065252,0.30419524102414675,-0.08223778143000571,3
2019-09,7,TRANSMISSION_SERVICES_R16,0.4730273419760256,0.4741478824315392,0.5491574606327472,-0.07613011865672159,3
2019-09,8,TRANSMISSION_SERVICES_R16,0.17184147254498824,0.17198920461295472,0.2479715912017098,-0.07613011865672156,3
2019-09,9,TRANSMISSION_SERVICES_R16,0.258651339501788,0.2589861306639669,0.3347814581585095,-0.07613011865672153,3
2019-10,7,TRANSMISSION_SERVICES_R16,0.08630881425481005,0.08634607102975633,0.034535643564036905,0.05177317069077314,3
2019-10,8,TRANSMISSION_SERVICES_R16,0.17559131361826352,0.17574556543640654,0.1238181429274904,0.051773170690773127,3
2019-10,9,TRANSMISSION_SERVICES_R16,0.48921042195329223,0.49040900987997155,0.4374372512625191,0.05177317069077314,3
2019-11,7,TRANSMISSION_SERVICES_R16,0.3595109950831678,0.3601580109931927,0.23620954648062806,0.12330144860253975,3
2019-11,8,TRANSMISSION_SERVICES_R16,0.6718252033389508,0.6740870111528008,0.5485237547364111,0.12330144860253966,3
2019-11,9,TRANSMISSION_SERVICES_R16,0.2924087624978994,0.2928366939211632,0.16910731389535957,0.1233014486025398,3
2019-12,7,TRANSMISSION_SERVICES_R16,0.6725040104276742,0.6747703963113707,0.5407310829733356,0.13177292745433855,3
2019-12,8,TRANSMISSION_SERVICES_R16,0.29318255395765175,0.29361275432878486,0.1614096265033132,0.13177292745433855,3
2019-12,9,TRANSMISSION_SERVICES_R16,-0.28566095435297034,-0.2852533316807456,-0.4174338818073088,0.13177292745433844,3
2020-01,7,TRANSMISSION_SERVICES_R16,0.16532137342758912,0.16545810454835622,0.12910922873749314,0.03621214469009598,3
2020-01,8,TRANSMISSION_SERVICES_R16,-0.4131506996650452,-0.4122984063178547,-0.44936284435514123,0.03621214469009604,3
