signal,band,sample,model,unit,scope,n_intended,n,mae,rmse,bias
goods,3,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,4.15280720726234,5.389224927610742,-4.15280720726234
goods,3,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,7.83885004359927,8.993244158647963,7.0148223033973105
goods,3,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,6.9316887410866554,7.875911326567024,6.009734824012917
goods,3,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,19,0.5852940509461428,0.8689556357227457,0.44172862808042856
goods,3,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,19,0.35760638663954525,0.538099458956071,0.08131675303445875
goods,3,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,43,31,3.705529028270507,6.036270973034008,3.6175373174818444
goods,3,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,43,31,3.2329272145603865,5.321095762339669,3.0635884068669466
services,0,full,selected_projection,annual_log_pp,projection_persistence_common,90,87,0.8900896589959517,1.276819555040427,0.04780376953655484
services,0,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,87,0.8337764550444645,1.2430249108895033,-0.0018376024409301297
services,0,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,0.8057036532364068,1.1670580950916865,-0.42035976121825186
services,0,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,0.8069890370200616,1.1793867849726063,-0.40028930988437084
services,0,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,1.7169682145668699,1.9481107314231418,0.7638809228747263
services,0,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,1.6553914183097442,1.8772176950921122,0.5678075107483408
services,0,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,28,0.28681911856316733,0.33162049588755094,0.019227765833059025
services,0,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,28,0.16301933049044348,0.20411644406916124,0.007959791986852816
services,0,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,34,31,0.29467036136403263,0.34201990742518845,-0.012350337714714284
services,0,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,34,31,0.1953557912899648,0.2676765859857855,0.055302014577044215
services,1,full,selected_projection,annual_log_pp,projection_persistence_common,90,84,1.7460104175994846,2.618794261167948,-0.10272728962687394
services,1,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,84,1.562546183604896,2.3607092031766976,-0.00912862209845265
services,1,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,1.7344779448245886,2.6445272817304017,-1.254112120373489
services,1,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,1.6794234433523902,2.4927951921923794,-1.0477741503071332
services,1,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,3.198662134355075,3.6753022373847104,1.288901467881137
services,1,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,2.837559353238007,3.224803974737733,1.4681742116500516
services,1,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,25,0.3676102313989717,0.5335664237871028,0.1732478662106971
services,1,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,25,0.174905377110617,0.20513365941962886,0.02676439699513601
services,1,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,37,31,0.4887612053258235,0.7114391520330119,0.33201736243205365
services,1,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,37,31,0.3673351821418829,0.6242406663700683,0.24786664979068843
services,2,full,selected_projection,annual_log_pp,projection_persistence_common,90,81,2.651909561077628,3.7562071258898024,-0.4145398081680611
services,2,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,81,2.3089618620549217,3.3843754197338005,-0.011835576907285018
services,2,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,2.7923229326326844,3.97589883626723,-2.102779781950065
services,2,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,2.738496967188637,3.8301920336352095,-1.8289402817808629
services,2,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,4.097690602461216,4.791808666243669,0.9951499203728617
services,2,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,3.6182465914389623,4.149085893933285,2.6113703168473292
services,2,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,22,0.8513089702761242,1.3227058743007343,0.7334531735313932
services,2,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,22,0.19729994455960365,0.22891442263685224,0.017333660386555604
services,2,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,40,31,1.28917060474613,1.8900443969175666,1.2055310070563205
services,2,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,40,31,0.8218425059768337,1.5455140443028235,0.6941244978540257
services,3,full,selected_projection,annual_log_pp,projection_persistence_common,90,78,3.155547859549263,4.317225973168622,-0.889861384725572
services,3,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,78,2.968487840900891,4.256233257818835,-0.031171180133262862
services,3,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,3.665252573556542,4.992678986145275,-2.7661842846544067
services,3,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,3.6432894169929346,4.88119302637981,-2.58641626306685
services,3,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,4.277337737359799,4.808764723105242,0.5454272816864809
services,3,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,4.172193723684042,4.907204475285737,3.6546704510721515
services,3,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,19,0.7996203828278075,1.178258552597208,0.7535266944123211
services,3,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,19,0.2049617172157795,0.2474453246910582,0.020059280590189927
services,3,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,43,31,2.051950246365548,2.9032915934147567,2.0236992760463792
services,3,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,43,31,1.464251723223686,2.584047055609591,1.3509244233563897
