report_date,cutoff_date,origin,origin_clock,model,quarter,quarters_ahead,forecast,realised,error
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,F1b,2023Q1,4,8.306,16.393468660721577,-8.087468660721578
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,F2,2022Q3,2,12.119,17.578003612072628,-5.459003612072628
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,F2,2022Q4,3,10.826,15.69904392215021,-4.8730439221502095
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,F2,2023Q1,4,6.495,16.393468660721577,-9.898468660721576
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_TVW3_FULLM,2022Q2,1,13.706,15.772308516091234,-2.066308516091235
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_TVW3_FULLM,2022Q3,2,14.917,17.578003612072628,-2.661003612072628
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_TVW3_FULLM,2022Q4,3,16.088,15.69904392215021,0.3889560778497909
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_TVW3_FULLM,2023Q1,4,11.658,16.393468660721577,-4.735468660721578
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_QRF_MEAN_FULLM,2022Q2,1,13.66,15.772308516091234,-2.1123085160912343
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_QRF_MEAN_FULLM,2022Q3,2,14.484,17.578003612072628,-3.094003612072628
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_QRF_MEAN_FULLM,2022Q4,3,15.516,15.69904392215021,-0.18304392215021004
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,TVWQRF_QRF_MEAN_FULLM,2023Q1,4,10.93,16.393468660721577,-5.463468660721578
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,cnb,2022Q3,1,19.493,17.578003612072628,1.9149963879273706
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,cnb,2022Q4,2,19.656,15.69904392215021,3.9569560778497888
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,cnb,2023Q1,3,16.168,16.393468660721577,-0.22546866072157812
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,cnb,2023Q2,4,11.459,11.15840613352934,0.3005938664706598
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,INDEPENDENT_BRIDGE,2022Q3,1,18.181,17.578003612072628,0.602996387927373
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,INDEPENDENT_BRIDGE,2022Q4,2,20.326,15.69904392215021,4.6269560778497905
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,INDEPENDENT_BRIDGE,2023Q1,3,18.193,16.393468660721577,1.799531339278424
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,INDEPENDENT_BRIDGE,2023Q2,4,16.855,11.15840613352934,5.696593866470661
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LOCAL_CORE_R14B,2022Q3,1,17.554,17.578003612072628,-0.024003612072629466
