sample,h,model,n,rmse,mae,bias
all,3,F2,16,3.536048039622279,1.9203461876494148,-1.214407383537958
all,3,INDEPENDENT_BRIDGE,16,2.2360187078529052,1.5953665089690703,-0.07646988353795797
all,3,STABLE_LOCAL_CORE_R14B,16,2.5285790707857,1.5768784262923405,-0.1684698835379579
all,3,STABLE_LONG_CORE_R14B,16,2.337897896346261,1.3480478474690691,-0.1175948835379581
all,3,STABLE_LONG_GAP_R14B,16,2.3890709256897047,1.411672847469069,0.21215511646204194
all,3,STABLE_PIPELINE_R14B,16,2.2717027942249945,1.5501165089690705,-0.2818448835379581
all,3,TVWQRF_QRF_MEAN_FULLM,16,3.285329386125883,1.784294252251676,-0.03778238353795804
all,3,TVWQRF_TVW3_FULLM,16,3.228259208197441,1.8586204112332485,-0.0531573835379579
all,3,cnb,16,2.5064096062756365,1.108988846000782,-0.7537198835379582
all,4,F1b,15,3.41847158411523,2.465826963293957,-0.14376763496898023
all,4,F2,15,4.136016201571758,2.134152408171689,-1.3155676349689798
all,4,INDEPENDENT_BRIDGE,15,3.46918587679697,2.4930933398486297,0.3058990316976866
all,4,STABLE_LOCAL_CORE_R14B,15,3.150281912787175,2.0604544686142963,0.15016569836435323
all,4,STABLE_LONG_CORE_R14B,15,3.1410813301076037,2.26358780194763,0.4272990316976866
all,4,STABLE_LONG_GAP_R14B,15,3.3956954015738803,2.563900709413925,0.9224990316976867
all,4,STABLE_PIPELINE_R14B,15,3.4244220889949504,2.408760006515296,0.0018323650310200445
all,4,TVWQRF_QRF_MEAN_FULLM,15,3.7371222649302513,2.452806537426918,0.18249903169768672
all,4,TVWQRF_TVW3_FULLM,15,3.816569158662491,2.7001477390290662,0.13609903169768678
all,4,cnb,15,3.244817015816921,1.4844701942432303,-1.19176763496898
all,all,F1b,53,2.6666550210455444,1.7723074346760619,-0.32911206846278457
all,all,F2,53,3.437382748045347,1.866805305264335,-1.2150365967646717
all,all,INDEPENDENT_BRIDGE,66,2.362384518593814,1.5280763625855132,-0.04476162841595097
all,all,STABLE_LOCAL_CORE_R14B,66,2.339317387087444,1.4316517870713594,-0.12371617387049644
all,all,STABLE_LONG_CORE_R14B,66,2.2799701767127063,1.4086811059719129,-0.05656465871898131
all,all,STABLE_LONG_GAP_R14B,66,2.3630447495734206,1.4856520249058736,0.19499594734162484
all,all,STABLE_PIPELINE_R14B,66,2.3608542205529783,1.487570578404242,-0.19907981023413276
all,all,TVWQRF_QRF_MEAN_FULLM,66,2.98972855811834,1.744848357116731,-0.09823132538564787
all,all,TVWQRF_TVW3_FULLM,66,2.9800194885665654,1.8137423728147515,-0.10870102235534497
all,all,cnb,66,2.2955194074199716,1.0606045803643394,-0.49906465871898126
reports_2024plus,1,F1b,2,0.31782803191476183,0.24921798153256514,-0.24921798153256514
reports_2024plus,1,F2,2,0.18476781685959753,0.1842179815325653,-0.1842179815325653
reports_2024plus,1,INDEPENDENT_BRIDGE,10,0.29913689476979244,0.23140078751398283,-0.06581951449703964
reports_2024plus,1,STABLE_LOCAL_CORE_R14B,10,0.21194539298166015,0.14959840207561298,-0.02041951449703956
reports_2024plus,1,STABLE_LONG_CORE_R14B,10,0.25339226846161206,0.18849326935233604,-0.028919514497039667
reports_2024plus,1,STABLE_LONG_GAP_R14B,10,0.2392982937012078,0.18079326935233603,-0.019619514497039647
reports_2024plus,1,STABLE_PIPELINE_R14B,10,0.24144954640967942,0.1731239081528932,-0.04501951449703967
reports_2024plus,1,TVWQRF_QRF_MEAN_FULLM,10,0.23155991236264056,0.19681949689645734,0.056380485502960334
reports_2024plus,1,TVWQRF_TVW3_FULLM,10,0.2707645624496888,0.21691949689645726,-0.009519514497039628
reports_2024plus,1,cnb,10,0.27880224120367403,0.17551319720967778,0.07178048550296035
reports_2024plus,2,F1b,9,0.4135771635613665,0.3219545008077096,-0.09671511678533805
reports_2024plus,2,F2,9,0.4900941957842931,0.3819978733479031,-0.0773817834520046
reports_2024plus,2,INDEPENDENT_BRIDGE,9,0.42665564388150135,0.3689630282118173,-0.06582622789644915
reports_2024plus,2,STABLE_LOCAL_CORE_R14B,9,0.347376893354727,0.25707413932292844,0.03428488321466198
reports_2024plus,2,STABLE_LONG_CORE_R14B,9,0.4062421917579492,0.30848190572669143,0.014618216547995284
reports_2024plus,2,STABLE_LONG_GAP_R14B,9,0.3719191508732797,0.2744819057266914,0.05284043877021752
reports_2024plus,2,STABLE_PIPELINE_R14B,9,0.4352236986057679,0.33585191710070617,-0.05893733900756026
reports_2024plus,2,TVWQRF_QRF_MEAN_FULLM,9,0.37593924900056575,0.30482669186023625,0.06828488321466199
reports_2024plus,2,TVWQRF_TVW3_FULLM,9,0.5881477125454854,0.46962116747437627,-0.09993733900756022
reports_2024plus,2,cnb,9,0.3696515241901563,0.31555913192932195,-0.011826227896449135
reports_2024plus,3,F1b,8,0.6247424061940187,0.42222153479551033,0.10194228566444669
reports_2024plus,3,F2,8,0.5304834099450936,0.45139222562662784,0.05656728566444663
reports_2024plus,3,INDEPENDENT_BRIDGE,8,0.6430735710856543,0.5471515668286684,0.08894228566444654
reports_2024plus,3,STABLE_LOCAL_CORE_R14B,8,0.4840553276616709,0.3518082362948139,0.21644228566444668
reports_2024plus,3,STABLE_LONG_CORE_R14B,8,0.5967689335903453,0.45476424382866565,0.23169228566444675
reports_2024plus,3,STABLE_LONG_GAP_R14B,8,0.5616837193315417,0.41301424382866553,0.31194228566444665
reports_2024plus,3,STABLE_PIPELINE_R14B,8,0.6773008349918972,0.5247765668286684,0.012567285664446648
reports_2024plus,3,TVWQRF_QRF_MEAN_FULLM,8,0.44849883437674937,0.36263205339387944,0.16944228566444663
reports_2024plus,3,TVWQRF_TVW3_FULLM,8,0.8502850502556013,0.772420351894576,-0.15468271433555336
reports_2024plus,3,cnb,8,0.4214451207257612,0.318802542329362,0.048817285664446625
reports_2024plus,4,F1b,7,0.8434653586650523,0.6195293366034595,0.32785713028529834
reports_2024plus,4,F2,7,0.5304237933712201,0.4279678231902187,0.07099998742815547
reports_2024plus,4,INDEPENDENT_BRIDGE,7,0.9267437176478065,0.8181001435063298,0.22385713028529827
reports_2024plus,4,STABLE_LOCAL_CORE_R14B,7,0.5454628186191037,0.39147232857180836,0.3469999874281554
reports_2024plus,4,STABLE_LONG_CORE_R14B,7,0.7508790348310911,0.5599009000003801,0.4402857017138698
reports_2024plus,4,STABLE_LONG_GAP_R14B,7,0.7379033519617714,0.5579999874281556,0.5579999874281556
reports_2024plus,4,STABLE_PIPELINE_R14B,7,0.9411700897247177,0.8175287149349012,0.07471427314244118
reports_2024plus,4,TVWQRF_QRF_MEAN_FULLM,7,0.5696741529053146,0.4613427097455207,0.27042855885672684
reports_2024plus,4,TVWQRF_TVW3_FULLM,7,1.1698542075748366,1.098100765174888,-0.3221428697147017
reports_2024plus,4,cnb,7,0.4264161495279995,0.3711510422790575,0.034285701713869764
reports_2024plus,all,F1b,26,0.6153143417851656,0.42732708095856986,0.06698716089151883
reports_2024plus,all,F2,26,0.4981024056280301,0.4005126688669543,-0.004435916031558103
reports_2024plus,all,INDEPENDENT_BRIDGE,34,0.5904502403265508,0.46289966671234817,0.030232558861006516
reports_2024plus,all,STABLE_LOCAL_CORE_R14B,34,0.4019229198038803,0.2754242195595193,0.12543844121394776
reports_2024plus,all,STABLE_LONG_CORE_R14B,34,0.512295050494241,0.35937323810869315,0.14052667650806538
reports_2024plus,all,STABLE_LONG_GAP_R14B,34,0.4896868666064193,0.33789363846147047,0.1964972647433595
reports_2024plus,all,STABLE_PIPELINE_R14B,34,0.5979930940546535,0.4316123492532042,-0.010502735256640517
reports_2024plus,all,TVWQRF_QRF_MEAN_FULLM,34,0.40905496968094424,0.31888501738459946,0.13020314709630065
reports_2024plus,all,TVWQRF_TVW3_FULLM,34,0.7516684084149328,0.5959368719886701,-0.13197332349193464
reports_2024plus,all,cnb,34,0.37183290789338336,0.2865776998249698,0.03652667650806537
