"Ukazatel","IndicatorType","Typ údaje","TYPUDAJEVYR","Území","Uz0","Měsíce, měsíce klouzavých průměrů, čtvrtletí, roky","CASMQRMPK","Hodnota"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2016","2016-09","104.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2016","2016-10","103.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2016","2016-11","96.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2016","2016-12","101.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2017","2017-01","101.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2017","2017-02","101.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2017","2017-03","101.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2017","2017-04","101.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2017","2017-05","101.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2017","2017-06","100.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2017","2017-07","99.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2017","2017-08","98.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2017","2017-09","102.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2017","2017-10","98.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2017","2017-11","100.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2017","2017-12","99.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2018","2018-01","100.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2018","2018-02","97.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2018","2018-03","100.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2018","2018-04","97.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2018","2018-05","99.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2018","2018-06","100.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2018","2018-07","99.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2018","2018-08","101.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2018","2018-09","104.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2018","2018-10","100.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2018","2018-11","100.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2018","2018-12","102.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2019","2019-01","101.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2019","2019-02","101.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2019","2019-03","100.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2019","2019-04","98.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2019","2019-05","100.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2019","2019-06","102.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2019","2019-07","98.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2019","2019-08","94"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2019","2019-09","102.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2019","2019-10","98.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2019","2019-11","98"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2019","2019-12","100.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2020","2020-01","102.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2020","2020-02","100.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2020","2020-03","99.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2020","2020-04","100.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2020","2020-05","99.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2020","2020-06","100.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2020","2020-07","98.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2020","2020-08","96.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2020","2020-09","100.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2020","2020-10","97.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2020","2020-11","100.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2020","2020-12","100"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2021","2021-01","101.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2021","2021-02","100.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2021","2021-03","102.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2021","2021-04","101.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2021","2021-05","102.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2021","2021-06","100.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2021","2021-07","98.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2021","2021-08","99.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2021","2021-09","100.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2021","2021-10","106.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2021","2021-11","99.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2021","2021-12","103.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2022","2022-01","103.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2022","2022-02","102"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2022","2022-03","106"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2022","2022-04","107.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2022","2022-05","105.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2022","2022-06","103.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2022","2022-07","96.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2022","2022-08","97.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2022","2022-09","98.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2022","2022-10","99.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2022","2022-11","102.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2022","2022-12","102.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2023","2023-01","101.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2023","2023-02","99.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2023","2023-03","96.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2023","2023-04","96.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2023","2023-05","94.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2023","2023-06","99.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2023","2023-07","96"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2023","2023-08","95.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2023","2023-09","101.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2023","2023-10","104.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2023","2023-11","95.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2023","2023-12","98.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2024","2024-01","100.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2024","2024-02","100.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2024","2024-03","103.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2024","2024-04","96.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2024","2024-05","98.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2024","2024-06","101.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2024","2024-07","100"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2024","2024-08","98.6"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2024","2024-09","102.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2024","2024-10","106.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2024","2024-11","98"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2024","2024-12","101.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2025","2025-01","101.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2025","2025-02","100.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2025","2025-03","102.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2025","2025-04","103.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2025","2025-05","98.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2025","2025-06","99.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2025","2025-07","98.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2025","2025-08","98.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2025","2025-09","98.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2025","2025-10","103"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2025","2025-11","96"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2025","2025-12","97.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2026","2026-01","98.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2026","2026-02","98.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2026","2026-03","99.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2026","2026-04","102.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2026","2026-05","95.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2026","2026-06","99.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2026","2026-07","98.7"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","leden 2015","2015-01","99.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","únor 2015","2015-02","97.7"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","březen 2015","2015-03","98.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","duben 2015","2015-04","99.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","květen 2015","2015-05","98.4"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červen 2015","2015-06","98.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červenec 2015","2015-07","98.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","srpen 2015","2015-08","99.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","září 2015","2015-09","98.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","říjen 2015","2015-10","101.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","listopad 2015","2015-11","100.4"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","prosinec 2015","2015-12","100.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","leden 2016","2016-01","98.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","únor 2016","2016-02","98.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","březen 2016","2016-03","97.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","duben 2016","2016-04","98.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","květen 2016","2016-05","97.7"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červen 2016","2016-06","99.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červenec 2016","2016-07","100.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","srpen 2016","2016-08","100.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","září 2016","2016-09","101.6"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","říjen 2016","2016-10","102.1"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","listopad 2016","2016-11","102.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","prosinec 2016","2016-12","102.7"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","leden 2017","2017-01","103.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","únor 2017","2017-02","100.4"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","březen 2017","2017-03","102"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","duben 2017","2017-04","100.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","květen 2017","2017-05","101.5"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červen 2017","2017-06","100.5"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červenec 2017","2017-07","100.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","srpen 2017","2017-08","99.4"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","září 2017","2017-09","101.5"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","říjen 2017","2017-10","100.7"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","listopad 2017","2017-11","103.1"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","prosinec 2017","2017-12","100.4"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","leden 2018","2018-01","98.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","únor 2018","2018-02","96"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","březen 2018","2018-03","98.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","duben 2018","2018-04","98.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","květen 2018","2018-05","98.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červen 2018","2018-06","98.6"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červenec 2018","2018-07","100"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","srpen 2018","2018-08","100.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","září 2018","2018-09","100.1"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","říjen 2018","2018-10","101.6"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","listopad 2018","2018-11","100.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","prosinec 2018","2018-12","101.6"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","leden 2019","2019-01","100.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","únor 2019","2019-02","99.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","březen 2019","2019-03","99.5"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","duben 2019","2019-04","100.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","květen 2019","2019-05","100.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červen 2019","2019-06","101.1"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červenec 2019","2019-07","99.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","srpen 2019","2019-08","99.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","září 2019","2019-09","100.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","říjen 2019","2019-10","100.1"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","listopad 2019","2019-11","101.7"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","prosinec 2019","2019-12","101.6"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","leden 2020","2020-01","100.5"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","únor 2020","2020-02","98"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","březen 2020","2020-03","100.6"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","duben 2020","2020-04","99.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","květen 2020","2020-05","97.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červen 2020","2020-06","97"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","červenec 2020","2020-07","98.7"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","srpen 2020","2020-08","98.9"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","září 2020","2020-09","99"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","říjen 2020","2020-10","100.4"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","listopad 2020","2020-11","100.4"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","prosinec 2020","2020-12","100.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","leden 2021","2021-01","101.3"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","únor 2021","2021-02","97.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","březen 2021","2021-03","102.8"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","duben 2021","2021-04","100.2"
"Index cen zemědělských výrobců - živočišná výroba bez ryb","614508","   Meziměsíční index","IM","Česko","CZ","květen 2021","2021-05","101.1"
