"Ukazatel","IndicatorType","Druh PHM","CENPHM","Území","Uz0","Týdny","CASTPHM","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 28. týden 2016","2016-W28","29.6","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 29. týden 2016","2016-W29","29.4","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 30. týden 2016","2016-W30","29.33","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 31. týden 2016","2016-W31","29.21","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 32. týden 2016","2016-W32","28.91","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 33. týden 2016","2016-W33","28.73","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 34. týden 2016","2016-W34","28.9","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 35. týden 2016","2016-W35","28.97","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 36. týden 2016","2016-W36","29.06","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 37. týden 2016","2016-W37","29.04","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 38. týden 2016","2016-W38","29.05","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 39. týden 2016","2016-W39","29.04","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 40. týden 2016","2016-W40","29.07","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 41. týden 2016","2016-W41","29.16","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 42. týden 2016","2016-W42","29.43","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 44. týden 2016","2016-W44","29.6","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 45. týden 2016","2016-W45","29.54","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 46. týden 2016","2016-W46","29.41","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 47. týden 2016","2016-W47","29.32","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 48. týden 2016","2016-W48","29.42","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 49. týden 2016","2016-W49","29.59","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 50. týden 2016","2016-W50","29.86","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 51. týden 2016","2016-W51","30.12","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 01. týden 2017","2017-W01","30.53","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 02. týden 2017","2017-W02","30.87","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 03. týden 2017","2017-W03","30.99","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 04. týden 2017","2017-W04","31.02","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 05. týden 2017","2017-W05","31.05","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 06. týden 2017","2017-W06","31.07","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 07. týden 2017","2017-W07","31.06","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 08. týden 2017","2017-W08","31.1","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 09. týden 2017","2017-W09","31.1","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 10. týden 2017","2017-W10","31.1","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 11. týden 2017","2017-W11","31.02","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 12. týden 2017","2017-W12","30.88","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 13. týden 2017","2017-W13","30.73","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 14. týden 2017","2017-W14","30.63","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 15. týden 2017","2017-W15","30.83","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 17. týden 2017","2017-W17","31.05","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 20. týden 2017","2017-W20","30.46","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 21. týden 2017","2017-W21","30.39","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 22. týden 2017","2017-W22","30.43","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 23. týden 2017","2017-W23","30.35","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 24. týden 2017","2017-W24","30.11","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 25. týden 2017","2017-W25","29.95","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 26. týden 2017","2017-W26","29.64","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 28. týden 2017","2017-W28","29.43","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 29. týden 2017","2017-W29","29.38","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 30. týden 2017","2017-W30","29.33","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 31. týden 2017","2017-W31","29.28","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 32. týden 2017","2017-W32","29.44","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 33. týden 2017","2017-W33","29.45","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 34. týden 2017","2017-W34","29.44","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 35. týden 2017","2017-W35","29.4","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 36. týden 2017","2017-W36","29.53","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 37. týden 2017","2017-W37","29.9","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 38. týden 2017","2017-W38","30.02","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 39. týden 2017","2017-W39","29.96","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 40. týden 2017","2017-W40","30.01","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 41. týden 2017","2017-W41","29.99","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 42. týden 2017","2017-W42","29.99","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 43. týden 2017","2017-W43","30.0","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 44. týden 2017","2017-W44","29.99","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 45. týden 2017","2017-W45","30.19","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 46. týden 2017","2017-W46","30.51","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 47. týden 2017","2017-W47","30.6","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 48. týden 2017","2017-W48","30.49","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 49. týden 2017","2017-W49","30.47","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 50. týden 2017","2017-W50","30.44","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 51. týden 2017","2017-W51","30.41","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 01. týden 2018","2018-W01","30.46","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 02. týden 2018","2018-W02","30.4","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 03. týden 2018","2018-W03","30.56","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 04. týden 2018","2018-W04","30.64","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 05. týden 2018","2018-W05","30.72","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 06. týden 2018","2018-W06","30.74","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 07. týden 2018","2018-W07","30.74","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 08. týden 2018","2018-W08","30.54","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 09. týden 2018","2018-W09","30.44","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 10. týden 2018","2018-W10","30.41","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 11. týden 2018","2018-W11","30.39","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 12. týden 2018","2018-W12","30.32","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 13. týden 2018","2018-W13","30.3","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 15. týden 2018","2018-W15","30.61","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 16. týden 2018","2018-W16","30.74","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 17. týden 2018","2018-W17","30.91","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 18. týden 2018","2018-W18","31.05","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 19. týden 2018","2018-W19","31.39","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 20. týden 2018","2018-W20","31.66","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 21. týden 2018","2018-W21","32.13","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 22. týden 2018","2018-W22","32.88","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 23. týden 2018","2018-W23","33.17","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 24. týden 2018","2018-W24","33.23","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 25. týden 2018","2018-W25","33.12","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 26. týden 2018","2018-W26","32.98","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 28. týden 2018","2018-W28","33.16","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 29. týden 2018","2018-W29","33.13","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 30. týden 2018","2018-W30","32.98","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 31. týden 2018","2018-W31","32.94","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 32. týden 2018","2018-W32","33.07","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 33. týden 2018","2018-W33","33.05","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 34. týden 2018","2018-W34","33.05","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 35. týden 2018","2018-W35","33.07","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 36. týden 2018","2018-W36","33.21","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 37. týden 2018","2018-W37","33.27","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 38. týden 2018","2018-W38","33.28","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 39. týden 2018","2018-W39","33.27","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 40. týden 2018","2018-W40","33.28","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 41. týden 2018","2018-W41","33.41","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 42. týden 2018","2018-W42","33.5","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 43. týden 2018","2018-W43","33.44","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 44. týden 2018","2018-W44","33.43","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 45. týden 2018","2018-W45","33.32","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 46. týden 2018","2018-W46","33.16","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 47. týden 2018","2018-W47","32.96","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 48. týden 2018","2018-W48","32.79","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 49. týden 2018","2018-W49","32.36","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 50. týden 2018","2018-W50","32.02","koruna česká","Kč"
