origin,historical_clock,import_mm_l3_source,import_mm_l3_fixture_row,import_mm_l3_available_from,eurczk_mm_l1_source,eurczk_mm_l1_fixture_row,eurczk_mm_l1_available_from,unemployment_reference,unemployment_adjustment,unemployment_available_from,unemployment_source,unemployment_sha256
2011-05,2011-06-08 23:59:00,2011-02,2011-04,2011-04-15T22:00:00+00:00,2011-04,2011-04,2011-04-30T22:00:00+00:00,2011-02,,,,
2011-06,2011-07-11 23:59:00,2011-03,2011-05,2011-05-15T22:00:00+00:00,2011-05,2011-05,2011-05-31T22:00:00+00:00,2011-03,,,,
2011-07,2011-08-08 23:59:00,2011-04,2011-06,2011-06-15T22:00:00+00:00,2011-06,2011-06,2011-06-30T22:00:00+00:00,2011-04,,,,
2011-08,2011-09-08 23:59:00,2011-05,2011-07,2011-07-15T22:00:00+00:00,2011-07,2011-07,2011-07-31T22:00:00+00:00,2011-05,,,,
2011-09,2011-10-09 23:59:00,2011-06,2011-08,2011-08-15T22:00:00+00:00,2011-08,2011-08,2011-08-31T22:00:00+00:00,2011-06,,,,
2011-10,2011-11-08 23:59:00,2011-07,2011-09,2011-09-15T22:00:00+00:00,2011-09,2011-09,2011-09-30T22:00:00+00:00,2011-07,,,,
2011-11,2011-12-08 23:59:00,2011-08,2011-10,2011-10-15T22:00:00+00:00,2011-10,2011-10,2011-10-31T23:00:00+00:00,2011-08,,,,
2011-12,2012-01-08 23:59:00,2011-09,2011-11,2011-11-15T23:00:00+00:00,2011-11,2011-11,2011-11-30T23:00:00+00:00,2011-09,,,,
2012-01,2012-02-15 23:59:00,2011-10,2011-12,2011-12-15T23:00:00+00:00,2011-12,2011-12,2011-12-31T23:00:00+00:00,2011-10,,,,
2012-02,2012-03-08 23:59:00,2011-11,2012-01,2012-01-15T23:00:00+00:00,2012-01,2012-01,2012-01-31T23:00:00+00:00,2011-11,,,,
2012-03,2012-04-09 23:59:00,2011-12,2012-02,2012-02-15T23:00:00+00:00,2012-02,2012-02,2012-02-29T23:00:00+00:00,2011-12,,,,
2012-04,2012-05-09 23:59:00,2012-01,2012-03,2012-03-15T23:00:00+00:00,2012-03,2012-03,2012-03-31T22:00:00+00:00,2012-01,,,,
2012-05,2012-06-10 23:59:00,2012-02,2012-04,2012-04-15T22:00:00+00:00,2012-04,2012-04,2012-04-30T22:00:00+00:00,2012-02,,,,
2012-06,2012-07-10 23:59:00,2012-03,2012-05,2012-05-15T22:00:00+00:00,2012-05,2012-05,2012-05-31T22:00:00+00:00,2012-03,,,,
2012-07,2012-08-08 23:59:00,2012-04,2012-06,2012-06-15T22:00:00+00:00,2012-06,2012-06,2012-06-30T22:00:00+00:00,2012-04,,,,
2012-08,2012-09-09 23:59:00,2012-05,2012-07,2012-07-15T22:00:00+00:00,2012-07,2012-07,2012-07-31T22:00:00+00:00,2012-05,,,,
2012-09,2012-10-08 23:59:00,2012-06,2012-08,2012-08-15T22:00:00+00:00,2012-08,2012-08,2012-08-31T22:00:00+00:00,2012-06,,,,
2012-10,2012-11-08 23:59:00,2012-07,2012-09,2012-09-15T22:00:00+00:00,2012-09,2012-09,2012-09-30T22:00:00+00:00,2012-07,,,,
2012-11,2012-12-09 23:59:00,2012-08,2012-10,2012-10-15T22:00:00+00:00,2012-10,2012-10,2012-10-31T23:00:00+00:00,2012-08,,,,
2012-12,2013-01-08 23:59:00,2012-09,2012-11,2012-11-15T23:00:00+00:00,2012-11,2012-11,2012-11-30T23:00:00+00:00,2012-09,,,,
2013-01,2013-02-10 23:59:00,2012-10,2012-12,2012-12-15T23:00:00+00:00,2012-12,2012-12,2012-12-31T23:00:00+00:00,2012-10,,,,
2013-02,2013-03-10 23:59:00,2012-11,2013-01,2013-01-15T23:00:00+00:00,2013-01,2013-01,2013-01-31T23:00:00+00:00,2012-11,,,,
2013-03,2013-04-08 23:59:00,2012-12,2013-02,2013-02-15T23:00:00+00:00,2013-02,2013-02,2013-02-28T23:00:00+00:00,2012-12,,,,
2013-04,2013-05-09 23:59:00,2013-01,2013-03,2013-03-15T23:00:00+00:00,2013-03,2013-03,2013-03-31T22:00:00+00:00,2013-01,,,,
2013-05,2013-06-09 23:59:00,2013-02,2013-04,2013-04-15T22:00:00+00:00,2013-04,2013-04,2013-04-30T22:00:00+00:00,2013-02,,,,
2013-06,2013-07-08 23:59:00,2013-03,2013-05,2013-05-15T22:00:00+00:00,2013-05,2013-05,2013-05-31T22:00:00+00:00,2013-03,,,,
2013-07,2013-08-08 23:59:00,2013-04,2013-06,2013-06-15T22:00:00+00:00,2013-06,2013-06,2013-06-30T22:00:00+00:00,2013-04,,,,
2013-08,2013-09-08 23:59:00,2013-05,2013-07,2013-07-15T22:00:00+00:00,2013-07,2013-07,2013-07-31T22:00:00+00:00,2013-05,,,,
2013-09,2013-10-08 23:59:00,2013-06,2013-08,2013-08-15T22:00:00+00:00,2013-08,2013-08,2013-08-31T22:00:00+00:00,2013-06,,,,
2013-10,2013-11-10 23:59:00,2013-07,2013-09,2013-09-15T22:00:00+00:00,2013-09,2013-09,2013-09-30T22:00:00+00:00,2013-07,,,,
2013-11,2013-12-08 23:59:00,2013-08,2013-10,2013-10-15T22:00:00+00:00,2013-10,2013-10,2013-10-31T23:00:00+00:00,2013-08,,,,
2013-12,2014-01-08 23:59:00,2013-09,2013-11,2013-11-15T23:00:00+00:00,2013-11,2013-11,2013-11-30T23:00:00+00:00,2013-09,,,,
2014-01,2014-02-11 23:59:00,2013-10,2013-12,2013-12-15T23:00:00+00:00,2013-12,2013-12,2013-12-31T23:00:00+00:00,2013-10,,,,
2014-02,2014-03-09 23:59:00,2013-11,2014-01,2014-01-15T23:00:00+00:00,2014-01,2014-01,2014-01-31T23:00:00+00:00,2013-11,,,,
2014-03,2014-04-08 23:59:00,2013-12,2014-02,2014-02-15T23:00:00+00:00,2014-02,2014-02,2014-02-28T23:00:00+00:00,2013-12,,,,
2014-04,2014-05-11 23:59:00,2014-01,2014-03,2014-03-15T23:00:00+00:00,2014-03,2014-03,2014-03-31T22:00:00+00:00,2014-01,,,,
2014-05,2014-06-08 23:59:00,2014-02,2014-04,2014-04-15T22:00:00+00:00,2014-04,2014-04,2014-04-30T22:00:00+00:00,2014-02,,,,
2014-06,2014-07-08 23:59:00,2014-03,2014-05,2014-05-15T22:00:00+00:00,2014-05,2014-05,2014-05-31T22:00:00+00:00,2014-03,,,,
