origin,historical_clock,import_mm_l3_source,import_mm_l3_fixture_row,import_mm_l3_available_from,eurczk_mm_l1_source,eurczk_mm_l1_fixture_row,eurczk_mm_l1_available_from,unemployment_reference,unemployment_adjustment,unemployment_available_from,unemployment_source,unemployment_sha256
2024-03,2024-04-09 23:59:00,2023-12,2024-02,2024-02-15T23:00:00+00:00,2024-02,2024-02,2024-02-29T23:00:00+00:00,2023-12,sa,2024-04-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/f20138fd-8342-4c2f-cbe9-32b455a1f8e7/nez040224_1.xlsx?version=1.0,d7be4bcdc98515f125f0e631f89ab786be06214f207ad22366104f0dd84891ae
2024-04,2024-05-12 23:59:00,2024-01,2024-03,2024-03-15T23:00:00+00:00,2024-03,2024-03,2024-03-31T22:00:00+00:00,2024-01,sa,2024-05-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/ca104301-46bc-67ef-fc68-94268ae92a40/nez050224_1.xlsx?version=1.0,5e7490b4321dd13bb15245675f61086230e2c62f0254cfd7d55e072bfd76b0db
2024-05,2024-06-10 23:59:00,2024-02,2024-04,2024-04-15T22:00:00+00:00,2024-04,2024-04,2024-04-30T22:00:00+00:00,2024-02,sa,2024-05-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/ddfa8e27-61d6-f422-a7d0-e47acc67e91d/nez053124_1.xlsx?version=1.0,ac2d15ef7a27ef68f3fa6743cb45c31c3f3a840f94904af1a94a6dab7f81d579
2024-06,2024-07-09 23:59:00,2024-03,2024-05,2024-05-15T22:00:00+00:00,2024-05,2024-05,2024-05-31T22:00:00+00:00,2024-03,sa,2024-07-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/29ec5c83-d3e5-9543-a5c6-5b0c4d4e4704/nez070124_1.xlsx?version=1.0,268d7ee81b3b7178b1dd2096433c8b65ea459510ef60ce4b939dd7d07bd61393
2024-07,2024-08-11 23:59:00,2024-04,2024-06,2024-06-15T22:00:00+00:00,2024-06,2024-06,2024-06-30T22:00:00+00:00,2024-04,sa,2024-07-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/4de65d91-51c7-61dc-0098-0c5c8c92382d/nez073124_1.xlsx?version=1.0,bd21d42c8687ecef4b710c5c4b4e60a68d6b56c43a0a699794d567f155d01d77
2024-08,2024-09-09 23:59:00,2024-05,2024-07,2024-07-15T22:00:00+00:00,2024-07,2024-07,2024-07-31T22:00:00+00:00,2024-05,sa,2024-09-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/34359027-6426-c33c-28ab-e5f3c60c1a54/nez090224_1.xlsx?version=1.0,558475f714e7ee5b5d0e98362b075a3e038ddd3d18e7fb0c28e40c83ada33eda
2024-09,2024-10-09 23:59:00,2024-06,2024-08,2024-08-15T22:00:00+00:00,2024-08,2024-08,2024-08-31T22:00:00+00:00,2024-06,sa,2024-10-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/ca3ca0e8-6f58-9017-9f79-e730bf78c73a/nez100124_1.xlsx?version=1.0,d1cd780c19b11e07a2c9e9846f9934c1010bcd0263dd9464becec1ec515dfc29
2024-10,2024-11-10 23:59:00,2024-07,2024-09,2024-09-15T22:00:00+00:00,2024-09,2024-09,2024-09-30T22:00:00+00:00,2024-07,sa,2024-10-31T23:00:00+00:00,https://csu.gov.cz/docs/107532/6ad581c9-dd12-aada-1de5-b551284a6910/nez103124_1.xlsx?version=1.0,7e6dd39bdabef61a374c77fd814167911af160d10ad0e21f42e91b0a9530b8e1
2024-11,2024-12-09 23:59:00,2024-08,2024-10,2024-10-15T22:00:00+00:00,2024-10,2024-10,2024-10-31T23:00:00+00:00,2024-08,sa,2024-12-02T23:00:00+00:00,https://csu.gov.cz/docs/107532/92138b65-6df6-deda-261d-5d0c15355dc8/nez120224_1.xlsx?version=1.0,2713c5dff6f4d07be742bbd3a5528967d9179e854eee238e211c1871c8988113
2024-12,2025-01-12 23:59:00,2024-09,2024-11,2024-11-15T23:00:00+00:00,2024-11,2024-11,2024-11-30T23:00:00+00:00,2024-09,sa,2025-01-07T23:00:00+00:00,https://csu.gov.cz/docs/107532/e2964511-bb61-20de-9812-8688500240d5/nez010725_1.xlsx?version=1.0,bb410f9596e25835a302898ae908af0c5821c190f53259e154ea54bf51b98c17
2025-01,2025-02-05 23:59:00,2024-10,2024-12,2024-12-15T23:00:00+00:00,2024-12,2024-12,2024-12-31T23:00:00+00:00,2024-10,sa,2025-01-31T23:00:00+00:00,https://csu.gov.cz/docs/107532/6733d33c-96a3-a8ce-5f3d-02b43b2c322e/nez013125_1.xlsx?version=1.0,ae597acb0d3880e16e1190b1fc37c20e31618b9047ffedd194d99e56ed8dc604
2025-02,2025-03-04 23:59:00,2024-11,2025-01,2025-01-15T23:00:00+00:00,2025-01,2025-01,2025-01-31T23:00:00+00:00,2024-11,sa,2025-03-03T23:00:00+00:00,https://csu.gov.cz/docs/107532/1984e271-a6ba-8778-c595-7b144689f604/nez030325_1.xlsx?version=1.0,63c16acc344d4d926bbdceb8a1032c0d0e5cf6feb4e90691a2d3a75a6c56f294
2025-03,2025-04-03 23:59:00,2024-12,2025-02,2025-02-15T23:00:00+00:00,2025-02,2025-02,2025-02-28T23:00:00+00:00,2024-12,sa,2025-03-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/d603c845-04b2-56e7-737a-7b811ab95819/nez310325_1.xlsx?version=1.0,8f3a596758ba709fc847f31030ade1d1988362ff0ba2d5f6899f1bfb7a539345
2025-04,2025-05-05 23:59:00,2025-01,2025-03,2025-03-15T23:00:00+00:00,2025-03,2025-03,2025-03-31T22:00:00+00:00,2025-01,sa,2025-05-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/c27a5c00-cc0f-1be0-e4d5-fc788892902b/nez020525_1.xlsx?version=1.0,4c092dfe727211abdcefbd65ae5d7318334b12b4f55d44391ce8e9f09f175962
2025-05,2025-06-03 23:59:00,2025-02,2025-04,2025-04-15T22:00:00+00:00,2025-04,2025-04,2025-04-30T22:00:00+00:00,2025-02,trend_cycle,2025-06-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/e89c91a6-88f5-2b90-c3e4-6f2a3455af26/nez020625_1.xlsx?version=1.0,a3982a4f3ff0d82d16282fb5b4421f6595aedd2280e218a7d9cf9e7b4206e868
2025-06,2025-07-03 23:59:00,2025-03,2025-05,2025-05-15T22:00:00+00:00,2025-05,2025-05,2025-05-31T22:00:00+00:00,2025-03,trend_cycle,2025-07-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/65fb62c1-f786-da73-bd08-d384ecaf020f/nez070125_1.xlsx?version=1.0,fad3d6cafa31760cf00357280bc7c6f86c1b311d554e0426dc35687128466a40
2025-07,2025-08-04 23:59:00,2025-04,2025-06,2025-06-15T22:00:00+00:00,2025-06,2025-06,2025-06-30T22:00:00+00:00,2025-04,trend_cycle,2025-07-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/0e556d36-02ee-0a6f-bb5d-cc094e086c88/nez073125_1.xlsx?version=1.0,42cb3427f7d8836d350915c30c0703a5692154b2db236d995f3fc228b1562188
2025-08,2025-09-03 23:59:00,2025-05,2025-07,2025-07-15T22:00:00+00:00,2025-07,2025-07,2025-07-31T22:00:00+00:00,2025-05,trend_cycle,2025-09-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/54c03fa6-2bd7-5624-3266-9b784e2482a6/nez090125_1.xlsx?version=1.0,3332f89fb8740bf61b9a6b976bca9de7bfd6eb7f4e245dffe13ff59fe871bf8a
2025-09,2025-10-05 23:59:00,2025-06,2025-08,2025-08-15T22:00:00+00:00,2025-08,2025-08,2025-08-31T22:00:00+00:00,2025-06,trend_cycle,2025-10-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/2ee3a0d1-eee9-0c73-1588-fbdae861b5ad/nez100125_1.xlsx?version=1.0,f66cc6052cd041e2b718145e0866cd57435b8c1b56d31f818a02c632ce4e0c26
2025-10,2025-11-04 23:59:00,2025-07,2025-09,2025-09-15T22:00:00+00:00,2025-09,2025-09,2025-09-30T22:00:00+00:00,2025-07,trend_cycle,2025-10-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/9adfa8dc-044b-3cb0-4fa9-79fd4a93d1b8/nez103025_1.xlsx?version=1.0,7921a11e1581a3e30c2202b0bcf43944e0b0b4783a4e4415477ad514f1c15bd1
2025-11,2025-12-03 23:59:00,2025-08,2025-10,2025-10-15T22:00:00+00:00,2025-10,2025-10,2025-10-31T23:00:00+00:00,2025-08,trend_cycle,2025-12-01T23:00:00+00:00,https://csu.gov.cz/docs/107532/9ee45808-126e-cd2a-3932-ced1ae463866/nez120125_1.xlsx?version=1.0,8e609d302a459b3db03882727d03ebd10ad39c21bfdb4684ee805da0ce69a10d
2025-12,2026-01-06 23:59:00,2025-09,2025-11,2025-11-15T23:00:00+00:00,2025-11,2025-11,2025-11-30T23:00:00+00:00,2025-09,trend_cycle,2025-12-01T23:00:00+00:00,https://csu.gov.cz/docs/107532/9ee45808-126e-cd2a-3932-ced1ae463866/nez120125_1.xlsx?version=1.0,8e609d302a459b3db03882727d03ebd10ad39c21bfdb4684ee805da0ce69a10d
2026-01,2026-02-04 23:59:00,2025-10,2025-12,2025-12-15T23:00:00+00:00,2025-12,2025-12,2025-12-31T23:00:00+00:00,2025-10,trend_cycle,2026-01-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/3cc0265f-9d9c-079b-c29f-b4b11b157bb1/nez013026_1.xlsx?version=1.0,e03040998072d63cc0762220666aa2ef728236164f842907aa6a7c2b13bce621
2026-02,2026-03-03 23:59:00,2025-11,2026-01,2026-01-15T23:00:00+00:00,2026-01,2026-01,2026-01-31T23:00:00+00:00,2025-11,trend_cycle,2026-01-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/3cc0265f-9d9c-079b-c29f-b4b11b157bb1/nez013026_1.xlsx?version=1.0,e03040998072d63cc0762220666aa2ef728236164f842907aa6a7c2b13bce621
2026-03,2026-04-06 23:59:00,2025-12,2026-02,2026-02-15T23:00:00+00:00,2026-02,2026-02,2026-02-28T23:00:00+00:00,2025-12,trend_cycle,2026-03-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/45ccab85-7d0c-2181-47ec-b342d3af99f9/nez033126_1.xlsx?version=1.0,2ed6492438d9b35e97242170c341a6ead9cabd681817974b8b5b679fc4ed78a0
2026-04,2026-05-05 23:59:00,2026-01,2026-03,2026-03-15T23:00:00+00:00,2026-03,2026-03,2026-03-31T22:00:00+00:00,2026-01,trend_cycle,2026-04-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/b66d45fc-be91-a444-8cf8-54372d1e63b0/nez043026_1.xlsx?version=1.0,c1dbfef88cff7ada59101f13d0cf5697c847fb4f790d4c5064f261e40aefcd5f
2026-05,2026-06-03 23:59:00,2026-02,2026-04,2026-04-15T22:00:00+00:00,2026-04,2026-04,2026-04-30T22:00:00+00:00,2026-02,trend_cycle,2026-06-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/0791fb4a-de02-1047-309a-5a95f76a46b9/nez060126_1.xlsx?version=1.0,0dff7aae75dc1cbc53c519f9aa2c1ca6b6ac3a007a1ea7c6f1267f66f9847f60
2026-06,2026-07-06 23:59:00,2026-03,2026-05,2026-05-15T22:00:00+00:00,2026-05,2026-05,2026-05-31T22:00:00+00:00,2026-03,trend_cycle,2026-07-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/36bb66b1-aa15-1e9b-04fc-1093433f8fee/nez070126_1.xlsx?version=1.0,9ff22c7cf16b542073e813249857a10e0966ac2d8d543f0ad33527eca04b5077
2026-07,2026-08-04 23:59:00,2026-04,2026-06,2026-06-15T22:00:00+00:00,2026-06,2026-06,2026-06-30T22:00:00+00:00,2026-04,trend_cycle,2026-07-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/6fed2b41-6de7-bdbb-5d6a-b29082a1583f/nez073026_1.xlsx?version=1.0,8efb9299fd4ac27e2c9c808d58a39e8d459b7946cbb91d6aca7ef46f0a42c337
