origin,origin_coreweight,basket_effective_year,basket_available_from,max_reconciliation_error
2021-09,0.5539243311486131,2020,2020-02-14,6.938893903907228e-18
2021-10,0.5526743041044948,2020,2020-02-14,6.938893903907228e-18
2021-11,0.5520550466487686,2020,2020-02-14,6.938893903907228e-18
2021-12,0.5640400689325468,2020,2020-02-14,2.7755575615628914e-17
2022-01,0.5636051380786834,2020,2020-02-14,2.7755575615628914e-17
2022-02,0.5652083420786833,2022,2022-02-14,2.7755575615628914e-17
2022-03,0.5652083420786833,2022,2022-02-14,2.7755575615628914e-17
2022-04,0.5652083420786833,2022,2022-02-14,5.551115123125783e-17
2022-05,0.5591021584169187,2022,2022-02-14,1.3877787807814457e-17
2022-06,0.5590995404188934,2022,2022-02-14,5.551115123125783e-17
2022-07,0.5590895189731001,2022,2022-02-14,5.551115123125783e-17
2022-08,0.5592091965065509,2022,2022-02-14,5.551115123125783e-17
2022-09,0.5592011934659561,2022,2022-02-14,2.7755575615628914e-17
2022-10,0.5590543173120135,2022,2022-02-14,1.3877787807814457e-17
2022-11,0.5467787196146041,2022,2022-02-14,2.7755575615628914e-17
2022-12,0.5474977284571143,2022,2022-02-14,2.7755575615628914e-17
2023-01,0.5474766813057488,2022,2022-02-14,1.3877787807814457e-17
2023-02,0.5518978401481048,2022,2022-02-14,2.7755575615628914e-17
2023-03,0.5518982249256993,2022,2022-02-14,5.551115123125783e-17
2023-04,0.5518957076161669,2022,2022-02-14,5.551115123125783e-17
2023-05,0.5518952847539805,2022,2022-02-14,5.551115123125783e-17
2023-06,0.5518894018381354,2022,2022-02-14,5.551115123125783e-17
2023-07,0.5518819685390914,2022,2022-02-14,2.7755575615628914e-17
2023-08,0.5518721535715265,2022,2022-02-14,1.3877787807814457e-17
2023-09,0.5518796456498034,2022,2022-02-14,1.3877787807814457e-17
2023-10,0.5518625583327961,2022,2022-02-14,5.551115123125783e-17
2023-11,0.5518339593603102,2022,2022-02-14,5.551115123125783e-17
2023-12,0.5518047162146195,2022,2022-02-14,5.551115123125783e-17
2024-01,0.5517903316967623,2022,2022-02-14,1.3877787807814457e-17
2024-02,0.5510885466967623,2024,2024-02-15,5.551115123125783e-17
2024-03,0.5510885466967623,2024,2024-02-15,5.551115123125783e-17
2024-04,0.5510885466967623,2024,2024-02-15,5.551115123125783e-17
2024-05,0.522992760109963,2024,2024-02-15,2.7755575615628914e-17
2024-06,0.5231008951870135,2024,2024-02-15,5.551115123125783e-17
2024-07,0.5229850954564411,2024,2024-02-15,2.7755575615628914e-17
2024-08,0.524320821334479,2024,2024-02-15,5.551115123125783e-17
2024-09,0.5244230835765917,2024,2024-02-15,6.938893903907228e-18
2024-10,0.5251936923203937,2024,2024-02-15,6.938893903907228e-18
2024-11,0.5257121150111947,2024,2024-02-15,5.551115123125783e-17
2024-12,0.5258008806220857,2024,2024-02-15,5.551115123125783e-17
2025-01,0.5258286953044492,2024,2024-02-15,2.7755575615628914e-17
2025-02,0.5263154722672414,2024,2024-02-15,6.938893903907228e-18
2025-03,0.5272111647885763,2024,2024-02-15,5.551115123125783e-17
2025-04,0.5274144345873905,2024,2024-02-15,5.551115123125783e-17
2025-05,0.5273440977207576,2024,2024-02-15,2.7755575615628914e-17
2025-06,0.5270292174334845,2024,2024-02-15,1.3877787807814457e-17
2025-07,0.5274086800341864,2024,2024-02-15,5.551115123125783e-17
2025-08,0.5281350316708229,2024,2024-02-15,2.7755575615628914e-17
2025-09,0.5280419138197034,2024,2024-02-15,1.3877787807814457e-17
2025-10,0.5282491550419388,2024,2024-02-15,1.3877787807814457e-17
2025-11,0.5286553327121138,2024,2024-02-15,2.7755575615628914e-17
2025-12,0.5284161743040816,2024,2024-02-15,1.3877787807814457e-17
2026-01,0.528535597740163,2024,2024-02-15,5.551115123125783e-17
2026-02,0.543947766740163,2026,2026-02-13,5.551115123125783e-17
2026-03,0.543947766740163,2026,2026-02-13,5.551115123125783e-17
2026-04,0.543947766740163,2026,2026-02-13,5.551115123125783e-17
2026-05,0.5463270166620967,2026,2026-02-13,1.3877787807814457e-17
2026-06,0.54521504711769,2026,2026-02-13,1.3877787807814457e-17
2026-07,0.5389381453973132,2026,2026-02-13,1.3877787807814457e-17
