model,h,n_intended_origins,n_finite_monthly,first_finite_origin,last_finite_origin,n_finite_annual,n_monthly_targets
CORE_AGG_MONTHLY_R13,6,90,72,2020-08,2026-07,72,84
CORE_AGG_MONTHLY_R13,7,90,71,2020-09,2026-07,71,83
CORE_AGG_MONTHLY_R13,8,90,70,2020-10,2026-07,70,82
CORE_AGG_MONTHLY_R13,9,90,69,2020-11,2026-07,69,81
CORE_AGG_MONTHLY_R13,10,90,68,2020-12,2026-07,68,80
CORE_AGG_MONTHLY_R13,11,90,67,2021-01,2026-07,67,79
CORE_AGG_MONTHLY_R13,12,90,66,2021-02,2026-07,66,78
CORE_SPLIT_CUMULATIVE_R13,0,90,90,2019-02,2026-07,90,90
CORE_SPLIT_CUMULATIVE_R13,1,90,77,2020-03,2026-07,77,89
CORE_SPLIT_CUMULATIVE_R13,2,90,76,2020-04,2026-07,76,88
CORE_SPLIT_CUMULATIVE_R13,3,90,75,2020-05,2026-07,75,87
CORE_SPLIT_CUMULATIVE_R13,4,90,74,2020-06,2026-07,74,86
CORE_SPLIT_CUMULATIVE_R13,5,90,73,2020-07,2026-07,73,85
CORE_SPLIT_CUMULATIVE_R13,6,90,72,2020-08,2026-07,72,84
CORE_SPLIT_CUMULATIVE_R13,7,90,71,2020-09,2026-07,71,83
CORE_SPLIT_CUMULATIVE_R13,8,90,70,2020-10,2026-07,70,82
CORE_SPLIT_CUMULATIVE_R13,9,90,69,2020-11,2026-07,69,81
CORE_SPLIT_CUMULATIVE_R13,10,90,68,2020-12,2026-07,68,80
CORE_SPLIT_CUMULATIVE_R13,11,90,67,2021-01,2026-07,67,79
CORE_SPLIT_CUMULATIVE_R13,12,90,66,2021-02,2026-07,66,78
CORE_SPLIT_MONTHLY_R13,0,90,90,2019-02,2026-07,90,90
CORE_SPLIT_MONTHLY_R13,1,90,77,2020-03,2026-07,77,89
CORE_SPLIT_MONTHLY_R13,2,90,76,2020-04,2026-07,76,88
CORE_SPLIT_MONTHLY_R13,3,90,75,2020-05,2026-07,75,87
CORE_SPLIT_MONTHLY_R13,4,90,74,2020-06,2026-07,74,86
CORE_SPLIT_MONTHLY_R13,5,90,73,2020-07,2026-07,73,85
CORE_SPLIT_MONTHLY_R13,6,90,72,2020-08,2026-07,72,84
CORE_SPLIT_MONTHLY_R13,7,90,71,2020-09,2026-07,71,83
CORE_SPLIT_MONTHLY_R13,8,90,70,2020-10,2026-07,70,82
CORE_SPLIT_MONTHLY_R13,9,90,69,2020-11,2026-07,69,81
CORE_SPLIT_MONTHLY_R13,10,90,68,2020-12,2026-07,68,80
CORE_SPLIT_MONTHLY_R13,11,90,67,2021-01,2026-07,67,79
CORE_SPLIT_MONTHLY_R13,12,90,66,2021-02,2026-07,66,78
INDEPENDENT_BRIDGE,0,90,90,2019-02,2026-07,90,90
INDEPENDENT_BRIDGE,1,90,89,2019-03,2026-07,89,89
INDEPENDENT_BRIDGE,2,90,88,2019-04,2026-07,88,88
INDEPENDENT_BRIDGE,3,90,87,2019-05,2026-07,87,87
INDEPENDENT_BRIDGE,4,90,90,2019-02,2026-07,87,86
INDEPENDENT_BRIDGE,5,90,90,2019-02,2026-07,87,85
INDEPENDENT_BRIDGE,6,90,90,2019-02,2026-07,87,84
INDEPENDENT_BRIDGE,7,90,90,2019-02,2026-07,87,83
INDEPENDENT_BRIDGE,8,90,90,2019-02,2026-07,87,82
INDEPENDENT_BRIDGE,9,90,90,2019-02,2026-07,87,81
INDEPENDENT_BRIDGE,10,90,90,2019-02,2026-07,87,80
INDEPENDENT_BRIDGE,11,90,90,2019-02,2026-07,87,79
INDEPENDENT_BRIDGE,12,90,90,2019-02,2026-07,87,78
LAST_YOY_RW,0,90,90,2019-02,2026-07,90,90
LAST_YOY_RW,1,90,90,2019-02,2026-07,90,89
LAST_YOY_RW,2,90,90,2019-02,2026-07,90,88
LAST_YOY_RW,3,90,90,2019-02,2026-07,90,87
LAST_YOY_RW,4,90,90,2019-02,2026-07,90,86
LAST_YOY_RW,5,90,90,2019-02,2026-07,90,85
LAST_YOY_RW,6,90,90,2019-02,2026-07,90,84
LAST_YOY_RW,7,90,90,2019-02,2026-07,90,83
LAST_YOY_RW,8,90,90,2019-02,2026-07,90,82
LAST_YOY_RW,9,90,90,2019-02,2026-07,90,81
LAST_YOY_RW,10,90,90,2019-02,2026-07,90,80
LAST_YOY_RW,11,90,90,2019-02,2026-07,90,79
LAST_YOY_RW,12,90,90,2019-02,2026-07,90,78
NAIVE,0,90,90,2019-02,2026-07,90,90
NAIVE,1,90,90,2019-02,2026-07,90,89
NAIVE,2,90,90,2019-02,2026-07,90,88
NAIVE,3,90,90,2019-02,2026-07,90,87
NAIVE,4,90,90,2019-02,2026-07,90,86
NAIVE,5,90,90,2019-02,2026-07,90,85
NAIVE,6,90,90,2019-02,2026-07,90,84
NAIVE,7,90,90,2019-02,2026-07,90,83
NAIVE,8,90,90,2019-02,2026-07,90,82
NAIVE,9,90,90,2019-02,2026-07,90,81
NAIVE,10,90,90,2019-02,2026-07,90,80
NAIVE,11,90,90,2019-02,2026-07,90,79
NAIVE,12,90,90,2019-02,2026-07,90,78
RF_U_FX,0,90,90,2019-02,2026-07,90,90
RF_U_FX,1,90,90,2019-02,2026-07,90,89
RF_U_FX,2,90,90,2019-02,2026-07,90,88
RF_U_FX,3,90,90,2019-02,2026-07,90,87
RF_U_FX,4,90,90,2019-02,2026-07,90,86
RF_U_FX,5,90,90,2019-02,2026-07,90,85
RF_U_FX,6,90,90,2019-02,2026-07,90,84
RF_U_FX,7,90,90,2019-02,2026-07,90,83
RF_U_FX,8,90,90,2019-02,2026-07,90,82
RF_U_FX,9,90,90,2019-02,2026-07,90,81
RF_U_FX,10,90,90,2019-02,2026-07,90,80
RF_U_FX,11,90,90,2019-02,2026-07,90,79
RF_U_FX,12,90,90,2019-02,2026-07,90,78
