origin,target,model,h,mm_forecast,mm_actual,cumulative_arithmetic_forecast,cumulative_compounded_forecast,arithmetic_minus_compounded_forecast,cumulative_arithmetic_actual,cumulative_compounded_actual,arithmetic_minus_compounded_actual
2021-10,2022-06,INDEPENDENT_BRIDGE,8,0.4928394429555502,1.5,3.916703583377777,3.983123058120721,-0.0664194747429443,9.6,10.007758817159965,-0.40775881715996576
2021-10,2022-07,INDEPENDENT_BRIDGE,9,0.7974847599854267,1.6,4.714188343363204,4.812372617466126,-0.09818427410292241,11.2,11.767882958234527,-0.5678829582345273
2021-10,2022-08,INDEPENDENT_BRIDGE,10,0.509462803251037,0.9,5.223651146614241,5.346352669156991,-0.12270152254274969,12.1,12.773793904858637,-0.6737939048586377
2021-10,2022-09,INDEPENDENT_BRIDGE,11,-0.014411212269790405,0.3,5.209239934344451,5.331170982655356,-0.12193104831090551,12.4,13.112115286573214,-0.7121152865732139
2021-10,2022-10,INDEPENDENT_BRIDGE,12,0.667443614435928,1.2,5.876683548780379,6.034197157389679,-0.15751360860929964,13.6,14.469460670012094,-0.8694606700120939
2021-11,2021-12,INDEPENDENT_BRIDGE,1,0.8734954788189974,0.8,0.8734954788189974,0.8734954788189969,4.440892098500626e-16,0.8,0.8000000000000002,-1.1102230246251565e-16
2021-11,2022-01,INDEPENDENT_BRIDGE,2,0.842184871414366,1.7,1.7156803502333635,1.7230367970084652,-0.0073564467751017215,2.5,2.5136000000000007,-0.013600000000000723
2021-11,2022-02,INDEPENDENT_BRIDGE,3,0.5490943818199369,0.9,2.2647747320533003,2.2815922770774657,-0.016817545024165437,3.4,3.4362224000000006,-0.036222400000000654
2021-11,2022-03,INDEPENDENT_BRIDGE,4,0.3583024077146019,0.7,2.623077139767902,2.648069684855066,-0.024992545087163975,4.1,4.1602759568,-0.060275956799999975
2021-11,2022-04,INDEPENDENT_BRIDGE,5,0.7791067677245896,1.5,3.4021839074924918,3.4478077427084255,-0.04562383521593372,5.6,5.722680096152001,-0.12268009615200093
2021-11,2022-05,INDEPENDENT_BRIDGE,6,0.3252308088984103,1.4,3.727414716390902,3.7842518846177087,-0.05683716822680651,7.0,7.202797617498128,-0.20279761749812764
2021-11,2022-06,INDEPENDENT_BRIDGE,7,0.4395071839188534,1.5,4.166921900309756,4.240391127427041,-0.07346922711728521,8.5,8.8108395817606,-0.3108395817606002
2021-11,2022-07,INDEPENDENT_BRIDGE,8,0.7960675772208091,1.6,4.962989477530565,5.070215083560644,-0.10722560603007913,10.1,10.55181301506877,-0.4518130150687707
2021-11,2022-08,INDEPENDENT_BRIDGE,9,0.14314176921637906,0.9,5.106131246746944,5.220614448350708,-0.1144832016037638,11.0,11.546779332204386,-0.5467793322043857
2021-11,2022-09,INDEPENDENT_BRIDGE,10,-0.16407715833751654,0.3,4.942054088409428,5.0479714541785805,-0.10591736576915256,11.3,11.881419670201,-0.581419670200999
2021-11,2022-10,INDEPENDENT_BRIDGE,11,0.8618240380539188,1.2,5.8038781264633466,5.9533001236587095,-0.14942199719536298,12.5,13.22399670624341,-0.7239967062434101
2021-11,2022-11,INDEPENDENT_BRIDGE,12,0.19890959537324188,0.4,6.002787721836588,6.1640514042192756,-0.16126368238268718,12.9,13.676892693068387,-0.7768926930683868
2021-12,2022-01,INDEPENDENT_BRIDGE,1,1.4582983012899213,1.7,1.4582983012899213,1.4582983012899216,-2.220446049250313e-16,1.7,1.7000000000000004,-4.440892098500626e-16
2021-12,2022-02,INDEPENDENT_BRIDGE,2,1.5872542959056872,0.9,3.0455525971956083,3.0686994996299526,-0.023146902434344252,2.6,2.6153000000000004,-0.015300000000000313
2021-12,2022-03,INDEPENDENT_BRIDGE,3,0.6796578806762075,0.7,3.7252104778718156,3.7692140382896664,-0.04400356041785081,3.3,3.3336071,-0.03360710000000022
2021-12,2022-04,INDEPENDENT_BRIDGE,4,1.0717534702126057,1.5,4.7969639480844215,4.881364190757383,-0.08440024267296131,4.8,4.8836112065,-0.08361120650000053
2021-12,2022-05,INDEPENDENT_BRIDGE,5,0.7277832182831672,1.4,5.524747166367589,5.644673158444166,-0.11992599207657761,6.199999999999999,6.351981763390999,-0.15198176339099945
2021-12,2022-06,INDEPENDENT_BRIDGE,6,0.2531636683439387,1.5,5.777910834711528,5.9121270884220465,-0.1342162537105187,7.699999999999999,7.947261489841864,-0.2472614898418648
2021-12,2022-07,INDEPENDENT_BRIDGE,7,0.9242928701215432,1.6,6.702203704833071,6.8910653276944,-0.1888616228613289,9.299999999999999,9.674417673679336,-0.3744176736793374
2021-12,2022-08,INDEPENDENT_BRIDGE,8,0.8495883669412628,0.9,7.551792071774333,7.799199384018077,-0.24740731224374368,10.200000000000001,10.66148743274245,-0.4614874327424481
2021-12,2022-09,INDEPENDENT_BRIDGE,9,-0.23582695495002365,0.3,7.31596511682431,7.544979814650244,-0.2290146978259342,10.500000000000002,10.993471895040676,-0.493471895040674
2021-12,2022-10,INDEPENDENT_BRIDGE,10,0.525495652735322,1.2,7.841460769559632,8.110124008311308,-0.2686632387516763,11.700000000000001,12.325393557781164,-0.6253935577811625
2021-12,2022-11,INDEPENDENT_BRIDGE,11,0.6948537703038948,0.4,8.536314539863527,8.861331281063276,-0.32501674119974844,12.100000000000001,12.774695132012287,-0.6746951320122854
2021-12,2022-12,INDEPENDENT_BRIDGE,12,0.5061912904073181,0.4,9.042505830270846,9.412377858629476,-0.3698720283586301,12.500000000000002,13.22579391254034,-0.7257939125403379
2022-01,2022-02,INDEPENDENT_BRIDGE,1,1.2171786552385575,0.9,1.2171786552385575,1.2171786552385575,0.0,0.9,0.9000000000000001,-1.1102230246251565e-16
