origin,model,block,h,native_target_prediction,projection_coefficient,projected_core_target
2019-02,CORE_SPLIT_CUMULATIVE_R13,package_holidays,8,,0.019182249,
2019-02,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,8,,1.0,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_R13,core,8,,0.5473483906668922,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,8,,0.5473483906668922,
2019-02,CORE_AGG_MONTHLY_R13,core,9,,0.5473483906668922,
2019-02,CORE_AGG_CUMULATIVE_R13,core,9,,0.5473483906668922,
2019-02,CORE_SPLIT_MONTHLY_R13,actual_rent,9,,0.033660201,
2019-02,CORE_SPLIT_MONTHLY_R13,imputed_rent,9,,0.10385733600000001,
2019-02,CORE_SPLIT_MONTHLY_R13,catering,9,,0.051351304,
2019-02,CORE_SPLIT_MONTHLY_R13,accommodation,9,,0.007778524,
2019-02,CORE_SPLIT_MONTHLY_R13,package_holidays,9,,0.019182249,
2019-02,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,9,,1.0,
2019-02,CORE_SPLIT_CUMULATIVE_R13,actual_rent,9,,0.033660201,
2019-02,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,9,,0.10385733600000001,
2019-02,CORE_SPLIT_CUMULATIVE_R13,catering,9,,0.051351304,
2019-02,CORE_SPLIT_CUMULATIVE_R13,accommodation,9,,0.007778524,
2019-02,CORE_SPLIT_CUMULATIVE_R13,package_holidays,9,,0.019182249,
2019-02,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,9,,1.0,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_R13,core,9,,0.5473483906668922,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,9,,0.5473483906668922,
2019-02,CORE_AGG_MONTHLY_R13,core,10,,0.5473483906668922,
2019-02,CORE_AGG_CUMULATIVE_R13,core,10,,0.5473483906668922,
2019-02,CORE_SPLIT_MONTHLY_R13,actual_rent,10,,0.033660201,
2019-02,CORE_SPLIT_MONTHLY_R13,imputed_rent,10,,0.10385733600000001,
2019-02,CORE_SPLIT_MONTHLY_R13,catering,10,,0.051351304,
2019-02,CORE_SPLIT_MONTHLY_R13,accommodation,10,,0.007778524,
2019-02,CORE_SPLIT_MONTHLY_R13,package_holidays,10,,0.019182249,
2019-02,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,10,,1.0,
