scope,sample,h,model,n_common,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_arithmetic_n,cumulative_arithmetic_rmse,cumulative_arithmetic_mae,cumulative_arithmetic_bias,cumulative_compounded_n,cumulative_compounded_rmse,cumulative_compounded_mae,cumulative_compounded_bias
primary_common,full,3,CORE_SPLIT_MONTHLY_R13,72,72,0.4333016205839063,0.3165167674792681,-0.07909082972461873,72,1.0244799236408686,0.7083592012501538,-0.24175231211122064,72,1.038372731111611,0.7167510898258378,-0.24607621365162874
primary_common,full,3,CORE_SPLIT_CUMULATIVE_R13,72,72,0.45167473531568036,0.3307234615104473,-0.09486078914735224,72,1.0661317687844836,0.7260504664251555,-0.26300967217894117,72,1.080493409581455,0.734543346209485,-0.26765670333433256
primary_common,full,3,INDEPENDENT_BRIDGE,72,72,0.44160669841732547,0.3264061120172085,0.038756425768550096,72,1.0275052822356492,0.7851075415499706,-0.048117265463815576,72,1.0425997979792476,0.7947194170563215,-0.04753381579138397
primary_common,full,4,CORE_AGG_MONTHLY_R13,70,70,0.4192623909782015,0.3065713907483881,-0.08684501937655943,70,1.4866600255630427,0.9912419309824226,-0.35882825777436533,70,1.516075424320291,1.0083670908902624,-0.36856216837325395
primary_common,full,4,CORE_AGG_CUMULATIVE_R13,70,70,0.4387432005287851,0.3154508980773431,-0.1007261843423827,70,1.5336032283294145,1.0177922501811796,-0.3819552474157402,70,1.5638826058748732,1.035328097761716,-0.3921431498562524
primary_common,full,4,CORE_SPLIT_MONTHLY_R13,70,70,0.431023239267112,0.3072531107052603,-0.09050989797325014,70,1.3827574378899972,0.9295036056542003,-0.3286916222550397,70,1.4111852986221622,0.9459630551467673,-0.3380511024496891
primary_common,full,4,CORE_SPLIT_CUMULATIVE_R13,70,70,0.4724219433144881,0.3344228599704245,-0.11870642929074933,70,1.46795676323091,0.9778941392541805,-0.3776379096597984,70,1.497832037761506,0.9950790304457886,-0.3878507618043564
primary_common,full,4,INDEPENDENT_BRIDGE,70,70,0.5098711131027839,0.34923054239034473,0.030276663595921807,70,1.452486373879159,1.0473787921580602,-0.002473348791690016,70,1.4885269313344889,1.0682923159107338,0.0007162495324360561
primary_common,full,5,CORE_AGG_MONTHLY_R13,68,68,0.4514984596764087,0.3323188051184496,-0.08109341852648735,68,1.8633849836920073,1.2786176915330214,-0.449150206435762,68,1.9127000139491117,1.308633668338703,-0.46573101266687267
primary_common,full,5,CORE_AGG_CUMULATIVE_R13,68,68,0.5150204769142365,0.3758364539580161,-0.11307420589622771,68,1.9926696356662144,1.3509634334285296,-0.5039268008124328,68,2.044558512699526,1.3819150098283286,-0.5219297458598389
primary_common,full,5,CORE_SPLIT_MONTHLY_R13,68,68,0.4672587215140755,0.34218751250615753,-0.10011572974982312,68,1.7908747534547802,1.226193816275818,-0.4371277545804106,68,1.839220916309459,1.2552551309632842,-0.4538152133144517
primary_common,full,5,CORE_SPLIT_CUMULATIVE_R13,68,68,0.5085697384504102,0.360931731464407,-0.12158293678165837,68,1.9271696735390458,1.3015132803600182,-0.5067520639221536,68,1.9785721597721733,1.3318777778414157,-0.5250517514717299
primary_common,full,5,INDEPENDENT_BRIDGE,68,68,0.5008313155278881,0.366021849697329,-0.03881134211019372,68,1.8997808502448617,1.3929024426657575,-0.03945910491452703,68,1.9625538517047942,1.430777050631273,-0.03443045231608514
primary_common,full,6,CORE_AGG_MONTHLY_R13,66,66,0.5334614845089429,0.4053074629133844,-0.0606943835535846,66,2.3427498555651125,1.6733296886329379,-0.5360170523145715,66,2.4199291653602537,1.722117566236882,-0.5609835509418428
primary_common,full,6,CORE_AGG_CUMULATIVE_R13,66,66,0.5611636903261257,0.44145867563182073,-0.12387369194425028,66,2.4827096971875404,1.7078473957702935,-0.6522541502929222,66,2.563298631929355,1.7563676029028177,-0.6807575835175966
primary_common,full,6,CORE_SPLIT_MONTHLY_R13,66,66,0.49339228959489645,0.36407491301192335,-0.08402988224636039,66,2.2371815267261628,1.5681044877653436,-0.5471219544051062,66,2.312178739487798,1.6143786521711807,-0.5729309395338968
primary_common,full,6,CORE_SPLIT_CUMULATIVE_R13,66,66,0.5180687868300313,0.3930363734505349,-0.12309435368471135,66,2.4071389544288833,1.651202774455119,-0.6534186116116111,66,2.486603507596235,1.6988042574711768,-0.6822812906590685
primary_common,full,6,INDEPENDENT_BRIDGE,66,66,0.6685228713637377,0.48681845849725175,-0.03660764912427032,66,2.51884670341599,1.8620053343300604,-0.1041190215675954,66,2.6292460726782414,1.928146688055155,-0.09651304208884819
primary_common,full,7,CORE_AGG_MONTHLY_R13,64,64,0.514443057460368,0.388410351299949,-0.1112179042345964,64,2.815982834999506,2.045880697661996,-0.6662553002949497,64,2.9270051942136717,2.1169145174881034,-0.703123325531537
primary_common,full,7,CORE_AGG_CUMULATIVE_R13,64,64,0.548565996084336,0.4390921367718845,-0.12631210106805763,64,2.980055769867177,2.1205394379370714,-0.7976057410533486,64,3.0956432270304677,2.192235633304807,-0.8392934466144462
primary_common,full,7,CORE_SPLIT_MONTHLY_R13,64,64,0.513306144491583,0.38371831012325147,-0.10397243491916151,64,2.7061608659676057,1.9488130471856384,-0.6721525847242251,64,2.8143837998926453,2.0170953738556063,-0.709762011464787
primary_common,full,7,CORE_SPLIT_CUMULATIVE_R13,64,64,0.5413223261131531,0.4203307238528914,-0.14237236856229357,64,2.912333182811048,2.059016021569284,-0.816629677451163,64,3.026731945466778,2.129221269482975,-0.8591873096122514
primary_common,full,7,INDEPENDENT_BRIDGE,64,64,0.7064602472556591,0.48401286182505815,-0.04756061237299078,64,3.1813835840402436,2.299955302060785,-0.1623932620196114,64,3.3587576655269715,2.4023061531514407,-0.14961349818312272
primary_common,full,8,CORE_AGG_MONTHLY_R13,62,62,0.5363618730399423,0.4068679170354569,-0.14393325587369385,62,3.3213051162634937,2.4611407769341858,-0.8253071082664272,62,3.472223280471269,2.55957747537008,-0.8776457300752584
primary_common,full,8,CORE_AGG_CUMULATIVE_R13,62,62,0.5604011293919083,0.43877401597525273,-0.190650895045036,62,3.5057055348839454,2.568503752836055,-1.0080685027251641,62,3.661948517588671,2.668656812909695,-1.067810864561957
primary_common,full,8,CORE_SPLIT_MONTHLY_R13,62,62,0.537886737815671,0.40119696156493523,-0.12662820158447735,62,3.208689962096614,2.3629006739069744,-0.8124203314965609,62,3.356262556910157,2.458207499730649,-0.8647929583888777
primary_common,full,8,CORE_SPLIT_CUMULATIVE_R13,62,62,0.5728753912808834,0.4477822425397715,-0.18337232596559586,62,3.4480563654387546,2.5040589220912954,-1.0188029426612482,62,3.603262685151934,2.602582470875176,-1.0789591747977187
primary_common,full,8,INDEPENDENT_BRIDGE,62,62,0.6363697794787665,0.4686242947296659,-0.03487436795267751,62,3.7849266058189306,2.7500995962166157,-0.18013597736880638,62,4.030493419336885,2.8933125613071584,-0.16116805316200808
primary_common,full,9,CORE_AGG_MONTHLY_R13,60,60,0.566153300962624,0.4405383507806414,-0.09755610523614718,60,3.873100331022177,2.9523864265420254,-0.9365666511841699,60,4.070739062450502,3.0854374237469826,-1.0054273967670233
primary_common,full,9,CORE_AGG_CUMULATIVE_R13,60,60,0.5942403548094162,0.47310550267949314,-0.1533049583631582,60,4.086035645093694,3.0749011317824135,-1.1823961670502954,60,4.289544169868474,3.209610815530436,-1.2619788402405898
primary_common,full,9,CORE_SPLIT_MONTHLY_R13,60,60,0.547953201650271,0.40919148765058605,-0.11547773370791908,60,3.7388191190785114,2.812142539591663,-0.9494479908861542,60,3.9319407498492644,2.939932799411605,-1.019376000477577
primary_common,full,9,CORE_SPLIT_CUMULATIVE_R13,60,60,0.5895291496858835,0.44708443111031476,-0.19476721745058742,60,4.017197408932272,2.986733759647499,-1.2417118335999793,60,4.219348579482515,3.1189314471230634,-1.323473742239051
primary_common,full,9,INDEPENDENT_BRIDGE,60,60,0.7045613336205239,0.5067622388637809,-0.010619422278841266,60,4.465807545134931,3.2653823778228186,-0.15400057986756963,60,4.795314494378607,3.461454265036356,-0.12647245259540715
primary_common,full,10,CORE_AGG_MONTHLY_R13,58,58,0.4954622761319937,0.3705866594750062,-0.013227786932955288,58,4.302498621304608,3.3515154440962167,-0.94259243900974,58,4.550396045074446,3.5227954394611953,-1.0258977154764535
primary_common,full,10,CORE_AGG_CUMULATIVE_R13,58,58,0.4655051892821083,0.3477166571644102,-0.06349178048215637,58,4.487606524889474,3.4295857718245166,-1.2478564071236664,58,4.740773619311962,3.599758681140339,-1.3470120330559605
primary_common,full,10,CORE_SPLIT_MONTHLY_R13,58,58,0.5036815335371555,0.3787205833038985,-0.033724417370017995,58,4.217826324142914,3.239396661078712,-0.9844652415620264,58,4.461640956899257,3.4046490272008842,-1.0709448814409157
primary_common,full,10,CORE_SPLIT_CUMULATIVE_R13,58,58,0.4914940952496869,0.37077469703574745,-0.08361946132220449,58,4.484057862057115,3.40240095536523,-1.33475667970283,58,4.7370885905039355,3.5710670463160197,-1.437513573798631
primary_common,full,10,INDEPENDENT_BRIDGE,58,58,0.5868390936085623,0.41971815332409673,-0.05781372728461481,58,5.028433969927337,3.650918284739893,-0.1443150846291781,58,5.437499569415547,3.8988480598908968,-0.11190974141423575
primary_common,full,11,CORE_AGG_MONTHLY_R13,56,56,0.4682876350492097,0.3602750705789444,0.04096876920338167,56,4.66095559523969,3.669302338395458,-0.8792043564369544,56,4.961859756531762,3.8794874280302376,-0.9746416619244905
primary_common,full,11,CORE_AGG_CUMULATIVE_R13,56,56,0.4415546782913353,0.3341406100846233,-0.040346366085196594,56,4.816446397281892,3.71752955643219,-1.2771328691949473,56,5.1209281493261525,3.9236162192448547,-1.396137308259703
primary_common,full,11,CORE_SPLIT_MONTHLY_R13,56,56,0.47097726676242924,0.3594873223850051,0.017203054596876304,56,4.63110527139503,3.6004846677686158,-0.9360697859995405,56,4.928884680928233,3.8046131787803894,-1.0365949333161255
primary_common,full,11,CORE_SPLIT_CUMULATIVE_R13,56,56,0.4613135705447418,0.3526376812175922,-0.053479071411250696,56,4.885824451291816,3.77246984950997,-1.3715522281510417,56,5.192197591870741,3.9796756597034175,-1.4946248713887387
primary_common,full,11,INDEPENDENT_BRIDGE,56,56,0.5961295367022568,0.4403541752962306,0.08823766556939394,56,5.589411145316746,4.031230945443281,0.012125224480087904,56,6.092370356151471,4.337183942624832,0.061569963127509064
primary_common,full,12,CORE_AGG_MONTHLY_R13,54,54,0.5048921101089481,0.40357411466539395,0.060638153764494655,54,5.104029039325294,4.051017413770696,-0.7791154269018371,54,5.4648643095031755,4.30484067726273,-0.8850631699199129
primary_common,full,12,CORE_AGG_CUMULATIVE_R13,54,54,0.7264781226918398,0.6059878204493037,-0.16437973767504735,54,5.409344846193188,4.237286368722651,-1.4152821543580199,54,5.776592031467015,4.489214034911226,-1.5598578987568927
primary_common,full,12,CORE_SPLIT_MONTHLY_R13,54,54,0.46060900225301665,0.3694029601933114,0.04004908280232638,54,5.0443076819749075,3.955619955448475,-0.8471230884778981,54,5.400392270538684,4.201093987588524,-0.9598522899505112
primary_common,full,12,CORE_SPLIT_CUMULATIVE_R13,54,54,0.6918184461803382,0.5747675557491836,-0.18838447103133918,54,5.461153610102102,4.29461145591727,-1.5271022007136181,54,5.829316537926887,4.54769780664295,-1.67613613260911
primary_common,full,12,INDEPENDENT_BRIDGE,54,54,0.6201491100532696,0.4618899306783578,0.12588088803597244,54,6.189806570190842,4.465925702431418,0.2176079437479255,54,6.794913864061232,4.836621129339584,0.28641818206911873
primary_common,recent_targets,1,CORE_AGG_MONTHLY_R13,31,31,0.2531948142791872,0.2024298276227391,0.08423903450170489,31,0.2531948142791872,0.2024298276227391,0.08423903450170489,31,0.2531948142791872,0.20242982762273912,0.08423903450170488
primary_common,recent_targets,1,CORE_AGG_CUMULATIVE_R13,31,31,0.2531948142791872,0.2024298276227391,0.08423903450170489,31,0.2531948142791872,0.2024298276227391,0.08423903450170489,31,0.2531948142791872,0.20242982762273912,0.08423903450170488
primary_common,recent_targets,1,CORE_SPLIT_MONTHLY_R13,31,31,0.23170627237743757,0.18297929897728754,0.07685124424943206,31,0.23170627237743757,0.18297929897728754,0.07685124424943206,31,0.23170627237743757,0.18297929897728757,0.07685124424943203
primary_common,recent_targets,1,CORE_SPLIT_CUMULATIVE_R13,31,31,0.23170627237743757,0.18297929897728754,0.07685124424943206,31,0.23170627237743757,0.18297929897728754,0.07685124424943206,31,0.23170627237743757,0.18297929897728757,0.07685124424943203
primary_common,recent_targets,1,INDEPENDENT_BRIDGE,31,31,0.22454759440903632,0.18672030537156056,-0.028297050607042958,31,0.22454759440903632,0.18672030537156056,-0.028297050607042958,31,0.22454759440903638,0.18672030537156067,-0.028297050607042944
primary_common,recent_targets,2,CORE_AGG_MONTHLY_R13,31,31,0.2459848875941641,0.201250730774271,0.0922035213772921,31,0.39852214248185625,0.3383729662785263,0.19235758536727823,31,0.3996020867662055,0.33921701436901663,0.19300033601439345
primary_common,recent_targets,2,CORE_AGG_CUMULATIVE_R13,31,31,0.24009393081524008,0.1909511244690878,0.09550495088692988,31,0.3928798351500559,0.331657236264664,0.19565901487691603,31,0.3939443048141728,0.3324883298272805,0.19631465460766243
primary_common,recent_targets,2,CORE_SPLIT_MONTHLY_R13,31,31,0.224986012365848,0.17338694440035626,0.08940994110353216,31,0.35641691754451915,0.30250942270936376,0.18566868010844223,31,0.35735804861149845,0.30328552844881984,0.1862927992970849
primary_common,recent_targets,2,CORE_SPLIT_CUMULATIVE_R13,31,31,0.2235231386166256,0.16934338836471824,0.09564226873955352,31,0.3570159687697792,0.3032000958234205,0.19190100774446353,31,0.3579751085921281,0.3039920556163346,0.19254380894831988
primary_common,recent_targets,2,INDEPENDENT_BRIDGE,31,31,0.19979777465896156,0.15884909107247594,-0.025610522181855316,31,0.35862596029058597,0.30751537535869167,-0.037325708652826625,31,0.3595233620429977,0.30818756530460384,-0.03724268237019879
primary_common,recent_targets,3,CORE_AGG_MONTHLY_R13,31,31,0.2401175144963743,0.1990568981378896,0.09518053920398889,31,0.4826239418382842,0.39431723435596167,0.30418030943068813,31,0.4851697774353179,0.39708116538837535,0.3065057482274397
primary_common,recent_targets,3,CORE_AGG_CUMULATIVE_R13,31,31,0.2282701871934996,0.18104764287816874,0.09832050132738744,31,0.4701728859822675,0.3754619481005557,0.3109801074912091,31,0.4726277087246304,0.3781168654288262,0.31329723204442167
primary_common,recent_targets,3,CORE_SPLIT_MONTHLY_R13,31,31,0.23316657723655004,0.18275019571151888,0.10290341347294799,31,0.4311574715765477,0.3661342282047193,0.3121614874709033,31,0.4337104825176926,0.36881347937479575,0.3145749349381003
primary_common,recent_targets,3,CORE_SPLIT_CUMULATIVE_R13,31,31,0.24371642931468865,0.1962559757934865,0.10715776671257274,31,0.4457352895033105,0.36816507871293,0.3230876727381581,31,0.44833745633061317,0.37075427874949357,0.3255209098901637
primary_common,recent_targets,3,INDEPENDENT_BRIDGE,31,31,0.18058646619238883,0.14681329773856192,-0.005700253485176867,31,0.42431180704567134,0.36567092495580517,-0.03338199384568099,31,0.4259097087687096,0.3669544926570588,-0.03292693969145795
primary_common,recent_targets,4,CORE_AGG_MONTHLY_R13,31,31,0.24735252844954583,0.18798650824882251,0.08378292815033847,31,0.6073220957698271,0.4929396255059101,0.417210682452741,31,0.6126309091301121,0.4980058323118334,0.4218458037310571
primary_common,recent_targets,4,CORE_AGG_CUMULATIVE_R13,31,31,0.2433592801703972,0.17716435545068474,0.08707338251967008,31,0.6013660251080329,0.48042615522681115,0.4272203848211945,31,0.606612741616666,0.4853660243773586,0.43185133220188454
primary_common,recent_targets,4,CORE_SPLIT_MONTHLY_R13,31,31,0.2526189269783087,0.18959350856297963,0.10061567897247187,31,0.5568668129443383,0.4766067732700679,0.43666429710358845,31,0.5621299275811003,0.481604361896533,0.44144358211037943
primary_common,recent_targets,4,CORE_SPLIT_CUMULATIVE_R13,31,31,0.258805904297268,0.20011483518497938,0.10301628017667895,31,0.5610692218410426,0.4786812600178162,0.4502128204567356,31,0.5663382881370657,0.48372867092460115,0.4550646742285744
primary_common,recent_targets,4,INDEPENDENT_BRIDGE,31,31,0.17421860024305452,0.1425308166441056,-0.011110855588603889,31,0.5069731153678302,0.4234347784066646,-0.015519858254223124,31,0.5101200758074912,0.4258427300352576,-0.014146592703183206
primary_common,recent_targets,5,CORE_AGG_MONTHLY_R13,31,31,0.26222407017820887,0.19031857364226615,0.09344380784931153,31,0.7751026089062296,0.6280294759154664,0.5603619194925147,31,0.7845493534227922,0.6364053009319736,0.5682216068256142
primary_common,recent_targets,5,CORE_AGG_CUMULATIVE_R13,31,31,0.3251643581817096,0.23359951974249474,0.11629721071382225,31,0.850203568247155,0.6534008062112879,0.5927518274301448,31,0.859949971930039,0.6617321433304592,0.600736271098028
primary_common,recent_targets,5,CORE_SPLIT_MONTHLY_R13,31,31,0.26828017050427416,0.2015635062582766,0.10588533305727652,31,0.7200417981007948,0.6079954969868535,0.5788608051395638,31,0.729020409527664,0.6161627784404706,0.5867694368988219
primary_common,recent_targets,5,CORE_SPLIT_CUMULATIVE_R13,31,31,0.2723066742974776,0.19679027408775646,0.11759631231341411,31,0.7483508026195403,0.6285095571959134,0.604467674306573,31,0.7574034321318186,0.6368220999361802,0.6125577649444497
primary_common,recent_targets,5,INDEPENDENT_BRIDGE,31,31,0.2231181564120637,0.15702750550694486,-0.016872638283044205,31,0.6619271024296237,0.5517482173616447,0.013936373228399883,31,0.6674535924147343,0.5560154339136469,0.016054406938005077
primary_common,recent_targets,6,CORE_AGG_MONTHLY_R13,31,31,0.2629930479938389,0.20058233799984296,0.13444350918281106,31,0.9219303700771965,0.7966299303721969,0.7281135653434216,31,0.9365679140154383,0.8096981254190758,0.7402786884161126
primary_common,recent_targets,6,CORE_AGG_CUMULATIVE_R13,31,31,0.34404290046810265,0.27747515409941526,0.1272986659337575,31,0.9497755551451443,0.8106670095908242,0.7547598253057434,31,0.963697979920396,0.8234029235506486,0.7666985535762406
primary_common,recent_targets,6,CORE_SPLIT_MONTHLY_R13,31,31,0.2602625315197766,0.1972505302371625,0.13708316858488326,31,0.8766473912935847,0.766168859803251,0.7402402217722345,31,0.8907888809373982,0.7787804190426746,0.7524915764379806
primary_common,recent_targets,6,CORE_SPLIT_CUMULATIVE_R13,31,31,0.29198361976385123,0.23462310658261196,0.1441523336680156,31,0.9167559295705185,0.7963427354800127,0.7739204557292801,31,0.9310252006796218,0.8092334137770993,0.7864787365674842
