sample,h,model,control,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,7,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,64,2.1557530640963254,-0.520552933019645,6.298163333597179,12,2000,1309
full,7,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,64,3.0788195877960374,-0.12899110083111,8.156574210490362,12,2000,1309
full,7,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,64,1.826364967783349,-0.32770739527031484,5.215063794068,12,2000,1309
full,7,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,64,2.893056179259365,-0.17046712943187897,7.6577685267397,12,2000,1309
full,7,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,40,1.2877517174900805,0.8990365263134881,1.7167838324980218,12,2000,1309
full,7,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,40,0.7413578860214406,0.38922543015728217,1.1225248562334789,12,2000,1309
full,7,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,64,0.9230665236997128,0.0007430216629148405,2.4368069724541326,12,2000,1309
full,7,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,64,1.0666912114760159,0.017953750473730233,2.7762168875670925,12,2000,1309
full,7,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,64,-0.3293880963129764,-1.0249081169571899,0.1732978018586802,12,2000,1309
full,7,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,64,-0.1857634085366729,-0.5708940570935402,0.12856210445405658,12,2000,1309
full,7,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,40,0.5463938314686401,0.4152947447397106,0.6606919298033184,12,2000,1309
full,8,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,62,3.8670973378205518,-0.03465946273103615,10.018628366216905,12,2000,1309
full,8,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,62,5.171295697683436,0.11599523110147,12.97082544855796,12,2000,1309
full,8,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,62,3.369642148246606,-0.10995558137274968,8.956846914344899,12,2000,1309
full,8,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,62,4.936158442136401,-0.05129955499022151,12.69562017990733,12,2000,1309
full,8,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,38,1.4012434320975866,0.7063588605426633,2.0154275488778177,12,2000,1309
full,8,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,38,0.5923709270990192,-0.009004068052162601,1.194359441398589,12,2000,1309
