sample,h,model,n,yy_rmse,yy_bias
origins_2024_on,7,TVWQRF_QRF_MEDIAN_FULL,24,0.7170831153039275,-0.365242961829906
origins_2024_on,7,TVWQRF_QRF_MEDIAN_INDEP,24,0.6935189092801056,-0.22239645610763695
origins_2024_on,7,TVWQRF_TVW3_FULL,24,0.8049854901523615,-0.14151391629857324
origins_2024_on,7,TVWQRF_TVW3_INDEP,24,0.8142553267135467,-0.13035825889431904
origins_2024_on,8,F1b,23,0.8088020430426202,0.3705616863636938
origins_2024_on,8,F2_D1_fixed,23,0.5427660533917081,0.20839452537688294
origins_2024_on,8,NAIVE_C,23,3.197734808466234,3.068365020213731
origins_2024_on,8,RW_C,23,1.0691021731313315,0.34569842069065115
origins_2024_on,8,TVWQRF_QRF_MEAN_FULL,23,0.6033693778699283,0.2864519502366689
origins_2024_on,8,TVWQRF_QRF_MEAN_INDEP,23,0.8088759784636562,0.5141031556256349
origins_2024_on,8,TVWQRF_QRF_MEDIAN_FULL,23,0.6645269105186935,-0.33427835630185
origins_2024_on,8,TVWQRF_QRF_MEDIAN_INDEP,23,0.5669033338977273,-0.1507669866843865
origins_2024_on,8,TVWQRF_TVW3_FULL,23,0.7571395007956576,-0.13704451242973748
origins_2024_on,8,TVWQRF_TVW3_INDEP,23,0.7251162166772648,-0.11338936432296211
origins_2024_on,9,F1b,22,0.8820116871204483,0.49425603640081284
origins_2024_on,9,F2_D1_fixed,22,0.5067779832385249,0.22289096265473904
origins_2024_on,9,NAIVE_C,22,3.5435919187583957,3.4313956717645198
origins_2024_on,9,RW_C,22,1.0393692774231098,0.36470707884493037
origins_2024_on,9,TVWQRF_QRF_MEAN_FULL,22,0.5630410058489813,0.35452603395338467
origins_2024_on,9,TVWQRF_QRF_MEAN_INDEP,22,0.8658274939250374,0.6176928721009144
origins_2024_on,9,TVWQRF_QRF_MEDIAN_FULL,22,0.5981315690910416,-0.36978843789862326
origins_2024_on,9,TVWQRF_QRF_MEDIAN_INDEP,22,0.500876741399188,-0.15855306551509946
origins_2024_on,9,TVWQRF_TVW3_FULL,22,0.79376474887117,-0.15768905902136482
origins_2024_on,9,TVWQRF_TVW3_INDEP,22,0.760883045886544,-0.14300864889608847
origins_2024_on,10,F1b,21,1.0070410871740403,0.5836161630438345
origins_2024_on,10,F2_D1_fixed,21,0.4649264242460467,0.23620798273106297
origins_2024_on,10,NAIVE_C,21,3.8799680472918228,3.8118657414576727
origins_2024_on,10,RW_C,21,1.1285576040494334,0.4073243838090042
origins_2024_on,10,TVWQRF_QRF_MEAN_FULL,21,0.7464469171067704,0.47375825888815537
origins_2024_on,10,TVWQRF_QRF_MEAN_INDEP,21,1.0770215690639235,0.7999280028169545
origins_2024_on,10,TVWQRF_QRF_MEDIAN_FULL,21,0.6953729318186014,-0.3923132243074753
origins_2024_on,10,TVWQRF_QRF_MEDIAN_INDEP,21,0.559441072063598,-0.15720680807701864
origins_2024_on,10,TVWQRF_TVW3_FULL,21,1.0077602027875703,-0.16210919303736765
origins_2024_on,10,TVWQRF_TVW3_INDEP,21,0.9283341273456592,-0.15889370313752466
origins_2024_on,11,F1b,20,1.162591550195339,0.6559497642457528
origins_2024_on,11,F2_D1_fixed,20,0.4908681746711628,0.2729055628840817
origins_2024_on,11,NAIVE_C,20,4.28949285112364,4.2429805676906645
origins_2024_on,11,RW_C,20,1.171404861088874,0.4447190918472567
