scope,sample,h,model,n_intended_origins,n_available_targets,n_own_forecasts,n_common,yy_n,yy_rmse,yy_mae,yy_bias,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_log_n,cumulative_log_rmse,cumulative_log_mae,cumulative_log_bias
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,4,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,86,86,83,83,2.7570295602589847,1.7304149626090506,-1.0302593111125518,83,0.9330788371698919,0.5502099102878537,-0.22390032578336783,83,2.1964734995891164,1.4477394595989668,-0.7747186827767434
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,5,INDEPENDENT_BRIDGE,90,85,82,82,82,2.16847594258856,1.422114230558286,-0.5459131715251515,82,0.8148155161639437,0.4648324537280948,-0.1256591571106719,82,1.8759034409507767,1.2686132262609862,-0.4741300858742779
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,5,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,85,85,82,82,3.036140667209398,1.8852693203368225,-1.2901636762127657,82,0.9348187866377079,0.5588066008654712,-0.2434247523833911,82,2.4799932179907733,1.579767964725321,-1.0172491593951536
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,6,INDEPENDENT_BRIDGE,90,84,81,81,81,2.516379371214503,1.5996315808539054,-0.6833580329573764,81,0.8213270928753271,0.5056562898471161,-0.12608909193469395,81,2.185917627700176,1.3997620966515596,-0.5959973367110325
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,6,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,84,84,81,81,3.4140068681991598,2.097887607166267,-1.5903081338077303,81,0.9796977285061693,0.561579275947436,-0.2763150295532453,81,2.793811751765958,1.7181912579036533,-1.2899315100125885
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,7,INDEPENDENT_BRIDGE,90,83,80,80,80,2.9913320570711575,1.9160059597099122,-0.8248089756541119,80,0.888697898214253,0.5346138048686596,-0.12653440273092914,80,2.6062226248164473,1.6625958978610733,-0.7248862589626366
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,7,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,83,83,80,80,3.8251724724398426,2.3591247742691657,-1.8922540519592594,80,0.9704189953491164,0.5475811266156307,-0.2829227827341929,80,3.1935093186663734,1.9852822323437032,-1.5758005679877445
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,8,INDEPENDENT_BRIDGE,90,82,79,79,79,3.333292762520484,2.1966168777336277,-0.9649227576127071,79,0.8607498828881185,0.5229777514592107,-0.11825536480552136,79,2.9397725918627717,1.9356649711482516,-0.849668348281941
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,8,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,82,82,79,79,4.281875762870467,2.670588717390096,-2.1707320452939007,79,1.0113349862893233,0.5952374935857909,-0.2509362635158372,79,3.625962735445663,2.28861737481075,-1.8260325315641281
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,9,INDEPENDENT_BRIDGE,90,81,78,78,78,3.9216066990467007,2.5892665608340737,-1.1028651078373797,78,0.9140934283020833,0.5454614548654777,-0.10957426452847724,78,3.4582601600257483,2.2952437084107857,-0.9684479091197665
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,9,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,81,81,78,78,4.744661697800689,3.0058269918585188,-2.486351064048034,78,1.0000390957453216,0.5745118225994609,-0.2756884517789817,78,4.058300932791099,2.538515538327713,-2.1087111115768002
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,10,INDEPENDENT_BRIDGE,90,80,77,77,77,4.498759705784156,2.955190171281076,-1.2791015441879718,77,0.8824674425173554,0.5329817708331575,-0.14298135759852232,77,3.983114404894266,2.6416161325848457,-1.1286476768863287
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,10,TVWQRF_QRF_MEDIAN_FULL_OWNH0,90,80,80,77,77,5.226839382279762,3.3176064539661607,-2.7878139494763547,77,1.0103133536010893,0.5839720913104768,-0.2654487005532891,77,4.512060849283252,2.862728319378904,-2.3891455898076024
paired_TVWQRF_QRF_MEDIAN_FULL_OWNH0,full,11,INDEPENDENT_BRIDGE,90,79,76,76,76,5.002024433226823,3.3300811188685526,-1.4233545170754651,76,0.8828615613773976,0.5362989591759597,-0.09969219942625325,76,4.448561864625155,2.997984646419258,-1.256680197720874
