origin,model,status,n_train_1,n_train_2,band1_status,band2_status,band1_alpha,band2_alpha
2019-07,PRESS_ULC_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-07,PRESS_DOMESTIC_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-07,PRESS_MOMENTUM_R23B,estimated,33,32,no_correction_validated,nested_selected,,0.3
2019-07,PRESS_JOINT_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-07,PRESS_SIGNED_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-07,PRESS_LEVELS_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-08,PRESS_ULC_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-08,PRESS_DOMESTIC_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-08,PRESS_MOMENTUM_R23B,estimated,33,32,no_correction_validated,nested_selected,,0.3
2019-08,PRESS_JOINT_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-08,PRESS_SIGNED_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-08,PRESS_LEVELS_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-09,PRESS_ULC_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-09,PRESS_DOMESTIC_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-09,PRESS_MOMENTUM_R23B,estimated,33,32,no_correction_validated,nested_selected,,0.3
2019-09,PRESS_JOINT_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-09,PRESS_SIGNED_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-09,PRESS_LEVELS_R23B,estimated,33,32,no_correction_validated,no_correction_validated,,
2019-10,PRESS_ULC_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-10,PRESS_DOMESTIC_R23B,estimated,34,33,nested_selected,no_correction_validated,10.0,
2019-10,PRESS_MOMENTUM_R23B,estimated,34,33,no_correction_validated,nested_selected,,0.3
2019-10,PRESS_JOINT_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-10,PRESS_SIGNED_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-10,PRESS_LEVELS_R23B,estimated,34,33,nested_selected,nested_selected,30.0,30.0
2019-11,PRESS_ULC_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-11,PRESS_DOMESTIC_R23B,estimated,34,33,nested_selected,no_correction_validated,10.0,
2019-11,PRESS_MOMENTUM_R23B,estimated,34,33,no_correction_validated,nested_selected,,0.3
2019-11,PRESS_JOINT_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-11,PRESS_SIGNED_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-11,PRESS_LEVELS_R23B,estimated,34,33,nested_selected,nested_selected,30.0,30.0
2019-12,PRESS_ULC_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-12,PRESS_DOMESTIC_R23B,estimated,34,33,nested_selected,no_correction_validated,10.0,
2019-12,PRESS_MOMENTUM_R23B,estimated,34,33,no_correction_validated,nested_selected,,0.3
2019-12,PRESS_JOINT_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-12,PRESS_SIGNED_R23B,estimated,34,33,no_correction_validated,no_correction_validated,,
2019-12,PRESS_LEVELS_R23B,estimated,34,33,nested_selected,nested_selected,30.0,30.0
2020-01,PRESS_ULC_R23B,estimated,35,34,no_correction_validated,nested_selected,,30.0
2020-01,PRESS_DOMESTIC_R23B,estimated,35,34,no_correction_validated,nested_selected,,10.0
2020-01,PRESS_MOMENTUM_R23B,estimated,35,34,nested_selected,nested_selected,0.3,0.3
2020-01,PRESS_JOINT_R23B,estimated,35,34,no_correction_validated,nested_selected,,3.0
2020-01,PRESS_SIGNED_R23B,estimated,35,34,no_correction_validated,nested_selected,,10.0
2020-01,PRESS_LEVELS_R23B,estimated,35,34,no_correction_validated,nested_selected,,3.0
2020-02,PRESS_ULC_R23B,estimated,35,34,no_correction_validated,nested_selected,,30.0
2020-02,PRESS_DOMESTIC_R23B,estimated,35,34,no_correction_validated,nested_selected,,10.0
2020-02,PRESS_MOMENTUM_R23B,estimated,35,34,nested_selected,nested_selected,0.3,0.3
2020-02,PRESS_JOINT_R23B,estimated,35,34,no_correction_validated,nested_selected,,3.0
2020-02,PRESS_SIGNED_R23B,estimated,35,34,no_correction_validated,nested_selected,,10.0
2020-02,PRESS_LEVELS_R23B,estimated,35,34,no_correction_validated,nested_selected,,3.0
2020-03,PRESS_ULC_R23B,estimated,35,34,no_correction_validated,nested_selected,,30.0
2020-03,PRESS_DOMESTIC_R23B,estimated,35,34,no_correction_validated,nested_selected,,10.0
2020-03,PRESS_MOMENTUM_R23B,estimated,35,34,nested_selected,nested_selected,0.3,0.3
2020-03,PRESS_JOINT_R23B,estimated,35,34,no_correction_validated,nested_selected,,3.0
2020-03,PRESS_SIGNED_R23B,estimated,35,34,no_correction_validated,nested_selected,,10.0
2020-03,PRESS_LEVELS_R23B,estimated,35,34,no_correction_validated,nested_selected,,3.0
2020-04,PRESS_ULC_R23B,estimated,36,35,nested_selected,nested_selected,30.0,10.0
2020-04,PRESS_DOMESTIC_R23B,estimated,36,35,no_correction_validated,nested_selected,,3.0
2020-04,PRESS_MOMENTUM_R23B,estimated,36,35,no_correction_validated,nested_selected,,0.3
2020-04,PRESS_JOINT_R23B,estimated,36,35,no_correction_validated,nested_selected,,3.0
2020-04,PRESS_SIGNED_R23B,estimated,36,35,no_correction_validated,nested_selected,,10.0
2020-04,PRESS_LEVELS_R23B,estimated,36,35,nested_selected,nested_selected,30.0,3.0
2020-05,PRESS_ULC_R23B,estimated,36,35,nested_selected,nested_selected,30.0,10.0
2020-05,PRESS_DOMESTIC_R23B,estimated,36,35,no_correction_validated,nested_selected,,3.0
2020-05,PRESS_MOMENTUM_R23B,estimated,36,35,no_correction_validated,nested_selected,,0.3
2020-05,PRESS_JOINT_R23B,estimated,36,35,no_correction_validated,nested_selected,,3.0
2020-05,PRESS_SIGNED_R23B,estimated,36,35,no_correction_validated,nested_selected,,10.0
2020-05,PRESS_LEVELS_R23B,estimated,36,35,nested_selected,nested_selected,30.0,3.0
2020-06,PRESS_ULC_R23B,estimated,36,35,nested_selected,nested_selected,30.0,10.0
2020-06,PRESS_DOMESTIC_R23B,estimated,36,35,no_correction_validated,nested_selected,,3.0
2020-06,PRESS_MOMENTUM_R23B,estimated,36,35,no_correction_validated,nested_selected,,0.3
2020-06,PRESS_JOINT_R23B,estimated,36,35,no_correction_validated,nested_selected,,3.0
2020-06,PRESS_SIGNED_R23B,estimated,36,35,no_correction_validated,nested_selected,,10.0
2020-06,PRESS_LEVELS_R23B,estimated,36,35,nested_selected,nested_selected,30.0,3.0
2020-07,PRESS_ULC_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-07,PRESS_DOMESTIC_R23B,estimated,37,36,no_correction_validated,nested_selected,,10.0
2020-07,PRESS_MOMENTUM_R23B,estimated,37,36,no_correction_validated,nested_selected,,0.3
2020-07,PRESS_JOINT_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-07,PRESS_SIGNED_R23B,estimated,37,36,no_correction_validated,nested_selected,,10.0
2020-07,PRESS_LEVELS_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-08,PRESS_ULC_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-08,PRESS_DOMESTIC_R23B,estimated,37,36,no_correction_validated,nested_selected,,10.0
2020-08,PRESS_MOMENTUM_R23B,estimated,37,36,no_correction_validated,nested_selected,,0.3
2020-08,PRESS_JOINT_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-08,PRESS_SIGNED_R23B,estimated,37,36,no_correction_validated,nested_selected,,10.0
2020-08,PRESS_LEVELS_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-09,PRESS_ULC_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-09,PRESS_DOMESTIC_R23B,estimated,37,36,no_correction_validated,nested_selected,,10.0
2020-09,PRESS_MOMENTUM_R23B,estimated,37,36,no_correction_validated,nested_selected,,0.3
2020-09,PRESS_JOINT_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-09,PRESS_SIGNED_R23B,estimated,37,36,no_correction_validated,nested_selected,,10.0
2020-09,PRESS_LEVELS_R23B,estimated,37,36,no_correction_validated,nested_selected,,3.0
2020-10,PRESS_ULC_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-10,PRESS_DOMESTIC_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-10,PRESS_MOMENTUM_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-10,PRESS_JOINT_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-10,PRESS_SIGNED_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-10,PRESS_LEVELS_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-11,PRESS_ULC_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-11,PRESS_DOMESTIC_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-11,PRESS_MOMENTUM_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-11,PRESS_JOINT_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-11,PRESS_SIGNED_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-11,PRESS_LEVELS_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-12,PRESS_ULC_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-12,PRESS_DOMESTIC_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-12,PRESS_MOMENTUM_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-12,PRESS_JOINT_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-12,PRESS_SIGNED_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2020-12,PRESS_LEVELS_R23B,estimated,38,37,no_correction_validated,no_correction_validated,,
2021-01,PRESS_ULC_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-01,PRESS_DOMESTIC_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-01,PRESS_MOMENTUM_R23B,estimated,39,38,nested_selected,nested_selected,0.3,0.3
2021-01,PRESS_JOINT_R23B,estimated,39,38,nested_selected,no_correction_validated,30.0,
2021-01,PRESS_SIGNED_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-01,PRESS_LEVELS_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-02,PRESS_ULC_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-02,PRESS_DOMESTIC_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-02,PRESS_MOMENTUM_R23B,estimated,39,38,nested_selected,nested_selected,0.3,0.3
2021-02,PRESS_JOINT_R23B,estimated,39,38,nested_selected,no_correction_validated,30.0,
2021-02,PRESS_SIGNED_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-02,PRESS_LEVELS_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-03,PRESS_ULC_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-03,PRESS_DOMESTIC_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-03,PRESS_MOMENTUM_R23B,estimated,39,38,nested_selected,nested_selected,0.3,0.3
2021-03,PRESS_JOINT_R23B,estimated,39,38,nested_selected,no_correction_validated,30.0,
2021-03,PRESS_SIGNED_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-03,PRESS_LEVELS_R23B,estimated,39,38,no_correction_validated,no_correction_validated,,
2021-04,PRESS_ULC_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-04,PRESS_DOMESTIC_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-04,PRESS_MOMENTUM_R23B,estimated,40,39,nested_selected,nested_selected,0.3,0.3
2021-04,PRESS_JOINT_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-04,PRESS_SIGNED_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-04,PRESS_LEVELS_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-05,PRESS_ULC_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-05,PRESS_DOMESTIC_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-05,PRESS_MOMENTUM_R23B,estimated,40,39,nested_selected,nested_selected,0.3,0.3
2021-05,PRESS_JOINT_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-05,PRESS_SIGNED_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-05,PRESS_LEVELS_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-06,PRESS_ULC_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-06,PRESS_DOMESTIC_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-06,PRESS_MOMENTUM_R23B,estimated,40,39,nested_selected,nested_selected,0.3,0.3
2021-06,PRESS_JOINT_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-06,PRESS_SIGNED_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-06,PRESS_LEVELS_R23B,estimated,40,39,no_correction_validated,no_correction_validated,,
2021-07,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-07,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-07,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-07,PRESS_JOINT_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2021-07,PRESS_SIGNED_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-07,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-08,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-08,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-08,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-08,PRESS_JOINT_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2021-08,PRESS_SIGNED_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-08,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-09,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-09,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-09,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-09,PRESS_JOINT_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2021-09,PRESS_SIGNED_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-09,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-10,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2021-10,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-10,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-10,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-10,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,no_correction_validated,0.3,
2021-10,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-11,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2021-11,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-11,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-11,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-11,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,no_correction_validated,0.3,
2021-11,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-12,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2021-12,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2021-12,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-12,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2021-12,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,no_correction_validated,0.3,
2021-12,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-01,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-01,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-01,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-01,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-01,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-01,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-02,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-02,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-02,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-02,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-02,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-02,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-03,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-03,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-03,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-03,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-03,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-03,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-04,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-04,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-04,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-04,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-04,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-04,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-05,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-05,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-05,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-05,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-05,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-05,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-06,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-06,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-06,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-06,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-06,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-06,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-07,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-07,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-07,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-07,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-07,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-07,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-08,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-08,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-08,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-08,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-08,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-08,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-09,PRESS_ULC_R23B,estimated,40,40,no_correction_validated,nested_selected,,0.3
2022-09,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-09,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-09,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-09,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-09,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-10,PRESS_ULC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-10,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-10,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-10,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-10,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-10,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-11,PRESS_ULC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-11,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-11,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-11,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-11,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-11,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-12,PRESS_ULC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-12,PRESS_DOMESTIC_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2022-12,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-12,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-12,PRESS_SIGNED_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2022-12,PRESS_LEVELS_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2023-01,PRESS_ULC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2023-01,PRESS_DOMESTIC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2023-01,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,no_correction_validated,0.3,
2023-01,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2023-01,PRESS_SIGNED_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2023-01,PRESS_LEVELS_R23B,estimated,40,40,nested_selected,nested_selected,3.0,0.3
2023-02,PRESS_ULC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2023-02,PRESS_DOMESTIC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2023-02,PRESS_MOMENTUM_R23B,estimated,40,40,nested_selected,no_correction_validated,0.3,
2023-02,PRESS_JOINT_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2023-02,PRESS_SIGNED_R23B,estimated,40,40,no_correction_validated,no_correction_validated,,
2023-02,PRESS_LEVELS_R23B,estimated,40,40,nested_selected,nested_selected,3.0,0.3
2023-03,PRESS_ULC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
2023-03,PRESS_DOMESTIC_R23B,estimated,40,40,nested_selected,nested_selected,0.3,0.3
