origin,as_of,feature,reference,last_publication,units,value,status
2010-11,2010-12-08 23:59:00,tightening,2010-10,2010-12-02T00:00:00,"negative unemployment change12, pp",0.3000000000000007,available
2010-11,2010-12-08 23:59:00,import_gap,2010-09,,"relative price gap, log points",,missing_required_history
2010-11,2010-12-08 23:59:00,ppi_gap,2010-10,2010-11-26T00:00:00,"relative price gap, log points",0.4207376582443203,available
2010-11,2010-12-08 23:59:00,fx_news,2010-11,2010-12-01T00:00:00,FX log change since import reference,-0.0568089611122888,available
2010-11,2010-12-08 23:59:00,ulc_sameq,2010Q2,2010-09-13T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",3.169793587181971,available
2010-11,2010-12-08 23:59:00,import_mom,2010-09,2010-11-14T00:00:00,"six-month import-price change less six-month core change, log points",1.6833146653193922,available
2010-11,2010-12-08 23:59:00,ppi_mom,2010-10,2010-11-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.5712954562975627,available
2010-12,2011-01-09 23:59:00,tightening,2010-11,2011-01-01T00:00:00,"negative unemployment change12, pp",0.40000000000000036,available
2010-12,2011-01-09 23:59:00,import_gap,2010-10,,"relative price gap, log points",,missing_required_history
2010-12,2011-01-09 23:59:00,ppi_gap,2010-11,2010-12-26T00:00:00,"relative price gap, log points",1.0383964681630573,available
2010-12,2011-01-09 23:59:00,fx_news,2010-12,2011-01-01T00:00:00,FX log change since import reference,2.5720360888489067,available
2010-12,2011-01-09 23:59:00,ulc_sameq,2010Q3,2010-12-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",5.52625038403437,available
2010-12,2011-01-09 23:59:00,import_mom,2010-10,2010-12-15T00:00:00,"six-month import-price change less six-month core change, log points",0.11569715193202579,available
2010-12,2011-01-09 23:59:00,ppi_mom,2010-11,2010-12-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.2220235945954736,available
2011-01,2011-02-08 23:59:00,tightening,2010-12,2011-02-01T00:00:00,"negative unemployment change12, pp",0.6000000000000005,available
2011-01,2011-02-08 23:59:00,import_gap,2010-11,,"relative price gap, log points",,missing_required_history
2011-01,2011-02-08 23:59:00,ppi_gap,2010-12,2011-01-26T00:00:00,"relative price gap, log points",2.3596490282126865,available
2011-01,2011-02-08 23:59:00,fx_news,2011-01,2011-02-01T00:00:00,FX log change since import reference,-0.7660062717076935,available
