model,omitted_period,n,reference_rmse,candidate_rmse,relative_rmse_gain
BROAD_AGG_CONTROL,2024-10,89,0.42021136638472745,0.4156806514140407,0.010781990524593832
BROAD_AGG_CONTROL,2024-11,89,0.4202801526412135,0.4154340647732618,0.011530613181462201
BROAD_AGG_CONTROL,2024-12,89,0.41905396025863934,0.4148131438978006,0.010119976812106302
BROAD_AGG_CONTROL,2025-01,89,0.4198793093534417,0.4153158260438927,0.010868559626279639
BROAD_AGG_CONTROL,2025-02,89,0.42007624200847327,0.4144895286798802,0.01329928420108173
BROAD_AGG_CONTROL,2025-03,89,0.42021975116470384,0.4156437737190474,0.010889486829149253
BROAD_AGG_CONTROL,2025-04,89,0.4191768916386103,0.41526952530371797,0.009321521326278281
BROAD_AGG_CONTROL,2025-05,89,0.4195326494018781,0.4152363002558684,0.010240798069315882
BROAD_AGG_CONTROL,2025-06,89,0.4201942480003772,0.4156697561494381,0.010767619672259476
BROAD_AGG_CONTROL,2025-07,89,0.4202890302486624,0.4149918064024291,0.012603764231246206
BROAD_AGG_CONTROL,2025-08,89,0.42028628724075384,0.41564000082712305,0.011055051175079766
BROAD_AGG_CONTROL,2025-09,89,0.42009951624484654,0.41569354175925904,0.01048793039556739
BROAD_AGG_CONTROL,2025-10,89,0.419389732022151,0.41520295258103235,0.009983028008176298
BROAD_AGG_CONTROL,2025-11,89,0.4189737806105335,0.4141509544543036,0.011511045271620501
BROAD_AGG_CONTROL,2025-12,89,0.4202888734971607,0.41564653777494165,0.011045583204691733
BROAD_AGG_CONTROL,2026-01,89,0.420261526036291,0.4156942229746954,0.010867763948492537
BROAD_AGG_CONTROL,2026-02,89,0.41987947586660646,0.4149581097144211,0.011720901913645498
BROAD_AGG_CONTROL,2026-03,89,0.4202892347969995,0.41562844092034645,0.011089491452009659
BROAD_AGG_CONTROL,2026-04,89,0.4202929791950256,0.41565519269339807,0.011034651377023197
BROAD_AGG_CONTROL,2026-05,89,0.4193343904448563,0.41466094587968144,0.011144911249032052
BROAD_AGG_CONTROL,2026-06,89,0.41951204674247367,0.4151844325988991,0.010315828060668664
BROAD_AGG_CONTROL,2026-07,89,0.4199827575189388,0.4156656833427501,0.01027917003472223
AGG_COMMON,2019-02,89,0.42010764304855075,0.4190249293617217,0.002577229204811071
AGG_COMMON,2019-03,89,0.42015789426432565,0.41877239924387705,0.0032975579879904737
AGG_COMMON,2019-04,89,0.4191897467031229,0.41752170714935094,0.0039791993169940865
AGG_COMMON,2019-05,89,0.41727233915900896,0.4165747097667853,0.001671880272796633
AGG_COMMON,2019-06,89,0.42021602694934274,0.419048450543723,0.0027785146942063133
AGG_COMMON,2019-07,89,0.4202764413014783,0.4191157397415124,0.002761757371818274
AGG_COMMON,2019-08,89,0.4202826410962219,0.41897104339776786,0.0031207515376627804
AGG_COMMON,2019-09,89,0.4191792942090844,0.4182125722916757,0.002306225356938807
AGG_COMMON,2019-10,89,0.4193131567915026,0.4188684680107584,0.0010605171183916129
AGG_COMMON,2019-11,89,0.42003200305762134,0.41900885798238297,0.002435874094807944
AGG_COMMON,2019-12,89,0.4198359660795065,0.41867062583429987,0.0027757037018261155
AGG_COMMON,2020-01,89,0.4153072380969587,0.41418438265827123,0.0027036741373269724
AGG_COMMON,2020-02,89,0.420292995648092,0.4191385182507146,0.002746839488955155
AGG_COMMON,2020-03,89,0.4199418369230324,0.41866227401293477,0.0030470003166941373
AGG_COMMON,2020-04,89,0.42010818755208623,0.4189808094217962,0.00268354239144708
AGG_COMMON,2020-05,89,0.41961905071812056,0.4188360050162033,0.0018660871106236376
AGG_COMMON,2020-06,89,0.41941529755146656,0.4179031988057042,0.0036052541588014186
AGG_COMMON,2020-07,89,0.420191960990069,0.41909778685425386,0.002603986361940369
AGG_COMMON,2020-08,89,0.42027835601570396,0.4191299849488197,0.0027324059172852966
AGG_COMMON,2020-09,89,0.41964148139724305,0.4187844713090426,0.0020422435011594464
AGG_COMMON,2020-10,89,0.420289414171003,0.41904486990408496,0.002961160155253606
AGG_COMMON,2020-11,89,0.420055829932072,0.41887781705863836,0.0028044197687344674
AGG_COMMON,2020-12,89,0.41841515193065487,0.4173277941844295,0.002598753274607901
AGG_COMMON,2021-01,89,0.41731184857448544,0.4168597498376713,0.0010833594549458647
AGG_COMMON,2021-02,89,0.41959286260200945,0.4182926127178293,0.0030988369919281444
AGG_COMMON,2021-03,89,0.42026211719812856,0.4190551729524982,0.0028718844650500452
AGG_COMMON,2021-04,89,0.4194966426390018,0.41851269032282273,0.002345554686657758
AGG_COMMON,2021-05,89,0.418478792189829,0.4167665336741922,0.004091625543738542
AGG_COMMON,2021-06,89,0.41990504035221954,0.4187191379829152,0.002824215609104286
AGG_COMMON,2021-07,89,0.4186008172488332,0.41769166952184755,0.002171872795091123
AGG_COMMON,2021-08,89,0.41725988958381316,0.4141877779471976,0.007362585557120771
AGG_COMMON,2021-09,89,0.41888748555452116,0.41717373556704773,0.004091194047501245
AGG_COMMON,2021-10,89,0.4192713829259161,0.41804390718191126,0.0029276401729085855
AGG_COMMON,2021-11,89,0.4171715165934454,0.41603859264513665,0.002715726992964518
