source,target_month,assumed_available_from,timezone,status
CNB_core,2018-03,2018-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-04,2018-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-05,2018-06-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-06,2018-07-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-07,2018-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-08,2018-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-09,2018-10-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-10,2018-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-11,2018-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-12,2019-01-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-01,2019-02-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-02,2019-03-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-03,2019-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-04,2019-05-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-05,2019-06-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-06,2019-07-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-07,2019-08-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-08,2019-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-09,2019-10-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-10,2019-11-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-11,2019-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2019-12,2020-01-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-01,2020-02-14 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-02,2020-03-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-03,2020-04-14 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-04,2020-05-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-05,2020-06-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-06,2020-07-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-07,2020-08-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-08,2020-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-09,2020-10-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-10,2020-11-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-11,2020-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2020-12,2021-01-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-01,2021-02-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-02,2021-03-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-03,2021-04-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-04,2021-05-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-05,2021-06-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-06,2021-07-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-07,2021-08-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-08,2021-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-09,2021-10-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-10,2021-11-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-11,2021-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2021-12,2022-01-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-01,2022-02-14 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-02,2022-03-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-03,2022-04-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-04,2022-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-05,2022-06-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-06,2022-07-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-07,2022-08-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-08,2022-09-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-09,2022-10-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-10,2022-11-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-11,2022-12-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2022-12,2023-01-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-01,2023-02-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-02,2023-03-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-03,2023-04-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-04,2023-05-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-05,2023-06-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-06,2023-07-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-07,2023-08-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-08,2023-09-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-09,2023-10-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-10,2023-11-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2023-11,2023-12-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
