table,obj,h,n,naive,rw,F2_D1_ML,bias_F2_D1_ML,F2_D1_fixed,bias_F2_D1_fixed,F2_D1_noFMIE,bias_F2_D1_noFMIE,F2_D2_ML,bias_F2_D2_ML,F2_D2_fixed,bias_F2_D2_fixed,F2,bias_F2,F3,bias_F3,F1a,bias_F1a,F1b,bias_F1b
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,,,1.0486830359281327,-0.1952939233032459,0.8371112226356707,-0.18357768408712216,0.7719127355685579,-0.11286314731321871,0.7719127355685579,-0.11286314731321871
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,,,1.8976815696109572,-0.671440407713402,1.8847811052609675,-0.5953361820109658,1.5564864775582956,-0.33695843768138267,1.5564864775582956,-0.33695843768138267
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,6,78,3.65237982726404,4.305620003577593,,,,,,,,,,,3.2543035020739453,-1.4561306542019061,3.2711080480536037,-1.2569066736005787,2.619001858730167,-1.041472035961232,2.5721594600213993,-0.8332803042876396
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,9,72,5.278392321188259,5.916335565450812,,,,,,,,,,,4.889444304262066,-2.3235827163761553,4.954489334924488,-2.090765956182874,4.157078576198653,-1.9319513120350134,4.053826134192117,-1.4470131653850113
COMPONENT SPAN origins 2019-02..2026-07 (b: h0 = print),b,12,66,6.990062293675042,7.426570296101707,,,,,,,,,,,6.618866564495791,-3.366971294590354,6.782589778776217,-3.250707625376045,5.931290109638816,-3.1443928449536522,5.7880222439845745,-2.361532933657739
COMPONENT SPAN origins 2019-02..2026-07 (a: h0 = nowcast),a,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,,,1.1000872670841022,-0.23255293006901964,0.9549111798554967,-0.2203476661597513,0.9254591162845481,-0.14941542632229882,0.9254591162845481,-0.14941542632229882
COMPONENT SPAN origins 2019-02..2026-07 (a: h0 = nowcast),a,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,,,1.8894404953111745,-0.7189098629379557,1.9235851670347501,-0.6419869796602823,1.610782344580722,-0.383501555630929,1.610782344580722,-0.383501555630929
COMPONENT SPAN origins 2019-02..2026-07 (a: h0 = nowcast),a,6,78,3.65237982726404,4.305620003577593,,,,,,,,,,,3.304896371351283,-1.5024184087132577,3.335252141496635,-1.3027786607366185,2.7203162171935347,-1.0868174516418214,2.68040067060324,-0.8785035046814701
COMPONENT SPAN origins 2019-02..2026-07 (a: h0 = nowcast),a,9,72,5.278392321188259,5.916335565450812,,,,,,,,,,,4.954812020824276,-2.3757871473920336,5.0385938273255935,-2.142097128640086,4.278319676045719,-1.9824673595555449,4.1828563717260945,-1.4973482174345816
COMPONENT SPAN origins 2019-02..2026-07 (a: h0 = nowcast),a,12,66,6.990062293675042,7.426570296101707,,,,,,,,,,,6.618866564495791,-3.366971294590354,6.782589778776217,-3.250707625376045,5.931290109638816,-3.1443928449536522,5.7880222439845745,-2.361532933657739
