origin,as_of,config,n_validation,selection_reason,validation_start,validation_end,validation_last_release,validation_origins,selected_inner_rmse,default_inner_rmse,prediction,n_train,train_start,train_end,training_last_release
2019-12,2020-01-12 23:59:00,a3_w60,36,minimum_prior_mse,2016-12,2019-11,2019-12-10 09:00:00,2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11,0.20504966938738647,0.21644507823401554,0.10629441287972474,60,2014-12,2019-11,2019-12-10 09:00:00
2020-01,2020-02-13 23:59:00,a3_w60,36,minimum_prior_mse,2017-01,2019-12,2020-01-13 09:00:00,2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12,0.20078704553911403,0.20957189822478084,0.36586659522784637,60,2015-01,2019-12,2020-01-13 09:00:00
2020-02,2020-03-09 23:59:00,a3_w60,36,minimum_prior_mse,2017-02,2020-01,2020-02-14 09:00:00,2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01,0.20946488202838362,0.21945698646966713,0.2868556110408875,60,2015-02,2020-01,2020-02-14 09:00:00
2020-03,2020-04-13 23:59:00,a3_w60,36,minimum_prior_mse,2017-03,2020-02,2020-03-10 09:00:00,2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02,0.2201740889454408,0.22585883848648675,-0.0671723989366681,60,2015-03,2020-02,2020-03-10 09:00:00
2020-04,2020-05-12 23:59:00,a3_w60,36,minimum_prior_mse,2017-04,2020-03,2020-04-14 09:00:00,2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03,0.22322112905670266,0.23149881365696218,0.15510428629744008,60,2015-04,2020-03,2020-04-14 09:00:00
2020-05,2020-06-09 23:59:00,a3_w60,36,minimum_prior_mse,2017-05,2020-04,2020-05-13 09:00:00,2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04,0.22328753555958775,0.23092637520628836,0.35754875920264084,60,2015-05,2020-04,2020-05-13 09:00:00
2020-06,2020-07-09 23:59:00,a3_w60,36,minimum_prior_mse,2017-06,2020-05,2020-06-10 09:00:00,2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05,0.2302432800261964,0.24360587981284507,0.4603483895890448,60,2015-06,2020-05,2020-06-10 09:00:00
2020-07,2020-08-12 23:59:00,a3_w60,36,minimum_prior_mse,2017-07,2020-06,2020-07-10 09:00:00,2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06,0.2303331879929703,0.2437394098178008,0.6482599890582771,60,2015-07,2020-06,2020-07-10 09:00:00
2020-08,2020-09-09 23:59:00,a3_w60,36,minimum_prior_mse,2017-08,2020-07,2020-08-13 09:00:00,2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07,0.24480188421026935,0.25424427021933527,0.10090405821925863,60,2015-08,2020-07,2020-08-13 09:00:00
2020-09,2020-10-11 23:59:00,a3_w60,36,minimum_prior_mse,2017-09,2020-08,2020-09-10 09:00:00,2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08,0.24537318103088696,0.25714245659778084,-0.8724329880696302,60,2015-09,2020-08,2020-09-10 09:00:00
2020-10,2020-11-09 23:59:00,a3_w60,36,minimum_prior_mse,2017-10,2020-09,2020-10-12 09:00:00,2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09,0.24518922960387493,0.25522373388096564,0.41428950691110467,60,2015-10,2020-09,2020-10-12 09:00:00
2020-11,2020-12-09 23:59:00,a3_w60,36,minimum_prior_mse,2017-11,2020-10,2020-11-10 09:00:00,2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10,0.24560369908829982,0.2577335124273056,0.2466178786930467,60,2015-11,2020-10,2020-11-10 09:00:00
2020-12,2021-01-12 23:59:00,a3_w60,36,minimum_prior_mse,2017-12,2020-11,2020-12-10 09:00:00,2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11,0.24857244688311128,0.2591274373616051,0.26210323108425443,60,2015-12,2020-11,2020-12-10 09:00:00
2021-01,2021-02-11 23:59:00,a3_w60,36,minimum_prior_mse,2018-01,2020-12,2021-01-13 09:00:00,2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12,0.24559980092644368,0.2593936376078297,0.48082195563283103,60,2016-01,2020-12,2021-01-13 09:00:00
2021-02,2021-03-09 23:59:00,a3_w60,36,minimum_prior_mse,2018-02,2021-01,2021-02-12 09:00:00,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01,0.24820736216273281,0.26408641741965,0.6775972213044834,60,2016-02,2021-01,2021-02-12 09:00:00
2021-03,2021-04-12 23:59:00,a3_w60,36,minimum_prior_mse,2018-03,2021-02,2021-03-10 09:00:00,2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02,0.25502785154988333,0.26846137577732254,-0.16954802146582232,60,2016-03,2021-02,2021-03-10 09:00:00
2021-04,2021-05-10 23:59:00,a3_w60,36,minimum_prior_mse,2018-04,2021-03,2021-04-13 09:00:00,2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03,0.2536340860176169,0.2679940957236061,0.30135746370170824,60,2016-04,2021-03,2021-04-13 09:00:00
2021-05,2021-06-09 23:59:00,a3_w60,36,minimum_prior_mse,2018-05,2021-04,2021-05-11 09:00:00,2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04,0.2531911007042801,0.2669731513763195,0.6827053367634668,60,2016-05,2021-04,2021-05-11 09:00:00
2021-06,2021-07-12 23:59:00,a3_w60,36,minimum_prior_mse,2018-06,2021-05,2021-06-10 09:00:00,2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05,0.25700618505989486,0.26842743661928986,0.39159345145139,60,2016-06,2021-05,2021-06-10 09:00:00
2021-07,2021-08-09 23:59:00,a3_w60,36,minimum_prior_mse,2018-07,2021-06,2021-07-13 09:00:00,2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06,0.27059350212604594,0.2805103868620975,1.1391738887658107,60,2016-07,2021-06,2021-07-13 09:00:00
2021-08,2021-09-09 23:59:00,a3_w60,36,minimum_prior_mse,2018-08,2021-07,2021-08-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07,0.26464516684599415,0.2753849087863462,0.14703695815490012,60,2016-08,2021-07,2021-08-10 09:00:00
2021-09,2021-10-10 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2018-09,2021-08,2021-09-10 09:00:00,2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08,0.2889734788757269,0.289780063863086,-0.1413223617204547,176,2007-01,2021-08,2021-09-10 09:00:00
2021-10,2021-11-09 23:59:00,a0.3_w120,36,minimum_prior_mse,2018-10,2021-09,2021-10-11 09:00:00,2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09,0.2830529890578095,0.28609241322444096,0.5756379392229116,120,2011-10,2021-09,2021-10-11 09:00:00
2021-11,2021-12-09 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2018-11,2021-10,2021-11-10 09:00:00,2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10,0.2919859740156377,0.2945935108411094,0.683822915116003,178,2007-01,2021-10,2021-11-10 09:00:00
2021-12,2022-01-11 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2018-12,2021-11,2021-12-10 09:00:00,2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11,0.29911713585183813,0.30213414782593223,1.2896030870049446,179,2007-01,2021-11,2021-12-10 09:00:00
2022-01,2022-02-13 23:59:00,a3_w120,36,minimum_prior_mse,2019-01,2021-12,2022-01-12 09:00:00,2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12,0.30808140980231924,0.3121645602896757,2.0227362280879313,120,2012-01,2021-12,2022-01-12 09:00:00
2022-02,2022-03-09 23:59:00,a3_w120,36,minimum_prior_mse,2019-02,2022-01,2022-02-14 09:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01,0.3042983401697367,0.3182605740573436,1.3330448536711943,120,2012-02,2022-01,2022-02-14 09:00:00
2022-03,2022-04-10 23:59:00,a3_w120,36,minimum_prior_mse,2019-03,2022-02,2022-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02,0.3127402925654734,0.3195318621489383,0.2998682725999471,120,2012-03,2022-02,2022-03-10 09:00:00
2022-04,2022-05-09 23:59:00,a3_w120,36,minimum_prior_mse,2019-04,2022-03,2022-04-11 09:00:00,2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03,0.31864645031861905,0.3341568477858692,1.1987589396493576,120,2012-04,2022-03,2022-04-11 09:00:00
2022-05,2022-06-09 23:59:00,a3_w120,36,minimum_prior_mse,2019-05,2022-04,2022-05-10 09:00:00,2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04,0.3225752972222768,0.34410624016927754,0.8570921519984922,120,2012-05,2022-04,2022-05-10 09:00:00
2022-06,2022-07-12 23:59:00,a3_w120,36,minimum_prior_mse,2019-06,2022-05,2022-06-10 09:00:00,2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05,0.3350197630800722,0.3526286265648502,1.618363128708908,120,2012-06,2022-05,2022-06-10 09:00:00
2022-07,2022-08-09 23:59:00,a3_w120,36,minimum_prior_mse,2019-07,2022-06,2022-07-13 09:00:00,2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06,0.3350351374541665,0.35221147882466325,2.2952958134666246,120,2012-07,2022-06,2022-07-13 09:00:00
2022-08,2022-09-11 23:59:00,a3_w120,36,minimum_prior_mse,2019-08,2022-07,2022-08-10 09:00:00,2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07,0.3510177226840095,0.3598010884185454,1.5283997454665972,120,2012-08,2022-07,2022-08-10 09:00:00
2022-09,2022-10-10 23:59:00,a3_w120,36,minimum_prior_mse,2019-09,2022-08,2022-09-12 09:00:00,2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08,0.3662798363678805,0.3718603394401074,0.6182939907454039,120,2012-09,2022-08,2022-09-12 09:00:00
2022-10,2022-11-09 23:59:00,a3_w60,36,minimum_prior_mse,2019-10,2022-09,2022-10-11 09:00:00,2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09,0.36395758961906843,0.36861667633707046,1.5382658816370944,60,2017-10,2022-09,2022-10-11 09:00:00
2022-11,2022-12-11 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2019-11,2022-10,2022-11-10 09:00:00,2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10,0.36252414693141255,0.3670476151413647,0.9852547403776588,190,2007-01,2022-10,2022-11-10 09:00:00
2022-12,2023-01-10 23:59:00,a3_w60,36,minimum_prior_mse,2019-12,2022-11,2022-12-12 09:00:00,2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11,0.3733314484201335,0.37932716894180185,0.5229703278167593,60,2017-12,2022-11,2022-12-12 09:00:00
