,szif_mm_A,szif_mm_B,weeks_used_A,weeks_used_B,weeks_month
2014-03,-1.4088452536168148,-1.0549257570900712,3,4,4
2014-04,0.9501614444413854,1.0042787251721996,4,4,4
2014-05,-1.11733753520929,-0.9543716909048902,4,5,5
2014-06,1.284332647824229,1.646999684022398,3,4,4
2014-07,1.5273856955718774,0.8410896914804175,4,5,5
2014-08,-1.2790823560455264,-1.4640992304175684,3,4,4
2014-09,-0.3958957983264079,-0.47732548356099375,3,4,4
2014-10,-3.6579890831068145,-4.246610333061164,4,5,5
2014-11,-1.9051938799500885,-2.0319135075808448,3,4,4
2014-12,-0.4389647134018226,-0.4219874112679318,4,4,4
2015-01,-1.9014548740427586,-2.025436993457315,4,5,5
2015-02,-0.01805921864632783,0.044924086464956416,3,4,4
2015-03,1.488430564961709,1.5023274300330176,3,4,4
2015-04,-0.05681049966389492,0.07155582950399579,4,5,5
2015-05,0.06015791347639521,0.06200275838532813,3,4,4
2015-06,0.9670116341881831,1.1384323189989272,3,4,4
2015-07,-1.2063239034064093,-1.33944892688797,4,5,5
2015-08,-0.1911123887941181,-0.2721519526501679,3,4,4
2015-09,0.03522477149993045,0.03522477149993045,4,4,4
2015-10,-0.250520703487622,-0.33898667505091457,4,5,5
2015-11,-2.453007271050676,-2.550357141539988,3,4,4
2015-12,-1.7496339076082121,-1.4766484295764888,4,5,5
2016-01,-0.12412783062867701,-0.02199610999486623,3,4,4
2016-02,0.10770730404691242,-0.26749813927030647,3,4,4
2016-03,-1.3004984322075293,-1.3056700057754889,4,5,5
2016-04,-1.2540947964803688,-1.1918322436928126,3,4,4
2016-05,0.6218366660639852,1.0047620144063727,3,4,4
2016-06,2.2480809416867626,2.3486001435610624,4,5,5
2016-07,2.839760828751336,3.0567057491254466,3,4,4
2016-08,2.3247569457066595,2.3247569457066595,4,4,4
2016-09,0.2627244853884944,0.6492559685334598,4,5,5
2016-10,2.116259680760627,1.7944289098758484,3,4,4
2016-11,-0.05389255392913513,0.027988509191487765,3,4,4
2016-12,0.3122394581111247,0.09285819908887068,4,5,5
2017-01,-0.6141928696078914,-0.3944772556919555,3,4,4
2017-02,0.004026063861708451,-0.07079089484962804,3,4,4
2017-03,-0.36219404721752113,-0.2622367587343691,4,5,5
2017-04,1.6857789295893906,1.3480484654778262,3,4,4
2017-05,0.1823133790971987,0.36243825734783763,4,4,4
2017-06,1.2057567262998012,1.5727546430504387,4,5,5
2017-07,2.3389075097487164,2.239176618359231,3,4,4
2017-08,2.425581615021611,2.314592547355314,4,5,5
2017-09,0.35103237130968923,0.04484752303064399,3,4,4
2017-10,-1.6933948537818624,-2.0113803753357984,3,4,4
2017-11,-4.320393903118184,-4.29819566847733,4,5,5
2017-12,-1.371846359677349,-1.795353036311364,2,4,4
2018-01,-1.9409660945439573,-1.9409660945439573,4,4,4
2018-02,-4.554396831585529,-4.376295695606897,4,4,4
2018-03,3.5569269408591673,3.4694562536357254,4,5,5
2018-04,-0.8084082719688723,-0.5813768089925336,3,4,4
2018-05,0.3370842352747001,0.6356177487958764,4,5,5
2018-06,2.6681260581896242,2.977692699305704,3,4,4
2018-07,0.017853726615181625,0.09219200617309298,3,4,4
2018-08,0.13415331028704877,0.16483561855984089,4,5,5
2018-09,-0.11949242342005169,-0.23470702011881572,3,4,4
2018-10,-0.7142704446837359,-0.7142704446837359,4,4,4
2018-11,-0.680087028130103,-0.47598712943568583,4,5,5
2018-12,-0.17671839307899617,0.07190197315499229,2,4,4
2019-01,-0.6813063934718144,-0.4001997573591096,4,5,5
2019-02,-0.43435248455267583,-0.17011979686788692,3,4,4
2019-03,0.09681918794214935,-0.07564968088466628,3,4,4
2019-04,3.796503340470297,4.202077518255831,4,4,4
2019-05,1.4362313306554755,1.9354610613608534,4,5,5
2019-06,3.310608953219274,3.4384694920458614,3,4,4
2019-07,0.5288807495207474,0.4047139222551266,4,4,4
2019-08,-0.7505274428437639,-0.8299891010351601,4,5,5
2019-09,0.6740744834196258,0.7605143381729936,3,4,4
2019-10,0.21665440845599923,0.09846803900333138,4,5,5
2019-11,-0.09893894561267065,0.18511470203795474,3,4,4
2019-12,0.712997017424127,1.402889788362624,2,4,4
2020-01,-0.2043022070009215,-0.5473121202522672,4,5,5
2020-02,-2.2374809529609982,-1.941770833948245,3,4,4
2020-03,1.9603122063047707,1.7109687866674033,3,4,4
2020-04,-2.2235797798744747,-2.4666708115753146,4,5,5
2020-05,-4.109564384148978,-4.748383095778112,3,4,4
2020-06,-2.9679523339829514,-2.8709799331039796,3,4,4
2020-07,3.126270485216196,2.9419586640791215,4,5,5
2020-08,1.1118623113051267,1.151966928714477,3,4,4
2020-09,-0.6814197765781316,-0.6814197765781316,4,4,4
2020-10,-1.2099297567131966,-1.3422632971094235,4,5,5
2020-11,-0.24158486636627785,-0.7446669012011853,3,4,4
2020-12,-1.0466922334210988,-0.915289723291135,3,5,5
2021-01,-1.0790406491155775,-1.3716518846532406,3,4,4
2021-02,-1.3235720738600973,-1.1971264216927542,3,4,4
2021-03,3.4009369362435984,3.4009369362435984,4,4,4
2021-04,3.0435124084927367,2.984754815830376,4,5,5
2021-05,-0.7771741811425533,-0.28113985413858145,3,4,4
2021-06,2.7350172918488584,2.662415000303646,3,4,4
2021-07,0.23966154550031948,0.140976624729932,4,5,5
2021-08,-1.150819756936359,-1.6967055694294608,3,4,4
2021-09,-2.1932399506281386,-1.6167470598450924,4,5,5
2021-10,-0.023260457900321645,0.21387789636463203,3,4,4
