scope,sample,h,case,model,n_intended_origins,n_available_targets,n_own_forecasts,n_common,yy_rmse,yy_mae,yy_bias,mm_rmse,mm_mae,mm_bias
including_references_common,2019_plus,6,exante,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,6,exante,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,2019_plus,6,conditional,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,6,conditional,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,6,conditional,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,6,conditional,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,6,conditional,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,6,conditional,NAIVE,1,1,1,0,,,,,,
including_references_common,2019_plus,6,conditional,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,6,conditional,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,2019_plus,12,exante,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,12,exante,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,12,exante,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,12,exante,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,12,exante,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,12,exante,NAIVE,1,1,1,0,,,,,,
including_references_common,2019_plus,12,exante,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,12,exante,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,2019_plus,12,conditional,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,12,conditional,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,12,conditional,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,12,conditional,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,12,conditional,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,12,conditional,NAIVE,1,1,1,0,,,,,,
including_references_common,2019_plus,12,conditional,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,12,conditional,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
independent_common,crisis_2020_2023_targets,12,exante,TARGET_ML,1,1,1,1,1.7763751484017916,1.7763751484017916,-1.7763751484017916,0.09727449722272744,0.09727449722272744,-0.09727449722272744
independent_common,crisis_2020_2023_targets,12,exante,TARGET_FX_ML,1,1,1,1,1.7055688637391886,1.7055688637391886,-1.7055688637391886,0.09796009286063609,0.09796009286063609,-0.09796009286063609
independent_common,crisis_2020_2023_targets,12,exante,TARGET_U_FX_ML,1,1,1,1,1.6922367238952662,1.6922367238952662,-1.6922367238952662,0.09839855679159012,0.09839855679159012,-0.09839855679159012
independent_common,crisis_2020_2023_targets,12,exante,BVAR_U_FX,1,1,1,1,3.317926325840069,3.317926325840069,-3.317926325840069,0.22278553477195376,0.22278553477195376,-0.22278553477195376
independent_common,crisis_2020_2023_targets,12,exante,RF_U_FX,1,1,1,1,1.0939848565731252,1.0939848565731252,-1.0939848565731252,0.07201811233631253,0.07201811233631253,-0.07201811233631253
independent_common,crisis_2020_2023_targets,12,exante,NAIVE,1,1,1,1,2.2426528571319744,2.2426528571319744,-2.2426528571319744,0.11178737422860685,0.11178737422860685,-0.11178737422860685
independent_common,crisis_2020_2023_targets,12,conditional,TARGET_ML,1,1,1,1,1.7763751484017916,1.7763751484017916,-1.7763751484017916,0.09727449722272744,0.09727449722272744,-0.09727449722272744
independent_common,crisis_2020_2023_targets,12,conditional,TARGET_FX_ML,1,1,1,1,1.7055688637391886,1.7055688637391886,-1.7055688637391886,0.09796009286063609,0.09796009286063609,-0.09796009286063609
independent_common,crisis_2020_2023_targets,12,conditional,TARGET_U_FX_ML,1,1,1,1,1.6922367238952662,1.6922367238952662,-1.6922367238952662,0.09839855679159012,0.09839855679159012,-0.09839855679159012
independent_common,crisis_2020_2023_targets,12,conditional,BVAR_U_FX,1,1,1,1,3.317926325840069,3.317926325840069,-3.317926325840069,0.22278553477195376,0.22278553477195376,-0.22278553477195376
independent_common,crisis_2020_2023_targets,12,conditional,RF_U_FX,1,1,1,1,1.0939848565731252,1.0939848565731252,-1.0939848565731252,0.07201811233631253,0.07201811233631253,-0.07201811233631253
independent_common,crisis_2020_2023_targets,12,conditional,NAIVE,1,1,1,1,2.2426528571319744,2.2426528571319744,-2.2426528571319744,0.11178737422860685,0.11178737422860685,-0.11178737422860685
including_references_common,crisis_2020_2023_targets,12,exante,TARGET_ML,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,exante,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,exante,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,exante,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,exante,RF_U_FX,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,exante,NAIVE,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,exante,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,exante,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,TARGET_ML,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,RF_U_FX,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,NAIVE,1,1,1,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,crisis_2020_2023_targets,12,conditional,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
