origin,band,family,feature,log_core_pp,absolute_contribution
2026-07,2,domestic,core_acceleration,-0.0,0.0
2026-07,2,domestic,midtrend,-0.0,0.0
2026-07,2,domestic,midcycle,-0.0,0.0
2026-07,2,domestic,services_yoy,-0.0,0.0
2026-07,2,domestic,services_change3,-0.0,0.0
2026-07,2,domestic,unemployment,0.0,0.0
2026-07,2,domestic,unemployment_change3,0.0,0.0
2026-07,2,domestic,ip_growth3,0.0,0.0
2026-07,2,domestic,ulc_growth12,0.0,0.0
2026-07,2,domestic,destination_season,-0.0,0.0
2026-07,3,domestic,intercept,0.0,0.0
2026-07,3,domestic,core1,-0.0,0.0
2026-07,3,domestic,core3,-0.0,0.0
2026-07,3,domestic,core12,-0.0,0.0
2026-07,3,domestic,core_acceleration,-0.0,0.0
2026-07,3,domestic,midtrend,-0.0,0.0
2026-07,3,domestic,midcycle,-0.0,0.0
2026-07,3,domestic,services_yoy,-0.0,0.0
2026-07,3,domestic,services_change3,-0.0,0.0
2026-07,3,domestic,unemployment,0.0,0.0
2026-07,3,domestic,unemployment_change3,0.0,0.0
2026-07,3,domestic,ip_growth3,0.0,0.0
2026-07,3,domestic,ulc_growth12,0.0,0.0
2026-07,3,domestic,destination_season,0.0,0.0
2026-07,0,imported,cost_47_mean3,0.025831539338711466,0.025831539338711466
2026-07,0,imported,midtrend,0.023805682772254,0.023805682772254
2026-07,0,imported,core12,0.013660040240773235,0.013660040240773235
2026-07,0,imported,cost_62_mean3,-0.004493015936837876,0.004493015936837876
2026-07,0,imported,destination_season,-0.004489306296516437,0.004489306296516437
2026-07,0,imported,goods_change3,-0.004348896172036825,0.004348896172036825
2026-07,0,imported,cost_47_now,-0.003925773078643323,0.003925773078643323
2026-07,0,imported,cost_62_now,-0.0017675094128284466,0.0017675094128284466
2026-07,0,imported,fx1,-0.0016524962749567178,0.0016524962749567178
2026-07,0,imported,cost_45_mean3,-0.0014945632530158413,0.0014945632530158413
2026-07,0,imported,core_acceleration,-0.0009698399809493688,0.0009698399809493688
