"Ukazatel","IndicatorType","Klasifikace API","APIZZ","Typ indexu","TYPUDAJEZEM4","Měsíce, jejich kumulace, čtvrtletí, roky","CASMKMQR","Území","Uz0","Hodnota"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2016","2016-05","Česko","CZ","98.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2016","2016-06","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2016","2016-07","Česko","CZ","98.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2016","2016-08","Česko","CZ","98.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2016","2016-09","Česko","CZ","104.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2016","2016-10","Česko","CZ","103.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2016","2016-11","Česko","CZ","96.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2016","2016-12","Česko","CZ","101.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2017","2017-01","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2017","2017-01K","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2017","2017-02","Česko","CZ","101.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2017","2017-03","Česko","CZ","101.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2017","2017-04","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2017","2017-05","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2017","2017-06","Česko","CZ","100.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2017","2017-07","Česko","CZ","99.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2017","2017-08","Česko","CZ","98.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2017","2017-09","Česko","CZ","102.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2017","2017-10","Česko","CZ","98.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2017","2017-11","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2017","2017-12","Česko","CZ","99.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2018","2018-01","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2018","2018-01K","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2018","2018-02","Česko","CZ","97.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2018","2018-03","Česko","CZ","100.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2018","2018-04","Česko","CZ","97.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2018","2018-05","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2018","2018-06","Česko","CZ","100.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2018","2018-07","Česko","CZ","99.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2018","2018-08","Česko","CZ","101.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2018","2018-09","Česko","CZ","104.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2018","2018-10","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2018","2018-11","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2018","2018-12","Česko","CZ","102.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2019","2019-01","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2019","2019-01K","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2019","2019-02","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2019","2019-03","Česko","CZ","100.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2019","2019-04","Česko","CZ","98.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2019","2019-05","Česko","CZ","100.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2019","2019-06","Česko","CZ","102.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2019","2019-07","Česko","CZ","98.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2019","2019-08","Česko","CZ","94"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2019","2019-09","Česko","CZ","102.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2019","2019-10","Česko","CZ","98.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2019","2019-11","Česko","CZ","98"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2019","2019-12","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2020","2020-01","Česko","CZ","102.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2020","2020-01K","Česko","CZ","102.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2020","2020-02","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2020","2020-03","Česko","CZ","99.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2020","2020-04","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2020","2020-05","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2020","2020-06","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2020","2020-07","Česko","CZ","98.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2020","2020-08","Česko","CZ","96.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2020","2020-09","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2020","2020-10","Česko","CZ","97.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2020","2020-11","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2020","2020-12","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2021","2021-01","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2021","2021-01K","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2021","2021-02","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2021","2021-03","Česko","CZ","102.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2021","2021-04","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2021","2021-05","Česko","CZ","102.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2021","2021-06","Česko","CZ","100.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2021","2021-07","Česko","CZ","98.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2021","2021-08","Česko","CZ","99.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2021","2021-09","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2021","2021-10","Česko","CZ","106.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2021","2021-11","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2021","2021-12","Česko","CZ","103.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2022","2022-01","Česko","CZ","103.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2022","2022-01K","Česko","CZ","103.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2022","2022-02","Česko","CZ","102"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2022","2022-03","Česko","CZ","106"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2022","2022-04","Česko","CZ","107.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2022","2022-05","Česko","CZ","105.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2022","2022-06","Česko","CZ","103.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2022","2022-07","Česko","CZ","96.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2022","2022-08","Česko","CZ","97.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2022","2022-09","Česko","CZ","98.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2022","2022-10","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2022","2022-11","Česko","CZ","102.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2022","2022-12","Česko","CZ","102.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2023","2023-01","Česko","CZ","101.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2023","2023-01K","Česko","CZ","101.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2023","2023-02","Česko","CZ","99.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2023","2023-03","Česko","CZ","96.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2023","2023-04","Česko","CZ","96.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2023","2023-05","Česko","CZ","94.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2023","2023-06","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2023","2023-07","Česko","CZ","96"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2023","2023-08","Česko","CZ","95.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2023","2023-09","Česko","CZ","101.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2023","2023-10","Česko","CZ","104.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2023","2023-11","Česko","CZ","95.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2023","2023-12","Česko","CZ","98.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2024","2024-01","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2024","2024-01K","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2024","2024-02","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2024","2024-03","Česko","CZ","103.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2024","2024-04","Česko","CZ","96.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2024","2024-05","Česko","CZ","98.5"
