sample,model,h,n,n_common,n_intended,n_estimated,n_missing_distributions,n_noncommon_distributions,crps,coverage80,coverage90,width80,width90,point_mae,median_mae
full,MCT_SLOW_R18,8,43,43,82,46,36,3,1.6751614230712475,0.7209302325581395,0.7441860465116279,8.583462067088783,11.090175705937424,1.3287597103987416,2.0371837320191677
full,MCT_SLOW_R18,9,42,42,81,45,36,3,1.8664066219178408,0.6666666666666666,0.7142857142857143,9.819900022460962,12.80941173282979,1.3565607726749795,2.061265951922966
full,MCT_SLOW_R18,10,41,41,80,44,36,3,2.0900137514119144,0.6341463414634146,0.7317073170731707,11.267432669036076,14.12063286448198,1.3912668799930397,2.078512546410815
full,MCT_SLOW_R18,11,40,40,79,43,36,3,2.378638602604821,0.55,0.65,12.771247497287112,15.209233601730551,1.4556515733457442,2.245262168216328
full,MCT_SLOW_R18,12,39,39,78,42,36,3,2.630678327772995,0.5641025641025641,0.6153846153846154,13.667724393485852,15.969494421084997,1.5569350265719737,2.4305712349083572
full,STABLE_LOCAL_CORE_R14B,1,50,50,89,53,36,3,0.46212198564758017,0.78,0.84,1.4621122050063138,2.4350039746839816,0.5106983677229143,0.5435196604311047
full,STABLE_LOCAL_CORE_R14B,2,49,49,88,52,36,3,0.7265900032113284,0.7346938775510204,0.7346938775510204,2.616440424686958,3.967198867915306,0.7736232274605304,0.8613259203840437
full,STABLE_LOCAL_CORE_R14B,3,48,48,87,51,36,3,0.8569906025773478,0.7083333333333334,0.7708333333333334,4.343349000429624,5.047837598381926,0.8752952765409322,1.0787306820426406
full,STABLE_LOCAL_CORE_R14B,4,47,47,86,50,36,3,1.0175441867252315,0.6595744680851063,0.723404255319149,4.812768155513044,6.213215882562539,0.9562167480287527,1.1303999457511038
full,STABLE_LOCAL_CORE_R14B,5,46,46,85,49,36,3,1.0973683981791742,0.717391304347826,0.7391304347826086,5.932263282276273,7.384941903634645,0.9605506873833941,1.217496879089343
full,STABLE_LOCAL_CORE_R14B,6,45,45,84,48,36,3,1.227680812023364,0.7777777777777778,0.7777777777777778,7.027959907209736,8.455797274015042,0.9938796596513442,1.3182816140178457
full,STABLE_LOCAL_CORE_R14B,7,44,44,83,47,36,3,1.3988946245930884,0.7045454545454546,0.75,7.775833982000254,10.106740569195956,1.115260643058412,1.5258472860341625
full,STABLE_LOCAL_CORE_R14B,8,43,43,82,46,36,3,1.6454934121021407,0.7209302325581395,0.7209302325581395,8.887335475276057,11.936724394648719,1.2372685416686293,1.7463066871889426
full,STABLE_LOCAL_CORE_R14B,9,42,42,81,45,36,3,1.8562416352765823,0.7142857142857143,0.7380952380952381,10.011597046491513,13.695832735296165,1.2569655291731705,1.8602055219093243
full,STABLE_LOCAL_CORE_R14B,10,41,41,80,44,36,3,2.133489310394941,0.6341463414634146,0.7317073170731707,11.472857495164364,15.054542522410413,1.3746125844471058,2.022210644905348
full,STABLE_LOCAL_CORE_R14B,11,40,40,79,43,36,3,2.4837399294563927,0.6,0.6,13.35528174103184,16.179712247577278,1.5324878739140966,2.2525519846878757
full,STABLE_LOCAL_CORE_R14B,12,39,39,78,42,36,3,2.7879672436114626,0.5641025641025641,0.5641025641025641,14.251069639414144,17.321160088031718,1.6903370623318859,2.458246134039251
full,STATE_FAST_R15,1,50,50,89,53,36,3,0.44926121931029483,0.8,0.84,1.4854168917910737,2.257480959001669,0.5080418892844457,0.5408962941838819
full,STATE_FAST_R15,2,49,49,88,52,36,3,0.6895035947934446,0.7755102040816326,0.7755102040816326,2.449816341829367,3.665244617891082,0.7665746122069395,0.8195480096006317
full,STATE_FAST_R15,3,48,48,87,51,36,3,0.7859421185698224,0.75,0.7916666666666666,3.9311814946340307,4.842133965707142,0.8343248458816838,0.9600759436661646
full,STATE_FAST_R15,4,47,47,86,50,36,3,0.9192629517682589,0.7659574468085106,0.8085106382978723,4.598144924250845,5.659646523319169,0.8986918905049684,1.0978010863157974
full,STATE_FAST_R15,5,46,46,85,49,36,3,0.9835019895560064,0.782608695652174,0.8478260869565217,5.360228174741138,6.402701313428963,0.897958459676311,1.0969687396724894
full,STATE_FAST_R15,6,45,45,84,48,36,3,1.05540616032815,0.7555555555555555,0.8888888888888888,6.013104365650112,7.436079909804175,0.8891228593542485,1.2371059843274215
full,STATE_FAST_R15,7,44,44,83,47,36,3,1.162330238439962,0.7954545454545454,0.8863636363636364,7.039595547469673,8.722540376451361,0.9486809601693099,1.470183933200282
full,STATE_FAST_R15,8,43,43,82,46,36,3,1.351718485917959,0.7441860465116279,0.8372093023255814,8.390043342720967,10.301057635481628,1.0517361204124647,1.6682934567712757
full,STATE_FAST_R15,9,42,42,81,45,36,3,1.5303758407027432,0.8095238095238095,0.8095238095238095,9.97382372766772,11.819617435044487,1.0643723460368715,1.7727942707745865
full,STATE_FAST_R15,10,41,41,80,44,36,3,1.734934049380269,0.7804878048780488,0.8292682926829268,11.154965799367735,13.399089484222886,1.0818421874368733,1.80609647615861
full,STATE_FAST_R15,11,40,40,79,43,36,3,1.9900767945353244,0.725,0.75,12.489371197568962,14.387937081232801,1.1986672853306266,1.9821668066571156
full,STATE_FAST_R15,12,39,39,78,42,36,3,2.2024353606343134,0.5897435897435898,0.6666666666666666,12.75703813624542,15.94117580187055,1.3111719322404276,2.0976648155323603
origins_2024plus,DAMPED_P95_Q001_R16,1,30,30,30,30,0,0,0.2187280881673207,0.9333333333333333,1.0,1.5812061028151474,2.5339699350051963,0.24642664216031726,0.2679636433629803
origins_2024plus,DAMPED_P95_Q001_R16,2,29,29,29,29,0,0,0.3223726272672946,1.0,1.0,2.809147352254803,4.254919972306848,0.35090259362247717,0.39534042213169307
origins_2024plus,DAMPED_P95_Q001_R16,3,28,28,28,28,0,0,0.41907157127718736,1.0,1.0,4.416514205378254,5.430852836631476,0.4172012202972862,0.49081434083690706
origins_2024plus,DAMPED_P95_Q001_R16,4,27,27,27,27,0,0,0.4937589832484711,1.0,1.0,5.117591124981792,6.07352207445676,0.33995142047391047,0.53085577953607
origins_2024plus,DAMPED_P95_Q001_R16,5,26,26,26,26,0,0,0.5669296732574369,1.0,1.0,5.65023608756994,6.6117904261527,0.3587245051632622,0.49240925989263873
origins_2024plus,DAMPED_P95_Q001_R16,6,25,25,25,25,0,0,0.6320748850021131,0.96,1.0,6.086034503587652,8.044473304547704,0.36829647459987824,0.617414080267938
