origin,model,status,n_train,train_start,train_end,spectral_radius,anchor_month
2020-07,FOOD_OWN_LEVEL_AR_R14,estimated,54,2016-01,2020-06,1.0019009323090962,2020-06
2020-08,FOOD_DOMESTIC_PIPELINE_R14,estimated,55,2016-01,2020-07,0.9597066823608722,2020-07
2020-08,FOOD_OWN_LEVEL_AR_R14,estimated,55,2016-01,2020-07,0.9915576439214797,2020-07
2020-09,FOOD_DOMESTIC_PIPELINE_R14,estimated,56,2016-01,2020-08,0.9621391019735583,2020-08
2020-09,FOOD_OWN_LEVEL_AR_R14,estimated,56,2016-01,2020-08,0.9908539980323731,2020-08
2020-10,FOOD_DOMESTIC_PIPELINE_R14,estimated,57,2016-01,2020-09,0.9463437772276944,2020-09
2020-10,FOOD_OWN_LEVEL_AR_R14,estimated,57,2016-01,2020-09,0.9795800433712339,2020-09
2020-11,FOOD_DOMESTIC_PIPELINE_R14,estimated,58,2016-01,2020-10,0.9532460683190929,2020-10
2020-11,FOOD_OWN_LEVEL_AR_R14,estimated,58,2016-01,2020-10,0.9805052176098134,2020-10
2020-12,FOOD_DOMESTIC_PIPELINE_R14,estimated,59,2016-01,2020-11,0.9599856381636116,2020-11
2020-12,FOOD_OWN_LEVEL_AR_R14,estimated,59,2016-01,2020-11,0.9756165462231645,2020-11
2021-01,FOOD_DOMESTIC_PIPELINE_R14,estimated,60,2016-01,2020-12,0.9355798922620602,2020-12
2021-01,FOOD_OWN_LEVEL_AR_R14,estimated,60,2016-01,2020-12,0.9525424755912568,2020-12
2021-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,61,2016-01,2021-01,0.9635717463917778,2021-01
2021-02,FOOD_OWN_LEVEL_AR_R14,estimated,61,2016-01,2021-01,0.9778999422066755,2021-01
2021-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,62,2016-01,2021-02,0.9668304017604756,2021-02
2021-03,FOOD_OWN_LEVEL_AR_R14,estimated,62,2016-01,2021-02,0.9769522664356518,2021-02
2021-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,63,2016-01,2021-03,0.976002711805616,2021-03
2021-04,FOOD_OWN_LEVEL_AR_R14,estimated,63,2016-01,2021-03,0.9782070989700092,2021-03
2021-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,64,2016-01,2021-04,0.9817722097982917,2021-04
2021-05,FOOD_OWN_LEVEL_AR_R14,estimated,64,2016-01,2021-04,0.9852110964663119,2021-04
2021-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,65,2016-01,2021-05,0.9792023705769506,2021-05
2021-06,FOOD_OWN_LEVEL_AR_R14,estimated,65,2016-01,2021-05,0.9787516172713504,2021-05
2021-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,66,2016-01,2021-06,0.980688580490408,2021-06
2021-07,FOOD_OWN_LEVEL_AR_R14,estimated,66,2016-01,2021-06,0.9779717026546482,2021-06
2021-08,FOOD_DOMESTIC_PIPELINE_R14,estimated,67,2016-01,2021-07,0.9824139312453353,2021-07
2021-08,FOOD_OWN_LEVEL_AR_R14,estimated,67,2016-01,2021-07,0.9829017981730119,2021-07
2021-09,FOOD_DOMESTIC_PIPELINE_R14,estimated,68,2016-01,2021-08,0.9824137897532401,2021-08
2021-09,FOOD_OWN_LEVEL_AR_R14,estimated,68,2016-01,2021-08,0.9868198451416627,2021-08
2021-10,FOOD_DOMESTIC_PIPELINE_R14,estimated,69,2016-01,2021-09,0.9803552185611999,2021-09
2021-10,FOOD_OWN_LEVEL_AR_R14,estimated,69,2016-01,2021-09,0.9841886582372245,2021-09
2021-11,FOOD_DOMESTIC_PIPELINE_R14,estimated,70,2016-01,2021-10,0.9800365702947444,2021-10
2021-11,FOOD_OWN_LEVEL_AR_R14,estimated,70,2016-01,2021-10,0.9805883478413819,2021-10
2021-12,FOOD_DOMESTIC_PIPELINE_R14,estimated,71,2016-01,2021-11,0.9879575458394434,2021-11
2021-12,FOOD_OWN_LEVEL_AR_R14,estimated,71,2016-01,2021-11,0.9833193286238298,2021-11
2022-01,FOOD_DOMESTIC_PIPELINE_R14,estimated,72,2016-01,2021-12,0.9933816715402952,2021-12
2022-01,FOOD_OWN_LEVEL_AR_R14,estimated,72,2016-01,2021-12,0.9848910879870053,2021-12
2022-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,73,2016-01,2022-01,1.0174859469142743,2022-01
2022-02,FOOD_OWN_LEVEL_AR_R14,estimated,73,2016-01,2022-01,0.9965539350885282,2022-01
2022-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,74,2016-01,2022-02,1.051316669180643,2022-02
2022-03,FOOD_OWN_LEVEL_AR_R14,estimated,74,2016-01,2022-02,1.0015463279124468,2022-02
2022-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,75,2016-01,2022-03,1.0815982134097957,2022-03
2022-04,FOOD_OWN_LEVEL_AR_R14,estimated,75,2016-01,2022-03,1.0045223491189295,2022-03
2022-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,76,2016-01,2022-04,1.1596961960783054,2022-04
2022-05,FOOD_OWN_LEVEL_AR_R14,estimated,76,2016-01,2022-04,1.0208440266024825,2022-04
2022-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,77,2016-01,2022-05,1.1760706507142162,2022-05
2022-06,FOOD_OWN_LEVEL_AR_R14,estimated,77,2016-01,2022-05,1.0352598360830088,2022-05
2022-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,78,2016-01,2022-06,1.1324583536730135,2022-06
2022-07,FOOD_OWN_LEVEL_AR_R14,estimated,78,2016-01,2022-06,1.0435705255133096,2022-06
2022-08,FOOD_DOMESTIC_PIPELINE_R14,estimated,79,2016-01,2022-07,1.0906304071814432,2022-07
2022-08,FOOD_OWN_LEVEL_AR_R14,estimated,79,2016-01,2022-07,1.0465021428635384,2022-07
2022-09,FOOD_DOMESTIC_PIPELINE_R14,estimated,80,2016-01,2022-08,1.0545917215904805,2022-08
2022-09,FOOD_OWN_LEVEL_AR_R14,estimated,80,2016-01,2022-08,1.0415192133761355,2022-08
2022-10,FOOD_DOMESTIC_PIPELINE_R14,estimated,81,2016-01,2022-09,1.0450896379653767,2022-09
2022-10,FOOD_OWN_LEVEL_AR_R14,estimated,81,2016-01,2022-09,1.036316416733784,2022-09
2022-11,FOOD_DOMESTIC_PIPELINE_R14,estimated,82,2016-01,2022-10,1.0564746311424205,2022-10
2022-11,FOOD_OWN_LEVEL_AR_R14,estimated,82,2016-01,2022-10,1.0440330285046866,2022-10
2022-12,FOOD_DOMESTIC_PIPELINE_R14,estimated,83,2016-01,2022-11,1.049990700022433,2022-11
2022-12,FOOD_OWN_LEVEL_AR_R14,estimated,83,2016-01,2022-11,1.0432925002657614,2022-11
2023-01,FOOD_DOMESTIC_PIPELINE_R14,estimated,84,2016-01,2022-12,1.0410008070253287,2022-12
2023-01,FOOD_OWN_LEVEL_AR_R14,estimated,84,2016-01,2022-12,1.035245342774635,2022-12
2023-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,85,2016-01,2023-01,1.0411787245826054,2023-01
2023-02,FOOD_OWN_LEVEL_AR_R14,estimated,85,2016-01,2023-01,1.038938821055258,2023-01
2023-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,86,2016-01,2023-02,1.030012705355449,2023-02
2023-03,FOOD_OWN_LEVEL_AR_R14,estimated,86,2016-01,2023-02,1.03356115400456,2023-02
2023-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,87,2016-01,2023-03,1.0175762622143116,2023-03
2023-04,FOOD_OWN_LEVEL_AR_R14,estimated,87,2016-01,2023-03,1.0294194203178415,2023-03
2023-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,88,2016-01,2023-04,0.9909527598983396,2023-04
2023-05,FOOD_OWN_LEVEL_AR_R14,estimated,88,2016-01,2023-04,1.0115867024761729,2023-04
2023-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,89,2016-01,2023-05,0.990058897483457,2023-05
2023-06,FOOD_OWN_LEVEL_AR_R14,estimated,89,2016-01,2023-05,1.0105736440602189,2023-05
2023-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,90,2016-01,2023-06,0.9942010253572002,2023-06
2023-07,FOOD_OWN_LEVEL_AR_R14,estimated,90,2016-01,2023-06,1.0078226044683019,2023-06
2023-08,FOOD_DOMESTIC_PIPELINE_R14,estimated,91,2016-01,2023-07,0.993159444520729,2023-07
2023-08,FOOD_OWN_LEVEL_AR_R14,estimated,91,2016-01,2023-07,1.002664673802302,2023-07
2023-09,FOOD_DOMESTIC_PIPELINE_R14,estimated,92,2016-01,2023-08,0.993906646906042,2023-08
2023-09,FOOD_OWN_LEVEL_AR_R14,estimated,92,2016-01,2023-08,0.9979919893425944,2023-08
2023-10,FOOD_DOMESTIC_PIPELINE_R14,estimated,93,2016-01,2023-09,0.9857648595004604,2023-09
2023-10,FOOD_OWN_LEVEL_AR_R14,estimated,93,2016-01,2023-09,0.9869904183447811,2023-09
2023-11,FOOD_DOMESTIC_PIPELINE_R14,estimated,94,2016-01,2023-10,0.9916960424549033,2023-10
2023-11,FOOD_OWN_LEVEL_AR_R14,estimated,94,2016-01,2023-10,0.9926997816185038,2023-10
2023-12,FOOD_DOMESTIC_PIPELINE_R14,estimated,95,2016-01,2023-11,0.9914550561369051,2023-11
2023-12,FOOD_OWN_LEVEL_AR_R14,estimated,95,2016-01,2023-11,0.9856217548136513,2023-11
2024-01,FOOD_DOMESTIC_PIPELINE_R14,estimated,96,2016-01,2023-12,0.9899309807170917,2023-12
2024-01,FOOD_OWN_LEVEL_AR_R14,estimated,96,2016-01,2023-12,0.9635461251836768,2023-12
2024-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,97,2016-01,2024-01,0.9806069772914843,2024-01
2024-02,FOOD_OWN_LEVEL_AR_R14,estimated,97,2016-01,2024-01,0.9543851848196123,2024-01
2024-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,98,2016-01,2024-02,0.9798894075578246,2024-02
2024-03,FOOD_OWN_LEVEL_AR_R14,estimated,98,2016-01,2024-02,0.9510463682151917,2024-02
2024-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,99,2016-01,2024-03,0.9830113922384311,2024-03
2024-04,FOOD_OWN_LEVEL_AR_R14,estimated,99,2016-01,2024-03,0.9497698103364237,2024-03
2024-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,100,2016-01,2024-04,0.9883606954947399,2024-04
2024-05,FOOD_OWN_LEVEL_AR_R14,estimated,100,2016-01,2024-04,0.9824970521109827,2024-04
2024-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,101,2016-01,2024-05,0.9862222011149628,2024-05
2024-06,FOOD_OWN_LEVEL_AR_R14,estimated,101,2016-01,2024-05,0.9786196763851349,2024-05
2024-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,102,2016-01,2024-06,0.9827609531567694,2024-06
2024-07,FOOD_OWN_LEVEL_AR_R14,estimated,102,2016-01,2024-06,0.9762728036298568,2024-06
2024-08,FOOD_DOMESTIC_PIPELINE_R14,estimated,103,2016-01,2024-07,0.9882253052147754,2024-07
2024-08,FOOD_OWN_LEVEL_AR_R14,estimated,103,2016-01,2024-07,0.9837556950490575,2024-07
2024-09,FOOD_DOMESTIC_PIPELINE_R14,estimated,104,2016-01,2024-08,0.9920977980249759,2024-08
2024-09,FOOD_OWN_LEVEL_AR_R14,estimated,104,2016-01,2024-08,0.9891247916009775,2024-08
2024-10,FOOD_DOMESTIC_PIPELINE_R14,estimated,105,2016-01,2024-09,0.9956181976926766,2024-09
2024-10,FOOD_OWN_LEVEL_AR_R14,estimated,105,2016-01,2024-09,0.9937131497425588,2024-09
2024-11,FOOD_DOMESTIC_PIPELINE_R14,estimated,106,2016-01,2024-10,0.9937283379367996,2024-10
2024-11,FOOD_OWN_LEVEL_AR_R14,estimated,106,2016-01,2024-10,0.9913638016935213,2024-10
2024-12,FOOD_DOMESTIC_PIPELINE_R14,estimated,107,2016-01,2024-11,0.9942818489711043,2024-11
2024-12,FOOD_OWN_LEVEL_AR_R14,estimated,107,2016-01,2024-11,0.9906901489666328,2024-11
2025-01,FOOD_DOMESTIC_PIPELINE_R14,estimated,108,2016-01,2024-12,0.9930339511218311,2024-12
2025-01,FOOD_OWN_LEVEL_AR_R14,estimated,108,2016-01,2024-12,0.9880975632759414,2024-12
2025-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,109,2016-01,2025-01,0.9953781749064832,2025-01
2025-02,FOOD_OWN_LEVEL_AR_R14,estimated,109,2016-01,2025-01,0.9918600240236388,2025-01
2025-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,110,2016-01,2025-02,0.994033281107829,2025-02
2025-03,FOOD_OWN_LEVEL_AR_R14,estimated,110,2016-01,2025-02,0.9891142595794716,2025-02
2025-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,111,2016-01,2025-03,0.9944704230710237,2025-03
2025-04,FOOD_OWN_LEVEL_AR_R14,estimated,111,2016-01,2025-03,0.9915593224169676,2025-03
2025-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,112,2016-01,2025-04,0.9937936645687171,2025-04
2025-05,FOOD_OWN_LEVEL_AR_R14,estimated,112,2016-01,2025-04,0.9899757239574087,2025-04
2025-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,113,2016-01,2025-05,0.9942445134756761,2025-05
2025-06,FOOD_OWN_LEVEL_AR_R14,estimated,113,2016-01,2025-05,0.9915831466847745,2025-05
2025-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,114,2016-01,2025-06,0.9940594778495933,2025-06
2025-07,FOOD_OWN_LEVEL_AR_R14,estimated,114,2016-01,2025-06,0.991880188325694,2025-06
2025-08,FOOD_DOMESTIC_PIPELINE_R14,estimated,115,2016-01,2025-07,0.9933717985468264,2025-07
2025-08,FOOD_OWN_LEVEL_AR_R14,estimated,115,2016-01,2025-07,0.9907437402261772,2025-07
2025-09,FOOD_DOMESTIC_PIPELINE_R14,estimated,116,2016-01,2025-08,0.9930240853084626,2025-08
2025-09,FOOD_OWN_LEVEL_AR_R14,estimated,116,2016-01,2025-08,0.9916142129738246,2025-08
2025-10,FOOD_DOMESTIC_PIPELINE_R14,estimated,117,2016-01,2025-09,0.9920577308352105,2025-09
2025-10,FOOD_OWN_LEVEL_AR_R14,estimated,117,2016-01,2025-09,0.9897983470401654,2025-09
2025-11,FOOD_DOMESTIC_PIPELINE_R14,estimated,118,2016-01,2025-10,0.9929722100468907,2025-10
2025-11,FOOD_OWN_LEVEL_AR_R14,estimated,118,2016-01,2025-10,0.9911800119732185,2025-10
2025-12,FOOD_DOMESTIC_PIPELINE_R14,estimated,119,2016-01,2025-11,0.9910975102970374,2025-11
2025-12,FOOD_OWN_LEVEL_AR_R14,estimated,119,2016-01,2025-11,0.9878188629621727,2025-11
2026-01,FOOD_DOMESTIC_PIPELINE_R14,estimated,120,2016-01,2025-12,0.9916056570583003,2025-12
2026-01,FOOD_OWN_LEVEL_AR_R14,estimated,120,2016-01,2025-12,0.9855381225677775,2025-12
2026-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,121,2016-01,2026-01,0.9916270226814579,2026-01
2026-02,FOOD_OWN_LEVEL_AR_R14,estimated,121,2016-01,2026-01,0.9886589693119185,2026-01
2026-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,122,2016-01,2026-02,0.9896976050512978,2026-02
2026-03,FOOD_OWN_LEVEL_AR_R14,estimated,122,2016-01,2026-02,0.9845990906604645,2026-02
2026-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,123,2016-01,2026-03,0.9923100030941041,2026-03
2026-04,FOOD_OWN_LEVEL_AR_R14,estimated,123,2016-01,2026-03,0.9837882140833719,2026-03
2026-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,124,2016-01,2026-04,0.9920905657548196,2026-04
2026-05,FOOD_OWN_LEVEL_AR_R14,estimated,124,2016-01,2026-04,0.9833489717386724,2026-04
2026-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,125,2016-01,2026-05,0.9930413852917781,2026-05
2026-06,FOOD_OWN_LEVEL_AR_R14,estimated,125,2016-01,2026-05,0.9844890929090743,2026-05
2026-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,126,2016-01,2026-06,0.9916448159763516,2026-06
2026-07,FOOD_OWN_LEVEL_AR_R14,estimated,126,2016-01,2026-06,0.9817594464607255,2026-06
