origin,H,actual,FOOD_NORM_SHIFT_R24,CAND,PPI,AGRI,TREND,CONST,MARGIN,MARGIN_NC,MARGIN_T
2021-01,6,0.2623525772384397,0.5025157506077282,0.7117168016761592,0.9167540274188066,0.4295482644636525,1.0944596804637965,0.28329056061447544,-0.11322619626379232,-0.09232743367216367,0.7967734674518476
2021-01,12,5.286823565281073,2.5142858443451983,2.7234868954136298,2.9285241211562765,2.441318358201123,3.1062297742012666,2.2950606543519454,1.898543897473678,1.9194426600653065,2.8085435611893175
2021-02,3,0.17497817237877256,0.5828841457574636,0.2514401296458943,0.31622869614902427,0.22783996875414464,0.6763308221374726,0.5409157652119376,0.1628091591732398,0.12441281054944531,0.1756650714683443
2021-02,6,0.5240186663556086,-0.3468585978482783,-0.818130558256916,-0.726009315260278,-0.8516870370248726,-0.19241892416418938,-0.4305554913953187,-1.1520974803803044,-1.227009244509591,-0.9258732191031199
2021-02,12,6.688908389474896,2.657184747884769,2.1859127874761315,2.2780340304727695,2.1523563087081747,2.811624421568858,2.5734878543377286,1.851945865352743,1.7770341012234563,2.0781701266299275
2021-03,3,-0.08760403538799355,0.6346180427940632,0.3915477761058546,0.5325682870494631,0.170724861298832,0.799574083530697,0.571580878094127,0.23234738363313878,0.15689537026734668,0.4087174367105297
2021-03,6,-0.43878964654195785,-0.3491101844277799,-0.6947257198750766,-0.49421218087713314,-1.0087083018663117,-0.07639658433784266,-0.474625894562399,-1.1192808044387523,-1.2653270369320673,-0.6703126087028041
2021-03,12,7.423305815050747,2.6631891074677214,2.317573572020425,2.5180871110183687,2.0035909900291897,2.9359027075576587,2.5376733973331027,1.8930184874567495,1.7469722549634348,2.3419866831926974
2021-04,3,-0.5226492733542683,0.4121027285849307,0.4497471623323233,0.47839362737091384,0.43277087609620435,0.5838243433776149,0.3496438431488905,0.06328692719467233,0.0003167144873736927,0.4113003507619689
2021-04,6,-1.5762147693876432,0.5284702757646711,0.581995954999245,0.6227276474759909,0.5578577980072633,0.8124477304890317,0.40410220701918,-0.14050429368760087,-0.2630151340654392,0.5273293947976473
2021-04,12,10.153042741022595,2.902209802525417,2.955735481759991,2.996467174236737,2.931597324768009,3.1861872572497774,2.777841733779926,2.2332352330731453,2.1107243926953068,2.9010689215583936
2021-05,3,0.349040493976836,-0.7963281280451351,-0.9476316487878318,-0.9444078826412067,-0.9338335294518093,-0.8408283008173503,-0.7963281280451351,-1.0866276018656276,-1.1066590863628731,-0.9759298772958656
2021-05,6,0.08737440485967263,0.01839224002194112,-0.1967424535340807,-0.19215866104434814,-0.17712325260317374,-0.05489017626307019,0.01839224002194112,-0.5443321140109764,-0.5843064397159059,-0.23697899719394128
2021-05,12,14.082552980353764,2.8983661325724284,2.683231439016407,2.687815231506139,2.7028506399473136,2.825083716287417,2.8983661325724284,2.335641778539511,2.2956674528345817,2.6429948953565465
2021-06,3,-0.3511856111539643,-0.7318035298227497,-0.27027808290795763,-0.3010395496032933,-0.21340981469257556,-0.45205276455629173,-0.8253346521033207,-1.0123711019485537,-1.0768464524715187,-0.28792384480591676
2021-06,6,1.0462170406983273,0.31416483908799564,0.9703963339199657,0.9266573734625352,1.051255902788712,0.7743505001536894,0.12839521611809013,-0.22289874220523762,-0.34821272394799424,0.945306266221305
2021-06,12,16.523216034259733,2.889491366682703,3.545722861514673,3.5019839010572427,3.626582430383419,3.3496770277483967,2.7037217437127974,2.3524277853894695,2.227113803646713,3.5206327938160125
2021-07,3,-1.053565496033375,0.22111237601004546,0.8960329105390112,0.8879892588524547,0.867325402252811,0.5552075693327742,0.11624234118316057,-0.004185201863884935,-0.051717070368006435,0.9593261575470575
2021-07,6,5.024470988042633,2.4260642361396245,3.385716871172998,3.3742798039311754,3.344898382828557,2.9773387523119537,2.218002538039558,1.9952481846773016,1.9026314000902023,3.475711956762564
2021-07,12,17.64821241423952,2.844580794501788,3.8042334295351625,3.79279636229334,3.7634149411907205,3.3958553106741176,2.6365190964017216,2.4137647430394646,2.3211479584523658,3.8942285151247282
2021-08,3,-0.2616660891171634,0.8567554141359172,1.1384497126936466,1.136647119055569,1.0903255882353573,0.9039773000316831,0.820392455355301,0.6056155675987858,0.6242782215874134,1.2190117591104732
2021-08,6,6.164889723119288,3.0238394348784947,3.424373515640266,3.421810452811125,3.3559470261761364,3.1011873398900454,2.9512895507592134,2.54020881500843,2.574848584235888,3.5389226753891916
2021-08,12,17.89768288884593,2.7110489354562004,3.111583016217972,3.1090199533888305,3.043156526753842,2.788396840467751,2.6384990513369195,2.227418315586136,2.2620580848135936,3.2261321759668964
2021-09,3,1.3974026518522917,0.9343163828448271,0.8927672301162461,0.8849141852301902,0.8659030990731194,0.770251161552967,0.9343163828448271,0.6809254333795632,0.7287136665690925,0.9544422312954295
2021-09,6,7.862095461592705,2.8853517266773854,2.826274025141435,2.815107976944074,2.788076588814489,2.6167362941969436,2.8853517266773854,2.394094121650059,2.4858541338853692,2.9139681674430857
2021-09,12,19.078752474275287,2.5762569766938994,2.517179275157949,2.506013226960588,2.4789818388310025,2.307641544213458,2.5762569766938994,2.0849993716665725,2.1767593839018837,2.6048734174596
