origin,config,prediction,status,n_train,stage,family,band
2011-06,l1,0.10193312858117036,estimated,62,signal,services,0
2011-06,l10,0.03539589070629293,estimated,62,signal,services,0
2011-07,l0.1,0.012731437041092496,estimated,63,signal,services,0
2011-07,l1,0.061622961988068596,estimated,63,signal,services,0
2011-07,l10,0.02598210504774526,estimated,63,signal,services,0
2011-08,l0.1,0.3066429414205623,estimated,64,signal,services,0
2011-08,l1,0.14191231036077598,estimated,64,signal,services,0
2011-08,l10,0.039877532529501075,estimated,64,signal,services,0
2011-09,l0.1,0.46066482489631494,estimated,65,signal,services,0
2011-09,l1,0.08425019689045003,estimated,65,signal,services,0
2011-09,l10,0.015768321557640363,estimated,65,signal,services,0
2011-10,l0.1,0.1911826335995983,estimated,66,signal,services,0
2011-10,l1,0.013699186337217487,estimated,66,signal,services,0
2011-10,l10,0.0032976599834479868,estimated,66,signal,services,0
2011-11,l0.1,0.19366442559347274,estimated,67,signal,services,0
2011-11,l1,0.04420594939192517,estimated,67,signal,services,0
2011-11,l10,0.012297379834664918,estimated,67,signal,services,0
2011-12,l0.1,0.01912970728375102,estimated,68,signal,services,0
2011-12,l1,0.0077666837273032635,estimated,68,signal,services,0
2011-12,l10,0.005166336723800645,estimated,68,signal,services,0
2012-01,l0.1,0.22603585575972626,estimated,69,signal,services,0
2012-01,l1,0.12140591220797126,estimated,69,signal,services,0
2012-01,l10,0.030923033637300125,estimated,69,signal,services,0
2012-02,l0.1,0.04897089443195974,estimated,70,signal,services,0
2012-02,l1,0.08470997861767648,estimated,70,signal,services,0
2012-02,l10,0.028363855090023232,estimated,70,signal,services,0
2012-03,l0.1,-0.1711778120635893,estimated,71,signal,services,0
2012-03,l1,-0.03785364769130524,estimated,71,signal,services,0
2012-03,l10,-0.00011139123076681342,estimated,71,signal,services,0
2012-04,l0.1,-0.041933387674338476,estimated,72,signal,services,0
2012-04,l1,-0.02686711611728906,estimated,72,signal,services,0
2012-04,l10,-0.0029844621197275753,estimated,72,signal,services,0
2012-05,l0.1,-0.23685164471647027,estimated,73,signal,services,0
2012-05,l1,-0.1242783377441023,estimated,73,signal,services,0
2012-05,l10,-0.02398320012261137,estimated,73,signal,services,0
2012-06,l0.1,0.13226029714390916,estimated,74,signal,services,0
2012-06,l1,0.022962646735666174,estimated,74,signal,services,0
2012-06,l10,-0.0015143750539789826,estimated,74,signal,services,0
2012-07,l0.1,0.17522279052669487,estimated,75,signal,services,0
2012-07,l1,0.023872708741643208,estimated,75,signal,services,0
2012-07,l10,-0.003087832253933458,estimated,75,signal,services,0
2012-08,l0.1,0.08776677014657991,estimated,76,signal,services,0
2012-08,l1,-0.00986296851711778,estimated,76,signal,services,0
2012-08,l10,-0.010162957140395874,estimated,76,signal,services,0
2012-09,l0.1,0.012866199548908958,estimated,77,signal,services,0
2012-09,l1,-0.04751043092181163,estimated,77,signal,services,0
2012-09,l10,-0.02090723382902372,estimated,77,signal,services,0
2012-10,l0.1,0.0767921090968745,estimated,78,signal,services,0
2012-10,l1,-0.0801944063568519,estimated,78,signal,services,0
2012-10,l10,-0.032663024529244626,estimated,78,signal,services,0
2012-11,l0.1,-0.0038993814571603646,estimated,79,signal,services,0
2012-11,l1,-0.08261727400013752,estimated,79,signal,services,0
2012-11,l10,-0.031039274242897968,estimated,79,signal,services,0
2012-12,l0.1,-0.1405648497648977,estimated,80,signal,services,0
2012-12,l1,-0.17096461275309602,estimated,80,signal,services,0
2012-12,l10,-0.04920209793007834,estimated,80,signal,services,0
2013-01,l0.1,-0.148988962161762,estimated,81,signal,services,0
2013-01,l1,-0.0910111067071976,estimated,81,signal,services,0
2013-01,l10,-0.024460716407983592,estimated,81,signal,services,0
2013-02,l0.1,0.2179445085207466,estimated,82,signal,services,0
2013-02,l1,0.03967080540576965,estimated,82,signal,services,0
2013-02,l10,0.0013021289023160904,estimated,82,signal,services,0
2013-03,l0.1,0.3633316327619648,estimated,83,signal,services,0
2013-03,l1,0.06168801695107391,estimated,83,signal,services,0
2013-03,l10,-0.0007443517229687955,estimated,83,signal,services,0
2013-04,l0.1,0.21582345662724206,estimated,84,signal,services,0
2013-04,l1,0.006212713792863769,estimated,84,signal,services,0
