origin,last_target,available_from,actual,stage,family,band
2007-10,2008-01,2008-02-20 09:00:00,0.3714796889520886,signal,goods,0
2007-11,2008-02,2008-03-20 09:00:00,-0.00010237493348896898,signal,goods,0
2007-12,2008-03,2008-04-20 09:00:00,-0.23621871328459187,signal,goods,0
2008-01,2008-04,2008-05-20 09:00:00,-0.26980345756925717,signal,goods,0
2008-02,2008-05,2008-06-20 09:00:00,0.10116331825382963,signal,goods,0
2008-03,2008-06,2008-07-20 09:00:00,0.10116331825382985,signal,goods,0
2008-04,2008-07,2008-08-20 09:00:00,0.10126590066922314,signal,goods,0
2008-05,2008-08,2008-09-20 09:00:00,-0.3037977020076694,signal,goods,0
2008-06,2008-09,2008-10-20 09:00:00,-0.37147962035373583,signal,goods,0
2008-07,2008-10,2008-11-20 09:00:00,-0.40747419133083085,signal,goods,0
2008-08,2008-11,2008-12-20 09:00:00,-0.8841591960707089,signal,goods,0
2008-09,2008-12,2009-01-20 09:00:00,-1.4306195219265887,signal,goods,0
2008-10,2009-01,2009-02-20 09:00:00,-1.4675062509659311,signal,goods,0
2008-11,2009-02,2009-03-20 09:00:00,-0.8575741953138745,signal,goods,0
2008-12,2009-03,2009-04-20 09:00:00,-0.4813490608246225,signal,goods,0
2009-01,2009-04,2009-05-20 09:00:00,-0.24142125177910412,signal,goods,0
2009-02,2009-05,2009-06-20 09:00:00,-0.3791981423157611,signal,goods,0
2009-03,2009-06,2009-07-20 09:00:00,-0.10360908251681522,signal,goods,0
2009-04,2009-07,2009-08-20 09:00:00,-0.20707520659444878,signal,goods,0
2009-05,2009-08,2009-09-20 09:00:00,0.06908465339907943,signal,goods,0
2009-06,2009-09,2009-10-20 09:00:00,-0.06912044856268729,signal,goods,0
2009-07,2009-10,2009-11-20 09:00:00,0.17130656515042197,signal,goods,0
2009-08,2009-11,2009-12-20 09:00:00,0.8250724397555644,signal,goods,0
2009-09,2009-12,2010-01-20 09:00:00,1.2028886088924495,signal,goods,0
2009-10,2010-01,2010-02-09 09:00:00,1.0306912966452177,signal,goods,0
2009-11,2010-02,2010-03-09 09:00:00,-0.2405674866926466,signal,goods,0
2009-12,2010-03,2010-04-09 09:00:00,-0.8913940667365607,signal,goods,0
2010-01,2010-04,2010-05-10 09:00:00,-0.9264447432296041,signal,goods,0
2010-02,2010-05,2010-06-09 09:00:00,-0.515766547964263,signal,goods,0
2010-03,2010-06,2010-07-12 09:00:00,-0.06912030064886743,signal,goods,0
2010-04,2010-07,2010-08-09 09:00:00,-0.10368059877228086,signal,goods,0
2010-05,2010-08,2010-09-09 09:00:00,-0.41407926660314054,signal,goods,0
2010-06,2010-09,2010-10-11 09:00:00,-0.27615985999352777,signal,goods,0
2010-07,2010-10,2010-11-09 09:00:00,-3.586946599209995e-05,signal,goods,0
2010-08,2010-11,2010-12-09 09:00:00,-0.10393205747442869,signal,goods,0
2010-09,2010-12,2011-01-10 09:00:00,-0.17308837550310852,signal,goods,0
2010-10,2011-01,2011-02-09 09:00:00,-0.10414653239875671,signal,goods,0
2010-11,2011-02,2011-03-09 09:00:00,0.4140445059251472,signal,goods,0
2010-12,2011-03,2011-04-11 09:00:00,0.8977133384817657,signal,goods,0
2011-01,2011-04,2011-05-10 09:00:00,0.8615462193460606,signal,goods,0
2011-02,2011-05,2011-06-09 09:00:00,0.37802523129746124,signal,goods,0
2011-03,2011-06,2011-07-12 09:00:00,0.24021393903498423,signal,goods,0
2011-04,2011-07,2011-08-09 09:00:00,0.17141497486301116,signal,goods,0
2011-05,2011-08,2011-09-09 09:00:00,0.10268700894573835,signal,goods,0
2011-06,2011-09,2011-10-10 09:00:00,0.4110652059833342,signal,goods,0
2011-07,2011-10,2011-11-09 09:00:00,0.4440090139429187,signal,goods,0
2011-08,2011-11,2011-12-09 09:00:00,0.5797481135105387,signal,goods,0
2011-09,2011-12,2012-01-09 09:00:00,0.5794332485599274,signal,goods,0
2011-10,2012-01,2012-02-16 09:00:00,0.510883333338823,signal,goods,0
2011-11,2012-02,2012-03-09 09:00:00,0.067715641371348,signal,goods,0
2011-12,2012-03,2012-04-10 09:00:00,0.06781962325958424,signal,goods,0
2012-01,2012-04,2012-05-10 09:00:00,0.4416058289147198,signal,goods,0
2012-02,2012-05,2012-06-11 09:00:00,0.13563924651916914,signal,goods,0
2012-03,2012-06,2012-07-11 09:00:00,-0.06781962325958446,signal,goods,0
2012-04,2012-07,2012-08-09 09:00:00,-0.0001382664020250779,signal,goods,0
2012-05,2012-08,2012-09-10 09:00:00,-0.33937464910197246,signal,goods,0
2012-06,2012-09,2012-10-09 09:00:00,-0.47542925975692385,signal,goods,0
2012-07,2012-10,2012-11-09 09:00:00,-0.3400671109715132,signal,goods,0
2012-08,2012-11,2012-12-10 09:00:00,-0.13619344198668504,signal,goods,0
2012-09,2012-12,2013-01-09 09:00:00,-0.06809672099334207,signal,goods,0
2012-10,2013-01,2013-02-11 09:00:00,0.2042901629800271,signal,goods,0
2012-11,2013-02,2013-03-11 09:00:00,0.27224805264163643,signal,goods,0
2012-12,2013-03,2013-04-09 09:00:00,0.1698428390799076,signal,goods,0
2013-01,2013-04,2013-05-10 09:00:00,0.373302270347168,signal,goods,0
2013-02,2013-05,2013-06-10 09:00:00,0.4749800309346015,signal,goods,0
2013-03,2013-06,2013-07-09 09:00:00,0.4739467444679586,signal,goods,0
2013-04,2013-07,2013-08-09 09:00:00,0.5743906546058044,signal,goods,0
2013-05,2013-08,2013-09-09 09:00:00,0.47209698098888797,signal,goods,0
2013-06,2013-09,2013-10-09 09:00:00,0.6072553742409915,signal,goods,0
2013-07,2013-10,2013-11-11 09:00:00,0.23557155452199507,signal,goods,0
2013-08,2013-11,2013-12-09 09:00:00,-0.1683672310980786,signal,goods,0
2013-09,2013-12,2014-01-09 09:00:00,-0.00023779706835880265,signal,goods,0
2013-10,2014-01,2014-02-12 09:00:00,0.20127444104773373,signal,goods,0
2013-11,2014-02,2014-03-10 09:00:00,0.16752101061838276,signal,goods,0
2013-12,2014-03,2014-04-09 09:00:00,0.8064559836730418,signal,goods,0
2014-01,2014-04,2014-05-12 09:00:00,0.36893101577236204,signal,goods,0
2014-02,2014-05,2014-06-09 09:00:00,0.03338327669534258,signal,goods,0
2014-03,2014-06,2014-07-09 09:00:00,0.23358407870240508,signal,goods,0
2014-04,2014-07,2014-08-11 09:00:00,0.4672688949096497,signal,goods,0
2014-05,2014-08,2014-09-09 09:00:00,0.7343046591925813,signal,goods,0
2014-06,2014-09,2014-10-09 09:00:00,0.46650095447630824,signal,goods,0
