period,a6_11,a6_12,a6_13,a6_14,a6_18,a6_20,a6_22,a6_23,a6_25,a6_26,a6_29,a6_32,a6_36,a6_38,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_64,a6_65,a6_66,a6_69,a6_70,a6_72
2013-10,6.961094734649712,83.69492993,,1.214556410015525,105.3,-0.2,,,8569.0,,3.4,27.8,-2.5,-46.1,,0.5353319057815886,,,,,,2.3278360701335563,0.44,0.05,0.0030683694607702705,0.008142276367179235,0.0014843242852258243,0.0052811363148350665,109.44043478260872,-0.011314778818272142,,26.27821739130435,105.29434782608692,2.064397672892308,1.364700397905738,15.0
2013-11,6.954292633436032,83.35570325,,1.0092908744400693,106.2,1.6,,,11383.0,,3.7,25.6,0.5,-47.3,,0.0,,,,,,2.179410883574713,0.38,0.05,-0.038451262965925714,-0.049123826890852484,0.027561008125427833,0.006596180794755213,107.90380952380951,0.018484573694187212,,26.768476190476196,102.85809523809522,2.069230769230769,1.7384615384615385,20.5
2013-12,6.920467802141573,85.30486633,,0.9244962163442088,106.1,0.2,,,-10250.0,,-2.0,27.2,3.0999999999999996,-47.6,,0.641025641025661,,,,,,2.202918580644395,0.38,0.05,-0.008492832183390142,-0.01663353020398972,-0.009441787975504212,0.00706724865009889,110.70190476190476,0.01446011821729698,,27.15836363636364,103.42000000000002,2.069230769230769,1.7461538461538462,30.3
2014-01,6.8790775460002775,82.84535922,,0.7012258123001727,106.8,0.7,,,15325.0,,-2.1,27.5,-3.8,-46.6,,1.6059957173447437,,,,,,2.425941078876149,0.37,0.05,0.002405292801249459,-0.0025245609149546766,0.005853497075346326,-0.0010647003817290113,107.11318181818184,-0.041510255320264644,,26.054090909090917,100.6891304347826,2.1231794092205303,2.2851067797443587,28.3
2014-02,6.816713912222384,84.38534856,,0.6218765991411368,107.3,2.3,,0.006066752682237997,14299.0,,1.3,26.1,1.7999999999999998,-42.4,,-0.6355932203389925,,,,,,2.2761244857711795,0.37,0.05,0.00469367217120098,0.0031820951852203905,-0.009110779863501506,0.000665847564295774,108.835,-0.022673507534498594,,25.47,102.177,2.1,2.338461538461538,25.2
2014-03,6.738741025652407,85.61015639,,0.4281134262957019,107.2,2.3,,0.0020140993717010502,24415.0,,0.6000000000000001,27.9,1.8000000000000007,-41.3,,-0.6355932203389925,,,,,,2.2030043731616797,0.37,0.05,0.004870058822870504,0.007965561240450114,-0.006235023717493959,0.003004091455153457,107.74809523809525,-0.0210283487394749,,24.94,101.88523809523808,2.081818181818182,2.3818181818181823,22.9
2014-04,6.666818557392935,85.75331835,,0.7677006372936133,107.3,1.3,,-0.0020140993717010502,15509.0,,2.2,26.5,3.9000000000000004,-38.7,,-0.8474576271186529,,,,,,2.003504548259917,0.37,0.05,-0.004571209390950237,-0.005558294512794326,0.001964471625107933,0.0020856094729282404,108.09,-0.022620328070797058,,24.38218181818182,102.6440909090909,2.081960913951389,2.2742122455928984,22.9
2014-05,6.578659461060157,85.27913826,,0.9457631989704336,107.0,-0.4,,-0.0020181641562375674,11809.0,,-0.20000000000000018,25.8,-1.1000000000000014,-36.9,,-0.319488817891389,,,,,,1.7279830105056777,0.36,0.05,-0.0011959339675362557,-0.0015312263737756737,-0.0016039507238261308,0.0038182972489479994,109.2390909090909,0.0021750798158652884,,24.43527272727272,103.19954545454549,2.002059491252837,2.1003890618166694,26.3
2014-06,6.43827276852926,85.32334391,,0.9605571475830382,105.4,2.2,,0.004032263527938618,16989.0,,-0.8999999999999999,28.6,0.3000000000000007,-35.7,,-0.1067235859124937,,,,,,1.5543875657435828,0.35,0.05,-0.005399473172116309,-0.004717766169878956,0.006783519554261375,0.0047468368996419485,111.96714285714287,-0.009488142026509827,,24.20452380952381,106.42285714285715,2.03,2.237,17.9
2014-07,6.27806005442678,85.22937205,,0.6786138284968423,105.1,0.0,,0.0020100509280238654,10616.0,,-0.5,29.1,2.0,-33.8,,-0.2132196162046962,,,,,,1.4853230096158112,0.35,0.05,0.002503380869780969,0.0008794108514429411,-0.014481652550191626,0.005038778061695837,108.18521739130432,-0.008922409160400324,,23.98952173913043,106.25869565217393,2.025,2.1,22.4
