period,cpi_mm,a6_11,a6_12,a6_13,a6_14,a6_18,a6_20,a6_22,a6_23,a6_25,a6_26,a6_29,a6_32,a6_36,a6_38,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_64,a6_65,a6_66,a6_69,a6_70,a6_72
2003-10,0.0,7.966195343829246,64.21715903,,,93.2,-0.6,,,,,4.8,43.0,19.1,-8.7,,-0.1362397820163563,,,,,,4.47300377217206,2.06,2.0,90.97,78.61,,,28.97086956521739,,,,,2.71,3.0,48.9
2003-11,0.5194805194805197,8.049102557297452,65.13050991,,,95.6,-0.9,,,,,11.5,53.8,21.0,-10.3,,-0.2702702702702786,,,,,,4.74901985181005,2.07,2.0,91.49,78.83,,,28.806500000000007,,,,,2.685714285714286,3.05,45.2
2003-12,0.1291989664082615,8.134675448681818,67.27106546,,,94.6,-1.0,,,,,7.9,42.9,20.0,-9.6,,0.1353179972936269,,,,,,4.82073277235031,2.09,2.0,91.57,78.75,,,29.61714285714285,,,,,2.771428571428572,3.271428571428572,46.6
2004-01,1.806451612903226,8.249616464557661,66.56605066,,,89.9,1.0,,,,,6.3,43.8,17.9,-5.2,,0.8152173913043681,,,,,,4.679670620178225,2.07,2.0,90.52,78.58,,,30.662857142857145,,,,,2.9333333333333336,2.8535714285714286,47.6
2004-02,0.2534854245880735,8.395736608245546,68.65531015,,,95.2,1.3,,,,,5.7,40.9,7.2,-3.8,,1.4945652173913082,,,,,,4.854876940963746,2.06,2.0,90.24,78.40999999999998,,,30.34350000000001,,,,,2.757142857142857,3.164285714285714,56.3
2004-03,0.0,8.516921066153778,68.15754136,,,92.6,2.2,,,,,7.8,36.2,17.2,-4.9,,1.4884979702300294,,,,,,4.592611047184158,2.05,2.0,89.15999999999998,77.29,,,32.73173913043478,,,,,2.8166666666666664,2.983333333333333,50.9
2004-04,0.0,8.55482362839538,69.18485219,,,92.9,2.2,,,,,9.5,42.6,19.7,-3.6,,1.8918918918918948,,,,,,4.681143126068116,2.11,2.0,90.43,77.9,,,32.976499999999994,,,,,2.9,2.809090909090909,52.6
2004-05,0.5056890012642201,8.510778424224338,69.06165493,,,92.5,-0.5,,,,,7.1,44.6,16.1,0.3,,3.542234332425065,,,,,,4.946893831150419,2.24,2.0,92.49,79.40999999999998,,,37.1978947368421,,,,,2.872727272727273,2.618181818181818,38.1
2004-06,0.1257861635220125,8.445932084350687,68.42777712,,,91.8,1.9,,,,,12.6,45.3,17.0,0.7,,4.774897680763979,,,,,,5.085967191514103,2.45,2.25,94.5,80.12,,,35.51090909090909,,,,,2.6769230769230767,2.714285714285714,32.0
2004-07,0.3768844221105683,8.369991641668785,69.56799571,,,92.9,1.6,,,,,10.2,45.8,18.1,-6.5,,6.147540983606548,,,,,,5.167705991174699,2.49,2.25,95.27,80.20999999999998,,,37.66727272727272,,,,,2.625,2.7692307692307687,27.5
2004-08,0.0,8.278027656446383,70.04618407,,,92.5,1.6,,,,,9.1,46.1,16.0,-5.2,,7.260273972602738,,,,,,5.089026837029025,2.65,2.5,95.11,79.62,,,41.752857142857145,,,,,2.729411764705883,2.8,33.1
2004-09,-0.8760951188986232,8.230992108496132,69.72500074,,,94.4,1.0,,,,,12.2,42.9,23.7,-10.0,,7.786885245901653,,,,,,5.087420234411333,2.83,2.5,95.26,79.56999999999998,,,42.85590909090909,,,,,2.853333333333333,2.95,34.9
2004-10,0.5050505050504972,8.268075358801795,69.94752492,,,94.1,-0.3,,,,,10.6,40.9,24.0,-8.2,,7.912687585266021,,,,,,4.889246870233537,2.61,2.5,95.47,80.09,,,49.37619047619047,,,,,2.8666666666666667,2.844,38.1
2004-11,0.0,8.341880308195131,70.12902964,,,94.4,1.6,,,,,14.1,38.5,19.5,-5.3,,8.265582655826575,,,,,,4.627848118689402,2.59,2.5,96.56,80.78,,,44.565909090909095,,,,,2.707692307692307,2.784615384615385,36.4
2004-12,0.0,8.365455424680327,70.06313097,,,92.6,0.2,,,,,14.0,40.3,17.5,5.4,,7.972972972972991,,,,,,4.139732833213807,2.56,2.5,98.59,82.36,,,40.27857142857143,,,,,2.833333333333333,2.8466666666666662,27.6
2005-01,0.7537688442211143,8.301238342850457,69.15407113,,,94.8,1.4,,,8448.0,,10.1,36.7,20.4,3.3,,7.547169811320753,,,,,,3.9075985699789855,2.3,2.25,98.23,82.93,926819470000.0,315877610000.0,44.4815,,,,,2.675,2.81875,16.4
2005-02,0.2493765586034868,8.221354144590604,69.16205641,,,93.7,-0.9,,,4351.0,,7.7,38.8,21.2,-6.2,,7.095046854082998,,,,,,3.622713884405136,2.21,2.25,98.91,83.26,946544430000.0,319063980000.0,45.8645,,,,,2.7153846153846155,2.623076923076923,16.4
2005-03,-0.1243781094527496,8.188277474369428,69.30429736,,,91.6,-1.0,,,4347.0,,6.3,38.3,17.5,-4.7,,6.933333333333347,,,,,,3.691889680611004,2.06,2.25,99.08,83.70999999999998,964770700000.0,326410590000.0,53.272857142857134,,,,,2.5923076923076924,2.6,19.2
2005-04,0.1245330012453305,8.158230033393394,70.78315935,,,92.2,-3.0,,,-4312.0,,4.1,38.5,14.6,-3.1,,6.49867374005304,,,,,,3.698130927461897,1.79,1.75,97.8,82.75,970004900000.0,333833740000.0,53.30714285714285,,,,,2.526666666666667,2.506666666666667,14.5
2005-05,0.1243781094527385,8.098600301102742,70.2049104,,,93.0,0.0,,,3505.0,,7.3,44.9,17.4,-2.7,,5.789473684210544,,,,,,3.492065704193116,1.76,1.75,96.91,82.23999999999998,976160830000.0,342652300000.0,49.674,,,,,2.4384615384615382,2.361538461538461,9.4
2005-06,0.6211180124223503,8.024607580140351,70.89389002,,,92.3,-0.6,,,5640.0,,6.7,40.1,19.4,-4.8,,3.776041666666674,,,,,,3.312534573901784,1.74,1.75,96.12,82.25,1002452600000.0,352854100000.0,55.41636363636364,,,,,2.528571428571429,2.314285714285714,13.4
2005-07,0.2469135802469102,7.948056774487855,71.05532426,,,93.8,-1.4,,,-3011.0,,9.7,42.6,19.4,-2.9,,2.5740025740025763,,,,,,3.343945201205204,1.8,1.75,95.49,81.76999999999998,1004515620000.0,359844190000.0,57.94666666666666,,,,,2.507692307692308,2.3615384615384616,20.3
2005-08,0.0,7.875734140705574,72.24092836,,,95.2,0.5,,,-5932.0,,5.6,43.8,18.3,-6.1,,1.7879948914431676,,,,,,3.361249813909117,1.79,1.75,96.69,83.26,1032050100000.0,369236350000.0,63.8,,,,,2.557142857142857,2.45,23.8
2005-09,-0.246305418719217,7.8249917671434845,72.3641046,,,96.3,-1.2,,,1171.0,,5.2,47.1,18.7,-3.2,,1.0139416983523386,,,,,,3.254969826082502,1.8,1.75,97.0,83.87,1042196930000.0,378054690000.0,63.79954545454546,,,,,2.476923076923077,2.5384615384615383,31.4
2005-10,0.8641975308641969,7.820817284414166,72.59062694,,,97.6,-0.7,,,-1775.0,,10.4,42.1,20.2,-1.2,,0.8849557522123908,,,,,,3.4489436933555595,2.21,2.0,95.66,83.31999999999998,1054980200000.0,388771730000.0,59.49952380952381,,,,,2.5,2.661538461538462,22.8
2005-11,-0.2447980416156681,7.85580441110115,73.70983881,,,97.2,-1.6,,,-783.0,,9.7,40.8,21.7,-2.6,,0.5006257822277815,,,,,,3.783979047940573,2.21,2.0,97.09,84.29999999999998,1058178940000.0,399435150000.0,56.225,,,,,2.55,2.7928571428571423,20.5
2005-12,-0.1226993865030556,7.89910474957123,74.33407242,,,98.6,-1.7,,,-6484.0,,11.5,44.3,26.1,-5.9,,0.1251564455569287,,,,,,3.6146610256558382,2.17,2.0,97.12,84.51,1050700630000.0,414913930000.0,57.63142857142857,,,,,2.5307692307692307,2.646153846153846,24.0
2006-01,1.474201474201453,7.91700746793352,75.01814407,,,101.4,-1.5,,,6872.0,,10.3,44.7,18.0,-8.8,,-0.3759398496240518,,,,,,3.387924963618192,2.03,2.0,97.58,85.75,1067562680000.0,419476860000.0,63.857619047619046,,,,,2.4285714285714284,2.4642857142857144,16.4
2006-02,0.0,7.900851988594003,73.88600182,,,102.5,0.1,,,2923.0,,8.1,45.9,20.5,-6.1,,0.5000000000000115,,,,,,3.4264049734268185,2.03,2.0,98.35,86.15999999999998,1085337720000.0,424832240000.0,61.142,,,,,2.407692307692308,2.5,27.1
2006-03,0.0,7.841120685876345,75.28941669,,,103.1,-1.2,,,5414.0,,10.2,43.8,15.4,-5.0,,0.2493765586034868,,,,,,3.5772238791623328,2.09,2.0,97.44,85.65999999999998,1093505610000.0,434507140000.0,63.02869565217392,,,,,2.407142857142857,2.528571428571429,21.0
2006-04,0.0,7.728359750154024,74.31707781,,,104.0,0.4,,,-4788.0,,9.7,41.7,18.0,-4.0,,0.249066002490661,,,,,,3.8501115300831055,2.17,2.0,98.0,86.19,1119866290000.0,441494310000.0,70.45052631578949,,,,,2.423076923076924,2.569230769230769,29.1
2006-05,0.4842615012106588,7.580870234089645,77.78680003,,,105.8,1.1,,,-155.0,,10.5,47.2,18.5,-2.4,,0.4975124378109319,,,,,,3.925162297552202,2.09,2.0,99.04,87.48999999999998,1135094780000.0,452651240000.0,70.86772727272728,,,,,2.4692307692307693,2.642857142857143,30.4
2006-06,0.2409638554216941,7.414937056590847,76.98937502,,,105.1,0.9,,,3586.0,,10.8,50.2,19.7,-2.3,,1.505646173149322,,,,,,4.0419742861903805,2.24,2.0,98.98,87.26999999999998,1163639690000.0,464891380000.0,69.77863636363638,,,,,2.4461538461538463,2.8,29.9
2006-07,0.480769230769229,7.282835894469462,76.97265393,,,104.9,-0.1,,,-4273.0,,13.0,45.4,21.8,1.3,,1.756587202007509,,,,,,4.031030171958521,2.36,2.25,98.88,87.18,1185094190000.0,475546500000.0,74.2604761904762,,,,,2.392307692307692,2.923076923076924,23.4
2006-08,0.2392344497607723,7.200428006416991,77.20526139,,,104.9,0.1,,,-2864.0,,14.2,46.7,21.0,1.4,,2.3839397741530544,,,,,,3.866275180172023,2.36,2.25,99.73,87.93,1196245660000.0,486453000000.0,73.90173913043478,,,,,2.658333333333333,3.053846153846154,24.5
2006-09,-0.7159904534606132,7.125810500550305,78.81221744,,,105.7,-1.5,,,2865.0,,10.3,46.0,19.7,1.8,,2.634880803011286,,,,,,3.91877473909251,2.63,2.5,99.34,87.25,1214730690000.0,498290450000.0,63.6395238095238,,,,,2.6846153846153844,3.223076923076923,36.9
2006-10,-0.6009615384615419,7.046966145174552,77.95077275,,,106.7,-1.0,,,-1697.0,,14.2,43.7,20.6,2.0,,2.506265664160412,,,,,,3.922115353306858,2.68,2.5,99.3,86.79999999999998,1232563220000.0,508469930000.0,59.83863636363637,,,,,2.692307692307693,3.1461538461538465,26.7
2006-11,0.0,6.954030154947309,79.64973875,,,108.0,-1.3,,,1791.0,,17.2,46.8,20.6,-1.5,,1.7434620174346271,,,,,,3.86582844254085,2.62,2.5,100.28,87.40999999999998,1276966600000.0,520498440000.0,59.86136363636364,,,,,2.728571428571429,3.3642857142857143,29.0
2006-12,0.1209189842805269,6.827545307586345,81.3587155,,,107.9,2.4,,,-7874.0,,17.7,45.9,20.0,0.0,,2.0000000000000018,,,,,,3.7659619442568335,2.55,2.5,101.38,88.19,1269751270000.0,536390890000.0,62.28649999999999,,,,,2.675,3.283333333333333,27.1
2007-01,0.9661835748792312,6.662158135605454,84.04897623,,,107.4,-2.3,,,4581.0,,14.2,48.8,25.1,-3.8,,2.641509433962264,,,,,,3.9355886676042737,2.62,2.5,100.87,88.22,1281450170000.0,544022590000.0,54.62409090909092,,,,,2.583333333333333,3.0583333333333336,28.2
2007-02,0.2392344497607723,6.442498239551731,83.745111,,,105.9,-0.8,,,3491.0,,12.6,52.2,19.1,-0.4,,2.6119402985074647,,,,,,3.893154100957871,2.58,2.5,99.71,87.0,1285078910000.0,553009260000.0,58.804,,,,,2.56,3.03,21.9
2007-03,0.357995226730301,6.17490596195152,84.75093425,,,107.3,-0.4,,,3166.0,,15.5,45.4,22.4,-2.1,,3.233830845771135,,,,,,3.869668001530388,2.57,2.5,100.54,87.84,1305758580000.0,567521300000.0,62.45499999999999,,,,,2.533333333333333,3.1846153846153844,23.0
2007-04,0.7134363852556502,5.9161263691058,83.62634365,,,108.8,1.2,,,-2097.0,,14.7,44.4,24.4,-0.3,,3.602484472049694,,,,,,4.010516332242967,2.67,2.5,100.7,88.22,1333859630000.0,580301550000.0,67.59850000000002,,,,,2.516666666666667,3.1,47.1
2007-05,0.3541912632821775,5.716286387150878,84.45498374,,,108.7,-3.4,,,-762.0,,17.0,47.3,23.1,-2.7,,3.712871287128716,,,,,,4.133334234582811,2.84,2.5,99.92,87.62,1355416160000.0,595576550000.0,67.86043478260868,,,,,2.5083333333333333,3.161538461538462,43.1
2007-06,0.2352941176470668,5.583411040810689,83.85192315,,,108.9,-3.3,,,943.0,,17.2,44.5,24.5,-1.9,,4.326328800988866,,,,,,4.473362625025795,3.0,2.75,99.25,86.56,1393984210000.0,612093060000.0,70.53857142857143,,,,,2.46,3.2181818181818183,34.1
2007-07,0.4694835680751019,5.479056509586987,85.10461004,,,108.6,-2.2,,,-6255.0,,16.6,43.5,25.1,-1.2,,4.685573366214557,,,,,,4.537625577150345,3.22,3.0,99.93,87.2,1412095630000.0,627215470000.0,75.81772727272727,,,,,2.458333333333333,3.091666666666667,41.0
2007-08,0.3504672897196359,5.368423996237316,84.26677793,,,107.6,-2.2,,,-8885.0,,15.8,44.1,25.8,-2.4,,4.289215686274517,,,,,,4.44619705997467,3.41,3.25,101.56,89.03,1442005150000.0,643483890000.0,71.24347826086958,,,,,2.525,3.641666666666667,49.5
2007-09,-0.3492433061699773,5.256031046258754,84.55318033,,,105.6,-0.9,,,-565.0,,13.9,47.0,28.9,-1.5,,3.9119804400977953,,,,,,4.565957241949786,3.5,3.25,102.42,89.98999999999998,1473540120000.0,656928930000.0,76.96300000000001,,,,,2.45,4.18,53.7
2007-10,0.5841121495327117,5.162357743380573,85.01685974,,,105.9,-1.4,,,-2732.0,,17.5,45.1,29.8,-2.1,,4.034229828850844,,,,,,4.531632901400692,3.58,3.25,103.26,91.15,1478868420000.0,673922210000.0,82.47521739130434,,,,,2.48,4.34,47.2
2007-11,0.9291521486643584,5.098990546098807,85.61806454,,,103.8,-3.1,,,-1298.0,,16.7,47.3,30.1,1.5,,4.528763769889843,,,,,,4.55443471243425,3.93,3.5,106.04,93.95,1486015090000.0,693342360000.0,92.2040909090909,,,,,2.5916666666666663,4.316666666666666,60.1
2007-12,0.4602991944764101,5.035405407501951,87.81426362,,,103.6,-7.1,,,-10828.0,,18.2,40.9,30.2,4.7,,5.392156862745101,,,,,,4.675104409224567,4.11,3.5,107.24,95.44,1486759990000.0,720915880000.0,91.443,,,,,2.6833333333333336,4.516666666666667,59.4
2008-01,2.978235967926701,4.947649988224897,86.97561695,,,102.9,0.6,,,2502.0,,17.1,45.9,27.9,2.0,,5.269607843137258,,,,,,4.560792410708342,3.92,3.5,108.08,98.81,1492152450000.0,730040960000.0,91.91454545454546,,,,,2.8,3.7454545454545456,38.1
2008-02,0.3337041156840969,4.837532373316407,88.05762504,,,103.1,-0.8,,,1137.0,,14.3,49.2,26.6,2.3,,6.060606060606055,,,,,,4.527889096561615,3.96,3.75,110.4,101.0,1499341150000.0,739375720000.0,94.6647619047619,,,,,2.6272727272727274,3.427272727272728,36.9
2008-03,-0.1108647450110966,4.704067821670443,84.86181021,,,102.9,-2.9,,,-4411.0,,12.3,43.7,25.6,2.4,,5.542168674698789,,,,,,4.683631396865847,4.1,3.75,111.13,101.82,1521738860000.0,751006500000.0,102.8665,,,,,2.6090909090909093,3.2181818181818183,32.1
2008-04,0.3329633740288606,4.559579866620521,86.71891106,,,101.2,-4.7,,,-2198.0,,12.0,43.0,27.0,0.9,,5.395683453237399,,,,,,4.723832321802776,4.13,3.75,111.04,102.31,1548342470000.0,764663650000.0,110.42954545454543,,,,,2.5727272727272723,3.027272727272728,32.0
2008-05,0.4424778761061843,4.436774724595048,85.96806638,,,100.9,-0.1,,,707.0,,9.2,37.8,24.8,2.8,,5.011933174224348,,,,,,4.839835660953524,4.16,3.75,110.44,101.68,1576432940000.0,778290620000.0,124.68136363636364,,,,,2.609090909090909,3.109090909090909,31.6
2008-06,0.2202643171806295,4.372613653542625,84.4943005,,,98.4,-2.2,,,2327.0,,7.2,37.0,22.9,3.1,,5.094786729857814,,,,,,5.127499581894648,4.22,3.75,113.7,104.34,1610386230000.0,793345270000.0,133.7438095238095,,,,,2.658333333333333,3.166666666666666,34.2
2008-07,0.5494505494505475,4.360745190686498,82.13068064,,-0.9769193795376844,94.3,-1.2,,,-4195.0,,5.7,36.2,23.5,0.7,,5.1825677267373305,,,,,,4.896008483780572,3.97,3.75,116.24,107.65,1609279740000.0,809214010000.0,134.56478260869565,,,,,2.5727272727272728,3.063636363636364,37.2
2008-08,-0.10928961748633,4.358345825605345,80.83700193,,-1.4817974968596723,91.0,-1.1,,,-5629.0,,2.3,33.6,21.4,0.4,,5.052878965922458,,,,,,4.472008555479505,3.75,3.5,113.12,103.72,1641663780000.0,821705480000.0,115.23619047619049,,,,,2.6,2.9875,32.7
2008-09,-0.2188183807439903,4.326390353010412,81.46769374,,-1.874654294020236,90.2,0.6,,,-1770.0,,-5.5,34.1,24.9,0.4,,5.7647058823529385,,,,,,4.424685064464751,3.98,3.5,112.31,102.8,1684878100000.0,835811580000.0,100.785,,,,,2.5625,2.775,22.7
2008-10,0.0,4.286609117242477,78.75569541,,-2.116845224335968,85.2,-0.6,,,-12943.0,,-12.5,34.5,23.4,-2.9,,5.522914218566388,,,,,,4.5276811680071285,4.52,3.5,110.69,101.53,1704150670000.0,846988290000.0,73.68434782608696,,,,,2.533333333333333,2.511111111111111,27.9
2008-11,-0.5482456140350922,4.286234810406124,76.06492065,,-2.1703346940100223,79.6,0.2,,,-5681.0,,-15.8,26.5,19.3,-1.9,,3.981264637002324,,,,,,4.519247630632636,4.08,2.75,108.88,99.81,1717282730000.0,858774780000.0,54.746,,,,,2.488888888888889,2.355555555555556,17.4
2008-12,-0.2205071664829083,4.360972394098464,74.69189062,,-2.925644442176506,74.2,1.7,,,-14178.0,,-31.0,24.1,16.2,-10.2,,1.3953488372093092,,,,,,4.302208309041744,3.63,2.25,107.06,97.86,1696136830000.0,873373930000.0,43.05227272727273,,,,,2.47,2.16,11.5
2009-01,1.5469613259668558,4.555726928056685,70.01319396,,-4.08746309937615,75.1,-3.8,,,-2730.0,,-31.5,18.4,9.1,-14.5,,0.0,,,,,,4.212501822305679,2.72,2.25,103.7,95.76,1695867970000.0,877505950000.0,45.70761904761905,,,,,2.35,2.07,0.8
2009-02,0.0,4.869282069299213,70.38117914,,-4.63256790601748,73.5,-4.9,,,-74.0,,-36.9,12.4,7.0,-20.5,,-0.8000000000000007,,,,,,4.739861985769273,2.51,1.75,100.31,91.96,1685898180000.0,889508030000.0,43.87349999999999,,,,,2.433333333333333,1.95,-6.1
2009-03,0.2176278563656097,5.2511171168876025,71.63792191,,-4.554019091487442,72.8,-2.9,,,9819.0,,-30.2,8.7,11.0,-23.7,,-0.5707762557077611,,,,,,5.163047925578032,2.44,1.75,104.42,96.73,1666482780000.0,899471980000.0,47.41727272727273,,,,,2.48,1.88,1.0
2009-04,-0.1085776330075893,5.64017814757887,70.29738236,,-3.24292337660785,75.1,0.0,,,2739.0,,-22.1,15.4,14.2,-25.0,,-2.0477815699658786,,,,,,5.250999050601961,2.51,1.75,105.16,97.42,1646675870000.0,908531180000.0,51.39190476190476,,,,,2.4090909090909087,1.8636363636363635,5.7
2009-05,0.0,5.997803096951262,70.51195383,,-2.083376552892125,77.3,-2.8,,,2499.0,,-20.5,13.1,13.7,-28.4,,-2.6136363636363624,,,,,,5.057951591038175,2.23,1.5,104.75,97.37,1635904420000.0,915466900000.0,58.5852380952381,,,,,2.5,1.89,-0.7
2009-06,0.0,6.312985102685755,72.16270683,,-0.4983010449639785,80.3,-3.5,,,9256.0,,-14.8,8.5,8.6,-28.8,,-3.7204058624577208,,,,,,5.451094613285644,2.09,1.5,105.27,98.37,1630912660000.0,925700080000.0,69.27090909090909,,,,,2.509090909090909,1.7909090909090908,-3.0
2009-07,-0.3260869565217317,6.584865910063235,70.53702389,,0.4692564801688852,82.6,-2.5,,,1037.0,,-14.4,16.8,8.3,-30.1,,-4.3673012318029,,,,,,5.413310236763234,2.08,1.5,107.77,100.37,1614019000000.0,935208570000.0,65.75086956521739,,,,,2.6333333333333337,1.9222222222222225,5.3
2009-08,-0.2181025081788523,6.84291378638647,73.27366767,,1.531680265221168,88.4,-4.2,,,945.0,,-13.7,8.9,5.1,-31.2,,-4.809843400447445,,,,,,5.088453343273345,1.88,1.25,107.74,100.44,1611552470000.0,942979570000.0,73.05714285714286,,,,,2.7142857142857144,2.0428571428571427,-2.4
2009-09,-0.3278688524590123,7.104971358312231,73.33843159,,2.17186129000518,90.4,-4.6,,,4330.0,,-11.0,9.3,2.3,-31.3,,-5.116796440489447,,,,,,5.014248810361229,1.91,1.25,108.91,101.87,1605331870000.0,950550950000.0,68.14681818181818,,,,,2.5,1.8375,3.5
2009-10,-0.1096491228070317,7.313305156220996,73.61723813,,2.4865572865137127,92.6,-3.2,,,5213.0,,-15.5,12.0,1.7,-31.7,,-5.456570155901996,,,,,,4.496607612095788,1.84,1.25,106.9,99.99,1603925190000.0,958320760000.0,73.93363636363637,,,,,2.522222222222222,2.455555555555556,0.9
2009-11,0.1097694840834329,7.408215152989297,72.55637611,,2.176319554705346,93.1,-4.0,,,2990.0,,-15.0,18.0,7.8,-33.2,,-4.617117117117109,,,,,,4.186665473300935,1.75,1.25,107.05,100.01,1595425640000.0,963957940000.0,77.58285714285715,,,,,2.52,2.48,-2.1
2009-12,0.2192982456140413,7.436293251154834,74.69431962,,1.4711741744345,94.2,-2.7,,,-4957.0,,-11.6,17.8,2.9,-30.0,,-2.40825688073395,,,,,,3.9789195076446537,1.54,1.0,105.87,98.59,1564368950000.0,974750900000.0,75.20909090909092,,,,,2.6222222222222222,2.488888888888889,-0.9
2010-01,1.2035010940919078,7.504836474729395,73.36331838,,0.96727303705824,94.5,-2.0,,,6318.0,,-8.9,21.9,2.8,-29.9,,-0.8149010477299212,,,,,,4.282852128868104,1.55,1.0,104.76,97.94,1565871350000.0,976648350000.0,77.01299999999999,,,,,2.636363636363636,2.209090909090909,17.4
2010-02,0.0,7.657068975526276,73.29681086,,0.692293920093501,95.5,0.6,,,4155.0,,-5.3,21.2,6.2,-33.1,,-1.497695852534564,,,,,,4.334503633659364,1.47,1.0,104.12,97.64,1556312740000.0,979397950000.0,74.78999999999999,,,,,2.6666666666666665,2.28,15.6
