model,h,n_intended,n_forecast,n_actual
PIPELINE_FOOD_FUEL_R14,5,90,90,85
PIPELINE_FOOD_FUEL_R14,6,90,90,84
PIPELINE_FOOD_FUEL_R14,7,90,90,83
PIPELINE_FOOD_FUEL_R14,8,90,90,82
PIPELINE_FOOD_FUEL_R14,9,90,90,81
PIPELINE_FOOD_FUEL_R14,10,90,90,80
PIPELINE_FOOD_FUEL_R14,11,90,90,79
PIPELINE_FOOD_FUEL_R14,12,90,90,78
PIPELINE_GAP_RF_R14,0,90,90,90
PIPELINE_GAP_RF_R14,1,90,74,89
PIPELINE_GAP_RF_R14,2,90,74,88
PIPELINE_GAP_RF_R14,3,90,74,87
PIPELINE_GAP_RF_R14,4,90,71,86
PIPELINE_GAP_RF_R14,5,90,71,85
PIPELINE_GAP_RF_R14,6,90,71,84
PIPELINE_GAP_RF_R14,7,90,68,83
PIPELINE_GAP_RF_R14,8,90,68,82
PIPELINE_GAP_RF_R14,9,90,68,81
PIPELINE_GAP_RF_R14,10,90,65,80
PIPELINE_GAP_RF_R14,11,90,65,79
PIPELINE_GAP_RF_R14,12,90,65,78
PIPELINE_GAP_RIDGE_R14,0,90,90,90
PIPELINE_GAP_RIDGE_R14,1,90,74,89
PIPELINE_GAP_RIDGE_R14,2,90,74,88
PIPELINE_GAP_RIDGE_R14,3,90,74,87
PIPELINE_GAP_RIDGE_R14,4,90,71,86
PIPELINE_GAP_RIDGE_R14,5,90,71,85
PIPELINE_GAP_RIDGE_R14,6,90,71,84
PIPELINE_GAP_RIDGE_R14,7,90,68,83
PIPELINE_GAP_RIDGE_R14,8,90,68,82
PIPELINE_GAP_RIDGE_R14,9,90,68,81
PIPELINE_GAP_RIDGE_R14,10,90,65,80
PIPELINE_GAP_RIDGE_R14,11,90,65,79
PIPELINE_GAP_RIDGE_R14,12,90,65,78
