period,horizon,policy,model,actual,forecast,fallback_used,status,n_train,n_features,engine,qrf_median,qrf_p05,qrf_p95,error
2025-07,3,paper_independent,TVW3_leaf_QRF,0.4504504504504458,0.22542496984544666,False,estimated,273.0,25.0,SklearnLeafTVWQRF,0.2107481559536328,-0.388098318240615,1.172161172161168,
2025-08,3,paper_independent,TVW3_leaf_QRF,0.0640614990390808,0.35879102412875563,False,estimated,274.0,25.0,SklearnLeafTVWQRF,0.2192982456140413,-0.5167958656330796,1.4905149051490652,
2025-09,3,paper_independent,TVW3_leaf_QRF,-0.5761843790012655,0.3729615506891848,False,estimated,275.0,25.0,SklearnLeafTVWQRF,0.2580645161290418,-0.3896103896103842,1.2035010940919078,
2024-01,3,paper_sentiment,TVW3_leaf_QRF,1.4905149051490652,0.04699833104351251,False,estimated,255.0,33.0,SklearnLeafTVWQRF,0.1074113856068814,-0.7377598926894713,1.5469613259668558,
2024-02,3,paper_sentiment,TVW3_leaf_QRF,0.26702269692922,-0.05004332791578158,False,estimated,256.0,33.0,SklearnLeafTVWQRF,0.0,-0.7377598926894713,0.6283662477558183,
2024-03,3,paper_sentiment,TVW3_leaf_QRF,0.1331557922769732,0.0383198838908807,False,estimated,257.0,33.0,SklearnLeafTVWQRF,0.1846722068328699,-0.7377598926894713,1.7926734216679563,
2024-04,3,paper_sentiment,TVW3_leaf_QRF,0.6648936170212671,0.35618511923954443,False,estimated,258.0,33.0,SklearnLeafTVWQRF,0.4460303300624524,-0.4048582995951344,4.442581726739303,
2024-05,3,paper_sentiment,TVW3_leaf_QRF,0.0,-0.041967528445319535,False,estimated,259.0,33.0,SklearnLeafTVWQRF,0.0675219446319985,-0.4048582995951344,1.3404825737265424,
2024-06,3,paper_sentiment,TVW3_leaf_QRF,-0.264200792602387,0.06179981390393051,False,estimated,260.0,32.0,SklearnLeafTVWQRF,0.1331557922769732,-0.4048582995951344,1.4905149051490652,
2024-07,3,paper_sentiment,TVW3_leaf_QRF,0.6622516556291425,0.04055349117205309,False,estimated,261.0,32.0,SklearnLeafTVWQRF,0.100401606425704,-0.5504587155963248,1.041666666666674,
2024-08,3,paper_sentiment,TVW3_leaf_QRF,0.263157894736854,0.30282666964690597,False,estimated,262.0,32.0,SklearnLeafTVWQRF,0.3387533875338855,-0.2580645161290307,1.5801354401805856,
2024-09,3,paper_sentiment,TVW3_leaf_QRF,-0.3937007874015741,0.20948793083541237,False,estimated,263.0,32.0,SklearnLeafTVWQRF,0.2111932418162654,-0.6216696269982114,1.7763845350052376,
2024-10,3,paper_sentiment,TVW3_leaf_QRF,0.3293807641633783,0.2227701785706094,False,estimated,264.0,32.0,SklearnLeafTVWQRF,0.2176278563656097,-0.4048582995951344,1.4905149051490652,
2024-11,3,paper_sentiment,TVW3_leaf_QRF,0.0656598818122189,0.179745429075182,False,estimated,265.0,32.0,SklearnLeafTVWQRF,0.1787310098301908,-0.6009615384615419,1.4625228519195457,
2024-12,3,paper_sentiment,TVW3_leaf_QRF,-0.2624671916010568,0.12489138060175287,False,estimated,266.0,32.0,SklearnLeafTVWQRF,0.1331557922769732,-0.5504587155963248,0.8005822416302655,
2025-01,3,paper_sentiment,TVW3_leaf_QRF,1.3157894736842035,0.14367081929658132,False,estimated,267.0,32.0,SklearnLeafTVWQRF,0.1007049345417954,-0.4048582995951344,1.4905149051490652,
2025-02,3,paper_sentiment,TVW3_leaf_QRF,0.1948051948051921,0.17653407339962013,False,estimated,268.0,32.0,SklearnLeafTVWQRF,0.1305483028720688,-0.3937007874015741,1.3404825737265424,
2025-03,3,paper_sentiment,TVW3_leaf_QRF,0.0648088139987068,0.06992578419373409,False,estimated,269.0,32.0,SklearnLeafTVWQRF,0.0656598818122189,-0.3937007874015741,1.0221465076660996,
2025-04,3,paper_sentiment,TVW3_leaf_QRF,-0.1295336787564882,0.4216531270438024,False,estimated,270.0,32.0,SklearnLeafTVWQRF,0.2982107355864904,-0.2624671916010568,1.333333333333342,
2025-05,3,paper_sentiment,TVW3_leaf_QRF,0.5188067444876765,0.1251159056571679,False,estimated,271.0,32.0,SklearnLeafTVWQRF,0.1291989664082615,-0.3937007874015741,1.3157894736842035,
2025-06,3,paper_sentiment,TVW3_leaf_QRF,0.2580645161290418,0.09587406680808691,False,estimated,272.0,32.0,SklearnLeafTVWQRF,0.0675219446319985,-0.3937007874015741,0.6648936170212671,
2025-07,3,paper_sentiment,TVW3_leaf_QRF,0.4504504504504458,0.15981087524627854,False,estimated,273.0,32.0,SklearnLeafTVWQRF,0.26702269692922,-0.5504587155963248,1.333333333333342,
2025-08,3,paper_sentiment,TVW3_leaf_QRF,0.0640614990390808,0.2843148331920683,False,estimated,274.0,32.0,SklearnLeafTVWQRF,0.2717391304347893,-0.2624671916010568,1.5801354401805856,
2025-09,3,paper_sentiment,TVW3_leaf_QRF,-0.5761843790012655,0.30627063987243014,False,estimated,275.0,32.0,SklearnLeafTVWQRF,0.2493765586034868,-0.2624671916010568,1.4625228519195457,
2024-01,3,paper_full,TVW3_leaf_QRF,1.4905149051490652,0.06911284036927978,False,estimated,255.0,36.0,SklearnLeafTVWQRF,0.0675675675675613,-0.7377598926894713,1.474201474201453,
2024-02,3,paper_full,TVW3_leaf_QRF,0.26702269692922,-0.0042179470103481595,False,estimated,256.0,36.0,SklearnLeafTVWQRF,0.0,-0.7159904534606132,0.6283662477558183,
2024-03,3,paper_full,TVW3_leaf_QRF,0.1331557922769732,0.06725382778658422,False,estimated,257.0,36.0,SklearnLeafTVWQRF,0.1357773251866811,-0.7377598926894713,1.3265306122449028,
2024-04,3,paper_full,TVW3_leaf_QRF,0.6648936170212671,0.32079339619316427,False,estimated,258.0,36.0,SklearnLeafTVWQRF,0.4385964912280604,-0.5482456140350922,4.442581726739303,
2024-05,3,paper_full,TVW3_leaf_QRF,0.0,-0.020709699699383882,False,estimated,259.0,36.0,SklearnLeafTVWQRF,0.0945179584121103,-0.4048582995951344,1.3404825737265424,
2024-06,3,paper_full,TVW3_leaf_QRF,-0.264200792602387,0.0953608551163039,False,estimated,260.0,35.0,SklearnLeafTVWQRF,0.1846722068328699,-0.3003003003003157,1.4905149051490652,
2024-07,3,paper_full,TVW3_leaf_QRF,0.6622516556291425,0.1369343005053891,False,estimated,261.0,35.0,SklearnLeafTVWQRF,0.0945179584121103,-0.4048582995951344,1.4905149051490652,
2024-08,3,paper_full,TVW3_leaf_QRF,0.263157894736854,0.26639411586790507,False,estimated,262.0,35.0,SklearnLeafTVWQRF,0.2982107355864904,-0.3054989816700604,1.5469613259668558,
2024-09,3,paper_full,TVW3_leaf_QRF,-0.3937007874015741,0.1157136287579058,False,estimated,263.0,35.0,SklearnLeafTVWQRF,0.1763668430335041,-0.4048582995951344,1.4905149051490652,
2024-10,3,paper_full,TVW3_leaf_QRF,0.3293807641633783,0.10379958857523819,False,estimated,264.0,35.0,SklearnLeafTVWQRF,0.0675675675675613,-0.7377598926894713,1.5469613259668558,
2024-11,3,paper_full,TVW3_leaf_QRF,0.0656598818122189,0.13224753603401487,False,estimated,265.0,35.0,SklearnLeafTVWQRF,0.1331557922769732,-0.6216696269982114,0.6622516556291425,
2024-12,3,paper_full,TVW3_leaf_QRF,-0.2624671916010568,0.08534138878228552,False,estimated,266.0,35.0,SklearnLeafTVWQRF,0.0675219446319985,-0.5504587155963248,0.5994005994006013,
2025-01,3,paper_full,TVW3_leaf_QRF,1.3157894736842035,0.03398208690882584,False,estimated,267.0,35.0,SklearnLeafTVWQRF,0.0675219446319985,-0.5504587155963248,0.6505576208178487,
2025-02,3,paper_full,TVW3_leaf_QRF,0.1948051948051921,0.14902825807123854,False,estimated,268.0,35.0,SklearnLeafTVWQRF,0.1097694840834329,-0.3937007874015741,1.172161172161168,
2025-03,3,paper_full,TVW3_leaf_QRF,0.0648088139987068,0.09617342410757432,False,estimated,269.0,35.0,SklearnLeafTVWQRF,0.0930232558139509,-0.3260869565217317,0.7134363852556502,
2025-04,3,paper_full,TVW3_leaf_QRF,-0.1295336787564882,0.4020681366619606,False,estimated,270.0,35.0,SklearnLeafTVWQRF,0.2594033722438382,-0.3937007874015741,1.041666666666674,
2025-05,3,paper_full,TVW3_leaf_QRF,0.5188067444876765,0.1256803625319728,False,estimated,271.0,35.0,SklearnLeafTVWQRF,0.1748251748251661,-0.5504587155963248,0.6622516556291425,
2025-06,3,paper_full,TVW3_leaf_QRF,0.2580645161290418,0.17015962556813785,False,estimated,272.0,35.0,SklearnLeafTVWQRF,0.1305483028720688,-0.264200792602387,0.6622516556291425,
2025-07,3,paper_full,TVW3_leaf_QRF,0.4504504504504458,0.2716194669391741,False,estimated,273.0,35.0,SklearnLeafTVWQRF,0.2594033722438382,-0.3937007874015741,1.5469613259668558,
2025-08,3,paper_full,TVW3_leaf_QRF,0.0640614990390808,0.21864721778293983,False,estimated,274.0,35.0,SklearnLeafTVWQRF,0.1706484641638139,-0.3006012024048043,1.041666666666674,
2025-09,3,paper_full,TVW3_leaf_QRF,-0.5761843790012655,0.1864712944552604,False,estimated,275.0,35.0,SklearnLeafTVWQRF,0.0944287063267212,-0.2832861189801861,1.041666666666674,
