origin,as_of,model,status,n_train
2020-10,2020-11-09T22:59:00+00:00,JOINT_RF_R22,estimated,61
2020-10,2020-11-09T22:59:00+00:00,JOINT_HALF_R22,estimated,61
2020-11,2020-12-09T22:59:00+00:00,JOINT_OWN_R22,estimated,61
2020-11,2020-12-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,61
2020-11,2020-12-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,61
2020-11,2020-12-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,61
2020-11,2020-12-09T22:59:00+00:00,JOINT_ENET_R22,estimated,61
2020-11,2020-12-09T22:59:00+00:00,JOINT_RF_R22,estimated,61
2020-11,2020-12-09T22:59:00+00:00,JOINT_HALF_R22,estimated,61
2020-12,2021-01-12T22:59:00+00:00,JOINT_OWN_R22,estimated,63
2020-12,2021-01-12T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,63
2020-12,2021-01-12T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,63
2020-12,2021-01-12T22:59:00+00:00,JOINT_LINEAR_R22,estimated,63
2020-12,2021-01-12T22:59:00+00:00,JOINT_ENET_R22,estimated,63
2020-12,2021-01-12T22:59:00+00:00,JOINT_RF_R22,estimated,63
2020-12,2021-01-12T22:59:00+00:00,JOINT_HALF_R22,estimated,63
2021-01,2021-02-11T22:59:00+00:00,JOINT_OWN_R22,estimated,64
2021-01,2021-02-11T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,64
2021-01,2021-02-11T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,64
2021-01,2021-02-11T22:59:00+00:00,JOINT_LINEAR_R22,estimated,64
2021-01,2021-02-11T22:59:00+00:00,JOINT_ENET_R22,estimated,64
2021-01,2021-02-11T22:59:00+00:00,JOINT_RF_R22,estimated,64
2021-01,2021-02-11T22:59:00+00:00,JOINT_HALF_R22,estimated,64
2021-02,2021-03-09T22:59:00+00:00,JOINT_OWN_R22,estimated,64
2021-02,2021-03-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,64
2021-02,2021-03-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,64
2021-02,2021-03-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,64
2021-02,2021-03-09T22:59:00+00:00,JOINT_ENET_R22,estimated,64
2021-02,2021-03-09T22:59:00+00:00,JOINT_RF_R22,estimated,64
2021-02,2021-03-09T22:59:00+00:00,JOINT_HALF_R22,estimated,64
2021-03,2021-04-12T21:59:00+00:00,JOINT_OWN_R22,estimated,66
2021-03,2021-04-12T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,66
2021-03,2021-04-12T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,66
2021-03,2021-04-12T21:59:00+00:00,JOINT_LINEAR_R22,estimated,66
2021-03,2021-04-12T21:59:00+00:00,JOINT_ENET_R22,estimated,66
2021-03,2021-04-12T21:59:00+00:00,JOINT_RF_R22,estimated,66
2021-03,2021-04-12T21:59:00+00:00,JOINT_HALF_R22,estimated,66
2021-04,2021-05-10T21:59:00+00:00,JOINT_OWN_R22,estimated,67
2021-04,2021-05-10T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,67
2021-04,2021-05-10T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,67
2021-04,2021-05-10T21:59:00+00:00,JOINT_LINEAR_R22,estimated,67
2021-04,2021-05-10T21:59:00+00:00,JOINT_ENET_R22,estimated,67
2021-04,2021-05-10T21:59:00+00:00,JOINT_RF_R22,estimated,67
2021-04,2021-05-10T21:59:00+00:00,JOINT_HALF_R22,estimated,67
2021-05,2021-06-09T21:59:00+00:00,JOINT_OWN_R22,estimated,67
2021-05,2021-06-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,67
2021-05,2021-06-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,67
2021-05,2021-06-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,67
2021-05,2021-06-09T21:59:00+00:00,JOINT_ENET_R22,estimated,67
2021-05,2021-06-09T21:59:00+00:00,JOINT_RF_R22,estimated,67
2021-05,2021-06-09T21:59:00+00:00,JOINT_HALF_R22,estimated,67
2021-06,2021-07-12T21:59:00+00:00,JOINT_OWN_R22,estimated,69
2021-06,2021-07-12T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,69
2021-06,2021-07-12T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,69
2021-06,2021-07-12T21:59:00+00:00,JOINT_LINEAR_R22,estimated,69
2021-06,2021-07-12T21:59:00+00:00,JOINT_ENET_R22,estimated,69
2021-06,2021-07-12T21:59:00+00:00,JOINT_RF_R22,estimated,69
2021-06,2021-07-12T21:59:00+00:00,JOINT_HALF_R22,estimated,69
2021-07,2021-08-09T21:59:00+00:00,JOINT_OWN_R22,estimated,70
2021-07,2021-08-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,70
2021-07,2021-08-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,70
2021-07,2021-08-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,70
2021-07,2021-08-09T21:59:00+00:00,JOINT_ENET_R22,estimated,70
2021-07,2021-08-09T21:59:00+00:00,JOINT_RF_R22,estimated,70
2021-07,2021-08-09T21:59:00+00:00,JOINT_HALF_R22,estimated,70
2021-08,2021-09-09T21:59:00+00:00,JOINT_OWN_R22,estimated,70
2021-08,2021-09-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,70
2021-08,2021-09-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,70
2021-08,2021-09-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,70
2021-08,2021-09-09T21:59:00+00:00,JOINT_ENET_R22,estimated,70
2021-08,2021-09-09T21:59:00+00:00,JOINT_RF_R22,estimated,70
2021-08,2021-09-09T21:59:00+00:00,JOINT_HALF_R22,estimated,70
2021-09,2021-10-10T21:59:00+00:00,JOINT_OWN_R22,estimated,72
2021-09,2021-10-10T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,72
2021-09,2021-10-10T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,72
2021-09,2021-10-10T21:59:00+00:00,JOINT_LINEAR_R22,estimated,72
2021-09,2021-10-10T21:59:00+00:00,JOINT_ENET_R22,estimated,72
2021-09,2021-10-10T21:59:00+00:00,JOINT_RF_R22,estimated,72
2021-09,2021-10-10T21:59:00+00:00,JOINT_HALF_R22,estimated,72
2021-10,2021-11-09T22:59:00+00:00,JOINT_OWN_R22,estimated,73
2021-10,2021-11-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,73
2021-10,2021-11-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,73
2021-10,2021-11-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,73
2021-10,2021-11-09T22:59:00+00:00,JOINT_ENET_R22,estimated,73
2021-10,2021-11-09T22:59:00+00:00,JOINT_RF_R22,estimated,73
2021-10,2021-11-09T22:59:00+00:00,JOINT_HALF_R22,estimated,73
2021-11,2021-12-09T22:59:00+00:00,JOINT_OWN_R22,estimated,73
