origin,model,status,n_pool
2022-01,FOOD_H0_FAST_R18,insufficient_pool,23
2022-02,FOOD_H0_FAST_R18,estimated,24
2022-03,FOOD_H0_FAST_R18,estimated,25
2022-04,FOOD_H0_FAST_R18,estimated,26
2022-05,FOOD_H0_FAST_R18,estimated,27
2022-06,FOOD_H0_FAST_R18,estimated,28
2022-07,FOOD_H0_FAST_R18,estimated,29
2022-08,FOOD_H0_FAST_R18,estimated,30
2022-09,FOOD_H0_FAST_R18,estimated,31
2022-10,FOOD_H0_FAST_R18,estimated,32
2022-11,FOOD_H0_FAST_R18,estimated,33
2022-12,FOOD_H0_FAST_R18,estimated,34
2023-01,FOOD_H0_FAST_R18,estimated,35
2023-02,FOOD_H0_FAST_R18,estimated,36
2023-03,FOOD_H0_FAST_R18,estimated,37
2023-04,FOOD_H0_FAST_R18,estimated,38
2023-05,FOOD_H0_FAST_R18,estimated,39
2023-06,FOOD_H0_FAST_R18,estimated,40
2023-07,FOOD_H0_FAST_R18,estimated,41
2023-08,FOOD_H0_FAST_R18,estimated,42
2023-09,FOOD_H0_FAST_R18,estimated,43
2023-10,FOOD_H0_FAST_R18,estimated,44
2023-11,FOOD_H0_FAST_R18,estimated,45
2023-12,FOOD_H0_FAST_R18,estimated,46
2024-01,FOOD_H0_FAST_R18,estimated,47
2024-02,FOOD_H0_FAST_R18,estimated,48
2024-03,FOOD_H0_FAST_R18,estimated,49
2024-04,FOOD_H0_FAST_R18,estimated,50
2024-05,FOOD_H0_FAST_R18,estimated,51
2024-06,FOOD_H0_FAST_R18,estimated,52
2024-07,FOOD_H0_FAST_R18,estimated,53
2024-08,FOOD_H0_FAST_R18,estimated,54
2024-09,FOOD_H0_FAST_R18,estimated,55
2024-10,FOOD_H0_FAST_R18,estimated,56
2024-11,FOOD_H0_FAST_R18,estimated,57
2024-12,FOOD_H0_FAST_R18,estimated,58
2025-01,FOOD_H0_FAST_R18,estimated,59
2025-02,FOOD_H0_FAST_R18,estimated,60
2025-03,FOOD_H0_FAST_R18,estimated,60
2025-04,FOOD_H0_FAST_R18,estimated,60
2025-05,FOOD_H0_FAST_R18,estimated,60
2025-06,FOOD_H0_FAST_R18,estimated,60
2025-07,FOOD_H0_FAST_R18,estimated,60
2025-08,FOOD_H0_FAST_R18,estimated,60
2025-09,FOOD_H0_FAST_R18,estimated,60
2025-10,FOOD_H0_FAST_R18,estimated,60
2025-11,FOOD_H0_FAST_R18,estimated,60
2025-12,FOOD_H0_FAST_R18,estimated,60
2026-01,FOOD_H0_FAST_R18,estimated,60
2026-02,FOOD_H0_FAST_R18,estimated,60
2026-03,FOOD_H0_FAST_R18,estimated,60
2026-04,FOOD_H0_FAST_R18,estimated,60
2026-05,FOOD_H0_FAST_R18,estimated,60
2026-06,FOOD_H0_FAST_R18,estimated,60
2026-07,FOOD_H0_FAST_R18,estimated,60
2019-02,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-03,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-04,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-05,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-06,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-07,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-08,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-09,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-10,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-11,FOOD_H0_SELECT_R18,insufficient_pool,0
2019-12,FOOD_H0_SELECT_R18,insufficient_pool,0
2020-01,FOOD_H0_SELECT_R18,insufficient_pool,0
2020-02,FOOD_H0_SELECT_R18,insufficient_pool,0
2020-03,FOOD_H0_SELECT_R18,insufficient_pool,1
2020-04,FOOD_H0_SELECT_R18,insufficient_pool,2
2020-05,FOOD_H0_SELECT_R18,insufficient_pool,3
2020-06,FOOD_H0_SELECT_R18,insufficient_pool,4
2020-07,FOOD_H0_SELECT_R18,insufficient_pool,5
2020-08,FOOD_H0_SELECT_R18,insufficient_pool,6
2020-09,FOOD_H0_SELECT_R18,insufficient_pool,7
2020-10,FOOD_H0_SELECT_R18,insufficient_pool,8
2020-11,FOOD_H0_SELECT_R18,insufficient_pool,9
2020-12,FOOD_H0_SELECT_R18,insufficient_pool,10
2021-01,FOOD_H0_SELECT_R18,insufficient_pool,11
2021-02,FOOD_H0_SELECT_R18,insufficient_pool,12
2021-03,FOOD_H0_SELECT_R18,insufficient_pool,13
2021-04,FOOD_H0_SELECT_R18,insufficient_pool,14
2021-05,FOOD_H0_SELECT_R18,insufficient_pool,15
2021-06,FOOD_H0_SELECT_R18,insufficient_pool,16
