clock,report_date,quarter,included
report,2024-08-08,2026Q4,False
cutoff,2024-08-08,2024Q3,True
cutoff,2024-08-08,2024Q4,True
cutoff,2024-08-08,2025Q1,True
cutoff,2024-08-08,2025Q2,True
cutoff,2024-08-08,2025Q3,False
cutoff,2024-08-08,2025Q4,False
cutoff,2024-08-08,2026Q1,False
cutoff,2024-08-08,2026Q2,False
cutoff,2024-08-08,2026Q3,False
cutoff,2024-08-08,2026Q4,False
report,2024-11-14,2024Q4,True
report,2024-11-14,2025Q1,True
report,2024-11-14,2025Q2,True
report,2024-11-14,2025Q3,True
report,2024-11-14,2025Q4,False
report,2024-11-14,2026Q1,False
report,2024-11-14,2026Q2,False
report,2024-11-14,2026Q3,False
report,2024-11-14,2026Q4,False
cutoff,2024-11-14,2024Q4,True
cutoff,2024-11-14,2025Q1,True
cutoff,2024-11-14,2025Q2,True
cutoff,2024-11-14,2025Q3,True
cutoff,2024-11-14,2025Q4,False
cutoff,2024-11-14,2026Q1,False
cutoff,2024-11-14,2026Q2,False
cutoff,2024-11-14,2026Q3,False
cutoff,2024-11-14,2026Q4,False
report,2025-02-13,2025Q1,True
report,2025-02-13,2025Q2,True
report,2025-02-13,2025Q3,True
report,2025-02-13,2025Q4,True
report,2025-02-13,2026Q1,False
report,2025-02-13,2026Q2,False
report,2025-02-13,2026Q3,False
report,2025-02-13,2026Q4,False
cutoff,2025-02-13,2025Q1,True
cutoff,2025-02-13,2025Q2,True
cutoff,2025-02-13,2025Q3,True
cutoff,2025-02-13,2025Q4,True
cutoff,2025-02-13,2026Q1,False
cutoff,2025-02-13,2026Q2,False
cutoff,2025-02-13,2026Q3,False
cutoff,2025-02-13,2026Q4,False
report,2025-05-15,2025Q2,True
report,2025-05-15,2025Q3,True
report,2025-05-15,2025Q4,True
report,2025-05-15,2026Q1,True
report,2025-05-15,2026Q2,False
report,2025-05-15,2026Q3,False
report,2025-05-15,2026Q4,False
cutoff,2025-05-15,2025Q2,True
cutoff,2025-05-15,2025Q3,True
cutoff,2025-05-15,2025Q4,True
cutoff,2025-05-15,2026Q1,True
cutoff,2025-05-15,2026Q2,False
cutoff,2025-05-15,2026Q3,False
cutoff,2025-05-15,2026Q4,False
report,2025-08-14,2025Q3,True
report,2025-08-14,2025Q4,True
report,2025-08-14,2026Q1,True
report,2025-08-14,2026Q2,True
report,2025-08-14,2026Q3,False
report,2025-08-14,2026Q4,False
report,2025-08-14,2027Q1,False
report,2025-08-14,2027Q2,False
report,2025-08-14,2027Q3,False
report,2025-08-14,2027Q4,False
cutoff,2025-08-14,2025Q3,True
cutoff,2025-08-14,2025Q4,True
cutoff,2025-08-14,2026Q1,True
cutoff,2025-08-14,2026Q2,True
cutoff,2025-08-14,2026Q3,False
cutoff,2025-08-14,2026Q4,False
cutoff,2025-08-14,2027Q1,False
cutoff,2025-08-14,2027Q2,False
cutoff,2025-08-14,2027Q3,False
cutoff,2025-08-14,2027Q4,False
report,2025-11-13,2025Q4,True
report,2025-11-13,2026Q1,True
report,2025-11-13,2026Q2,True
report,2025-11-13,2026Q3,False
report,2025-11-13,2026Q4,False
report,2025-11-13,2027Q1,False
report,2025-11-13,2027Q2,False
report,2025-11-13,2027Q3,False
report,2025-11-13,2027Q4,False
cutoff,2025-11-13,2025Q4,True
cutoff,2025-11-13,2026Q1,True
cutoff,2025-11-13,2026Q2,True
cutoff,2025-11-13,2026Q3,False
cutoff,2025-11-13,2026Q4,False
cutoff,2025-11-13,2027Q1,False
cutoff,2025-11-13,2027Q2,False
cutoff,2025-11-13,2027Q3,False
cutoff,2025-11-13,2027Q4,False
report,2026-02-12,2026Q1,True
report,2026-02-12,2026Q2,True
report,2026-02-12,2026Q3,False
report,2026-02-12,2026Q4,False
report,2026-02-12,2027Q1,False
report,2026-02-12,2027Q2,False
report,2026-02-12,2027Q3,False
report,2026-02-12,2027Q4,False
cutoff,2026-02-12,2026Q1,True
cutoff,2026-02-12,2026Q2,True
cutoff,2026-02-12,2026Q3,False
cutoff,2026-02-12,2026Q4,False
cutoff,2026-02-12,2027Q1,False
cutoff,2026-02-12,2027Q2,False
cutoff,2026-02-12,2027Q3,False
cutoff,2026-02-12,2027Q4,False
report,2026-05-14,2026Q2,True
report,2026-05-14,2026Q3,False
report,2026-05-14,2026Q4,False
report,2026-05-14,2027Q1,False
report,2026-05-14,2027Q2,False
report,2026-05-14,2027Q3,False
report,2026-05-14,2027Q4,False
cutoff,2026-05-14,2026Q2,True
cutoff,2026-05-14,2026Q3,False
cutoff,2026-05-14,2026Q4,False
cutoff,2026-05-14,2027Q1,False
cutoff,2026-05-14,2027Q2,False
cutoff,2026-05-14,2027Q3,False
cutoff,2026-05-14,2027Q4,False
report,2026-08-13,2026Q3,False
report,2026-08-13,2026Q4,False
report,2026-08-13,2027Q1,False
report,2026-08-13,2027Q2,False
report,2026-08-13,2027Q3,False
report,2026-08-13,2027Q4,False
report,2026-08-13,2028Q1,False
report,2026-08-13,2028Q2,False
report,2026-08-13,2028Q3,False
report,2026-08-13,2028Q4,False
cutoff,2026-08-13,2026Q3,False
cutoff,2026-08-13,2026Q4,False
cutoff,2026-08-13,2027Q1,False
cutoff,2026-08-13,2027Q2,False
cutoff,2026-08-13,2027Q3,False
cutoff,2026-08-13,2027Q4,False
cutoff,2026-08-13,2028Q1,False
cutoff,2026-08-13,2028Q2,False
cutoff,2026-08-13,2028Q3,False
cutoff,2026-08-13,2028Q4,False
