sample,scope,model,block,h,metric,n_roster,n_valid,n_unavailable
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,7,monthly_error,90,83,7
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,8,monthly_error,90,82,8
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,9,monthly_error,90,81,9
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,10,monthly_error,90,80,10
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,11,monthly_error,90,79,11
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,12,monthly_error,90,78,12
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,1,monthly_error,90,89,1
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,2,monthly_error,90,88,2
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,3,monthly_error,90,87,3
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,4,monthly_error,90,86,4
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,5,monthly_error,90,85,5
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,6,monthly_error,90,84,6
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,7,monthly_error,90,83,7
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,8,monthly_error,90,82,8
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,9,monthly_error,90,81,9
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,10,monthly_error,90,80,10
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,11,monthly_error,90,79,11
full,own_coverage,STABLE_LOCAL_CORE_R14B,alcohol_tobacco,12,monthly_error,90,78,12
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,1,monthly_error,90,89,1
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,2,monthly_error,90,88,2
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,3,monthly_error,90,87,3
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,4,monthly_error,90,86,4
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,5,monthly_error,90,85,5
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,6,monthly_error,90,84,6
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,7,monthly_error,90,83,7
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,8,monthly_error,90,82,8
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,9,monthly_error,90,81,9
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,10,monthly_error,90,80,10
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,11,monthly_error,90,79,11
full,own_coverage,STABLE_LOCAL_CORE_R14B,core,12,monthly_error,90,78,12
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,1,monthly_error,90,89,1
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,2,monthly_error,90,88,2
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,3,monthly_error,90,87,3
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,4,monthly_error,90,86,4
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,5,monthly_error,90,85,5
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,6,monthly_error,90,84,6
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,7,monthly_error,90,83,7
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,8,monthly_error,90,82,8
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,9,monthly_error,90,81,9
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,10,monthly_error,90,80,10
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,11,monthly_error,90,79,11
full,own_coverage,STABLE_LOCAL_CORE_R14B,food,12,monthly_error,90,78,12
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,1,monthly_error,90,89,1
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,2,monthly_error,90,88,2
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,3,monthly_error,90,87,3
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,4,monthly_error,90,86,4
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,5,monthly_error,90,85,5
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,6,monthly_error,90,84,6
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,7,monthly_error,90,83,7
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,8,monthly_error,90,82,8
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,9,monthly_error,90,81,9
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,10,monthly_error,90,80,10
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,11,monthly_error,90,79,11
full,own_coverage,STABLE_LOCAL_CORE_R14B,fuel,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_CORE_R14B,administered,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_CORE_R14B,administered,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_CORE_R14B,administered,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_CORE_R14B,administered,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_CORE_R14B,administered,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_CORE_R14B,administered,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_CORE_R14B,administered,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_CORE_R14B,administered,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_CORE_R14B,administered,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_CORE_R14B,administered,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_CORE_R14B,administered,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_CORE_R14B,administered,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_CORE_R14B,alcohol_tobacco,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_CORE_R14B,core,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_CORE_R14B,core,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_CORE_R14B,core,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_CORE_R14B,core,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_CORE_R14B,core,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_CORE_R14B,core,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_CORE_R14B,core,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_CORE_R14B,core,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_CORE_R14B,core,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_CORE_R14B,core,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_CORE_R14B,core,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_CORE_R14B,core,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_CORE_R14B,food,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_CORE_R14B,food,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_CORE_R14B,food,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_CORE_R14B,food,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_CORE_R14B,food,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_CORE_R14B,food,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_CORE_R14B,food,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_CORE_R14B,food,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_CORE_R14B,food,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_CORE_R14B,food,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_CORE_R14B,food,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_CORE_R14B,food,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_CORE_R14B,fuel,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_GAP_R14B,administered,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_GAP_R14B,administered,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_GAP_R14B,administered,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_GAP_R14B,administered,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_GAP_R14B,administered,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_GAP_R14B,administered,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_GAP_R14B,administered,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_GAP_R14B,administered,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_GAP_R14B,administered,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_GAP_R14B,administered,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_GAP_R14B,administered,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_GAP_R14B,administered,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_GAP_R14B,alcohol_tobacco,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_GAP_R14B,core,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_GAP_R14B,core,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_GAP_R14B,core,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_GAP_R14B,core,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_GAP_R14B,core,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_GAP_R14B,core,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_GAP_R14B,core,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_GAP_R14B,core,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_GAP_R14B,core,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_GAP_R14B,core,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_GAP_R14B,core,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_GAP_R14B,core,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_GAP_R14B,food,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_GAP_R14B,food,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_GAP_R14B,food,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_GAP_R14B,food,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_GAP_R14B,food,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_GAP_R14B,food,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_GAP_R14B,food,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_GAP_R14B,food,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_GAP_R14B,food,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_GAP_R14B,food,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_GAP_R14B,food,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_GAP_R14B,food,12,monthly_error,90,78,12
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,1,monthly_error,90,89,1
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,2,monthly_error,90,88,2
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,3,monthly_error,90,87,3
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,4,monthly_error,90,86,4
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,5,monthly_error,90,85,5
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,6,monthly_error,90,84,6
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,7,monthly_error,90,83,7
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,8,monthly_error,90,82,8
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,9,monthly_error,90,81,9
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,10,monthly_error,90,80,10
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,11,monthly_error,90,79,11
full,own_coverage,STABLE_LONG_GAP_R14B,fuel,12,monthly_error,90,78,12
full,own_coverage,STABLE_PIPELINE_R14B,administered,1,monthly_error,90,89,1
full,own_coverage,STABLE_PIPELINE_R14B,administered,2,monthly_error,90,88,2
full,own_coverage,STABLE_PIPELINE_R14B,administered,3,monthly_error,90,87,3
full,own_coverage,STABLE_PIPELINE_R14B,administered,4,monthly_error,90,86,4
full,own_coverage,STABLE_PIPELINE_R14B,administered,5,monthly_error,90,85,5
full,own_coverage,STABLE_PIPELINE_R14B,administered,6,monthly_error,90,84,6
full,own_coverage,STABLE_PIPELINE_R14B,administered,7,monthly_error,90,83,7
full,own_coverage,STABLE_PIPELINE_R14B,administered,8,monthly_error,90,82,8
full,own_coverage,STABLE_PIPELINE_R14B,administered,9,monthly_error,90,81,9
full,own_coverage,STABLE_PIPELINE_R14B,administered,10,monthly_error,90,80,10
full,own_coverage,STABLE_PIPELINE_R14B,administered,11,monthly_error,90,79,11
full,own_coverage,STABLE_PIPELINE_R14B,administered,12,monthly_error,90,78,12
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,1,monthly_error,90,89,1
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,2,monthly_error,90,88,2
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,3,monthly_error,90,87,3
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,4,monthly_error,90,86,4
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,5,monthly_error,90,85,5
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,6,monthly_error,90,84,6
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,7,monthly_error,90,83,7
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,8,monthly_error,90,82,8
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,9,monthly_error,90,81,9
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,10,monthly_error,90,80,10
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,11,monthly_error,90,79,11
full,own_coverage,STABLE_PIPELINE_R14B,alcohol_tobacco,12,monthly_error,90,78,12
full,own_coverage,STABLE_PIPELINE_R14B,core,1,monthly_error,90,89,1
full,own_coverage,STABLE_PIPELINE_R14B,core,2,monthly_error,90,88,2
full,own_coverage,STABLE_PIPELINE_R14B,core,3,monthly_error,90,87,3
full,own_coverage,STABLE_PIPELINE_R14B,core,4,monthly_error,90,86,4
full,own_coverage,STABLE_PIPELINE_R14B,core,5,monthly_error,90,85,5
full,own_coverage,STABLE_PIPELINE_R14B,core,6,monthly_error,90,84,6
full,own_coverage,STABLE_PIPELINE_R14B,core,7,monthly_error,90,83,7
full,own_coverage,STABLE_PIPELINE_R14B,core,8,monthly_error,90,82,8
full,own_coverage,STABLE_PIPELINE_R14B,core,9,monthly_error,90,81,9
full,own_coverage,STABLE_PIPELINE_R14B,core,10,monthly_error,90,80,10
full,own_coverage,STABLE_PIPELINE_R14B,core,11,monthly_error,90,79,11
full,own_coverage,STABLE_PIPELINE_R14B,core,12,monthly_error,90,78,12
full,own_coverage,STABLE_PIPELINE_R14B,food,1,monthly_error,90,89,1
full,own_coverage,STABLE_PIPELINE_R14B,food,2,monthly_error,90,88,2
full,own_coverage,STABLE_PIPELINE_R14B,food,3,monthly_error,90,87,3
full,own_coverage,STABLE_PIPELINE_R14B,food,4,monthly_error,90,86,4
full,own_coverage,STABLE_PIPELINE_R14B,food,5,monthly_error,90,85,5
full,own_coverage,STABLE_PIPELINE_R14B,food,6,monthly_error,90,84,6
full,own_coverage,STABLE_PIPELINE_R14B,food,7,monthly_error,90,83,7
full,own_coverage,STABLE_PIPELINE_R14B,food,8,monthly_error,90,82,8
full,own_coverage,STABLE_PIPELINE_R14B,food,9,monthly_error,90,81,9
full,own_coverage,STABLE_PIPELINE_R14B,food,10,monthly_error,90,80,10
full,own_coverage,STABLE_PIPELINE_R14B,food,11,monthly_error,90,79,11
full,own_coverage,STABLE_PIPELINE_R14B,food,12,monthly_error,90,78,12
full,own_coverage,STABLE_PIPELINE_R14B,fuel,1,monthly_error,90,89,1
full,own_coverage,STABLE_PIPELINE_R14B,fuel,2,monthly_error,90,88,2
full,own_coverage,STABLE_PIPELINE_R14B,fuel,3,monthly_error,90,87,3
full,own_coverage,STABLE_PIPELINE_R14B,fuel,4,monthly_error,90,86,4
full,own_coverage,STABLE_PIPELINE_R14B,fuel,5,monthly_error,90,85,5
full,own_coverage,STABLE_PIPELINE_R14B,fuel,6,monthly_error,90,84,6
full,own_coverage,STABLE_PIPELINE_R14B,fuel,7,monthly_error,90,83,7
full,own_coverage,STABLE_PIPELINE_R14B,fuel,8,monthly_error,90,82,8
full,own_coverage,STABLE_PIPELINE_R14B,fuel,9,monthly_error,90,81,9
full,own_coverage,STABLE_PIPELINE_R14B,fuel,10,monthly_error,90,80,10
full,own_coverage,STABLE_PIPELINE_R14B,fuel,11,monthly_error,90,79,11
full,own_coverage,STABLE_PIPELINE_R14B,fuel,12,monthly_error,90,78,12
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,1,monthly_error,90,88,2
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,2,monthly_error,90,86,4
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,3,monthly_error,90,84,6
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,4,monthly_error,90,86,4
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,5,monthly_error,90,85,5
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,6,monthly_error,90,84,6
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,7,monthly_error,90,83,7
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,8,monthly_error,90,82,8
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,9,monthly_error,90,81,9
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,10,monthly_error,90,80,10
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,11,monthly_error,90,79,11
full,model_all_blocks_common,INDEPENDENT_BRIDGE,administered,12,monthly_error,90,78,12
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,1,monthly_error,90,88,2
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,2,monthly_error,90,86,4
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,3,monthly_error,90,84,6
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,4,monthly_error,90,86,4
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,5,monthly_error,90,85,5
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,6,monthly_error,90,84,6
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,7,monthly_error,90,83,7
full,model_all_blocks_common,INDEPENDENT_BRIDGE,alcohol_tobacco,8,monthly_error,90,82,8
