"Ukazatel","IndicatorType","Týdny","CasT2","Území","Uz0","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena bez daní (Kč/tis. l)","7401"," 20. týden 2018","2018-W20","Česko","CZ","13186.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 21. týden 2018","2018-W21","Česko","CZ","14176.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 22. týden 2018","2018-W22","Česko","CZ","15344.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 23. týden 2018","2018-W23","Česko","CZ","14574.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 24. týden 2018","2018-W24","Česko","CZ","14496.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 25. týden 2018","2018-W25","Česko","CZ","14567.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 26. týden 2018","2018-W26","Česko","CZ","14322.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 28. týden 2018","2018-W28","Česko","CZ","14176.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 29. týden 2018","2018-W29","Česko","CZ","13983.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 30. týden 2018","2018-W30","Česko","CZ","13802.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 31. týden 2018","2018-W31","Česko","CZ","13845.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 32. týden 2018","2018-W32","Česko","CZ","13794.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 33. týden 2018","2018-W33","Česko","CZ","13633.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 34. týden 2018","2018-W34","Česko","CZ","13684.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 35. týden 2018","2018-W35","Česko","CZ","13734.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 36. týden 2018","2018-W36","Česko","CZ","13943.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 37. týden 2018","2018-W37","Česko","CZ","14579.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 38. týden 2018","2018-W38","Česko","CZ","14348.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 39. týden 2018","2018-W39","Česko","CZ","14263.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 40. týden 2018","2018-W40","Česko","CZ","14426.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 41. týden 2018","2018-W41","Česko","CZ","15510.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 42. týden 2018","2018-W42","Česko","CZ","16211.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 43. týden 2018","2018-W43","Česko","CZ","16278.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 44. týden 2018","2018-W44","Česko","CZ","16338.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 45. týden 2018","2018-W45","Česko","CZ","16051.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 46. týden 2018","2018-W46","Česko","CZ","16005.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 47. týden 2018","2018-W47","Česko","CZ","16003.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 48. týden 2018","2018-W48","Česko","CZ","16003.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 49. týden 2018","2018-W49","Česko","CZ","15575.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 50. týden 2018","2018-W50","Česko","CZ","14732.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 51. týden 2018","2018-W51","Česko","CZ","14472.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 02. týden 2019","2019-W02","Česko","CZ","12763.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 03. týden 2019","2019-W03","Česko","CZ","12533.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 04. týden 2019","2019-W04","Česko","CZ","12697.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 05. týden 2019","2019-W05","Česko","CZ","12505.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 06. týden 2019","2019-W06","Česko","CZ","12673.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 07. týden 2019","2019-W07","Česko","CZ","12824.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 08. týden 2019","2019-W08","Česko","CZ","13168.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 09. týden 2019","2019-W09","Česko","CZ","13206.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 10. týden 2019","2019-W10","Česko","CZ","13538.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 11. týden 2019","2019-W11","Česko","CZ","13711.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 12. týden 2019","2019-W12","Česko","CZ","13560.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 13. týden 2019","2019-W13","Česko","CZ","13431.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 14. týden 2019","2019-W14","Česko","CZ","13447.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 15. týden 2019","2019-W15","Česko","CZ","13610.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 16. týden 2019","2019-W16","Česko","CZ","13810.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 18. týden 2019","2019-W18","Česko","CZ","14311.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 19. týden 2019","2019-W19","Česko","CZ","14350.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 20. týden 2019","2019-W20","Česko","CZ","14340.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 21. týden 2019","2019-W21","Česko","CZ","14479.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 22. týden 2019","2019-W22","Česko","CZ","14463.0","Kč/tis. l",""
