period,model,actual,consensus,forecast,error,surprise,deviation,gain_vs_consensus,gain_vs_base,big,alert,direction_correct
2025-09,HARD_FULL,-0.59999999999999998,-0.29999999999999999,-0.56472803371494296,0.035271966285057021,-0.29999999999999999,-0.26472803371494297,0.26472803371494297,0.085035646036786372,False,True,True
2025-12,HARD_FULL,-0.29999999999999999,-0.10000000000000001,-0.32080802755641596,-0.020808027556415976,-0.19999999999999998,-0.22080802755641596,0.17919197244358401,-0.0031720431298470908,False,True,True
2019-02,STRICT_ALL_MONTH_ADDITIONS,0.20000000000000001,0.10000000000000001,0.31775488058818213,0.11775488058818212,0.10000000000000001,0.21775488058818213,-0.017754880588182115,0,False,True,True
2019-07,STRICT_ALL_MONTH_ADDITIONS,0.40000000000000002,0.20000000000000001,0.43522902776385097,0.035229027763850951,0.20000000000000001,0.23522902776385096,0.16477097223614906,0,False,True,True
2020-03,STRICT_ALL_MONTH_ADDITIONS,-0.10000000000000001,0.10000000000000001,-0.26205742195104648,-0.16205742195104647,-0.20000000000000001,-0.36205742195104651,0.03794257804895354,0,False,True,True
2020-07,STRICT_ALL_MONTH_ADDITIONS,0.40000000000000002,0.20000000000000001,0.48695029773844739,0.086950297738447369,0.20000000000000001,0.28695029773844738,0.11304970226155264,0,False,True,True
2021-11,STRICT_ALL_MONTH_ADDITIONS,0.20000000000000001,0.29999999999999999,0.68234845142842038,0.48234845142842037,-0.099999999999999978,0.38234845142842039,-0.38234845142842039,0,False,True,False
2021-12,STRICT_ALL_MONTH_ADDITIONS,0.40000000000000002,0.29999999999999999,0.77093896741703016,0.37093896741703014,0.10000000000000003,0.47093896741703017,-0.27093896741703011,0,False,True,True
2022-01,STRICT_ALL_MONTH_ADDITIONS,4.4000000000000004,3.7999999999999998,4.3781372269715337,-0.02186277302846662,0.60000000000000053,0.57813722697153391,0.57813722697153391,0,True,True,True
2022-02,STRICT_ALL_MONTH_ADDITIONS,1.3,0.59999999999999998,0.86642540702841275,-0.43357459297158729,0.70000000000000007,0.26642540702841278,0.26642540702841278,0,True,True,True
2022-03,STRICT_ALL_MONTH_ADDITIONS,1.7,1.3999999999999999,0.97407177738956485,-0.7259282226104351,0.30000000000000004,-0.42592822261043506,-0.42592822261043506,0,False,True,False
2022-05,STRICT_ALL_MONTH_ADDITIONS,1.8,1.3999999999999999,1.8273429935590184,0.027342993559018369,0.40000000000000013,0.4273429935590185,0.37265700644098176,0,True,True,True
2022-10,STRICT_ALL_MONTH_ADDITIONS,-1.3999999999999999,0.90000000000000002,1.1729476113272232,2.5729476113272232,-2.2999999999999998,0.27294761132722323,-0.27294761132722334,0,True,True,False
2022-12,STRICT_ALL_MONTH_ADDITIONS,0,0.40000000000000002,0.047475065722731635,0.047475065722731635,-0.40000000000000002,-0.35252493427726839,0.35252493427726839,0,True,True,True
2023-01,STRICT_ALL_MONTH_ADDITIONS,6,5.7999999999999998,4.8731484312435551,-1.1268515687564449,0.20000000000000018,-0.9268515687564447,-0.9268515687564447,0,False,True,False
2023-06,STRICT_ALL_MONTH_ADDITIONS,0.29999999999999999,0.29999999999999999,0.035044079040744636,-0.26495592095925535,0,-0.26495592095925535,-0.26495592095925535,0,False,True,False
2023-08,STRICT_ALL_MONTH_ADDITIONS,0.20000000000000001,0.10000000000000001,0.4746143904367312,0.27461439043673119,0.10000000000000001,0.37461439043673117,-0.17461439043673119,0,False,True,True
2023-10,STRICT_ALL_MONTH_ADDITIONS,0.10000000000000001,0,0.29059742738357847,0.19059742738357846,0.10000000000000001,0.29059742738357847,-0.090597427383578455,0,False,True,True
2024-01,STRICT_ALL_MONTH_ADDITIONS,1.5,2,0.93191653765185667,-0.56808346234814333,-0.5,-1.0680834623481434,-0.068083462348143331,0,True,True,True
2024-04,STRICT_ALL_MONTH_ADDITIONS,0.69999999999999996,0.20000000000000001,0.53551387459744904,-0.16448612540255092,0.49999999999999994,0.33551387459744902,0.33551387459744902,0,True,True,True
2024-07,STRICT_ALL_MONTH_ADDITIONS,0.69999999999999996,0.5,0.20998444901121854,-0.49001555098878141,0.19999999999999996,-0.29001555098878146,-0.29001555098878146,0,False,True,False
2025-12,STRICT_ALL_MONTH_ADDITIONS,-0.29999999999999999,-0.10000000000000001,-0.31763598442656887,-0.017635984426568885,-0.19999999999999998,-0.21763598442656887,0.1823640155734311,0,False,True,True
