period,as_of_eve,admin,administered_weight,core_weight,eligible_history_end,eligible_history_n,basket_available_at,admin_reference,admin_replay_delta,coreweight_delta
2021-06,2021-07-12T23:59:00,0.050000000000000003,0.15349474685109149,0.54810600614890848,2021-05,173,2020-02-14T00:00:00,0.050000000000000003,0,0
2021-07,2021-08-09T23:59:00,0.050000000000000003,0.15343802395351799,0.548162729046482,2021-06,174,2020-02-14T00:00:00,0.050000000000000003,0,0
2021-08,2021-09-09T23:59:00,0,0.14601685019714192,0.55558390280285808,2021-07,175,2020-02-14T00:00:00,0,0,0
2021-09,2021-10-10T23:59:00,0.10000000000000001,0.14767642185138702,0.55392433114861306,2021-08,176,2020-02-14T00:00:00,0.10000000000000001,0,0
2021-10,2021-11-09T23:59:00,0,0.14892644889550521,0.55267430410449481,2021-09,177,2020-02-14T00:00:00,0,0,0
2021-11,2021-12-09T23:59:00,0,0.14954570635123138,0.55205504664876859,2021-10,178,2020-02-14T00:00:00,0,0,0
2021-12,2022-01-11T23:59:00,0,0.13756068406745325,0.56404006893254677,2021-11,179,2020-02-14T00:00:00,0,0,0
2022-01,2022-02-13T23:59:00,23.576384747725886,0.13799561492131665,0.5636051380786834,2021-12,180,2020-02-14T00:00:00,23.576384747725886,0,0
2022-02,2022-03-09T23:59:00,0.10000000000000001,0.13799561492131665,0.56520834207868331,2022-01,181,2022-02-14T00:00:00,0.10000000000000001,0,0
2022-03,2022-04-10T23:59:00,0.10000000000000001,0.13799561492131665,0.56520834207868331,2022-02,182,2022-02-14T00:00:00,0.10000000000000001,0,0
2022-04,2022-05-09T23:59:00,0.10000000000000001,0.13799561492131665,0.56520834207868331,2022-03,183,2022-02-14T00:00:00,0.10000000000000001,0,0
2022-05,2022-06-09T23:59:00,0.10000000000000001,0.14410179858308125,0.55910215841691868,2022-04,184,2022-02-14T00:00:00,0.10000000000000001,0,0
2022-06,2022-07-12T23:59:00,0.050000000000000003,0.14410441658110648,0.55909954041889343,2022-05,185,2022-02-14T00:00:00,0.050000000000000003,0,0
2022-07,2022-08-09T23:59:00,0.050000000000000003,0.14411443802689985,0.55908951897310011,2022-06,186,2022-02-14T00:00:00,0.050000000000000003,0,0
2022-08,2022-09-11T23:59:00,0,0.14399476049344909,0.55920919650655088,2022-07,187,2022-02-14T00:00:00,0,0,0
2022-09,2022-10-10T23:59:00,0.10000000000000001,0.14400276353404382,0.55920119346595609,2022-08,188,2022-02-14T00:00:00,0.10000000000000001,0,0
2022-10,2022-11-09T23:59:00,0,0.14414963968798639,0.55905431731201349,2022-09,189,2022-02-14T00:00:00,0,0,0
2022-11,2022-12-11T23:59:00,0,0.15642523738539582,0.54677871961460411,2022-10,190,2022-02-14T00:00:00,0,0,0
2022-12,2023-01-10T23:59:00,0,0.15570622854288566,0.54749772845711431,2022-11,191,2022-02-14T00:00:00,0,0,0
2023-01,2023-02-09T23:59:00,24.427931365355281,0.1557272756942511,0.54747668130574878,2022-12,192,2022-02-14T00:00:00,24.427931365355281,0,0
2023-02,2023-03-09T23:59:00,0.10000000000000001,0.1513061168518951,0.55189784014810483,2023-01,193,2022-02-14T00:00:00,0.10000000000000001,0,0
2023-03,2023-04-12T23:59:00,0.10000000000000001,0.15130573207430068,0.55189822492569929,2023-02,194,2022-02-14T00:00:00,0.10000000000000001,0,0
2023-04,2023-05-10T23:59:00,0.10000000000000001,0.151308249383833,0.55189570761616691,2023-03,195,2022-02-14T00:00:00,0.10000000000000001,0,0
2023-05,2023-06-11T23:59:00,0.10000000000000001,0.1513086722460194,0.55189528475398053,2023-04,196,2022-02-14T00:00:00,0.10000000000000001,0,0
2023-06,2023-07-12T23:59:00,0.050000000000000003,0.15131455516186454,0.5518894018381354,2023-05,197,2022-02-14T00:00:00,0.050000000000000003,0,0
2023-07,2023-08-09T23:59:00,0.050000000000000003,0.15132198846090847,0.55188196853909144,2023-06,198,2022-02-14T00:00:00,0.050000000000000003,0,0
2023-08,2023-09-10T23:59:00,0,0.15133180342847347,0.55187215357152652,2023-07,199,2022-02-14T00:00:00,0,0,0
2023-09,2023-10-09T23:59:00,0.15000000000000002,0.15132431135019653,0.55187964564980341,2023-08,200,2022-02-14T00:00:00,0.15000000000000002,0,0
2023-10,2023-11-09T23:59:00,0,0.15134139866720384,0.55186255833279607,2023-09,201,2022-02-14T00:00:00,0,0,0
2023-11,2023-12-10T23:59:00,0,0.1513699976396897,0.55183395936031021,2023-10,202,2022-02-14T00:00:00,0,0,0
2023-12,2024-01-10T23:59:00,0,0.1513992407853805,0.55180471621461946,2023-11,203,2022-02-14T00:00:00,0,0,0
2024-01,2024-02-14T23:59:00,0.90000000000000002,0.15141362530323763,0.55179033169676228,2023-12,204,2022-02-14T00:00:00,0.90000000000000002,0,0
2024-02,2024-03-10T23:59:00,0.10000000000000001,0.15141362530323763,0.55108854669676233,2024-01,205,2024-02-15T00:00:00,0.10000000000000001,0,0
2024-03,2024-04-09T23:59:00,0.10000000000000001,0.15141362530323763,0.55108854669676233,2024-02,206,2024-02-15T00:00:00,0.10000000000000001,0,0
2024-04,2024-05-12T23:59:00,0.10000000000000001,0.15141362530323763,0.55108854669676233,2024-03,207,2024-02-15T00:00:00,0.10000000000000001,0,0
2024-05,2024-06-10T23:59:00,0.15000000000000002,0.17950941189003702,0.52299276010996298,2024-04,208,2024-02-15T00:00:00,0.15000000000000002,0,0
2024-06,2024-07-09T23:59:00,0.10000000000000001,0.1794012768129864,0.52310089518701353,2024-05,209,2024-02-15T00:00:00,0.10000000000000001,0,0
2024-07,2024-08-11T23:59:00,0.050000000000000003,0.17951707654355889,0.52298509545644112,2024-06,210,2024-02-15T00:00:00,0.050000000000000003,0,0
2024-08,2024-09-09T23:59:00,0,0.17818135066552099,0.52432082133447899,2024-07,211,2024-02-15T00:00:00,0,0,0
2024-09,2024-10-09T23:59:00,0.15000000000000002,0.17807908842340825,0.52442308357659173,2024-08,212,2024-02-15T00:00:00,0.15000000000000002,0,0
2024-10,2024-11-10T23:59:00,0,0.17730847967960628,0.5251936923203937,2024-09,213,2024-02-15T00:00:00,0,0,0
2024-11,2024-12-09T23:59:00,0,0.17679005698880518,0.52571211501119475,2024-10,214,2024-02-15T00:00:00,0,0,0
2024-12,2025-01-12T23:59:00,0,0.17670129137791427,0.52580088062208574,2024-11,215,2024-02-15T00:00:00,0,0,0
2025-01,2025-02-05T23:59:00,0.90000000000000002,0.17667347669555081,0.5258286953044492,2024-12,216,2024-02-15T00:00:00,0.90000000000000002,0,0
2025-02,2025-03-04T23:59:00,0.10000000000000001,0.17618669973275852,0.5263154722672414,2025-01,217,2024-02-15T00:00:00,0.10000000000000001,0,0
2025-03,2025-04-03T23:59:00,0.10000000000000001,0.17529100721142366,0.52721116478857633,2025-02,218,2024-02-15T00:00:00,0.10000000000000001,0,0
2025-04,2025-05-05T23:59:00,0.10000000000000001,0.1750877374126095,0.52741443458739046,2025-03,219,2024-02-15T00:00:00,0.10000000000000001,0,0
2025-05,2025-06-03T23:59:00,0.15000000000000002,0.17515807427924232,0.52734409772075763,2025-04,220,2024-02-15T00:00:00,0.15000000000000002,0,0
2025-06,2025-07-03T23:59:00,0.10000000000000001,0.17547295456651549,0.52702921743348452,2025-05,221,2024-02-15T00:00:00,0.10000000000000001,0,0
2025-07,2025-08-04T23:59:00,0,0.17509349196581353,0.52740868003418639,2025-06,222,2024-02-15T00:00:00,0,0,0
2025-08,2025-09-03T23:59:00,0.050000000000000003,0.17436714032917716,0.52813503167082287,2025-07,223,2024-02-15T00:00:00,0.050000000000000003,0,0
2025-09,2025-10-05T23:59:00,0.15000000000000002,0.17446025818029648,0.52804191381970345,2025-08,224,2024-02-15T00:00:00,0.15000000000000002,0,0
2025-10,2025-11-04T23:59:00,0,0.17425301695806111,0.52824915504193881,2025-09,225,2024-02-15T00:00:00,0,0,0
2025-11,2025-12-03T23:59:00,0.050000000000000003,0.17384683928788616,0.52865533271211385,2025-10,226,2024-02-15T00:00:00,0.050000000000000003,0,0
2025-12,2026-01-06T23:59:00,0,0.17408599769591834,0.52841617430408161,2025-11,227,2024-02-15T00:00:00,0,0,0
2026-01,2026-02-04T23:59:00,0.65000000000000002,0.173966574259837,0.52853559774016301,2025-12,228,2024-02-15T00:00:00,0.65000000000000002,0,0
2026-02,2026-03-03T23:59:00,0.050000000000000003,0.173966574259837,0.54394776674016299,2026-01,229,2026-02-13T00:00:00,0.050000000000000003,0,0
2026-03,2026-04-06T23:59:00,0.10000000000000001,0.173966574259837,0.54394776674016299,2026-02,230,2026-02-13T00:00:00,0.10000000000000001,0,0
2026-04,2026-05-05T23:59:00,0.10000000000000001,0.173966574259837,0.54394776674016299,2026-03,231,2026-02-13T00:00:00,0.10000000000000001,0,0
2026-05,2026-06-03T23:59:00,0.20000000000000001,0.17158732433790325,0.54632701666209671,2026-04,232,2026-02-13T00:00:00,0.20000000000000001,0,0
2026-06,2026-07-06T23:59:00,0.10000000000000001,0.17269929388230998,0.54521504711768998,2026-05,233,2026-02-13T00:00:00,0.10000000000000001,0,0
2026-07,2026-08-04T23:59:00,0,0.17897619560268671,0.53893814539731322,2026-06,234,2026-02-13T00:00:00,0,0,0
