period,as_of_eve,as_of_utc,BASE,CATEGORY,HARD_HALF,HARD_FULL,STRICT_ALL_MONTH_ADDITIONS,candidate_effect_pp,applied_adjustment_pp,strict_eligible,status,reasons,event_ids,admin_forecast,admin_weight
2019-12,2020-01-12T23:59:00,2020-01-12T22:59:00+00:00,0.015134052299833604,0.10940964852952717,0.015041241673181452,0.014948431046529301,0.015134052299833604,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.15136042399591851
2020-01,2020-02-13T23:59:00,2020-02-13T22:59:00+00:00,0.89107836460028345,0.93347324693824407,0.91610450167677437,0.9411306387532653,0.89107836460028345,,0,False,baseline_january_preserved,Existing January overlap retained; baseline is not strict-vintage certified.,,1.5,0.15159954579000312
2020-02,2020-03-09T23:59:00,2020-03-09T22:59:00+00:00,0.30162556817859121,0.25387131852625289,0.32068032834451476,0.33973508851043838,0.30162556817859121,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15159954579000312
2020-03,2020-04-13T23:59:00,2020-04-13T21:59:00+00:00,-0.26205742195104648,-0.37323872443305345,-0.25946905877354964,-0.25688069559605281,-0.26205742195104648,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15159954579000312
2020-04,2020-05-12T23:59:00,2020-05-12T21:59:00+00:00,-0.31758186237127001,-0.26201494508769491,-0.31591219209715493,-0.31424252182303986,-0.31758186237127001,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15159954579000312
2020-05,2020-06-09T23:59:00,2020-06-09T21:59:00+00:00,0.17554178589106251,0.090083214854687427,0.17193851305540414,0.16833524021974577,0.17554178589106251,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.080000000000000002
2020-06,2020-07-09T23:59:00,2020-07-09T21:59:00+00:00,0.3438817354017713,0.12531691839368683,0.38055781125886934,0.41723388711596737,0.3438817354017713,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.16191409777304808
2020-07,2020-08-12T23:59:00,2020-08-12T21:59:00+00:00,0.48695029773844739,0.48209216021874068,0.50397861428941215,0.52100693084037686,0.48695029773844739,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.050000000000000003,0.14695499932043127
2020-08,2020-09-09T23:59:00,2020-09-09T21:59:00+00:00,0.03313375648649175,0.013069996995635241,0.04252609564169979,0.051918434796907831,0.03313375648649175,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.20414450832961661
2020-09,2020-10-11T23:59:00,2020-10-11T21:59:00+00:00,-0.37930553126091249,-0.42049580491182442,-0.40274300905269717,-0.4261804868444819,-0.37930553126091249,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.20414450832961661
2020-10,2020-11-09T23:59:00,2020-11-09T22:59:00+00:00,0.18355070387348549,0.27215818536493985,0.27093426617196403,0.35831782847044258,0.18355070387348549,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.17611614747146201
2020-11,2020-12-09T23:59:00,2020-12-09T22:59:00+00:00,0.13319352208066321,0.034140841111308072,0.15115491697647487,0.16911631187228654,0.13319352208066321,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.15326753271520827
