commodity,reference_month,segment,fix_months,lower_ex_vat,upper_ex_vat,lower_inc_vat,upper_inc_vat,unit,available_from,availability_kind,historical_first_release_verified,national_weight,source_sha256
electricity,2025-12,D01d,24,2539.266504987939,2735.891504987939,3072.5124710354057,3310.428721035406,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D01d,36,2585.304796204407,2730.799796204407,3128.2188034073324,3304.2677534073323,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D02d,12,2688.211653333271,2811.211653333271,3252.7361005332577,3401.5661005332577,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D02d,24,2539.266504987939,2735.891504987939,3072.5124710354057,3310.428721035406,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D02d,36,2585.304796204407,2730.799796204407,3128.2188034073324,3304.2677534073323,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D25d,12,2705.9901436359933,2809.5932686359934,3274.2480737995515,3399.6078550495517,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D25d,24,2548.706375772637,2737.643875772637,3083.9347146848904,3312.5490896848905,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D25d,36,2582.8142068402394,2726.8572568402396,3125.20519027669,3299.49728077669,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D26d,12,2675.7026436359934,2772.205768635993,3237.600198799552,3354.3689800495517,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D26d,24,2525.496375772637,2716.6538757726366,3055.8506146848904,3287.15118968489,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D26d,36,2569.5642068402394,2706.1962568402396,3109.1726902766895,3274.4974707766896,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D27d,12,2715.815143635993,2816.412618635993,3286.1363237995515,3407.8592685495514,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D27d,24,2558.831375772637,2737.643875772637,3096.1859646848907,3312.5490896848905,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D27d,36,2588.91420684024,2704.7921068402393,3132.58619027669,3272.7984492766896,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D35d,12,2730.4614448589227,2870.076444858923,3303.8583482792965,3472.7924982792965,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D35d,24,2579.7167747497206,2741.1717747497205,3121.4572974471616,3316.8178474471615,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D35d,36,2605.0470671709295,2785.6438671709293,3152.1069512768245,3370.6290792768245,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D45d,12,2732.5243445415153,2880.3818445415154,3306.3544568952334,3485.2620318952336,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D45d,24,2585.928520071723,2744.591020071723,3128.973509286785,3320.955134286785,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D45d,36,2614.072467070596,2781.711267070596,3163.027685155421,3365.8706331554213,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D56d,12,2785.326844541515,2916.451844541515,3370.2454818952333,3528.9067318952334,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D56d,24,2620.2160200717226,2823.8410200717226,3170.4613842867843,3416.8476342867843,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D56d,36,2628.672467070596,2835.172467070596,3180.6936851554215,3430.5586851554212,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D57d,12,2785.326844541515,2916.451844541515,3370.2454818952333,3528.9067318952334,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D57d,24,2620.2160200717226,2823.8410200717226,3170.4613842867843,3416.8476342867843,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D57d,36,2628.672467070596,2835.172467070596,3180.6936851554215,3430.5586851554212,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
