chart,series,period,value,origin,report_date,sample,n,surprise,big
path_2022_winter,STATE_FAST_R15,2022-11,11.46915873539046,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-12,11.154994499357166,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2021-11,5.9768064228367797,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2021-12,6.9846965981156792,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-01,10.05303009790509,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-02,10.406373299251586,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-03,10.487050466407593,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-04,10.443370751322817,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-05,10.760263987657883,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-06,10.647907594510837,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-07,10.115057243499621,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-08,9.6652989594239607,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-09,9.4366146268588622,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-10,8.9321009338729613,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-11,9.1038258805542984,2021-12,2022-02-10,,,,
path_2022_winter,STABLE_LOCAL_CORE_R14B,2022-12,8.6014104103731697,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2021-11,5.9768064228367797,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2021-12,6.9846965981156792,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-01,10.297370888125327,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-02,10.905827023675077,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-03,11.243249036181505,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-04,11.459944252131445,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-05,12.045731214827114,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-06,12.204037874257605,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-07,11.94152315218299,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-08,11.76723359242138,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-09,11.822692765966529,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-10,11.602651716074025,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-11,12.081219193032114,2021-12,2022-02-10,,,,
path_2022_winter,DAMPED_P95_Q001_R16,2022-12,11.87402754229965,2021-12,2022-02-10,,,,
path_2022_winter,cnb_quarterly_average,2022Q1,9.6366319879553508,,2022-02-10,,,,
path_2022_winter,cnb_quarterly_average,2022Q2,9.5051041600000001,,2022-02-10,,,,
path_2022_winter,cnb_quarterly_average,2022Q3,8.1703804299999998,,2022-02-10,,,,
path_2022_winter,cnb_quarterly_average,2022Q4,6.6274648100000002,,2022-02-10,,,,
path_2022_winter,cnb_quarterly_average,2023Q1,3.03275659,,2022-02-10,,,,
path_2023_winter,realised_monthly,2022-06,17.187499999999989,,,,,,
path_2023_winter,realised_monthly,2022-07,17.52577319587628,,,,,,
path_2023_winter,realised_monthly,2022-08,17.235494880546053,,,,,,
path_2023_winter,realised_monthly,2022-09,17.972742759795548,,,,,,
path_2023_winter,realised_monthly,2022-10,15.092748735244497,,,,,,
path_2023_winter,realised_monthly,2022-11,16.245791245791221,,,,,,
path_2023_winter,realised_monthly,2022-12,15.758591785414907,,,,,,
path_2023_winter,realised_monthly,2023-01,17.495987158908509,,,,,,
path_2023_winter,realised_monthly,2023-02,16.719492868462766,,,,,,
path_2023_winter,realised_monthly,2023-03,14.964925954793451,,,,,,
path_2023_winter,realised_monthly,2023-04,12.710566615620211,,,,,,
path_2023_winter,realised_monthly,2023-05,11.060948081264099,,,,,,
path_2023_winter,realised_monthly,2023-06,9.7037037037037059,,,,,,
path_2023_winter,realised_monthly,2023-07,8.7719298245614166,,,,,,
path_2023_winter,realised_monthly,2023-08,8.5152838427947781,,,,,,
path_2023_winter,realised_monthly,2023-09,6.8592057761733143,,,,,,
path_2023_winter,realised_monthly,2023-10,8.4981684981685195,,,,,,
path_2023_winter,realised_monthly,2023-11,7.3135409123823489,,,,,,
path_2023_winter,realised_monthly,2023-12,6.8790731354091497,,,,,,
path_2023_winter,STATE_FAST_R15,2022-11,16.245791245791221,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2022-12,15.813548252944742,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-01,12.41187399993821,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-02,11.752737047713428,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-03,10.410970450520264,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-04,9.2539279329903952,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-05,8.1271385420574376,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-06,7.1291967610586813,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-07,6.5228363199229742,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-08,6.5181594232010092,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-09,5.7860018228700385,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-10,8.1142621880853891,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-11,7.3587035648445429,2022-12,2023-02-09,,,,
path_2023_winter,STATE_FAST_R15,2023-12,7.7993326315808336,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2022-11,16.245791245791221,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2022-12,15.813548252944742,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-01,12.542959463465364,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-02,12.010351931151646,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-03,10.788144582762804,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-04,9.7464619020404832,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-05,8.7306811520987644,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-06,7.8409909335082242,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-07,7.3429895786140706,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-08,7.4495475829965256,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-09,6.8204734290662454,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-10,9.2832898308376404,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-11,8.6299412744680275,2022-12,2023-02-09,,,,
path_2023_winter,STABLE_LOCAL_CORE_R14B,2023-12,9.1865303508933351,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2022-11,16.245791245791221,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2022-12,15.813548252944742,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-01,12.461505452888726,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-02,11.857209307295623,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-03,10.573356697531549,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-04,9.4774737174887331,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-05,8.4141825984845209,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-06,7.4822000861383282,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-07,6.9452166156932087,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-08,7.0144245511455026,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-09,6.3544500089902538,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-10,8.7750659730265728,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-11,8.0961153661446996,2022-12,2023-02-09,,,,
path_2023_winter,DAMPED_P95_Q001_R16,2023-12,8.6234489641048615,2022-12,2023-02-09,,,,
path_2023_winter,cnb_quarterly_average,2023Q1,16.3076255004732,,2023-02-09,,,,
path_2023_winter,cnb_quarterly_average,2023Q2,11.307753099999999,,2023-02-09,,,,
path_2023_winter,cnb_quarterly_average,2023Q3,7.7759041699999996,,2023-02-09,,,,
path_2023_winter,cnb_quarterly_average,2023Q4,7.6228289800000004,,2023-02-09,,,,
path_2023_winter,cnb_quarterly_average,2024Q1,2.2850989099999999,,2023-02-09,,,,
path_2023_summer,realised_monthly,2023-01,17.495987158908509,,,,,,
path_2023_summer,realised_monthly,2023-02,16.719492868462766,,,,,,
path_2023_summer,realised_monthly,2023-03,14.964925954793451,,,,,,
path_2023_summer,realised_monthly,2023-04,12.710566615620211,,,,,,
path_2023_summer,realised_monthly,2023-05,11.060948081264099,,,,,,
path_2023_summer,realised_monthly,2023-06,9.7037037037037059,,,,,,
path_2023_summer,realised_monthly,2023-07,8.7719298245614166,,,,,,
path_2023_summer,realised_monthly,2023-08,8.5152838427947781,,,,,,
path_2023_summer,realised_monthly,2023-09,6.8592057761733143,,,,,,
path_2023_summer,realised_monthly,2023-10,8.4981684981685195,,,,,,
path_2023_summer,realised_monthly,2023-11,7.3135409123823489,,,,,,
path_2023_summer,realised_monthly,2023-12,6.8790731354091497,,,,,,
path_2023_summer,realised_monthly,2024-01,2.3224043715847307,,,,,,
path_2023_summer,realised_monthly,2024-02,1.9687712152070578,,,,,,
path_2023_summer,realised_monthly,2024-03,1.9661016949152732,,,,,,
path_2023_summer,realised_monthly,2024-04,2.8532608695652351,,,,,,
path_2023_summer,realised_monthly,2024-05,2.5745257452574628,,,,,,
path_2023_summer,realised_monthly,2024-06,1.9581363943281476,,,,,,
path_2023_summer,realised_monthly,2024-07,2.1505376344085776,,,,,,
path_2023_summer,STATE_FAST_R15,2023-06,9.7037037037037059,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2023-07,8.6783080317181138,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2023-08,8.3572233312925039,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2023-09,7.2607345169035051,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2023-10,9.2764720018722588,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2023-11,8.1998591740331292,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2023-12,8.3574804426396607,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2024-01,3.3715468368534403,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2024-02,3.1186523688579655,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2024-03,3.1002373077492651,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2024-04,3.6612990836160297,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2024-05,3.8354630984725344,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2024-06,3.8729558101899606,2023-07,2023-08-10,,,,
path_2023_summer,STATE_FAST_R15,2024-07,3.9938204102935382,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2023-06,9.7037037037037059,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2023-07,8.6783080317181138,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2023-08,8.4996862054284232,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2023-09,7.5356914546987843,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2023-10,9.688088957824867,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2023-11,8.7330175215803099,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2023-12,9.0139674635059368,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2024-01,4.1114181743391622,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2024-02,3.9686511669065396,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2024-03,4.0601889697423506,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2024-04,4.7361324386508556,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2024-05,5.020668361749248,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2024-06,5.1666214060163504,2023-07,2023-08-10,,,,
path_2023_summer,STABLE_LOCAL_CORE_R14B,2024-07,5.3968233906522309,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2023-06,9.7037037037037059,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2023-07,8.6783080317181138,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2023-08,8.3612379624339894,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2023-09,7.2642337545468134,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2023-10,9.2747120660790578,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2023-11,8.1878975770673748,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2023-12,8.3301917103347929,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2024-01,3.3261921057006165,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2024-02,3.049232838522419,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2024-03,3.0020025367136123,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2024-04,3.5288580172592043,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2024-05,3.6646635179969902,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2024-06,3.6595148263295658,2023-07,2023-08-10,,,,
path_2023_summer,DAMPED_P95_Q001_R16,2024-07,3.7331750147400444,2023-07,2023-08-10,,,,
path_2023_summer,cnb_quarterly_average,2023Q3,8.1866590723161998,,2023-08-10,,,,
path_2023_summer,cnb_quarterly_average,2023Q4,8.1887450499999996,,2023-08-10,,,,
path_2023_summer,cnb_quarterly_average,2024Q1,2.5487808300000001,,2023-08-10,,,,
path_2023_summer,cnb_quarterly_average,2024Q2,2.3480515799999999,,2023-08-10,,,,
path_2023_summer,cnb_quarterly_average,2024Q3,1.87132286,,2023-08-10,,,,
path_2024_winter,realised_monthly,2023-07,8.7719298245614166,,,,,,
path_2024_winter,realised_monthly,2023-08,8.5152838427947781,,,,,,
path_2024_winter,realised_monthly,2023-09,6.8592057761733143,,,,,,
path_2024_winter,realised_monthly,2023-10,8.4981684981685195,,,,,,
path_2024_winter,realised_monthly,2023-11,7.3135409123823489,,,,,,
path_2024_winter,realised_monthly,2023-12,6.8790731354091497,,,,,,
path_2024_winter,realised_monthly,2024-01,2.3224043715847307,,,,,,
path_2024_winter,realised_monthly,2024-02,1.9687712152070578,,,,,,
path_2024_winter,realised_monthly,2024-03,1.9661016949152732,,,,,,
path_2024_winter,realised_monthly,2024-04,2.8532608695652351,,,,,,
path_2024_winter,realised_monthly,2024-05,2.5745257452574628,,,,,,
path_2024_winter,realised_monthly,2024-06,1.9581363943281476,,,,,,
path_2024_winter,realised_monthly,2024-07,2.1505376344085776,,,,,,
path_2024_winter,realised_monthly,2024-08,2.2132796780684036,,,,,,
path_2024_winter,realised_monthly,2024-09,2.5675675675675627,,,,,,
path_2024_winter,realised_monthly,2024-10,2.8359216745442337,,,,,,
path_2024_winter,realised_monthly,2024-11,2.8340080971660129,,,,,,
path_2024_winter,realised_monthly,2024-12,2.9810298102981085,,,,,,
path_2024_winter,realised_monthly,2025-01,2.8037383177569941,,,,,,
path_2024_winter,STATE_FAST_R15,2023-12,6.8790731354091497,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-01,1.7592273289441023,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-02,1.4426702791973289,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-03,1.2813335820487362,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-04,1.7061944588944384,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-05,1.7548327628825042,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-06,1.6788311832837175,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-07,1.5977880821842174,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-08,1.4476308105050131,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-09,1.8696928711736509,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-10,2.1783618045650806,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-11,2.2497023192535304,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2024-12,2.7209552508860577,2024-01,2024-02-15,,,,
path_2024_winter,STATE_FAST_R15,2025-01,2.8578927486685619,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2023-12,6.8790731354091497,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-01,1.7592273289441023,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-02,1.4898083487041902,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-03,1.3707449753218997,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-04,1.834832182305119,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-05,1.9193031987541302,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-06,1.8765861271443041,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-07,1.8269325839162613,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-08,1.7063197782486172,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-09,2.1581459150145776,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-10,2.4955597795856108,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-11,2.5941652825152919,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2024-12,3.0935895280578536,2024-01,2024-02-15,,,,
path_2024_winter,STABLE_LOCAL_CORE_R14B,2025-01,3.2569715209233978,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2023-12,6.8790731354091497,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-01,1.7592273289441023,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-02,1.4271748229734746,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-03,1.2431315395453826,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-04,1.6378330265218546,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-05,1.6496075185090595,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-06,1.5301510251012456,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-07,1.3991838506362451,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-08,1.1933448218799974,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-09,1.5524275361876032,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-10,1.7921874104368212,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-11,1.79001517192626,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2024-12,2.1802651344947011,2024-01,2024-02-15,,,,
path_2024_winter,DAMPED_P95_Q001_R16,2025-01,2.2330946561331277,2024-01,2024-02-15,,,,
path_2024_winter,cnb_quarterly_average,2024Q1,2.8634824369054699,,2024-02-15,,,,
path_2024_winter,cnb_quarterly_average,2024Q2,2.64855616,,2024-02-15,,,,
path_2024_winter,cnb_quarterly_average,2024Q3,2.25182174,,2024-02-15,,,,
path_2024_winter,cnb_quarterly_average,2024Q4,2.7160092100000002,,2024-02-15,,,,
path_2024_winter,cnb_quarterly_average,2025Q1,1.7470813599999999,,2024-02-15,,,,
path_2025_summer,realised_monthly,2025-01,2.8037383177569941,,,,,,
path_2025_summer,realised_monthly,2025-02,2.7296937416777642,,,,,,
path_2025_summer,realised_monthly,2025-03,2.659574468085101,,,,,,
path_2025_summer,realised_monthly,2025-04,1.8494055482166383,,,,,,
path_2025_summer,realised_monthly,2025-05,2.3778071334213915,,,,,,
path_2025_summer,realised_monthly,2025-06,2.9139072847682224,,,,,,
path_2025_summer,realised_monthly,2025-07,2.6973684210526332,,,,,,
path_2025_summer,realised_monthly,2025-08,2.4934383202099668,,,,,,
path_2025_summer,realised_monthly,2025-09,2.3056653491436179,,,,,,
path_2025_summer,realised_monthly,2025-10,2.495075508864073,,,,,,
path_2025_summer,realised_monthly,2025-11,2.0997375328083874,,,,,,
path_2025_summer,realised_monthly,2025-12,2.1052631578947296,,,,,,
path_2025_summer,realised_monthly,2026-01,1.62337662337662,,,,,,
path_2025_summer,realised_monthly,2026-02,1.3609850939727859,,,,,,
path_2025_summer,realised_monthly,2026-03,1.8782383419689102,,,,,,
path_2025_summer,realised_monthly,2026-04,2.4643320363164722,,,,,,
path_2025_summer,realised_monthly,2026-05,2.1290322580645191,,,,,,
path_2025_summer,realised_monthly,2026-06,1.5444015444015393,,,,,,
path_2025_summer,realised_monthly,2026-07,1.7296604740550943,,,,,,
path_2025_summer,STATE_FAST_R15,2025-06,2.9139072847682224,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2025-07,2.7303390128772111,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2025-08,2.5679949257156975,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2025-09,2.6545236430674941,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2025-10,2.7123464108951336,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2025-11,2.7453225297446657,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2025-12,3.0118694539530302,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2026-01,2.7234260286760597,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2026-02,2.7507863660952268,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2026-03,2.7259725805288233,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2026-04,3.1069849787156416,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2026-05,2.9729200127018189,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2026-06,2.9561008125763455,2025-07,2025-08-14,,,,
path_2025_summer,STATE_FAST_R15,2026-07,2.8824693688665128,2025-07,2025-08-14,,,,
path_2025_summer,STABLE_LOCAL_CORE_R14B,2025-06,2.9139072847682224,2025-07,2025-08-14,,,,
path_2025_summer,STABLE_LOCAL_CORE_R14B,2025-07,2.7303390128772111,2025-07,2025-08-14,,,,
