period,recorded,czso_survey,ec_bulletin_bbg,actual,w_fuel
2021-09,0.3396459823847175,0.33964598238471755,0.33594299040600184,0.3741814780168218,0.03425181
2021-10,5.769728177658218,5.769728177658218,5.7674859733096495,5.778191985088532,0.03425181
2021-11,4.6514364488322135,4.6514364488322135,4.653433857525657,4.405286343612325,0.03425181
2021-12,-1.6502897855581566,-1.6502897855581566,-1.8089532745212078,-1.856540084388192,0.03425181
2022-01,-1.2121780542906024,-1.2121780542906024,-0.9460386607563653,-0.5159071367153878,0.03425181
2022-02,4.175441864846663,4.175441864846663,4.1715741223185,3.975799481417464,0.031772263
2022-03,21.653758604202643,21.653758604202643,21.650176023004075,21.695760598503757,0.031772263
2022-04,-3.432223420571945,-3.432223420571945,-3.3410068937372084,-3.346994535519132,0.031772263
2022-05,3.373439298783776,3.373439298783776,2.8536754715998702,3.3215547703180137,0.031772263
2022-06,4.19227784956353,4.1922778495635304,4.194096080401555,3.830369357045149,0.031772263
2022-07,0.2407474456763481,0.2407474456763481,0.238039248477806,0.1976284584980225,0.031772263
2022-08,-10.03447971771363,-10.03447971771363,-10.0321453753899,-9.796186719263645,0.031772263
2022-09,-4.119721463054249,-4.119721463054249,-4.123426091167359,-4.008746355685133,0.031772263
2022-10,5.057227160206934,5.057227160206934,5.059259456685927,4.859529233105553,0.031772263
2022-11,-1.7559717907266623,-1.7559717907266625,-1.7550992520084185,-1.73787110789283,0.031772263
2022-12,-10.667102554531615,-10.667102554531615,-10.754358702601985,-10.53795136330139,0.031772263
2023-01,-2.3972564780358807,-2.3972564780358807,-1.7259475538494495,-1.7298187808896248,0.031772263
2023-02,1.3161441285244768,1.3161441285244768,1.3141805488170233,1.257334450963965,0.031772263
2023-03,-1.8480222212273525,-1.8480222212273523,-1.8474916620922488,-1.821192052980136,0.031772263
2023-04,-0.6623550528787048,-0.6623550528787048,-0.6634653874342589,-0.6745362563237767,0.031772263
2023-05,-3.8939566137818127,-3.8939566137818127,-3.892065191821714,-3.9049235993208753,0.031772263
2023-06,0.6359521890353159,0.6359521890353159,0.6321882357272379,0.5300353356890497,0.031772263
2023-07,1.799795743932142,1.7997957439321421,1.8039684849612714,1.7574692442882345,0.031772263
2023-08,7.892450853828814,7.892450853828814,7.890861321087672,7.685664939550962,0.031772263
2023-09,2.800766514082253,2.8007665140822535,2.8025485028806862,2.806736166800317,0.031772263
2023-10,-0.2410706338090484,-0.24107063380904847,-0.23997748900717042,-0.1560062402496065,0.031772263
2023-11,-3.428523500454861,-3.428523500454861,-3.4354868827298546,-3.359374999999998,0.031772263
2023-12,-4.762971955410277,-4.762971955410277,-4.8455322763862885,-4.688763136620855,0.031772263
2024-01,-1.0101730071600643,-1.0101730071600645,-0.5826942796530843,-0.5089058524173073,0.031772263
2024-02,4.418824738151894,4.418824738151894,4.290956909768018,4.262574595055413,0.035444108
2024-03,1.5675918641532285,1.5675918641532283,1.7086876725751043,1.635322976287812,0.035444108
2024-04,2.788158589142653,2.788158589142653,2.7713214719552237,2.7353177795655714,0.035444108
2024-05,-1.8483847891283207,-1.8483847891283212,-1.8474819544756493,-1.8010963194988183,0.035444108
2024-06,-3.869323331686858,-3.869323331686858,-3.8669219771961805,-3.7480063795853336,0.035444108
2024-07,1.4234004682028845,1.4234004682028845,1.418475085237092,1.3256006628003192,0.035444108
2024-08,-2.2832761560643733,-2.2832761560643733,-2.2851946600829343,-2.2076860179885527,0.035444108
2024-09,-4.983362328126373,-4.983362328126373,-4.977020053654524,-4.8494983277591945,0.035444108
2024-10,-0.4208605187493885,-0.42086051874938857,-0.3910074949365683,-0.3514938488576424,0.035444108
2024-11,0.7904129835136331,0.7904129835136331,0.23169102409033027,0.7936507936507908,0.035444108
2024-12,0.3441418637614823,0.34414186376148237,0.9670430692194198,0.4374453193350724,0.035444108
2025-01,1.7460647345810765,1.7460647345810765,1.7997197220311678,1.7421602787456525,0.035444108
2025-02,0.6097750146984549,0.6097750146984549,0.6052246660958494,0.5993150684931559,0.035444108
2025-03,-3.3873817037782694,-3.3606414302028265,-3.3563313169554077,-3.234042553191485,0.035444108
2025-04,-2.779678397827656,-2.7796783978276562,-2.786783594456499,-2.726473175021993,0.035444108
2025-05,-2.0291729468003283,-2.0291729468003283,-2.0209739399061344,-1.898734177215189,0.035444108
2025-06,1.0564358447252342,1.0917690882407127,1.0905813917665652,1.0138248847926246,0.035444108
2025-07,1.808503482522528,1.8085034825225277,1.8098098810409136,1.7335766423357768,0.035444108
2025-08,-0.8268546653553144,-0.8268546653553144,-0.8277430904273797,-0.8968609865470878,0.035444108
2025-09,-0.7524492023861851,-0.7324236344412483,-0.7373150424412112,-0.7239819004524861,0.035444108
2025-10,-0.1078584463291898,-0.10785844632918984,-0.10344894565975649,-0.0911577028258947,0.035444108
2025-11,1.7094218207242662,1.7094218207242662,1.7040209345511093,1.642335766423364,0.035444108
2025-12,-1.9558010306955145,-1.9558010306955143,-1.9499021818868534,-1.8850987432675104,0.035444108
2026-01,-2.904771562656794,-2.904771562656794,-2.904356331908009,-2.5617566331198494,0.035444108
2026-02,1.0658660456565938,1.0658660456565938,1.0605794350035058,1.032863849765242,0.030630713
2026-03,19.9573671140646,19.957367114064596,19.95919346252981,19.516728624535308,0.030630713
2026-04,7.159413657017377,7.159413657017377,7.164498426360311,7.231726283048223,0.030630713
2026-05,-0.651296182556893,-0.651296182556893,-0.652312497991081,-0.6526468455402501,0.030630713
2026-06,-8.352947272660627,-8.352947272660627,-8.35926194737685,-8.17518248175183,0.030630713
2026-07,3.6271226682307978,3.6271226682307978,3.6341119103665775,3.49761526232113,0.030630713
