scope,sample,h,model,n,direction_match_rate,actual_material_n,material_turn_hit_rate,material_calls_n,wrong_way_n,wrong_way_rate,wrong_way_share_of_calls
paired_STATE_SLOW_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_SLOW_R15,origins_2019_2021,9,STATE_SLOW_R15,2,0.0,2,0.0,0,0,0.0,
paired_STATE_SLOW_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_SLOW_R15,origins_2019_2021,12,STATE_SLOW_R15,2,0.0,2,0.0,1,1,0.5,1.0
paired_STATE_MID_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_MID_R15,full,3,STATE_MID_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_STATE_MID_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_MID_R15,full,6,STATE_MID_R15,2,0.5,1,0.0,0,0,0.0,
paired_STATE_MID_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_MID_R15,full,9,STATE_MID_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_MID_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_MID_R15,full,12,STATE_MID_R15,2,0.0,2,0.0,0,0,0.0,
paired_STATE_MID_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_MID_R15,origins_2019_2021,3,STATE_MID_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_STATE_MID_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_MID_R15,origins_2019_2021,6,STATE_MID_R15,2,0.5,1,0.0,0,0,0.0,
paired_STATE_MID_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_MID_R15,origins_2019_2021,9,STATE_MID_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_MID_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_MID_R15,origins_2019_2021,12,STATE_MID_R15,2,0.0,2,0.0,0,0,0.0,
paired_STATE_FAST_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_FAST_R15,full,3,STATE_FAST_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_STATE_FAST_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_FAST_R15,full,6,STATE_FAST_R15,2,0.5,1,0.0,0,0,0.0,
paired_STATE_FAST_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_FAST_R15,full,9,STATE_FAST_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_FAST_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_FAST_R15,full,12,STATE_FAST_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_FAST_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_FAST_R15,origins_2019_2021,3,STATE_FAST_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_STATE_FAST_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_FAST_R15,origins_2019_2021,6,STATE_FAST_R15,2,0.5,1,0.0,0,0,0.0,
paired_STATE_FAST_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_FAST_R15,origins_2019_2021,9,STATE_FAST_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_FAST_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_FAST_R15,origins_2019_2021,12,STATE_FAST_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_ADAPT_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_ADAPT_R15,full,3,STATE_ADAPT_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_STATE_ADAPT_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_ADAPT_R15,full,6,STATE_ADAPT_R15,2,0.5,1,0.0,0,0,0.0,
paired_STATE_ADAPT_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_ADAPT_R15,full,9,STATE_ADAPT_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_ADAPT_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_ADAPT_R15,full,12,STATE_ADAPT_R15,2,0.0,2,0.0,0,0,0.0,
paired_STATE_ADAPT_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_ADAPT_R15,origins_2019_2021,3,STATE_ADAPT_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_STATE_ADAPT_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_ADAPT_R15,origins_2019_2021,6,STATE_ADAPT_R15,2,0.5,1,0.0,0,0,0.0,
paired_STATE_ADAPT_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_ADAPT_R15,origins_2019_2021,9,STATE_ADAPT_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_ADAPT_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_ADAPT_R15,origins_2019_2021,12,STATE_ADAPT_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,full,3,ENET_DOMESTIC_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_DOMESTIC_R15,full,6,ENET_DOMESTIC_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,full,9,ENET_DOMESTIC_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_DOMESTIC_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_DOMESTIC_R15,full,12,ENET_DOMESTIC_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_DOMESTIC_R15,origins_2019_2021,3,ENET_DOMESTIC_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_DOMESTIC_R15,origins_2019_2021,6,ENET_DOMESTIC_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,origins_2019_2021,9,ENET_DOMESTIC_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_DOMESTIC_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_DOMESTIC_R15,origins_2019_2021,12,ENET_DOMESTIC_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_DOMESTIC_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,full,3,ENET_IMPORTED_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,full,6,ENET_IMPORTED_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,full,9,ENET_IMPORTED_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,full,12,ENET_IMPORTED_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,origins_2019_2021,3,ENET_IMPORTED_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,origins_2019_2021,6,ENET_IMPORTED_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,origins_2019_2021,9,ENET_IMPORTED_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_IMPORTED_R15,origins_2019_2021,12,ENET_IMPORTED_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_IMPORTED_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_BOTH_R15,full,3,ENET_BOTH_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_BOTH_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_BOTH_R15,full,6,ENET_BOTH_R15,2,0.5,1,0.0,1,1,1.0,1.0
paired_ENET_BOTH_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_BOTH_R15,full,9,ENET_BOTH_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_BOTH_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_BOTH_R15,full,12,ENET_BOTH_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_BOTH_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_BOTH_R15,origins_2019_2021,3,ENET_BOTH_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_BOTH_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_BOTH_R15,origins_2019_2021,6,ENET_BOTH_R15,2,0.5,1,0.0,1,1,1.0,1.0
paired_ENET_BOTH_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_BOTH_R15,origins_2019_2021,9,ENET_BOTH_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_BOTH_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_BOTH_R15,origins_2019_2021,12,ENET_BOTH_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_BOTH_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_WIDE_R15,full,3,ENET_WIDE_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_WIDE_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_WIDE_R15,full,6,ENET_WIDE_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_WIDE_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_WIDE_R15,full,9,ENET_WIDE_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_WIDE_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_WIDE_R15,full,12,ENET_WIDE_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_WIDE_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_WIDE_R15,origins_2019_2021,3,ENET_WIDE_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_WIDE_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_ENET_WIDE_R15,origins_2019_2021,6,ENET_WIDE_R15,2,0.5,1,0.0,0,0,0.0,
paired_ENET_WIDE_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_ENET_WIDE_R15,origins_2019_2021,9,ENET_WIDE_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_WIDE_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_ENET_WIDE_R15,origins_2019_2021,12,ENET_WIDE_R15,2,0.0,2,0.0,0,0,0.0,
paired_ENET_WIDE_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,full,3,RF_RESIDUAL_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,full,6,RF_RESIDUAL_R15,2,0.5,1,0.0,0,0,0.0,
paired_RF_RESIDUAL_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_RF_RESIDUAL_R15,full,9,RF_RESIDUAL_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,full,12,RF_RESIDUAL_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,origins_2019_2021,3,RF_RESIDUAL_R15,2,1.0,1,1.0,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,origins_2019_2021,6,RF_RESIDUAL_R15,2,0.5,1,0.0,0,0,0.0,
paired_RF_RESIDUAL_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_RF_RESIDUAL_R15,origins_2019_2021,9,RF_RESIDUAL_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,origins_2019_2021,12,RF_RESIDUAL_R15,2,0.5,2,0.5,1,0,0.0,0.0
paired_RF_RESIDUAL_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,full,3,BLEND_LINEAR_RF_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,full,6,BLEND_LINEAR_RF_R15,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,full,9,BLEND_LINEAR_RF_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,full,12,BLEND_LINEAR_RF_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,3,BLEND_LINEAR_RF_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,6,BLEND_LINEAR_RF_R15,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,9,BLEND_LINEAR_RF_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,12,BLEND_LINEAR_RF_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,full,3,BLEND_WIDE_STATE_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,full,6,BLEND_WIDE_STATE_R15,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,full,9,BLEND_WIDE_STATE_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,full,12,BLEND_WIDE_STATE_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,3,BLEND_WIDE_STATE_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,6,BLEND_WIDE_STATE_R15,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,9,BLEND_WIDE_STATE_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,12,BLEND_WIDE_STATE_R15,2,0.0,2,0.0,0,0,0.0,
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
