model,band,n,mean,mean_abs,p05,median,p95,max_abs
ENET_IMPORTED_R15,4,6,0.07994455726622228,0.07994455726622228,0.07564042659049086,0.0799445572662223,0.08424868794195367,0.08424868794195367
ENET_WIDE_R15,1,6,-0.15947611569731612,0.15947611569731612,-0.1872759421476472,-0.15947611569731612,-0.13167628924698505,0.1872759421476472
ENET_WIDE_R15,2,6,0.011068941506869873,0.020740205230712513,-0.009671263723842638,0.011068941506869864,0.031809146737582394,0.031809146737582394
ENET_WIDE_R15,3,6,0.015479246405742162,0.015479246405742162,0.012379791348601,0.015479246405742164,0.018578701462883318,0.018578701462883318
ENET_WIDE_R15,4,6,-0.013314639188148451,0.013314639188148451,-0.013511387788279594,-0.013314639188148444,-0.013117890588017312,0.013511387788279594
RF_RESIDUAL_R15,1,6,0.005917797537195059,0.005917797537195059,0.0008115800168489451,0.005917797537195041,0.011024015057541192,0.011024015057541192
RF_RESIDUAL_R15,2,6,-0.007245731911080966,0.020297358874918587,-0.027543090785999577,-0.007245731911080966,0.013051626963837645,0.02754309078599959
RF_RESIDUAL_R15,3,6,0.05448536046492569,0.05448536046492569,0.052781188102232535,0.054485360464925706,0.05618953282761887,0.05618953282761888
RF_RESIDUAL_R15,4,6,0.08790885164551993,0.08790885164551993,0.08629275631793883,0.08790885164551993,0.08952494697310101,0.08952494697310101
STATE_ADAPT_R15,1,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_ADAPT_R15,2,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_ADAPT_R15,3,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_ADAPT_R15,4,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_FAST_R15,1,6,0.024423097457942963,0.024423097457942963,0.012295869615377347,0.02402783601641814,0.03700701923429916,0.03748831665918376
STATE_FAST_R15,2,6,0.028477446323830095,0.028477446323830095,0.016188857270619063,0.028275072465769407,0.040999862671141876,0.04124628695268279
STATE_FAST_R15,3,6,0.03055327294316432,0.03055327294316432,0.018182066950102896,0.030449657527837223,0.04304419851080536,0.043170367742954296
STATE_FAST_R15,4,6,0.03161609617226343,0.03161609617226343,0.019202590305998593,0.031563045079615965,0.04409089846071301,0.04415549710757327
STATE_MID_R15,1,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_MID_R15,2,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_MID_R15,3,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_MID_R15,4,6,0.0,0.0,0.0,0.0,0.0,0.0
STATE_SLOW_R15,1,6,-0.036218449615734116,0.036218449615734116,-0.044047353529949894,-0.03581799189767802,-0.028713783496108702,0.04493497395005555
STATE_SLOW_R15,2,6,-0.04444777697300938,0.04444777697300938,-0.05141105253514634,-0.044242742621364656,-0.03765051116170269,0.051865514190240436
STATE_SLOW_R15,3,6,-0.048661192579934315,0.048661192579934315,-0.055181266425806945,-0.04855621499189222,-0.042226115726486775,0.05541395079321512
STATE_SLOW_R15,4,6,-0.05081846137067988,0.05081846137067988,-0.05711161593782521,-0.050764712845602314,-0.044568825263656214,0.05723075033393821
