edge,horizon,scheme,quantile,weight
2015-01,2,TVW3,0.5,0.35000000000000014
2015-01,2,TVW3,0.75,0.14999999999999997
2015-01,2,TVW3,0.9,0.0
2015-01,3,TVW1,0.25,0.4
2015-01,3,TVW1,0.5,0.4
2015-01,3,TVW1,0.75,0.20000000000000004
2015-01,3,TVW2,0.3333333333333333,0.3999999999999999
2015-01,3,TVW2,0.5,0.4000000000000001
2015-01,3,TVW2,0.6666666666666666,0.19999999999999996
2015-01,3,TVW3,0.1,0.15000000000000002
2015-01,3,TVW3,0.25,0.35
2015-01,3,TVW3,0.5,0.3500000000000001
2015-01,3,TVW3,0.75,0.15000000000000002
2015-01,3,TVW3,0.9,0.0
2015-01,4,TVW1,0.25,0.4
2015-01,4,TVW1,0.5,0.4
2015-01,4,TVW1,0.75,0.20000000000000004
2015-01,4,TVW2,0.3333333333333333,0.3999999999999999
2015-01,4,TVW2,0.5,0.39999999999999986
2015-01,4,TVW2,0.6666666666666666,0.20000000000000007
2015-01,4,TVW3,0.1,0.14985039715579662
2015-01,4,TVW3,0.25,0.35
2015-01,4,TVW3,0.5,0.35014960284420354
2015-01,4,TVW3,0.75,0.15
2015-01,4,TVW3,0.9,0.0
2015-01,5,TVW1,0.25,0.3999999999999999
2015-01,5,TVW1,0.5,0.4
2015-01,5,TVW1,0.75,0.20000000000000015
2015-01,5,TVW2,0.3333333333333333,0.3999999999999999
2015-01,5,TVW2,0.5,0.4000000000000002
2015-01,5,TVW2,0.6666666666666666,0.19999999999999996
2015-01,5,TVW3,0.1,0.15
2015-01,5,TVW3,0.25,0.35
2015-01,5,TVW3,0.5,0.35
2015-01,5,TVW3,0.75,0.15
2015-01,5,TVW3,0.9,0.0
2015-01,6,TVW1,0.25,0.4
2015-01,6,TVW1,0.5,0.4
2015-01,6,TVW1,0.75,0.20000000000000004
2015-01,6,TVW2,0.3333333333333333,0.4
2015-01,6,TVW2,0.5,0.4
2015-01,6,TVW2,0.6666666666666666,0.2
2015-01,6,TVW3,0.1,0.15
2015-01,6,TVW3,0.25,0.3492540131584126
2015-01,6,TVW3,0.5,0.3
2015-01,6,TVW3,0.75,0.15000000000000002
2015-01,6,TVW3,0.9,0.050745986841587494
2015-01,7,TVW1,0.25,0.39999999999999997
2015-01,7,TVW1,0.5,0.4
2015-01,7,TVW1,0.75,0.2
2015-01,7,TVW2,0.3333333333333333,0.3999999999999999
2015-01,7,TVW2,0.5,0.4000000000000001
2015-01,7,TVW2,0.6666666666666666,0.19999999999999996
2015-01,7,TVW3,0.1,0.15
2015-01,7,TVW3,0.25,0.3018119523188991
2015-01,7,TVW3,0.5,0.3978069117692382
2015-01,7,TVW3,0.75,0.1503811359118627
2015-01,7,TVW3,0.9,3.2165978547978053e-18
2015-01,8,TVW1,0.25,0.4
2015-01,8,TVW1,0.5,0.4
2015-01,8,TVW1,0.75,0.2
2015-01,8,TVW2,0.3333333333333333,0.3999999999999999
2015-01,8,TVW2,0.5,0.4
2015-01,8,TVW2,0.6666666666666666,0.19999999999999996
2015-01,8,TVW3,0.1,0.15
2015-01,8,TVW3,0.25,0.35
2015-01,8,TVW3,0.5,0.35
2015-01,8,TVW3,0.75,0.15
2015-01,8,TVW3,0.9,1.1450046639775148e-17
2015-01,9,TVW1,0.25,0.3999999999999999
2015-01,9,TVW1,0.5,0.4
2015-01,9,TVW1,0.75,0.19999999999999996
2015-01,9,TVW2,0.3333333333333333,0.39999999999999997
2015-01,9,TVW2,0.5,0.39999999999999997
2015-01,9,TVW2,0.6666666666666666,0.20000000000000018
2015-01,9,TVW3,0.1,0.15
2015-01,9,TVW3,0.25,0.35
2015-01,9,TVW3,0.5,0.34999999999999987
2015-01,9,TVW3,0.75,0.15
2015-01,9,TVW3,0.9,7.382275351414358e-17
2015-01,10,TVW1,0.25,0.39999999999999986
2015-01,10,TVW1,0.5,0.4000000000000001
2015-01,10,TVW1,0.75,0.20000000000000012
2015-01,10,TVW2,0.3333333333333333,0.3999999999999999
2015-01,10,TVW2,0.5,0.3999999999999999
2015-01,10,TVW2,0.6666666666666666,0.20000000000000004
2015-01,10,TVW3,0.1,0.15
2015-01,10,TVW3,0.25,0.35000000000000003
2015-01,10,TVW3,0.5,0.35000000000000003
2015-01,10,TVW3,0.75,0.15000000000000002
2015-01,10,TVW3,0.9,5.510815201718275e-17
2015-01,11,TVW1,0.25,0.4
2015-01,11,TVW1,0.5,0.4
2015-01,11,TVW1,0.75,0.2
2015-01,11,TVW2,0.3333333333333333,0.39999999999999986
2015-01,11,TVW2,0.5,0.39999999999999997
2015-01,11,TVW2,0.6666666666666666,0.20000000000000018
2015-01,11,TVW3,0.1,0.15
2015-01,11,TVW3,0.25,0.34999999999999987
2015-01,11,TVW3,0.5,0.35000000000000014
2015-01,11,TVW3,0.75,0.15
2015-01,11,TVW3,0.9,7.531546196599739e-18
