"Ukazatel","IndicatorType","Reprezentant","REPRCENZEM","Měsíce, jejich kumulace, čtvrtletí, roky","CASMKMQR","ČR a kraje-Stát","UZ02HU.STAT","ČR a kraje-Kraj","UZ02HU.KRAJ","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - září 2010","2010-09K","Česko","CZ","","","2999.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","říjen 2010","2010-10","Česko","CZ","","","4510.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - říjen 2010","2010-10K","Česko","CZ","","","3150.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","listopad 2010","2010-11","Česko","CZ","","","4558.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - listopad 2010","2010-11K","Česko","CZ","","","3278.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","prosinec 2010","2010-12","Česko","CZ","","","4649.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - prosinec 2010","2010-12K","Česko","CZ","","","3392.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","2010","2010","Česko","CZ","","","3392.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2011","2011-01","Česko","CZ","","","4816.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2011","2011-01K","Česko","CZ","","","4816.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2011","2011-02","Česko","CZ","","","5280.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - únor 2011","2011-02K","Česko","CZ","","","5048.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","březen 2011","2011-03","Česko","CZ","","","5610.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - březen 2011","2011-03K","Česko","CZ","","","5235.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","duben 2011","2011-04","Česko","CZ","","","5629.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - duben 2011","2011-04K","Česko","CZ","","","5334.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","květen 2011","2011-05","Česko","CZ","","","5687.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - květen 2011","2011-05K","Česko","CZ","","","5404.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červen 2011","2011-06","Česko","CZ","","","5634.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červen 2011","2011-06K","Česko","CZ","","","5443.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červenec 2011","2011-07","Česko","CZ","","","5348.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červenec 2011","2011-07K","Česko","CZ","","","5429.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","srpen 2011","2011-08","Česko","CZ","","","4808.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - srpen 2011","2011-08K","Česko","CZ","","","5352.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","září 2011","2011-09","Česko","CZ","","","4551.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - září 2011","2011-09K","Česko","CZ","","","5263.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","říjen 2011","2011-10","Česko","CZ","","","4527.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - říjen 2011","2011-10K","Česko","CZ","","","5189.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","listopad 2011","2011-11","Česko","CZ","","","4426.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - listopad 2011","2011-11K","Česko","CZ","","","5120.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","prosinec 2011","2011-12","Česko","CZ","","","4155.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - prosinec 2011","2011-12K","Česko","CZ","","","5039.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","2011","2011","Česko","CZ","","","5039.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2012","2012-01","Česko","CZ","","","4057.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2012","2012-01K","Česko","CZ","","","4057.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2012","2012-02","Česko","CZ","","","4171.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - únor 2012","2012-02K","Česko","CZ","","","4114.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","březen 2012","2012-03","Česko","CZ","","","4339.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - březen 2012","2012-03K","Česko","CZ","","","4189.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","duben 2012","2012-04","Česko","CZ","","","4529.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - duben 2012","2012-04K","Česko","CZ","","","4274.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","květen 2012","2012-05","Česko","CZ","","","4788.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - květen 2012","2012-05K","Česko","CZ","","","4377.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červen 2012","2012-06","Česko","CZ","","","5005.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červen 2012","2012-06K","Česko","CZ","","","4482.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červenec 2012","2012-07","Česko","CZ","","","5161.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červenec 2012","2012-07K","Česko","CZ","","","4579.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","srpen 2012","2012-08","Česko","CZ","","","5371.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - srpen 2012","2012-08K","Česko","CZ","","","4678.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","září 2012","2012-09","Česko","CZ","","","5645.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - září 2012","2012-09K","Česko","CZ","","","4785.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","říjen 2012","2012-10","Česko","CZ","","","5769.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - říjen 2012","2012-10K","Česko","CZ","","","4884.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","listopad 2012","2012-11","Česko","CZ","","","5831.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - listopad 2012","2012-11K","Česko","CZ","","","4970.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","prosinec 2012","2012-12","Česko","CZ","","","5932.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - prosinec 2012","2012-12K","Česko","CZ","","","5050.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","2012","2012","Česko","CZ","","","5050.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2013","2013-01","Česko","CZ","","","6033.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2013","2013-01K","Česko","CZ","","","6033.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2013","2013-02","Česko","CZ","","","6116.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - únor 2013","2013-02K","Česko","CZ","","","6075.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","březen 2013","2013-03","Česko","CZ","","","6117.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - březen 2013","2013-03K","Česko","CZ","","","6089.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","duben 2013","2013-04","Česko","CZ","","","6019.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - duben 2013","2013-04K","Česko","CZ","","","6071.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","květen 2013","2013-05","Česko","CZ","","","5972.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - květen 2013","2013-05K","Česko","CZ","","","6051.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červen 2013","2013-06","Česko","CZ","","","5847.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červen 2013","2013-06K","Česko","CZ","","","6017.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červenec 2013","2013-07","Česko","CZ","","","5656.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červenec 2013","2013-07K","Česko","CZ","","","5966.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","srpen 2013","2013-08","Česko","CZ","","","4424.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - srpen 2013","2013-08K","Česko","CZ","","","5773.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","září 2013","2013-09","Česko","CZ","","","4216.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - září 2013","2013-09K","Česko","CZ","","","5600.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","říjen 2013","2013-10","Česko","CZ","","","4273.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - říjen 2013","2013-10K","Česko","CZ","","","5467.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","listopad 2013","2013-11","Česko","CZ","","","4343.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - listopad 2013","2013-11K","Česko","CZ","","","5365.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","prosinec 2013","2013-12","Česko","CZ","","","4436.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - prosinec 2013","2013-12K","Česko","CZ","","","5288.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","2013","2013","Česko","CZ","","","5288.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2014","2014-01","Česko","CZ","","","4555.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2014","2014-01K","Česko","CZ","","","4555.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2014","2014-02","Česko","CZ","","","4585.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - únor 2014","2014-02K","Česko","CZ","","","4570.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","březen 2014","2014-03","Česko","CZ","","","4599.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - březen 2014","2014-03K","Česko","CZ","","","4580.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","duben 2014","2014-04","Česko","CZ","","","4671.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - duben 2014","2014-04K","Česko","CZ","","","4603.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","květen 2014","2014-05","Česko","CZ","","","4778.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - květen 2014","2014-05K","Česko","CZ","","","4638.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červen 2014","2014-06","Česko","CZ","","","4789.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červen 2014","2014-06K","Česko","CZ","","","4663.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červenec 2014","2014-07","Česko","CZ","","","4608.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červenec 2014","2014-07K","Česko","CZ","","","4655.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","srpen 2014","2014-08","Česko","CZ","","","4353.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - srpen 2014","2014-08K","Česko","CZ","","","4617.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","září 2014","2014-09","Česko","CZ","","","4335.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - září 2014","2014-09K","Česko","CZ","","","4586.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","říjen 2014","2014-10","Česko","CZ","","","4197.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - říjen 2014","2014-10K","Česko","CZ","","","4547.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","listopad 2014","2014-11","Česko","CZ","","","4159.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - listopad 2014","2014-11K","Česko","CZ","","","4512.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","prosinec 2014","2014-12","Česko","CZ","","","4163.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - prosinec 2014","2014-12K","Česko","CZ","","","4483.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","2014","2014","Česko","CZ","","","4483.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","","","4240.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Středočeský kraj","CZ020","4331.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Jihočeský kraj","CZ031","4069.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Plzeňský kraj","CZ032","4313.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Ústecký kraj","CZ042","4354.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Královéhradecký kraj","CZ052","4098.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Pardubický kraj","CZ053","4207.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Kraj Vysočina","CZ063","4205.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Jihomoravský kraj","CZ064","4279.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Olomoucký kraj","CZ071","4250.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Zlínský kraj","CZ072","4350.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01","Česko","CZ","Moravskoslezský kraj","CZ080","4015.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","","","4240.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Středočeský kraj","CZ020","4331.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Jihočeský kraj","CZ031","4069.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Plzeňský kraj","CZ032","4313.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Ústecký kraj","CZ042","4354.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Královéhradecký kraj","CZ052","4098.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Pardubický kraj","CZ053","4207.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Kraj Vysočina","CZ063","4205.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Jihomoravský kraj","CZ064","4279.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Olomoucký kraj","CZ071","4250.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Zlínský kraj","CZ072","4350.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2015","2015-01K","Česko","CZ","Moravskoslezský kraj","CZ080","4015.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","","","4412.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Středočeský kraj","CZ020","4454.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Jihočeský kraj","CZ031","4308.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Plzeňský kraj","CZ032","4459.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Královéhradecký kraj","CZ052","4322.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Pardubický kraj","CZ053","4318.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Kraj Vysočina","CZ063","4439.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Jihomoravský kraj","CZ064","4519.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Olomoucký kraj","CZ071","4412.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Zlínský kraj","CZ072","4389.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2015","2015-02","Česko","CZ","Moravskoslezský kraj","CZ080","4170.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - únor 2015","2015-02K","Česko","CZ","","","4326.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","březen 2015","2015-03","Česko","CZ","","","4445.0","koruna česká","Kč"
