origin,model,band,target,predicted_turn,actual_turn,eligible,exact_hit,missed_turn,false_turn
2019-07,STATE_FAST_R15,3,2020-04,none,trough,True,False,True,False
2019-08,ANCHOR_HL12_R21,2,2020-02,none,peak,True,False,True,False
2019-08,ANCHOR_HL12_R21,3,2020-05,none,trough,True,False,True,False
2019-08,ANCHOR_HL24_R21,2,2020-02,none,peak,True,False,True,False
2019-08,ANCHOR_HL24_R21,3,2020-05,none,trough,True,False,True,False
2019-08,CORE_FEEDBACK_R21,2,2020-02,none,peak,True,False,True,False
2019-08,CORE_FEEDBACK_R21,3,2020-05,none,trough,True,False,True,False
2019-08,DAMPED_P95_Q001_R16,2,2020-02,none,peak,True,False,True,False
2019-08,DAMPED_P95_Q001_R16,3,2020-05,none,trough,True,False,True,False
2019-08,DUAL_FEEDBACK_R21,2,2020-02,none,peak,True,False,True,False
2019-08,DUAL_FEEDBACK_R21,3,2020-05,none,trough,True,False,True,False
2019-08,FOOD_FEEDBACK_R21,2,2020-02,none,peak,True,False,True,False
2019-08,FOOD_FEEDBACK_R21,3,2020-05,none,trough,True,False,True,False
2019-08,POOL_COMPLETE_R21,2,2020-02,none,peak,True,False,True,False
2019-08,POOL_COMPLETE_R21,3,2020-05,none,trough,True,False,True,False
2019-08,POOL_PARTIAL_R21,2,2020-02,none,peak,True,False,True,False
2019-08,POOL_PARTIAL_R21,3,2020-05,none,trough,True,False,True,False
2019-08,POOL_PRIOR_R21,2,2020-02,none,peak,True,False,True,False
2019-08,POOL_PRIOR_R21,3,2020-05,none,trough,True,False,True,False
2019-08,STABLE_LOCAL_CORE_R14B,2,2020-02,none,peak,True,False,True,False
2019-08,STABLE_LOCAL_CORE_R14B,3,2020-05,none,trough,True,False,True,False
2019-08,STATE_FAST_R15,2,2020-02,none,peak,True,False,True,False
2019-08,STATE_FAST_R15,3,2020-05,none,trough,True,False,True,False
2019-09,ANCHOR_HL12_R21,2,2020-03,none,none,True,False,False,False
2019-09,ANCHOR_HL12_R21,3,2020-06,none,none,True,False,False,False
2019-09,ANCHOR_HL24_R21,2,2020-03,none,none,True,False,False,False
2019-09,ANCHOR_HL24_R21,3,2020-06,none,none,True,False,False,False
2019-09,CORE_FEEDBACK_R21,2,2020-03,none,none,True,False,False,False
2019-09,CORE_FEEDBACK_R21,3,2020-06,none,none,True,False,False,False
2019-09,DAMPED_P95_Q001_R16,2,2020-03,none,none,True,False,False,False
2019-09,DAMPED_P95_Q001_R16,3,2020-06,none,none,True,False,False,False
2019-09,DUAL_FEEDBACK_R21,2,2020-03,none,none,True,False,False,False
2019-09,DUAL_FEEDBACK_R21,3,2020-06,none,none,True,False,False,False
2019-09,FOOD_FEEDBACK_R21,2,2020-03,none,none,True,False,False,False
2019-09,FOOD_FEEDBACK_R21,3,2020-06,none,none,True,False,False,False
2019-09,POOL_COMPLETE_R21,2,2020-03,none,none,True,False,False,False
2019-09,POOL_COMPLETE_R21,3,2020-06,none,none,True,False,False,False
2019-09,POOL_PARTIAL_R21,2,2020-03,none,none,True,False,False,False
2019-09,POOL_PARTIAL_R21,3,2020-06,none,none,True,False,False,False
2019-09,POOL_PRIOR_R21,2,2020-03,none,none,True,False,False,False
2019-09,POOL_PRIOR_R21,3,2020-06,none,none,True,False,False,False
2019-09,STABLE_LOCAL_CORE_R14B,2,2020-03,none,none,True,False,False,False
2019-09,STABLE_LOCAL_CORE_R14B,3,2020-06,none,none,True,False,False,False
2019-09,STATE_FAST_R15,2,2020-03,none,none,True,False,False,False
2019-09,STATE_FAST_R15,3,2020-06,none,none,True,False,False,False
2019-10,ANCHOR_HL12_R21,2,2020-04,none,trough,True,False,True,False
2019-10,ANCHOR_HL12_R21,3,2020-07,none,peak,True,False,True,False
2019-10,ANCHOR_HL24_R21,2,2020-04,none,trough,True,False,True,False
2019-10,ANCHOR_HL24_R21,3,2020-07,none,peak,True,False,True,False
2019-10,CORE_FEEDBACK_R21,2,2020-04,none,trough,True,False,True,False
2019-10,CORE_FEEDBACK_R21,3,2020-07,none,peak,True,False,True,False
2019-10,DAMPED_P95_Q001_R16,2,2020-04,none,trough,True,False,True,False
2019-10,DAMPED_P95_Q001_R16,3,2020-07,none,peak,True,False,True,False
