period,luci_total,luci_wages_labour_costs,luci_employment,luci_unemployment,luci_demand_for_labour,luci_other,available_from_assumed,source
2008Q2,1.04,0.11,0.5,0.24,0.1,0.09,2008-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2008Q3,0.96,0.13,0.47,0.22,0.08,0.06,2009-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2008Q4,0.76,0.14,0.39,0.16,0.04,0.03,2009-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2009Q1,0.47,0.15,0.25,0.09,0.0,-0.01,2009-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2009Q2,0.15,0.16,0.08,0.0,-0.04,-0.05,2009-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2009Q3,-0.17,0.17,-0.1,-0.08,-0.08,-0.08,2010-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2009Q4,-0.43,0.17,-0.24,-0.15,-0.1,-0.11,2010-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2010Q1,-0.62,0.17,-0.35,-0.2,-0.12,-0.12,2010-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2010Q2,-0.72,0.16,-0.41,-0.22,-0.12,-0.12,2010-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2010Q3,-0.76,0.14,-0.44,-0.22,-0.13,-0.12,2011-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2010Q4,-0.76,0.12,-0.45,-0.2,-0.12,-0.11,2011-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2011Q1,-0.73,0.1,-0.44,-0.18,-0.12,-0.1,2011-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2011Q2,-0.7,0.08,-0.43,-0.14,-0.11,-0.09,2011-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2011Q3,-0.67,0.06,-0.42,-0.11,-0.11,-0.09,2012-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2011Q4,-0.66,0.03,-0.41,-0.09,-0.11,-0.08,2012-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2012Q1,-0.66,0.01,-0.4,-0.07,-0.12,-0.08,2012-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2012Q2,-0.69,-0.01,-0.4,-0.07,-0.12,-0.09,2012-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2012Q3,-0.75,-0.04,-0.4,-0.09,-0.13,-0.09,2013-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2012Q4,-0.82,-0.07,-0.4,-0.11,-0.13,-0.1,2013-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2013Q1,-0.9,-0.1,-0.41,-0.14,-0.14,-0.11,2013-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2013Q2,-0.98,-0.13,-0.42,-0.17,-0.14,-0.12,2013-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2013Q3,-1.04,-0.16,-0.42,-0.19,-0.14,-0.13,2014-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2013Q4,-1.06,-0.18,-0.41,-0.21,-0.14,-0.12,2014-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2014Q1,-1.04,-0.19,-0.38,-0.21,-0.13,-0.11,2014-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2014Q2,-0.97,-0.2,-0.34,-0.21,-0.12,-0.1,2014-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2014Q3,-0.87,-0.21,-0.29,-0.19,-0.1,-0.08,2015-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2014Q4,-0.75,-0.22,-0.23,-0.16,-0.08,-0.05,2015-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2015Q1,-0.6,-0.22,-0.16,-0.13,-0.06,-0.03,2015-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2015Q2,-0.44,-0.22,-0.08,-0.1,-0.04,-0.01,2015-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2015Q3,-0.28,-0.21,0.0,-0.06,-0.02,0.01,2016-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2015Q4,-0.12,-0.19,0.08,-0.03,0.0,0.02,2016-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2016Q1,0.04,-0.17,0.16,-0.01,0.02,0.04,2016-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2016Q2,0.2,-0.14,0.23,0.01,0.04,0.05,2016-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2016Q3,0.37,-0.11,0.31,0.03,0.07,0.06,2017-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2016Q4,0.55,-0.07,0.39,0.05,0.1,0.08,2017-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2017Q1,0.74,-0.03,0.47,0.08,0.13,0.09,2017-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2017Q2,0.94,0.01,0.56,0.11,0.16,0.11,2017-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2017Q3,1.16,0.07,0.64,0.14,0.19,0.12,2018-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2017Q4,1.37,0.12,0.71,0.17,0.23,0.14,2018-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2018Q1,1.57,0.19,0.77,0.2,0.26,0.15,2018-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2018Q2,1.75,0.25,0.82,0.22,0.3,0.16,2018-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2018Q3,1.9,0.31,0.86,0.24,0.33,0.16,2019-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2018Q4,2.01,0.37,0.87,0.25,0.36,0.17,2019-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2019Q1,2.08,0.42,0.86,0.26,0.37,0.16,2019-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2019Q2,2.08,0.46,0.83,0.26,0.38,0.16,2019-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2019Q3,2.03,0.49,0.77,0.25,0.37,0.15,2020-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2019Q4,1.92,0.51,0.68,0.23,0.35,0.14,2020-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2020Q1,1.76,0.52,0.58,0.2,0.33,0.13,2020-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2020Q2,1.58,0.52,0.48,0.17,0.3,0.13,2020-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2020Q3,1.42,0.51,0.39,0.14,0.27,0.12,2021-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2020Q4,1.31,0.5,0.32,0.12,0.25,0.12,2021-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2021Q1,1.26,0.48,0.3,0.11,0.24,0.12,2021-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2021Q2,1.25,0.45,0.31,0.12,0.24,0.12,2021-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2021Q3,1.26,0.4,0.35,0.14,0.25,0.13,2022-02-10,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2021Q4,1.27,0.33,0.39,0.17,0.25,0.13,2022-05-12,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2022Q1,1.25,0.24,0.45,0.19,0.24,0.13,2022-08-11,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2022Q2,1.21,0.15,0.5,0.21,0.23,0.12,2022-11-10,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2022Q3,1.14,0.07,0.54,0.22,0.2,0.12,2023-02-09,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2022Q4,1.07,0.0,0.56,0.22,0.17,0.11,2023-05-11,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2023Q1,1.0,-0.04,0.58,0.21,0.14,0.11,2023-08-10,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2023Q2,0.94,-0.06,0.58,0.2,0.12,0.1,2023-11-09,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2023Q3,0.9,-0.06,0.58,0.18,0.1,0.1,2024-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2023Q4,0.88,-0.04,0.57,0.17,0.09,0.09,2024-05-09,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2024Q1,0.88,-0.01,0.56,0.15,0.08,0.09,2024-08-08,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2024Q2,0.88,0.01,0.55,0.14,0.09,0.09,2024-11-14,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2024Q3,0.89,0.04,0.54,0.12,0.09,0.09,2025-02-13,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2024Q4,0.89,0.06,0.54,0.11,0.1,0.08,2025-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2025Q1,0.9,0.09,0.52,0.09,0.11,0.08,2025-08-14,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2025Q2,0.89,0.12,0.51,0.07,0.12,0.07,2025-11-13,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2025Q3,0.88,0.14,0.5,0.05,0.12,0.06,2026-02-12,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2025Q4,0.86,0.17,0.48,0.03,0.13,0.06,2026-05-14,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2026Q1,0.83,0.18,0.46,0.01,0.13,0.05,2026-08-13,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
